BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202012,1,1500,202012,2,1500,154601,931871,ALASKA,2,2020,December,Flood,C,25,JUNEAU BOROUGH,AJK,01-DEC-20 15:00:00,AKST-9,02-DEC-20 15:00:00,0,0,0,0,8.10M,0.00K,NWS Storm Survey,,,Heavy Rain / Snow Melt,,,,,,,,,2.62,SSE,DOUGLAS,11.03,SSW,JUNEAU,58.2353,-134.3512,58.255,-134.2863,"A large plume of concentrated moisture or Atmospheric River (AR) with an associated low-pressure system moved across the Pacific Ocean and transported tropical moisture from the southwest which impacted Southeast Alaska (SEAK) from December 1st through December 2nd. This event brought widespread significant, and sometimes historic record setting rainfall to locations across Southeast Alaska. There were multiple waves along the main front to produce a quasi-stationary front and allowed heavy precipitation to persist over the panhandle for a long duration. Rainfall amounts were as high as over 15 at Little Port Walter with most other locations reporting 5 to 12 over the 2 days. Juneau, Skagway and Haines airports broke their all time daily precipitation record on December 1st along with the all time 2 day total when both days are combined. Rainfall intensity recurrence intervals  ranged from a 50 to 200 year event when looking at 6,12,24,48 hour time periods. In some locations the precipitation started out as snow, minor accumulations but then changed quickly over to moderate/heavy rain. Significant snowfall did occur mainly at high elevations and along the Haines and Klondike highways before transition to rain as temperatures rose above freezing all the way up to 6000 feet with the impacting warm front. Snow accumulations were very impressive from December 1st into the 2nd with 18 at 800 feet near the Haines US customs border station and a staggering 59 at 2560 feet on Mount Ripinski above Haines. There was persistent precipitation that occured the previous weeks to keep the soils on the wet side. The heavy precipitation and warm temperatures melted snow that had already accumulated on the ground at sea level then as the snow level climbed above the mountain top this increased the amount of runoff significantly from the mountains. All the excess runoff resulted in significant and in places record flooding of roads and homes, erosion that damaged roads and infrastructure, and widespread mass wasting events such as landslides and debris flows. Most of these impacts were reported to have started in the early morning hours of December 2nd and persist into December 3rd or longer. The northern half of Southeast Alaska saw most if not all of these impacts with a few specific rivers, Salmon River in Gustavus and Jordan Creek in Juneau, seeing record river stage values. Widespread damaging debris flows impacted Juneau, Skagway and Haines that took out roads, destroyed homes and caused 2 fatalities in Haines. ��To go along with the heavy precipitation there was also very strong damaging winds as the waves moved along the front over the panhandle. These strong winds damaged power lines from falling trees.��In total there were about 7 communities (Haines, Juneau, Skagway, Gustavus, Hoonah, Tenakee Springs, and Hyder) that declared a disaster from this event.","As the atmospheric river moved over the north central inner channels of Southeast Alaska it produced significant amount of precipitation from December 1-2. Heavy to moderate rainfall persisted over 36 hours with the highest amounts coming during the overnight hours going into December 2nd. By mid morning on December 1st, 2 to 3 inches of precipitation fell which is a 5 to 10 year event at the Juneau forecast office and the downtown Juneau LARC. Some of that precipitation did fall as snow, from 9 to 20 inches at elevations above 1000 feet. The snow level rose rapidly through the afternoon of December 1st to be above the mountain tops by the evening hours. This warming at elevation melted the fresh snow that fell with most gains lost by the morning of December 2nd. By the end of December 1st the Juneau airport reported a 24 hour precipitation amount of 4.93 which was a 100 year event and broke the all time daily precipitation record from 1946. Precipitation amounts for December 1st ranged from 3 to 5 inches with a number of daily precipitation records broken. Over the 2 days precipitation amounts were from 5 to 7. The Juneau airport 48hr total of 6.39 remained around the 100 year event. Other areas  that did report heavy precipitation did not seem to get the intensity the airport reported. The Juneau forecast office 48hr total of 5.10 was near a 5 year event with the 24hr amount of 4.09 on December 1st was 5 to 10 year event. There was significant runoff from the intense precipitation and from the snowmelt in the mountains. Most of the small streams in the Juneau area began to rise rapidly through the morning hours of December 1st with Jordan Creek going over minor flood stage by the afternoon. As the heavy rain persisted into the evening and overnight hours going into December 2nd the soils continued to be super saturated to produce extreme runoff across the area. This produced record flooding along Jordan Creek in the early morning of December 2nd before it crested around 8am AKST at 11.20 feet for a total rise of 4.5 feet over 36 hours. Multiple homes around Jordan Creek and business in Jordan Square were flooded. Roads near the creek from Jordan Ave, Cascade St, Trout St and the main road of Glacier Highway all were significantly flooded with 1 to 3 feet of water. Due to the intense long duration heavy precipitation, additional snowmelt runoff, and high soil saturation there were multiple debris flows reported across the Juneau area near steep terrain which damaged homes, blocked a number of roads and overwhelmed culverts that damaged roads from erosion. Renninger Street, at the base of Heintzleman Ridge, accesses a city water reservoir along with a middle schools was washed out from erosion on both sides of the road. Residences along Mary Ellen Way on Vanderbilt Hill had multiple debris flows that damaged homes and deposited debris into yard that blocked drainages to divert water into homes. Multiple large debris flows occurred along the lower and upper Salmon Creek Rd and damaged the penstock that brings water from the reservoir to the ALE&P power plant and CBJ water treatment facility. This is the only water supply for DIPAC hatchery that supplies fish stock to all of Southeast Alaska. Without the water DIPAC 2021 stock will die impacting sport and commercial fisheries. A big debris flow was reported along Wire St which damages homes and blocked the Glacier Hwy. Another big debris flow was reported near the AWARE shelter along Glacier Hwy which deposited lots of mud around the shelter and surrounding homes. A home was damaged by a debris flow on Cohen Dr near Tee Harbor as the debris smashed into the side of the home removing a significant portion of the structural support. This was one of the most impactful flooding and debris flow events in recent memory and the data backups extreme impacts. The city of Juneau declared a disaster for this event.",CSV
202012,1,2200,202012,3,1200,154601,931869,ALASKA,2,2020,December,Debris Flow,C,19,HAINES BOROUGH,AJK,01-DEC-20 22:00:00,AKST-9,03-DEC-20 12:00:00,0,0,2,0,20.30M,0.00K,Emergency Manager,,,Heavy Rain / Snow Melt,,,,,,,,,7.26,S,HAINES,7.71,W,KLUKWAN,59.1249,-135.4334,59.4025,-136.4989,"A large plume of concentrated moisture or Atmospheric River (AR) with an associated low-pressure system moved across the Pacific Ocean and transported tropical moisture from the southwest which impacted Southeast Alaska (SEAK) from December 1st through December 2nd. This event brought widespread significant, and sometimes historic record setting rainfall to locations across Southeast Alaska. There were multiple waves along the main front to produce a quasi-stationary front and allowed heavy precipitation to persist over the panhandle for a long duration. Rainfall amounts were as high as over 15 at Little Port Walter with most other locations reporting 5 to 12 over the 2 days. Juneau, Skagway and Haines airports broke their all time daily precipitation record on December 1st along with the all time 2 day total when both days are combined. Rainfall intensity recurrence intervals  ranged from a 50 to 200 year event when looking at 6,12,24,48 hour time periods. In some locations the precipitation started out as snow, minor accumulations but then changed quickly over to moderate/heavy rain. Significant snowfall did occur mainly at high elevations and along the Haines and Klondike highways before transition to rain as temperatures rose above freezing all the way up to 6000 feet with the impacting warm front. Snow accumulations were very impressive from December 1st into the 2nd with 18 at 800 feet near the Haines US customs border station and a staggering 59 at 2560 feet on Mount Ripinski above Haines. There was persistent precipitation that occured the previous weeks to keep the soils on the wet side. The heavy precipitation and warm temperatures melted snow that had already accumulated on the ground at sea level then as the snow level climbed above the mountain top this increased the amount of runoff significantly from the mountains. All the excess runoff resulted in significant and in places record flooding of roads and homes, erosion that damaged roads and infrastructure, and widespread mass wasting events such as landslides and debris flows. Most of these impacts were reported to have started in the early morning hours of December 2nd and persist into December 3rd or longer. The northern half of Southeast Alaska saw most if not all of these impacts with a few specific rivers, Salmon River in Gustavus and Jordan Creek in Juneau, seeing record river stage values. Widespread damaging debris flows impacted Juneau, Skagway and Haines that took out roads, destroyed homes and caused 2 fatalities in Haines. ��To go along with the heavy precipitation there was also very strong damaging winds as the waves moved along the front over the panhandle. These strong winds damaged power lines from falling trees.��In total there were about 7 communities (Haines, Juneau, Skagway, Gustavus, Hoonah, Tenakee Springs, and Hyder) that declared a disaster from this event.","As the atmospheric river moved over the far north central inner channels of Southeast Alaska it produced significant amount of precipitation from December 1st-2nd. Heavy to moderate rainfall persisted over 48 hours with the highest amounts coming during the afternoon hours of December 1 through late morning of December 2nd. By mid morning on December 1st, near 2 of precipitation already fell. The snow levels were low at the start of the event with a few inches at sea level in Haines but as much as 12 was reported at 800 feet by the Haines40NW COOP and 20 at the 2500 foot Flower Mt SNOTEL site by the morning of December 1st. Closer to Haines, the Ripinski ridge weather station at 2560 feet reported an estimated snow accumulation of near 59 from before the warm air moved into the area. The snow level rose rapidly through the evening of December 1st to be above the mountain tops by the early morning hours of December 2nd. This warming at elevation melted the fresh snow that fell with Ripinkis Ridge losing close to 30 and Flower Mt losing near 20 by the afternoon of December 2nd. By the end of December 1st the Haines airport reported a 24 hour precipitation amount of 5.49 which was a 25 to 50 year event and broke the all time daily precipitation record from 1946. The Haines COOP reported at 7am AKST on December 2nd a 24 hour amount of 6.62 which also broke the all time daily precipitation record from 2005. Haines40NW COOP along the Haines Hwy reported at 7am AKST on December 2nd a 24 hour precipitation amount of 5.23 a new all time daily precipitation record beating out 1999 and a 25 year event. From December 1st to the 2nd precipitation amounts from the downtown Haines COOP were 8.54���,  Haines Airport 10.26��� a 200-500 year event, and the Haines40NW COOP 8.12��� a 50-100 year event, were all time 48 hours precipitation records. From December 1st to 3rd 10 to 10.50 of precipitation fell from downtown Haines to the Haines border with a 100 to 200 year event. All of this heavy rainfall and snow melt produced significant impacts in the Haines area. In the early hours of December 2 after all-time record rainfall, saturated soils, and a deep snowpack, a second impulse of heavy precipitation moved over the area, and the snow level rose above 2500ft. The rising snow level began to melt the fresh snowfall at high elevation to produce significant amount of runoff that overwhelmed drainage ditches and culverts. The intense runoff began to erode the roads at the base of Ripinski Ridge and by day break there was significant infrastructure damage to all roads near Ripinski ridge which left Piedad Rd, Cathedral View Dr, Allen Rd, Comstock Rd, 4th ave,Young Rd to name a few that were impassable as the roads were washed away from erosion. There was also significant flooding away from the steep terrain from poor drainage not keeping up with the amount of runoff. Up to 4 feet of water flooded the Haines Hitch-Up RV park along with flooding across places at the Haines airport essentially closing it down to flights.  To go along with the major road infrastructure damage there were a number significant major debris flows from the intense precipitation, super saturated soils and strong winds to help trigger the slides that blocked roads and damaged homes near steep terrain. Haines was cut off from the Canadian Border and the airport due to debris flows blocking the Haines Hwy. There were also multiple debris flows along Lutak Rd that damaged the Lutak fuel Dock, blocked the road in multiple locations and isolated residence in a subdivision at the end of the road. A few homes at the end of Lutak Rd we significantly damaged from debris flows coming down behind their homes with one getting pushed off its foundation, another with debris in the house and another with minor damage. Mud Bay Rd was blocked by a debris flow which isolated another part of town. A large avalanche came down into Chilkat Lake out the Haines Hwy that damaged a few homes. Residence in the affected areas and other locations near steep terrain were evacuated to emergency shelters throughout the morning of December 2. Heavy rain continued into the afternoon hours and around 130pm AKST a massive landslide occurred along Beach Rd that took out a 200 yard section of the road, destroyed 2 homes while causing major damage to another. One of the destroyed homes was not occupied but the other had to 2 people inside. The 2 people perished from the landslide or what the geologist are calling a geologic mass wasting event. There were about a half dozen homes on the south side of the slide that were evacuated due to the threat of another very large landside.  It continued to be very wet with freezing levels going up and down to keep increase runoff not just from the precipitation but also from snow melt for the next week with a 7 day total of 14.85 which is a near 150 year event. The continue precipitation on the super saturated soils kept the threat of more debris flows high through December 7th. There was some minor movements of a home near an old landslide from 2012 called the slump area. This was one of the most impactful flooding and debris flow event since 2005 or ever and the data backups extreme impacts. The city of Haines declared a disaster for this event from the widespread and extensive infrastructure damage, 2 homes destroyed, 7 homes with major damage, 16 homes with minor damage with another 12 home adversely affected from the area damage and the 2 deaths. The governor of Alaska also declared a disaster emergency for Southeast Alaska from the impacts of this event.",CSV
202012,1,1200,202012,2,2300,154601,931868,ALASKA,2,2020,December,Flood,C,21,HOONAH CHANNELS,AJK,01-DEC-20 12:00:00,AKST-9,02-DEC-20 23:00:00,0,0,0,0,674.00K,0.00K,State Official,,,Heavy Rain / Snow Melt,,,,,,,,,6.28,W,HOONAH,6.51,S,HOONAH,58.119,-135.6221,57.8515,-135.5145,"A large plume of concentrated moisture or Atmospheric River (AR) with an associated low-pressure system moved across the Pacific Ocean and transported tropical moisture from the southwest which impacted Southeast Alaska (SEAK) from December 1st through December 2nd. This event brought widespread significant, and sometimes historic record setting rainfall to locations across Southeast Alaska. There were multiple waves along the main front to produce a quasi-stationary front and allowed heavy precipitation to persist over the panhandle for a long duration. Rainfall amounts were as high as over 15 at Little Port Walter with most other locations reporting 5 to 12 over the 2 days. Juneau, Skagway and Haines airports broke their all time daily precipitation record on December 1st along with the all time 2 day total when both days are combined. Rainfall intensity recurrence intervals  ranged from a 50 to 200 year event when looking at 6,12,24,48 hour time periods. In some locations the precipitation started out as snow, minor accumulations but then changed quickly over to moderate/heavy rain. Significant snowfall did occur mainly at high elevations and along the Haines and Klondike highways before transition to rain as temperatures rose above freezing all the way up to 6000 feet with the impacting warm front. Snow accumulations were very impressive from December 1st into the 2nd with 18 at 800 feet near the Haines US customs border station and a staggering 59 at 2560 feet on Mount Ripinski above Haines. There was persistent precipitation that occured the previous weeks to keep the soils on the wet side. The heavy precipitation and warm temperatures melted snow that had already accumulated on the ground at sea level then as the snow level climbed above the mountain top this increased the amount of runoff significantly from the mountains. All the excess runoff resulted in significant and in places record flooding of roads and homes, erosion that damaged roads and infrastructure, and widespread mass wasting events such as landslides and debris flows. Most of these impacts were reported to have started in the early morning hours of December 2nd and persist into December 3rd or longer. The northern half of Southeast Alaska saw most if not all of these impacts with a few specific rivers, Salmon River in Gustavus and Jordan Creek in Juneau, seeing record river stage values. Widespread damaging debris flows impacted Juneau, Skagway and Haines that took out roads, destroyed homes and caused 2 fatalities in Haines. ��To go along with the heavy precipitation there was also very strong damaging winds as the waves moved along the front over the panhandle. These strong winds damaged power lines from falling trees.��In total there were about 7 communities (Haines, Juneau, Skagway, Gustavus, Hoonah, Tenakee Springs, and Hyder) that declared a disaster from this event.","As the atmospheric river moved over the Hoonah and Tenakee Springs area in the early morning hours of December 1st through mid morning of December 2nd it produced significant amount of precipitation. In the first 12 hours of the event 2.5 of precipitation fell with some of that falling as snow at higher elevations. More warm and moist air moved over the region into the evening hours of the 1st and persisted into the early morning of the 2nd. More heavy precipitation fell through this time frame and produces significant runoff as the ground was totally saturated as well as runoff from snowmelt.  The Hoonah COOP observer reported 4.70 on December 2nd a all time daily precipitation record and a 50 to 100 year event. It was also a 2 day all time precipitation record of 7.18 for December 1st and 2nd which is a 200 to 500 year event. At the Hoonah RAWS weather station, close to Tenakee Springs, it reported 6.9 in 24 hours and 8.74 in 48 hours which are both a 100-200 year event. During the heaviest precipitation of the event, the evening of December 1st, 3.7 in 12hrs was reported at the Hoonah RAWS with is a 10-25 year event. All of this heavy rainfall along with snowmelt overwhelmed the water treatment plant in Hoonah and damaged the system from debris from the runoff. Also there was extensive damage to roads and culverts from large amount of erosion and debris on roadways. From these impacts a disaster declaration was issued.",CSV
202001,6,1434,202001,7,200,144777,871614,ALASKA,2,2020,January,Heavy Snow,Z,25,JUNEAU BOROUGH AND NORTHERN ADMIRALTY ISLAND,AJK,06-JAN-20 14:34:00,AKST-9,07-JAN-20 02:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Small compact low and associated frontal band spreads snow across the North Central Panhandle.,"Various reports around town in Juneau. Waste water Co-op got 7.2. West Juneau recieved 7.5 inches. The Juneau Forecast office got 7.5 inches.  In a colder valley south of town, the Snettisham power plant recorded 13.6 inches of snow.",CSV
202001,30,600,202001,30,1000,145220,872048,ALASKA,2,2020,January,High Wind,Z,26,INNER CHANNELS FROM KUPREANOF ISLAND TO ETOLIN ISLAND,AJK,30-JAN-20 06:00:00,AKST-9,30-JAN-20 10:00:00,0,0,0,0,0.00K,0.00K,ASOS,56.00,MG,,,,,,,,,,,,,,,,,,,,A low pressure system with a strong front and sharp wind shift to the west caused high winds over the southern panhandle with damage. As it moved northward heavy snow fell over the Juneau to Icy Strait corridor. This was the second of two strong storms back to back.,Zarembo RAWS station measured gust of 62 MPH at 655 AM and a peak gust of 65 MPH at 955 AM.,CSV
202001,30,400,202001,30,1630,145220,872050,ALASKA,2,2020,January,Heavy Snow,Z,22,SALISBURY SOUND TO CAPE FAIRWEATHER COASTAL AREA,AJK,30-JAN-20 04:00:00,AKST-9,30-JAN-20 16:30:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,A low pressure system with a strong front and sharp wind shift to the west caused high winds over the southern panhandle with damage. As it moved northward heavy snow fell over the Juneau to Icy Strait corridor. This was the second of two strong storms back to back.,Pelican measured 7.5 inches of snow with showers still occurring.,CSV
202001,30,600,202001,30,1600,145220,872130,ALASKA,2,2020,January,Heavy Snow,Z,25,JUNEAU BOROUGH AND NORTHERN ADMIRALTY ISLAND,AJK,30-JAN-20 06:00:00,AKST-9,30-JAN-20 16:00:00,0,0,0,0,0.00K,0.00K,NWS Employee,,,,,,,,,,,,,,,,,,,,,,A low pressure system with a strong front and sharp wind shift to the west caused high winds over the southern panhandle with damage. As it moved northward heavy snow fell over the Juneau to Icy Strait corridor. This was the second of two strong storms back to back.,The Juneau area saw 6 to 12 inches of snow in about 10 hours. The Juneau airport closed for a period of time due to very heavy rates and could not keep up with snow removal. The school district cancelled afternoon activities. AEL&P reported a power outage due to snow on tree branches and lines out the road.,CSV
202001,29,600,202001,29,1500,145156,871642,ALASKA,2,2020,January,Blizzard,Z,131,NERN P.W. SND,AFC,29-JAN-20 06:00:00,AKST-9,29-JAN-20 15:00:00,0,0,0,0,0.00K,0.00K,Department of Highways,,,,,,,,,,,,,,,,,,,,,,"A low pressure system in the North Pacific developed rapidly as it moved northward into the Gulf of Alaska. High pressure over eastern Russia and the Bering Sea fueled this system with cold air, enhancing winds and bringing snow to the coastal regions.",Thompson Pass DOT station reported 50 mph winds and visibility less than a quarter mile. Road conditions were very difficult.,CSV
202001,29,1202,202001,29,1715,145156,871643,ALASKA,2,2020,January,Blizzard,Z,125,WRN P.W. SND & KENAI MTNS,AFC,29-JAN-20 12:02:00,AKST-9,29-JAN-20 17:15:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,"A low pressure system in the North Pacific developed rapidly as it moved northward into the Gulf of Alaska. High pressure over eastern Russia and the Bering Sea fueled this system with cold air, enhancing winds and bringing snow to the coastal regions.","Portage AWOS recorded 5 hours of blizzard conditions. Heavy snow and blowing snow continued through the afternoon, although visibilities improved.",CSV
202001,26,310,202001,28,10,145029,870882,ALASKA,2,2020,January,Blizzard,Z,131,NERN P.W. SND,AFC,26-JAN-20 03:10:00,AKST-9,28-JAN-20 00:10:00,0,0,0,0,0.00K,0.00K,Department of Highways,,,,,,,,,,,,,,,,,,,,,,"A low pressure system moved northward into Prince William Sound from the Gulf of Alaska, then remained nearly stationary as it weakened. Cold air over the Copper River Basin helped enhance winds through Thompson Pass north of Valdez, causing blizzard conditions.","Thompson Pass DOT camp reported a dusting of new snow, bringing visibility down to 1/4 sm. Winds were already gusting to 50 mph. Wind chills reached -45��F.",CSV
