BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200101,19,1040,200101,19,1050,1110441,5228487,ALABAMA,1,2001,January,Thunderstorm Wind,C,45,DALE,TAE,19-JAN-01 10:40:00,EST,19-JAN-01 10:50:00,0,0,0,0,1K,,EMERGENCY MANAGER,,,,,,,,,,,,,,COUNTYWIDE,,,COUNTYWIDE,31.38333,-85.63333,31.38333,-85.63333,,Several trees down across county roads.  Reported by the Dale County EMA.,PDS
200101,19,1205,200101,19,1205,1110441,5228488,ALABAMA,1,2001,January,Thunderstorm Wind,C,61,GENEVA,TAE,19-JAN-01 12:05:00,EST,19-JAN-01 12:05:00,0,0,0,0,600K,,EMERGENCY MANAGER,,,,,,,,,,,,1,W,GENEVA,1,W,GENEVA,31.03333,-85.9,31.03333,-85.9,,"Roof damage to 30 homes and eight mobile homes, 15 cars damaged, a high school's roof and wall toppled, roof damage to a water treatment plant, and numerous trees and power lines down.  Reported by the Geneva County EMA.",PDS
200101,19,1458,200101,19,1458,1110441,5228489,ALABAMA,1,2001,January,Thunderstorm Wind,C,67,HENRY,TAE,19-JAN-01 14:58:00,EST,19-JAN-01 14:58:00,0,0,0,0,1K,,FIRE DEPT/RESCUE SQUAD,,,,,,,,,,,,8,SSE,HALEBURG,8,SSE,HALEBURG,31.3,-85.08333,31.3,-85.08333,,Several trees down.  Reported by the Henry County EMA.,PDS
200101,1,300,200101,1,900,1110293,5228047,ALABAMA,1,2001,January,Winter Storm,Z,55,MONROE,MOB,01-JAN-01 03:00:00,CST,01-JAN-01 09:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"A Winter Storm produced a band of snow across portions of Southwest Alabama.   One-half to one  inch of snowfall accumulated generally along and north of a Chatom to Camden line.    Some locations between Butler and Thomasville reported snowfall accumulations of about one inch.  The wintery weather resulted in no injuries, and travel across the region was not significantly impacted.",,PDS
200101,1,300,200101,1,900,1110293,5228048,ALABAMA,1,2001,January,Winter Storm,Z,52,WASHINGTON,MOB,01-JAN-01 03:00:00,CST,01-JAN-01 09:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"A Winter Storm produced a band of snow across portions of Southwest Alabama.   One-half to one  inch of snowfall accumulated generally along and north of a Chatom to Camden line.    Some locations between Butler and Thomasville reported snowfall accumulations of about one inch.  The wintery weather resulted in no injuries, and travel across the region was not significantly impacted.",,PDS
200101,1,300,200101,1,900,1110293,5228049,ALABAMA,1,2001,January,Winter Storm,Z,54,WILCOX,MOB,01-JAN-01 03:00:00,CST,01-JAN-01 09:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"A Winter Storm produced a band of snow across portions of Southwest Alabama.   One-half to one  inch of snowfall accumulated generally along and north of a Chatom to Camden line.    Some locations between Butler and Thomasville reported snowfall accumulations of about one inch.  The wintery weather resulted in no injuries, and travel across the region was not significantly impacted.",,PDS
200101,19,710,200101,19,715,1110282,5227923,ALABAMA,1,2001,January,Thunderstorm Wind,C,129,WASHINGTON,MOB,19-JAN-01 07:10:00,CST,19-JAN-01 07:15:00,0,0,0,0,10K,,LAW ENFORCEMENT,55,E,,,,,,,,,,,,CHATOM,,,CHATOM,31.46667,-88.25,31.46667,-88.25,,High thunderstorm winds downed trees and power lines in the community.,PDS
200101,19,720,200101,19,725,1110283,5227924,ALABAMA,1,2001,January,Thunderstorm Wind,C,129,WASHINGTON,MOB,19-JAN-01 07:20:00,CST,19-JAN-01 07:25:00,0,0,0,0,8K,,LAW ENFORCEMENT,55,E,,,,,,,,,,,,MC INTOSH,,,MC INTOSH,31.26667,-88.03333,31.26667,-88.03333,,Thunderstorm winds blew down trees along Highway 43 near McIntosh.,PDS
200101,1,300,200101,1,900,1110293,5228044,ALABAMA,1,2001,January,Winter Storm,Z,51,CHOCTAW,MOB,01-JAN-01 03:00:00,CST,01-JAN-01 09:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"A Winter Storm produced a band of snow across portions of Southwest Alabama.   One-half to one  inch of snowfall accumulated generally along and north of a Chatom to Camden line.    Some locations between Butler and Thomasville reported snowfall accumulations of about one inch.  The wintery weather resulted in no injuries, and travel across the region was not significantly impacted.",,PDS
200101,1,300,200101,1,900,1110293,5228045,ALABAMA,1,2001,January,Winter Storm,Z,53,CLARKE,MOB,01-JAN-01 03:00:00,CST,01-JAN-01 09:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"A Winter Storm produced a band of snow across portions of Southwest Alabama.   One-half to one  inch of snowfall accumulated generally along and north of a Chatom to Camden line.    Some locations between Butler and Thomasville reported snowfall accumulations of about one inch.  The wintery weather resulted in no injuries, and travel across the region was not significantly impacted.",,PDS
200101,1,300,200101,1,900,1110293,5228046,ALABAMA,1,2001,January,Winter Storm,Z,39,MARENGO,MOB,01-JAN-01 03:00:00,CST,01-JAN-01 09:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"A Winter Storm produced a band of snow across portions of Southwest Alabama.   One-half to one  inch of snowfall accumulated generally along and north of a Chatom to Camden line.    Some locations between Butler and Thomasville reported snowfall accumulations of about one inch.  The wintery weather resulted in no injuries, and travel across the region was not significantly impacted.",,PDS
200101,19,950,200101,19,955,1110288,5228039,ALABAMA,1,2001,January,Thunderstorm Wind,C,13,BUTLER,MOB,19-JAN-01 09:50:00,CST,19-JAN-01 09:55:00,0,0,0,0,5K,,EMERGENCY MANAGER,55,E,,,,,,,,,,,,FOREST HOME,,,FOREST HOME,31.86667,-86.83333,31.86667,-86.83333,,High thunderstorm winds blew down trees northwest of Forest Home.,PDS
200101,19,955,200101,19,1000,1110289,5228040,ALABAMA,1,2001,January,Thunderstorm Wind,C,41,CRENSHAW,MOB,19-JAN-01 09:55:00,CST,19-JAN-01 10:00:00,0,0,0,0,5K,,EMERGENCY MANAGER,55,E,,,,,,,,,,,,HONORAVILLE,,,HONORAVILLE,31.9,-86.4,31.9,-86.4,,Trees were blown down north of the community by strong thunderstorm winds.,PDS
200101,29,1540,200101,29,1545,1110291,5228042,ALABAMA,1,2001,January,Thunderstorm Wind,C,91,MARENGO,MOB,29-JAN-01 15:40:00,CST,29-JAN-01 15:45:00,0,0,0,0,3K,,EMERGENCY MANAGER,55,E,,,,,,,,,,,,LINDEN,,,LINDEN,32.3,-87.8,32.3,-87.8,,Several trees were blown down along State Road 69 as thunderstorms moved through the area.,PDS
200101,19,730,200101,19,735,1110284,5227925,ALABAMA,1,2001,January,Thunderstorm Wind,C,97,MOBILE,MOB,19-JAN-01 07:30:00,CST,19-JAN-01 07:35:00,0,0,0,0,2K,,NWS EMPLOYEE(OFF DUTY),55,E,,,,,,,,,,,,MOBILE,,,MOBILE,30.7,-88.08333,30.7,-88.08333,,A couple of trees were reported blown down by high thunderstorm winds at locations south and west of the Mobile Regional Airport.,PDS
200101,19,745,200101,19,750,1110285,5227926,ALABAMA,1,2001,January,Thunderstorm Wind,C,25,CLARKE,MOB,19-JAN-01 07:45:00,CST,19-JAN-01 07:50:00,0,0,0,0,15K,,EMERGENCY MANAGER,60,E,,,,,,,,,,,,THOMASVILLE,,,THOMASVILLE,31.91667,-87.73333,31.78333,-87.73333,,"Numerous trees and some power lines were blown down, and some minor roof damage also occurred as a line of severe thunderstorms moved across the area.  Most of the wind damage occurred just east of Highway 43, along Basset Creek, between Thomasville and Fulton.",PDS
200101,19,805,200101,19,810,1110286,5227927,ALABAMA,1,2001,January,Thunderstorm Wind,C,131,WILCOX,MOB,19-JAN-01 08:05:00,CST,19-JAN-01 08:10:00,0,0,0,0,5K,,EMERGENCY MANAGER,50,E,,,,,,,,,,,,PINE HILL,,,PINE HILL,31.98333,-87.58333,31.98333,-87.58333,,Trees were reported downed by strong thunderstorm winds just south of the community.,PDS
200112,14,45,200112,14,50,1125552,5275549,ALABAMA,1,2001,December,Thunderstorm Wind,C,97,MOBILE,MOB,14-DEC-01 00:45:00,CST,14-DEC-01 00:50:00,0,0,0,0,25K,,BROADCAST MEDIA,60,E,,,,,,,,,,,,BUCKS,,,BUCKS,31.01667,-88.05,31.01667,-88.05,,Strong thunderstorm winds produced minor damage to a manufactured home on Highway 43 near Bucks.  Slightly  more significant damage to a nearby outbuilding and a small boat which was sitting near the outbuilding also occurred.,PDS
200101,19,930,200101,19,930,1110693,5231095,ALABAMA,1,2001,January,Thunderstorm Wind,C,51,ELMORE,BMX,19-JAN-01 09:30:00,CST,19-JAN-01 09:30:00,0,0,0,0,3K,0K,BROADCAST MEDIA,50,E,,,,,,,,,,,,ECLECTIC,,,ECLECTIC,32.63333,-86.03333,32.63333,-86.03333,,Trees and power lines were knocked down in Eclectic.,PDS
200101,29,1520,200101,29,1520,1110694,5231096,ALABAMA,1,2001,January,Thunderstorm Wind,C,125,TUSCALOOSA,BMX,29-JAN-01 15:20:00,CST,29-JAN-01 15:20:00,0,0,0,0,1K,0K,EMERGENCY MANAGER,50,E,,,,,,,,,,,,TUSCALOOSA,,,TUSCALOOSA,33.2,-87.56667,33.2,-87.56667,,Trees were blown down in the northern part of Tuscaloosa.,PDS
