BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201501,8,700,201501,8,1100,91710,549619,ARKANSAS,5,2015,January,Cold/Wind Chill,Z,5,BAXTER,LZK,08-JAN-15 07:00:00,CST-6,08-JAN-15 11:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"Arctic high pressure dove south across the plains into the southerh Mississippi Valley region, bringing very cold conditions to the state on the 7th and 8th of January. Many locations saw temperatures drop into the single digits across northern Arkansas, with even some temperatures falling below zero in a few isolated areas. Wind chill values were the bigger story as many locations across northern and portions of central Arkansas saw wind chills dip below zero for several hours during the evening of the 7th and morning of the 8th.",Cold surface temperatures combined with a brisk north wind caused wind chills to drop below zero for several hours during the morning of the 8th.,CSV
201501,7,2200,201501,8,300,91710,549621,ARKANSAS,5,2015,January,Cold/Wind Chill,Z,25,JACKSON,LZK,07-JAN-15 22:00:00,CST-6,08-JAN-15 03:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"Arctic high pressure dove south across the plains into the southerh Mississippi Valley region, bringing very cold conditions to the state on the 7th and 8th of January. Many locations saw temperatures drop into the single digits across northern Arkansas, with even some temperatures falling below zero in a few isolated areas. Wind chill values were the bigger story as many locations across northern and portions of central Arkansas saw wind chills dip below zero for several hours during the evening of the 7th and morning of the 8th.",Cold surface temperatures combined with a brisk north wind caused wind chills to drop below zero for several hours during the late evening hours of the 7th into the early morning hours of the 8th.,CSV
201501,8,300,201501,8,700,91710,549623,ARKANSAS,5,2015,January,Cold/Wind Chill,Z,44,PULASKI,LZK,08-JAN-15 03:00:00,CST-6,08-JAN-15 07:00:00,0,0,0,0,0.00K,0.00K,Official NWS Observations,,,,,,,,,,,,,,,,,,,,,,"Arctic high pressure dove south across the plains into the southerh Mississippi Valley region, bringing very cold conditions to the state on the 7th and 8th of January. Many locations saw temperatures drop into the single digits across northern Arkansas, with even some temperatures falling below zero in a few isolated areas. Wind chill values were the bigger story as many locations across northern and portions of central Arkansas saw wind chills dip below zero for several hours during the evening of the 7th and morning of the 8th.",Cold surface temperatures combined with a brisk north wind caused wind chills to drop below zero for several hours during morning hours of the 8th at the North Little Rock Airport.,CSV
201501,11,400,201501,11,1000,93012,557923,ARKANSAS,5,2015,January,Winter Weather,Z,8,RANDOLPH,MEG,11-JAN-15 04:00:00,CST-6,11-JAN-15 10:00:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,"Warm air advection showers developed over Northeast Arkansas and the Missouri Bootheel during the morning hours of January 11th, 2015. Temperatures were at or below freezing due to an arctic air mass in place. This allowed precipitation to fall as freezing rain. Light icing occurred on trees, vehicles, and elevated roadways. Several accidents were reported.",Light freezing rain occurred across the county during the morning hours.,CSV
201501,11,400,201501,11,1000,93012,557924,ARKANSAS,5,2015,January,Winter Weather,Z,18,GREENE,MEG,11-JAN-15 04:00:00,CST-6,11-JAN-15 10:00:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,"Warm air advection showers developed over Northeast Arkansas and the Missouri Bootheel during the morning hours of January 11th, 2015. Temperatures were at or below freezing due to an arctic air mass in place. This allowed precipitation to fall as freezing rain. Light icing occurred on trees, vehicles, and elevated roadways. Several accidents were reported.",Light freezing rain occurred across the county during the morning hours.,CSV
201501,11,0,201501,11,900,91627,549117,ARKANSAS,5,2015,January,Winter Weather,Z,72,COLUMBIA,SHV,11-JAN-15 00:00:00,CST-6,11-JAN-15 09:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"A cold arctic airmass filtered into the region in the preceding days of January 11th with temperatures mostly in the lower 30s. An overrunning moist airmass resulted in the development of mostly light rain across Southeast Oklahoma, Southwest Arkansas and the Northern third of Northeast Texas. After midnight on the 11th, this precipitation became light freezing rain but due to the temperature being at or just below freezing, ice accumulation was relegated to trees and elevated exposed objects including powerlines and some bridge surfaces. Ice accumulations were mostly near one tenth of an inch across the region.",,CSV
201501,11,0,201501,11,900,91627,549119,ARKANSAS,5,2015,January,Winter Weather,Z,51,HOWARD,SHV,11-JAN-15 00:00:00,CST-6,11-JAN-15 09:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"A cold arctic airmass filtered into the region in the preceding days of January 11th with temperatures mostly in the lower 30s. An overrunning moist airmass resulted in the development of mostly light rain across Southeast Oklahoma, Southwest Arkansas and the Northern third of Northeast Texas. After midnight on the 11th, this precipitation became light freezing rain but due to the temperature being at or just below freezing, ice accumulation was relegated to trees and elevated exposed objects including powerlines and some bridge surfaces. Ice accumulations were mostly near one tenth of an inch across the region.",,CSV
201501,11,0,201501,11,900,91627,549118,ARKANSAS,5,2015,January,Winter Weather,Z,60,HEMPSTEAD,SHV,11-JAN-15 00:00:00,CST-6,11-JAN-15 09:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"A cold arctic airmass filtered into the region in the preceding days of January 11th with temperatures mostly in the lower 30s. An overrunning moist airmass resulted in the development of mostly light rain across Southeast Oklahoma, Southwest Arkansas and the Northern third of Northeast Texas. After midnight on the 11th, this precipitation became light freezing rain but due to the temperature being at or just below freezing, ice accumulation was relegated to trees and elevated exposed objects including powerlines and some bridge surfaces. Ice accumulations were mostly near one tenth of an inch across the region.",,CSV
201501,11,0,201501,11,900,91627,549120,ARKANSAS,5,2015,January,Winter Weather,Z,71,LAFAYETTE,SHV,11-JAN-15 00:00:00,CST-6,11-JAN-15 09:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"A cold arctic airmass filtered into the region in the preceding days of January 11th with temperatures mostly in the lower 30s. An overrunning moist airmass resulted in the development of mostly light rain across Southeast Oklahoma, Southwest Arkansas and the Northern third of Northeast Texas. After midnight on the 11th, this precipitation became light freezing rain but due to the temperature being at or just below freezing, ice accumulation was relegated to trees and elevated exposed objects including powerlines and some bridge surfaces. Ice accumulations were mostly near one tenth of an inch across the region.",,CSV
201501,11,0,201501,11,900,91627,549121,ARKANSAS,5,2015,January,Winter Weather,Z,59,LITTLE RIVER,SHV,11-JAN-15 00:00:00,CST-6,11-JAN-15 09:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"A cold arctic airmass filtered into the region in the preceding days of January 11th with temperatures mostly in the lower 30s. An overrunning moist airmass resulted in the development of mostly light rain across Southeast Oklahoma, Southwest Arkansas and the Northern third of Northeast Texas. After midnight on the 11th, this precipitation became light freezing rain but due to the temperature being at or just below freezing, ice accumulation was relegated to trees and elevated exposed objects including powerlines and some bridge surfaces. Ice accumulations were mostly near one tenth of an inch across the region.",,CSV
201501,8,500,201501,8,1100,91710,549614,ARKANSAS,5,2015,January,Cold/Wind Chill,Z,3,BOONE,LZK,08-JAN-15 05:00:00,CST-6,08-JAN-15 11:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"Arctic high pressure dove south across the plains into the southerh Mississippi Valley region, bringing very cold conditions to the state on the 7th and 8th of January. Many locations saw temperatures drop into the single digits across northern Arkansas, with even some temperatures falling below zero in a few isolated areas. Wind chill values were the bigger story as many locations across northern and portions of central Arkansas saw wind chills dip below zero for several hours during the evening of the 7th and morning of the 8th.",Cold surface temperatures combined with a brisk north wind caused wind chills to drop below zero for several hours during the morning of the 8th.,CSV
