BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202002,20,0,202002,20,300,145038,897843,AMERICAN SAMOA,97,2020,February,Coastal Flood,Z,2,TUTUILA,ASO,20-FEB-20 00:00:00,SST-11,20-FEB-20 03:00:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,"Tropical Depression 09F originally formed northwest of Savaii in an expansive area of deep convection and tropical instability, which was reflected well in the rapidly cooling cloud top temperatures noted on IR satellite. TD 09F moved through American Samoa���s area of responsibility (AOR) Thursday morning (Feb 20th) before Fiji Met Services named the system Tropical Storm Vicky (1205pm Thurs afternoon). A Tropical Storm Watch issued Thursday,  was for another developing tropical system northwest of Savaii, 98P, which eventually became known as Tropical Storm Wasi.||The system generated a period of strong winds across American Samoa Thursday morning, between 30 to 50 mph with gusts in the 60s.  At NWS Pago Pago, highest wind observations Thursday morning (around 8am and 9am) were sustained at 46 mph with gusts to 75 mph.||American Samoa Power Authority (ASPA) reported���.25 customers sustained damage to their house and meters,  Power outages reported in villages Tutuila, Manua and Aunuu. Over 300 people were in emergency shelters. 50 people from Onenoa were housed in an emergency shelter, result of their home being washed over by waves. Hawaiian Air announced that they would not operate additional flights through the weekend. Samoa Airways and Talofa Air both suspended flights to American Samoa in the wake of Tropical Storm Vicky and in advance of Tropical Storm Wasi. Pago Pago International Airport extended its closure.||The extensive amounts of damage experienced on American Samoa���s Islands the weekend prior, by the strong winds Saturday night (Feb 15) through Monday (Feb 17), is what likely lessened storm damage experienced with Tropical Storm Vicky Thursday (Feb 20), and eventually during the weekend with Tropical Storm Wasi.","Near 50 people in Onenoa were housed in an emergency shelter, result of homes being washed over by waves.",CSV
202002,16,1401,202002,16,1401,145028,870875,AMERICAN SAMOA,97,2020,February,High Wind,Z,2,TUTUILA,ASO,16-FEB-20 14:01:00,SST-11,16-FEB-20 14:01:00,0,0,0,0,5.00K,5.00K,Official NWS Observations,51.00,MG,,,,,,,,,,,,,,,,,,,,"An extremely active monsoonal trough in the region of American Samoa, generated an extended period of damaging winds, high surf and flooding rains. Moderate values of mid level shear and stable flow into the eastern portions of the area of responsibility hindered any one tropical circulation from developing within the trough. Therefore, there was no named tropical feature with this event. The extensive amounts of damage noted during this period, is what likely lessened storm damage experienced as Tropical Storm Vicky and Tropical Storm Wasi developed later in the week.||An extended period of sustained winds 35 to 45 mph with frequent gusts 65 to 70 mph, generated widespread damage across the American Samoan Island chain. Strong winds began over Manua Saturday Feb 15th with all of American Samoa experiencing damage Sunday Feb 16th, through early Monday Feb 17th. During this time several reports of roof damage, downed trees, downed power lines and power outages, and rock slides.",NWS Pago Pago official observation.,CSV
202003,19,0,202003,20,0,145631,874511,AMERICAN SAMOA,97,2020,March,High Surf,Z,2,TUTUILA,ASO,19-MAR-20 00:00:00,SST-11,20-MAR-20 00:00:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,A storm near New Zealand produced large swells with long periods that impacted the southern shores of American Samoa.,Reports of a reef fisherman swept out to sea around 5 PM SST on the 19th. This report was observed on social media and confirmed by the Emergency Operations Center. There were also numerous reports/observations of waves and ocean debris on main roads that impacted south facing shores across the island. Periods of up to 20 seconds were observed by the Aunu'u PacIOOS buoy during this event.,CSV
202002,17,0,202002,17,2300,145028,897842,AMERICAN SAMOA,97,2020,February,Heavy Rain,C,2,TUTUILA,ASO,17-FEB-20 00:00:00,SST-11,17-FEB-20 23:00:00,0,0,0,0,30.00K,1.00K,Emergency Manager,,,,,,,,,,,,78.65,E,PAGO PAGO,78.71,E,PAGO PAGO,-14.2164,-169.4287,-14.2248,-169.4272,"An extremely active monsoonal trough in the region of American Samoa, generated an extended period of damaging winds, high surf and flooding rains. Moderate values of mid level shear and stable flow into the eastern portions of the area of responsibility hindered any one tropical circulation from developing within the trough. Therefore, there was no named tropical feature with this event. The extensive amounts of damage noted during this period, is what likely lessened storm damage experienced as Tropical Storm Vicky and Tropical Storm Wasi developed later in the week.||An extended period of sustained winds 35 to 45 mph with frequent gusts 65 to 70 mph, generated widespread damage across the American Samoan Island chain. Strong winds began over Manua Saturday Feb 15th with all of American Samoa experiencing damage Sunday Feb 16th, through early Monday Feb 17th. During this time several reports of roof damage, downed trees, downed power lines and power outages, and rock slides.",Road between Ta'u and Fitiuta cut off by a landslide in Manu'a due to 3.8 inches of rain recorded over a 24 hour period.,CSV
202002,16,1400,202002,17,1400,145028,870888,AMERICAN SAMOA,97,2020,February,High Surf,Z,2,TUTUILA,ASO,16-FEB-20 14:00:00,SST-11,17-FEB-20 14:00:00,0,0,0,0,5.00K,0.00K,County Official,,,,,,,,,,,,,,,,,,,,,,"An extremely active monsoonal trough in the region of American Samoa, generated an extended period of damaging winds, high surf and flooding rains. Moderate values of mid level shear and stable flow into the eastern portions of the area of responsibility hindered any one tropical circulation from developing within the trough. Therefore, there was no named tropical feature with this event. The extensive amounts of damage noted during this period, is what likely lessened storm damage experienced as Tropical Storm Vicky and Tropical Storm Wasi developed later in the week.||An extended period of sustained winds 35 to 45 mph with frequent gusts 65 to 70 mph, generated widespread damage across the American Samoan Island chain. Strong winds began over Manua Saturday Feb 15th with all of American Samoa experiencing damage Sunday Feb 16th, through early Monday Feb 17th. During this time several reports of roof damage, downed trees, downed power lines and power outages, and rock slides.","High surf from an extended period of tropical convection 200 to 300 miles northwest of American Samoa and persistent strong northwest flow, generated an extended period of high surf and water piling onshore along American Samoan's north shoreline.",CSV
202002,20,1000,202002,20,1000,145038,870958,AMERICAN SAMOA,97,2020,February,Strong Wind,Z,2,TUTUILA,ASO,20-FEB-20 10:00:00,SST-11,20-FEB-20 10:00:00,0,0,0,0,5.00K,0.00K,Park/Forest Service,45.00,MS,,,,,,,,,,,,,,,,,,,,"Tropical Depression 09F originally formed northwest of Savaii in an expansive area of deep convection and tropical instability, which was reflected well in the rapidly cooling cloud top temperatures noted on IR satellite. TD 09F moved through American Samoa���s area of responsibility (AOR) Thursday morning (Feb 20th) before Fiji Met Services named the system Tropical Storm Vicky (1205pm Thurs afternoon). A Tropical Storm Watch issued Thursday,  was for another developing tropical system northwest of Savaii, 98P, which eventually became known as Tropical Storm Wasi.||The system generated a period of strong winds across American Samoa Thursday morning, between 30 to 50 mph with gusts in the 60s.  At NWS Pago Pago, highest wind observations Thursday morning (around 8am and 9am) were sustained at 46 mph with gusts to 75 mph.||American Samoa Power Authority (ASPA) reported���.25 customers sustained damage to their house and meters,  Power outages reported in villages Tutuila, Manua and Aunuu. Over 300 people were in emergency shelters. 50 people from Onenoa were housed in an emergency shelter, result of their home being washed over by waves. Hawaiian Air announced that they would not operate additional flights through the weekend. Samoa Airways and Talofa Air both suspended flights to American Samoa in the wake of Tropical Storm Vicky and in advance of Tropical Storm Wasi. Pago Pago International Airport extended its closure.||The extensive amounts of damage experienced on American Samoa���s Islands the weekend prior, by the strong winds Saturday night (Feb 15) through Monday (Feb 17), is what likely lessened storm damage experienced with Tropical Storm Vicky Thursday (Feb 20), and eventually during the weekend with Tropical Storm Wasi.",U.S. National Park Service wind data.,CSV
202002,20,800,202002,20,900,145038,870954,AMERICAN SAMOA,97,2020,February,Strong Wind,Z,2,TUTUILA,ASO,20-FEB-20 08:00:00,SST-11,20-FEB-20 09:00:00,0,0,0,0,0.00K,5.00K,Official NWS Observations,40.00,MS,,,,,,,,,,,,,,,,,,,,"Tropical Depression 09F originally formed northwest of Savaii in an expansive area of deep convection and tropical instability, which was reflected well in the rapidly cooling cloud top temperatures noted on IR satellite. TD 09F moved through American Samoa���s area of responsibility (AOR) Thursday morning (Feb 20th) before Fiji Met Services named the system Tropical Storm Vicky (1205pm Thurs afternoon). A Tropical Storm Watch issued Thursday,  was for another developing tropical system northwest of Savaii, 98P, which eventually became known as Tropical Storm Wasi.||The system generated a period of strong winds across American Samoa Thursday morning, between 30 to 50 mph with gusts in the 60s.  At NWS Pago Pago, highest wind observations Thursday morning (around 8am and 9am) were sustained at 46 mph with gusts to 75 mph.||American Samoa Power Authority (ASPA) reported���.25 customers sustained damage to their house and meters,  Power outages reported in villages Tutuila, Manua and Aunuu. Over 300 people were in emergency shelters. 50 people from Onenoa were housed in an emergency shelter, result of their home being washed over by waves. Hawaiian Air announced that they would not operate additional flights through the weekend. Samoa Airways and Talofa Air both suspended flights to American Samoa in the wake of Tropical Storm Vicky and in advance of Tropical Storm Wasi. Pago Pago International Airport extended its closure.||The extensive amounts of damage experienced on American Samoa���s Islands the weekend prior, by the strong winds Saturday night (Feb 15) through Monday (Feb 17), is what likely lessened storm damage experienced with Tropical Storm Vicky Thursday (Feb 20), and eventually during the weekend with Tropical Storm Wasi.",NWS Pago Pago official surface observation.,CSV
202002,20,700,202002,20,800,145038,870959,AMERICAN SAMOA,97,2020,February,Strong Wind,Z,2,TUTUILA,ASO,20-FEB-20 07:00:00,SST-11,20-FEB-20 08:00:00,0,0,0,0,5.00K,0.00K,Park/Forest Service,33.00,MG,,,,,,,,,,,,,,,,,,,,"Tropical Depression 09F originally formed northwest of Savaii in an expansive area of deep convection and tropical instability, which was reflected well in the rapidly cooling cloud top temperatures noted on IR satellite. TD 09F moved through American Samoa���s area of responsibility (AOR) Thursday morning (Feb 20th) before Fiji Met Services named the system Tropical Storm Vicky (1205pm Thurs afternoon). A Tropical Storm Watch issued Thursday,  was for another developing tropical system northwest of Savaii, 98P, which eventually became known as Tropical Storm Wasi.||The system generated a period of strong winds across American Samoa Thursday morning, between 30 to 50 mph with gusts in the 60s.  At NWS Pago Pago, highest wind observations Thursday morning (around 8am and 9am) were sustained at 46 mph with gusts to 75 mph.||American Samoa Power Authority (ASPA) reported���.25 customers sustained damage to their house and meters,  Power outages reported in villages Tutuila, Manua and Aunuu. Over 300 people were in emergency shelters. 50 people from Onenoa were housed in an emergency shelter, result of their home being washed over by waves. Hawaiian Air announced that they would not operate additional flights through the weekend. Samoa Airways and Talofa Air both suspended flights to American Samoa in the wake of Tropical Storm Vicky and in advance of Tropical Storm Wasi. Pago Pago International Airport extended its closure.||The extensive amounts of damage experienced on American Samoa���s Islands the weekend prior, by the strong winds Saturday night (Feb 15) through Monday (Feb 17), is what likely lessened storm damage experienced with Tropical Storm Vicky Thursday (Feb 20), and eventually during the weekend with Tropical Storm Wasi.",U.S. National Park Service wind data.,CSV
202002,20,700,202002,20,800,145038,870961,AMERICAN SAMOA,97,2020,February,Strong Wind,Z,2,TUTUILA,ASO,20-FEB-20 07:00:00,SST-11,20-FEB-20 08:00:00,0,0,0,0,5.00K,0.00K,Other Federal Agency,41.00,ES,,,,,,,,,,,,,,,,,,,,"Tropical Depression 09F originally formed northwest of Savaii in an expansive area of deep convection and tropical instability, which was reflected well in the rapidly cooling cloud top temperatures noted on IR satellite. TD 09F moved through American Samoa���s area of responsibility (AOR) Thursday morning (Feb 20th) before Fiji Met Services named the system Tropical Storm Vicky (1205pm Thurs afternoon). A Tropical Storm Watch issued Thursday,  was for another developing tropical system northwest of Savaii, 98P, which eventually became known as Tropical Storm Wasi.||The system generated a period of strong winds across American Samoa Thursday morning, between 30 to 50 mph with gusts in the 60s.  At NWS Pago Pago, highest wind observations Thursday morning (around 8am and 9am) were sustained at 46 mph with gusts to 75 mph.||American Samoa Power Authority (ASPA) reported���.25 customers sustained damage to their house and meters,  Power outages reported in villages Tutuila, Manua and Aunuu. Over 300 people were in emergency shelters. 50 people from Onenoa were housed in an emergency shelter, result of their home being washed over by waves. Hawaiian Air announced that they would not operate additional flights through the weekend. Samoa Airways and Talofa Air both suspended flights to American Samoa in the wake of Tropical Storm Vicky and in advance of Tropical Storm Wasi. Pago Pago International Airport extended its closure.||The extensive amounts of damage experienced on American Samoa���s Islands the weekend prior, by the strong winds Saturday night (Feb 15) through Monday (Feb 17), is what likely lessened storm damage experienced with Tropical Storm Vicky Thursday (Feb 20), and eventually during the weekend with Tropical Storm Wasi.",NOAA Observatory Tula wind observation.,CSV
202002,16,148,202002,16,148,145028,870874,AMERICAN SAMOA,97,2020,February,Strong Wind,Z,2,TUTUILA,ASO,16-FEB-20 01:48:00,SST-11,16-FEB-20 01:48:00,0,0,0,0,5.00K,5.00K,Official NWS Observations,37.00,MG,,,,,,,,,,,,,,,,,,,,"An extremely active monsoonal trough in the region of American Samoa, generated an extended period of damaging winds, high surf and flooding rains. Moderate values of mid level shear and stable flow into the eastern portions of the area of responsibility hindered any one tropical circulation from developing within the trough. Therefore, there was no named tropical feature with this event. The extensive amounts of damage noted during this period, is what likely lessened storm damage experienced as Tropical Storm Vicky and Tropical Storm Wasi developed later in the week.||An extended period of sustained winds 35 to 45 mph with frequent gusts 65 to 70 mph, generated widespread damage across the American Samoan Island chain. Strong winds began over Manua Saturday Feb 15th with all of American Samoa experiencing damage Sunday Feb 16th, through early Monday Feb 17th. During this time several reports of roof damage, downed trees, downed power lines and power outages, and rock slides.",NWS 01:48am non-tstm wind gust.,CSV
