BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200306,17,1500,200306,30,2359,1158953,5378332,ARIZONA,4,2003,June,Wildfire,C,19,PIMA,TWC,17-JUN-03 15:00:00,MST,30-JUN-03 23:59:00,0,0,0,0,66M,0K,PARK/FOREST SERVICE,,,,,,,,,,,,,,SUMMERHAVEN,,,SUMMERHAVEN,,,,,"The Aspen wildfire started on June 17th in the Catalina Mountains by an unknown hiker on the Marshall Gulch and Aspen Loop trail.  The Fire was first observed on the south face portion of Marshall Peak around 7000 feet.  On June 19th, winds increased across Southeast Arizona with the highest winds recorded at Hopkins RAWS site (south of Catalina Mountains). Sustained winds of 23 knots (26 mph) and gusts up to 42 knots (48 mph) were recorded at this site for one hour during the afternoon.  The combination of strong winds and low relative humidity pushed the fire northeast into the town of Summerhaven on top of Mt. Lemmon. Numerous structures were destroyed including the Alpine Lodge, Pima county transportation facility, Post Office, and many others.  In all the fire consumed a total of 84,750 acres and 333 structures lost.  Damage estimates indicated total poperty damage was $66 million, supression costs were $16 milliion, and loss of trees and resources were $33 million.",,PDS
200307,12,1745,200307,12,1745,1158445,5379576,ARIZONA,4,2003,July,Thunderstorm Wind,C,7,GILA,FGZ,12-JUL-03 17:45:00,MST,12-JUL-03 17:45:00,0,0,0,0,,,GOVT OFFICIAL,60,EG,,,,,,,,,,,,PERIDOT,,,PERIDOT,33.3,-110.43333,33.3,-110.43333,,Trees and power lines down,PDS
200307,13,1630,200307,13,1630,1158445,5379577,ARIZONA,4,2003,July,Thunderstorm Wind,C,7,GILA,FGZ,13-JUL-03 16:30:00,MST,13-JUL-03 16:30:00,0,0,0,0,,,GOVT OFFICIAL,60,EG,,,,,,,,,,,,GLOBE,,,GLOBE,33.4,-110.78333,33.4,-110.78333,,Trees downed by high winds.,PDS
200307,14,1630,200307,14,1630,1158445,5379578,ARIZONA,4,2003,July,Thunderstorm Wind,C,7,GILA,FGZ,14-JUL-03 16:30:00,MST,14-JUL-03 16:30:00,0,0,0,0,,,GOVT OFFICIAL,60,EG,,,,,,,,,,,,GLOBE,,,GLOBE,33.4,-110.78333,33.4,-110.78333,,Large metal carport lifted and moved 50 feet into a neighbor's house.,PDS
200307,20,2145,200307,20,2145,1158446,5379579,ARIZONA,4,2003,July,Lightning,C,7,GILA,FGZ,20-JUL-03 21:45:00,MST,20-JUL-03 21:45:00,1,0,0,0,,,GOVT OFFICIAL,,,,,,,,,,,,,,ROOSEVELT,,,ROOSEVELT,,,,,,A thirty-seven year old man was struck by lightning near his boat at Lake Roosevelt.,PDS
200307,22,1800,200307,22,1800,1158447,5379580,ARIZONA,4,2003,July,Hail,C,7,GILA,FGZ,22-JUL-03 18:00:00,MST,22-JUL-03 18:00:00,0,0,0,0,,,GOVT OFFICIAL,0.75,,,,,,,,,,,,,GLOBE,,,GLOBE,33.4,-110.78333,33.4,-110.78333,,Three-quarter inch diameter hail was reported 13 miles southeast of Globe.,PDS
200307,26,1710,200307,26,1715,1158448,5379581,ARIZONA,4,2003,July,Thunderstorm Wind,C,7,GILA,FGZ,26-JUL-03 17:10:00,MST,26-JUL-03 17:15:00,0,0,0,0,,,"AWOS,ASOS,MESONET,ETC",50,MG,,,,,,,,,,,,SAN CARLOS,,,SAN CARLOS,33.35,-110.45,33.35,-110.45,,The San Carlos RAWS measured 58 MPH wind gusts.,PDS
200307,26,1905,200307,26,1905,1158449,5379582,ARIZONA,4,2003,July,Thunderstorm Wind,C,7,GILA,FGZ,26-JUL-03 19:05:00,MST,26-JUL-03 19:05:00,0,0,0,0,5K,,GOVT OFFICIAL,52,EG,,,,,,,,,,,,PUNKIN CENTER,,,PUNKIN CENTER,33.86667,-111.31667,33.86667,-111.31667,,"Winds damaged part of a boat storage facility, uprooted a large tree, and resulted in a power outage for up to 5 hours.",PDS
200307,13,1243,200307,31,1800,1158440,5379482,ARIZONA,4,2003,July,Wildfire,C,7,GILA,FGZ,13-JUL-03 12:43:00,MST,31-JUL-03 18:00:00,0,0,0,0,,,PARK/FOREST SERVICE,,,,,,,,,,,,,,CEDAR CREEK,,,CEDAR CREEK,,,,,"The Kinishba Fire was started by a lightning strike about 15 miles northeast of Cedar Creek in Gila County.  The fire spread into Navajo County the next day.  Fuels were extremely dry in ponderosa, pinyon/juniper, oak, chaparral, and short grass.  Rates of spread were initially estimated at one mile per hour and driven by erratic winds.  Fire spreads on 7/13, 7/14, and 7/15 were dominated by dry thunderstorm outflows.  Increasing moisture and rain slowed fire behavior greatly by 7/20.  Last of burnout operations was completed on 7/21...then thunderstorms dumped between 0.50 and 0.70 of an inch of rain (88D estimated) on the fire that evening. Final size was 24,300 acres.About 200 people were evacuated from the western portion of Whiteriver on 7/14 as a precautionary measure. They were allowed to return to their homes on 7/21.",,PDS
200307,18,1950,200307,18,2015,1158444,5379575,ARIZONA,4,2003,July,Strong Wind,Z,8,YAVAPAI COUNTY MOUNTAINS,FGZ,18-JUL-03 19:50:00,MST,18-JUL-03 20:15:00,0,0,0,0,2K,,TRAINED SPOTTER,40,ES,,,,,,,,,,,,,,,,,,,,,Strong wind from a thunderstorm blew over a camper that was sitting on the ground.  The camper was severely damaged.,PDS
