BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200112,28,700,200112,28,730,1125111,5275113,COLORADO,8,2001,December,High Wind,Z,36,JEFFERSON & W DOUGLAS COUNTIES ABOVE 6000 FEET / GILPIN / CLEAR CREEK / NE PARK COUNTIES BELOW 9000 FEET,BOU,28-DEC-01 07:00:00,MST,28-DEC-01 07:30:00,0,0,0,0,0,0,TRAINED SPOTTER,75,M,,,,,,,,,,,,,,,,,,,,,A wind gust to 86 mph (75 kts) was recorded 1 mile south of Fritz Peak.,PDS
200111,29,1000,200111,30,1800,1125102,5274886,COLORADO,8,2001,November,Winter Storm,Z,9,GRAND AND BATTLEMENT MESAS,GJT,29-NOV-01 10:00:00,MST,30-NOV-01 18:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A Pacific storm system brought 12 to 18 inches of snow to the mountains of southwest Colorado, as well as to the Grand Mesa.  Southwest winds of 20 to 40 mph were common over the higher mountain passes, causing significant blowing and drifting snow.",,PDS
200111,29,1000,200111,30,1800,1125102,5274887,COLORADO,8,2001,November,Winter Storm,Z,17,UNCOMPAHGRE PLATEAU AND DALLAS DIVIDE,GJT,29-NOV-01 10:00:00,MST,30-NOV-01 18:00:00,0,0,0,0,,,"AWOS,ASOS,MESONET,ETC",,,,,,,,,,,,,,,,,,,,,,"A Pacific storm system brought 12 to 18 inches of snow to the mountains of southwest Colorado, as well as to the Grand Mesa.  Southwest winds of 20 to 40 mph were common over the higher mountain passes, causing significant blowing and drifting snow.",,PDS
200111,29,1000,200111,30,1800,1125102,5274888,COLORADO,8,2001,November,Winter Storm,Z,18,NORTHWESTERN SAN JUAN MOUNTAINS,GJT,29-NOV-01 10:00:00,MST,30-NOV-01 18:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A Pacific storm system brought 12 to 18 inches of snow to the mountains of southwest Colorado, as well as to the Grand Mesa.  Southwest winds of 20 to 40 mph were common over the higher mountain passes, causing significant blowing and drifting snow.",,PDS
200111,29,1000,200111,30,1800,1125102,5274889,COLORADO,8,2001,November,Winter Storm,Z,19,SOUTHWESTERN SAN JUAN MOUNTAINS,GJT,29-NOV-01 10:00:00,MST,30-NOV-01 18:00:00,0,0,0,0,,,DEPT OF HIGHWAYS,,,,,,,,,,,,,,,,,,,,,,"A Pacific storm system brought 12 to 18 inches of snow to the mountains of southwest Colorado, as well as to the Grand Mesa.  Southwest winds of 20 to 40 mph were common over the higher mountain passes, causing significant blowing and drifting snow.",,PDS
200112,4,1530,200112,5,600,1125626,5276117,COLORADO,8,2001,December,Heavy Snow,Z,4,ELKHEAD AND PARK MOUNTAINS,GJT,04-DEC-01 15:30:00,MST,05-DEC-01 06:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A Pacific trough pushed into western Colorado, preceded by a moist southwester flow aloft. This resulted in up to a foot of new snow in the northern and central mountains of western Colorado, and 3 to 6 inches at lower elevations on the northwest plateau.",,PDS
200112,4,1530,200112,5,600,1125626,5276118,COLORADO,8,2001,December,Heavy Snow,Z,10,GORE AND ELK MOUNTAINS/CENTRAL MOUNTAIN VALLEYS,GJT,04-DEC-01 15:30:00,MST,05-DEC-01 06:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A Pacific trough pushed into western Colorado, preceded by a moist southwester flow aloft. This resulted in up to a foot of new snow in the northern and central mountains of western Colorado, and 3 to 6 inches at lower elevations on the northwest plateau.",,PDS
200112,4,1530,200112,5,600,1125626,5276116,COLORADO,8,2001,December,Heavy Snow,Z,2,CENTRAL YAMPA RIVER BASIN,GJT,04-DEC-01 15:30:00,MST,05-DEC-01 06:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A Pacific trough pushed into western Colorado, preceded by a moist southwester flow aloft. This resulted in up to a foot of new snow in the northern and central mountains of western Colorado, and 3 to 6 inches at lower elevations on the northwest plateau.",,PDS
200112,4,1530,200112,5,600,1125626,5276119,COLORADO,8,2001,December,Heavy Snow,Z,13,FLATTOP MOUNTAINS,GJT,04-DEC-01 15:30:00,MST,05-DEC-01 06:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A Pacific trough pushed into western Colorado, preceded by a moist southwester flow aloft. This resulted in up to a foot of new snow in the northern and central mountains of western Colorado, and 3 to 6 inches at lower elevations on the northwest plateau.",,PDS
200112,4,1530,200112,5,600,1125626,5276120,COLORADO,8,2001,December,Heavy Snow,Z,18,NORTHWESTERN SAN JUAN MOUNTAINS,GJT,04-DEC-01 15:30:00,MST,05-DEC-01 06:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A Pacific trough pushed into western Colorado, preceded by a moist southwester flow aloft. This resulted in up to a foot of new snow in the northern and central mountains of western Colorado, and 3 to 6 inches at lower elevations on the northwest plateau.",,PDS
