BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202207,2,245,202207,2,245,169498,1026637,CONNECTICUT,9,2022,July,Thunderstorm Wind,C,15,WINDHAM,BOX,02-JUL-22 02:45:00,EST-5,02-JUL-22 02:45:00,0,0,0,0,0.80K,0.00K,Amateur Radio,50.00,EG,,,,,,,,,,2.33,ENE,HAMPTON,2.33,ENE,HAMPTON,41.7901,-72.007,41.7901,-72.007,"A shortwave trough moving eastward from the eastern Great Lakes, triggered strong thunderstorms in New York state, which moved into southern New England overnight.  The atmosphere was very unstable and surface dewpoints were near 70 degrees. The result was strong to locally severe thunderstorms before daybreak.","In Hampton, a tree and wires were down on Cherry Hill Road.",CSV
202207,12,1820,202207,12,1820,169889,1034656,CONNECTICUT,9,2022,July,Lightning,C,3,HARTFORD,BOX,12-JUL-22 18:20:00,EST-5,12-JUL-22 18:20:00,0,0,0,0,7.00K,0.00K,Fire Department/Rescue,,,,,,,,,,,,1.24,SW,WAREHOUSE PT,1.24,SW,WAREHOUSE PT,41.91,-72.64,41.91,-72.64,"An upper level short wave trough moving through northern New England combined with an advancing cold front to produce severe thunderstorms in the late afternoon and evening hours.  Despite low K Indices and dry air aloft, the storms managed to strengthen and the dry air helped enhance the severe wind gusts.  The storms mainly impacted areas from western MA east-southeastward into northern CT and northern RI.","In Windsor Locks, a house on Juniper Drive had a fire in the attack and in the walls, likely due to a lightning strike.  Report relayed via amateur radio operators.",CSV
202207,12,1714,202207,12,1716,169889,1034657,CONNECTICUT,9,2022,July,Thunderstorm Wind,C,3,HARTFORD,BOX,12-JUL-22 17:14:00,EST-5,12-JUL-22 17:16:00,0,0,0,0,1.50K,0.00K,Law Enforcement,50.00,EG,,,,,,,,,,1.08,S,THOMPSONVILLE,.77,E,HAZARDVILLE,41.9844,-72.598,41.9791,-72.5151,"An upper level short wave trough moving through northern New England combined with an advancing cold front to produce severe thunderstorms in the late afternoon and evening hours.  Despite low K Indices and dry air aloft, the storms managed to strengthen and the dry air helped enhance the severe wind gusts.  The storms mainly impacted areas from western MA east-southeastward into northern CT and northern RI.","In Enfield at 614 PM EDT, police reported a tree was down on Mathewson Avenue...relayed by amateur radio.  Also in Enfield, at 616 PM EDT, amateur radio operators reported a large tree was down on Bailey Road.",CSV
202207,12,1835,202207,12,1835,169889,1034658,CONNECTICUT,9,2022,July,Thunderstorm Wind,C,13,TOLLAND,BOX,12-JUL-22 18:35:00,EST-5,12-JUL-22 18:35:00,0,0,0,0,0.80K,0.00K,Fire Department/Rescue,50.00,EG,,,,,,,,,,1.25,W,TOLLAND,1.25,W,TOLLAND,41.8732,-72.3938,41.8732,-72.3938,"An upper level short wave trough moving through northern New England combined with an advancing cold front to produce severe thunderstorms in the late afternoon and evening hours.  Despite low K Indices and dry air aloft, the storms managed to strengthen and the dry air helped enhance the severe wind gusts.  The storms mainly impacted areas from western MA east-southeastward into northern CT and northern RI.","In Tolland, the Fire Dept. reported a tree down on wires on Pilgrim Drive.  Report relayed via amateur radio.",CSV
202207,12,1825,202207,12,1825,169889,1034659,CONNECTICUT,9,2022,July,Thunderstorm Wind,C,3,HARTFORD,BOX,12-JUL-22 18:25:00,EST-5,12-JUL-22 18:25:00,0,0,0,0,0.80K,0.00K,Law Enforcement,50.00,EG,,,,,,,,,,.38,NNE,WAREHOUSE PT,.38,NNE,WAREHOUSE PT,41.9251,-72.6169,41.9251,-72.6169,"An upper level short wave trough moving through northern New England combined with an advancing cold front to produce severe thunderstorms in the late afternoon and evening hours.  Despite low K Indices and dry air aloft, the storms managed to strengthen and the dry air helped enhance the severe wind gusts.  The storms mainly impacted areas from western MA east-southeastward into northern CT and northern RI.","In East Windsor, a tree and wires were down on Holcomb Terrace.  Report relayed by amateur radio.",CSV
202207,12,1835,202207,12,1835,169889,1034661,CONNECTICUT,9,2022,July,Thunderstorm Wind,C,13,TOLLAND,BOX,12-JUL-22 18:35:00,EST-5,12-JUL-22 18:35:00,0,0,0,0,1.60K,0.00K,Fire Department/Rescue,50.00,EG,,,,,,,,,,2.02,SSE,LAKE VIEW TERRACE,2.38,SE,LAKE VIEW TERRACE,41.9045,-72.3507,41.9036,-72.3402,"An upper level short wave trough moving through northern New England combined with an advancing cold front to produce severe thunderstorms in the late afternoon and evening hours.  Despite low K Indices and dry air aloft, the storms managed to strengthen and the dry air helped enhance the severe wind gusts.  The storms mainly impacted areas from western MA east-southeastward into northern CT and northern RI.","In Tolland, the Fire Dept. reported a tree and wires down at Old Stafford Road and Curtis Drive.  Also, a tree was down on power lines on Slater Road.",CSV
202207,12,1925,202207,12,1925,169889,1034662,CONNECTICUT,9,2022,July,Thunderstorm Wind,C,15,WINDHAM,BOX,12-JUL-22 19:25:00,EST-5,12-JUL-22 19:25:00,0,0,0,0,1.00K,0.00K,Amateur Radio,50.00,EG,,,,,,,,,,1.4,NW,DAYVILLE,1.21,NNW,DAYVILLE,41.8469,-71.8952,41.8463,-71.8887,"An upper level short wave trough moving through northern New England combined with an advancing cold front to produce severe thunderstorms in the late afternoon and evening hours.  Despite low K Indices and dry air aloft, the storms managed to strengthen and the dry air helped enhance the severe wind gusts.  The storms mainly impacted areas from western MA east-southeastward into northern CT and northern RI.","In Killingly, two trees were down on Route 101...one at the intersection with Upper Maple Street and the other at the intersection with Otis Street.",CSV
202207,14,1706,202207,14,1707,169891,1034864,CONNECTICUT,9,2022,July,Thunderstorm Wind,C,13,TOLLAND,BOX,14-JUL-22 17:06:00,EST-5,14-JUL-22 17:07:00,0,0,0,0,30.00K,0.00K,Emergency Manager,60.00,EG,,,,,,,,,,1.53,NE,COLUMBIA,.82,SSE,PERKINS CORNER,41.7142,-72.2771,41.7187,-72.2454,A weak cold front triggered isolated severe thunderstorms in eastern Connecticut during the early evening.,"In Columbia, a billboard was blown down on Route 66 East.  Trees were downed on Cherry Valley Road, Flanders River Road, Cards Mill Road, and Old Willimantic Road.  A tree and wires were down on both Newberry Road and on Devonshire Lane, per the Fire Department.  Reports were relayed to NWS via amateur radio operators.",CSV
202212,23,700,202212,23,900,177070,1076407,CONNECTICUT,9,2022,December,High Wind,Z,12,SOUTHERN NEW LONDON,OKX,23-DEC-22 07:00:00,EST-5,23-DEC-22 09:00:00,0,0,0,0,0.00K,0.00K,Department of Highways,50.00,EG,,,,,,,,,,,,,,,,,,,,"A strong low pressure system centered near the eastern Great Lakes Region continued to strengthen as it moved northeast on December 23, 2022. This brought high winds over southern Connecticut that morning as the pressure gradient tightened over the area.","Multiple instances of downed trees with road closures occurred across Southern New London County as reported by the CT Department of highways. This included a tree with wires down in Gales Ferry, CT on Route 12 at Long Cove Road at 722 AM Local Standard Time and a tree with wires down in North Stonington, CT on Route 184 at Rocky Hollow Road at 813 AM Local Standard Time.",CSV
202212,23,600,202212,23,700,177070,1076191,CONNECTICUT,9,2022,December,High Wind,Z,10,SOUTHERN NEW HAVEN,OKX,23-DEC-22 06:00:00,EST-5,23-DEC-22 07:00:00,0,0,0,0,0.00K,0.00K,Mesonet,53.00,MG,,,,,,,,,,,,,,,,,,,,"A strong low pressure system centered near the eastern Great Lakes Region continued to strengthen as it moved northeast on December 23, 2022. This brought high winds over southern Connecticut that morning as the pressure gradient tightened over the area.","A measured wind gust of 61 mph was recorded at a mesonet station located in Madison, CT at 646 AM Local Standard Time at an elevation of 46 feet above ground.",CSV
