BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200001,2,800,200001,4,1800,1090538,5130186,DISTRICT OF COLUMBIA,11,2000,January,Excessive Heat,Z,1,DISTRICT OF COLUMBIA,LWX,02-JAN-00 08:00:00,EST,04-JAN-00 18:00:00,0,0,0,0,,,OFFICIAL NWS OBS.,,,,,,,,,,,,,,,,,,,,,,"High pressure off the coast of the southeast U.S. turned winds southerly over the Mid-Atlantic region on the 2nd, starting a conveyer belt of warm air that would remain over the region through the 4th.  With ample sunshine, high temperatures reached the upper 60s to lower 70s.  The normal high temperature during the first week of January at Washington Reagan National Airport is 43 degrees. On the 2nd, the high temperature at National Airport and at the National Arboretum in D.C. reached 69 degrees.  On the 3rd, National Airport reached 68 degrees and the National Arboretum reached 69 degrees. On the 4th, a new record high temperature of 68 degrees was set at National Airport.  The National Arboretum reported a high temperature of 71 degrees.  During the evening of the 4th, a strong cold front moved across the region, bringing and end to the unseasonably warm weather.",,PDC
200001,20,300,200001,20,2000,1090541,5130568,DISTRICT OF COLUMBIA,11,2000,January,Winter Weather,Z,1,DISTRICT OF COLUMBIA,LWX,20-JAN-00 03:00:00,EST,20-JAN-00 20:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,"An area of low pressure moved from west to east across the Mid-Atlantic region on the 20th, dropping light snow between midnight and mid-afternoon. Gusty winds of 35 to 45 MPH developed during the afternoon causing the snow to drift across roadways and reduce visibilities. The first snowstorm of the season forced Washington Reagan National Airport to cancel one third of morning flights.  Several minor traffic accidents were reported across the metropolitan area.  National Airport reported a snowfall total of 3.6 inches, observers at the National Arboretum and Dupont Circle reported 3.0 inches,  and an observer in Northwest recorded 4.3 inches.",,PDC
200001,21,0,200001,21,1000,1090542,5130569,DISTRICT OF COLUMBIA,11,2000,January,Extreme Cold/Wind Chill,Z,1,DISTRICT OF COLUMBIA,LWX,21-JAN-00 00:00:00,EST,21-JAN-00 10:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"During the morning of the 21st, northwest winds were blowing at 15 to 30 MPH.  Temperatures in the District were in the teens. This resulted in wind chill readings from 10 to 25 degrees below zero between midnight and 10 AM.  The winds also caused snow that had fallen in the past 24 hours to drift back onto roads, resulting in a difficult morning commute.",,PDC
200001,13,1100,200001,13,2000,1090540,5130567,DISTRICT OF COLUMBIA,11,2000,January,High Wind,Z,1,DISTRICT OF COLUMBIA,LWX,13-JAN-00 11:00:00,EST,13-JAN-00 20:00:00,0,0,0,0,10K,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,"A vigorous cold front moved across the Washington D.C. metropolitan area around midday on the 13th.  Winds in excess of 55 MPH reached the ground after the front moved through.  High winds downed a tree onto a car and a home in the District, resulting in significant damage.  Over 4300 customers lost power during the afternoon after tree limbs fell onto power lines.  A wind gust of 55 MPH was recorded at Washington Reagan National Airport and a spotter estimated winds of over 50 MPH in the District.",,PDC
200001,25,300,200001,25,2359,1090543,5130570,DISTRICT OF COLUMBIA,11,2000,January,Winter Storm,Z,1,DISTRICT OF COLUMBIA,LWX,25-JAN-00 03:00:00,EST,25-JAN-00 23:59:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"Low pressure off Cape Hatteras rapidly intensified late on the 24th and developed into a nor'easter which tracked northward along the Eastern Seaboard on the 25th.  Very heavy snow and near-blizzard conditions were seen across the District throughout the day, resulting in extremely hazardous travel conditions.  Wind gusts of up to 45 MPH were recorded and some secondary roads were drifted shut by blowing snow. Numerous traffic accidents were reported across the metropolitan area.  Washington Reagan National Airport, commuter trains, and many bus routes were shut down.  A new daily snowfall record of 9.3 inches was set at Washington Reagan National Airport.  A storm total snowfall of 9.0 inches was recorded at the National Arboretum and at Dupont Circle, and an observer in Northwest recorded 11.0 inches.",,PDC
200001,11,1030,200001,11,1030,1090539,5130566,DISTRICT OF COLUMBIA,11,2000,January,High Wind,Z,1,DISTRICT OF COLUMBIA,LWX,11-JAN-00 10:30:00,EST,11-JAN-00 10:30:00,0,0,0,0,10K,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,A strong cold front with damaging winds moved across the Washington D.C. metropolitan area during the morning of the 11th.  High winds downed trees in Northwest D.C. and several parked cars were damaged.  A wind gust of 44 MPH was reported at Washington Reagan National Airport.,,PDC
200001,30,500,200001,30,1800,1090544,5130571,DISTRICT OF COLUMBIA,11,2000,January,Winter Storm,Z,1,DISTRICT OF COLUMBIA,LWX,30-JAN-00 05:00:00,EST,30-JAN-00 18:00:00,0,0,0,0,,,"AWOS,ASOS,MESONET,ETC",,,,,,,,,,,,,,,,,,,,,,"Cold air was in place east of the Blue Ridge Mountains on the 29th and 30th, keeping surface temperatures below freezing.  Low pressure moved from the Lower Mississippi Valley northeastward to the Mid-Atlantic region early on the 30th, creating perfect conditions for a mix of sleet, freezing rain, and snow across the District.  The mixed bag of precipitation resulted in several traffic accidents across the metropolitan area and travel delays at Washington Reagan National Airport and on commuter rail and bus lines. Storm total snow/sleet accumulations included 1.2 inches at National Airport, 1.8 inches at Dupont Circle, and 1.5 inches at the National Arboretum.  Ice accumulations were less than one quarter inch.",,PDC
200003,8,800,200003,8,2000,1092493,5135544,DISTRICT OF COLUMBIA,11,2000,March,Heat,Z,1,DISTRICT OF COLUMBIA,LWX,08-MAR-00 08:00:00,EST,08-MAR-00 20:00:00,0,0,0,0,,,OFFICIAL NWS OBS.,,,,,,,,,,,,,,,,,,,,,,"High pressure over the Eastern Seaboard and warm southerly winds on the 8th resulted in sunny skies and temperatures nearly 30 degrees above normal.  Washington Reagan National Airport reached a high temperature of 85 degrees, shattering the previous daily record by 8 degrees. A high temperature of 86 degrees was recorded at the National Arboretum.",,PDC
200003,21,800,200003,21,1600,1092494,5135545,DISTRICT OF COLUMBIA,11,2000,March,Heavy Rain,C,1,DISTRICT OF COLUMBIA,LWX,21-MAR-00 08:00:00,EST,21-MAR-00 16:00:00,0,0,0,0,,,OFFICIAL NWS OBS.,,,,,,,,,,,,,,COUNTYWIDE,,,COUNTYWIDE,,,,,"Low pressure moved from the Ohio Valley on the 20th to the Mid-Atlantic region on the 21st.  East winds ahead of the system ushered moist air into the region directly from the Atlantic Ocean.  When the low passed through on the morning and afternoon of the 21st, heavy rain fell across the Washington D.C. metropolitan area.  Rainfall reports for the District included 2.28 inches at the National Arboretum and 1.99 inches at Washington Reagan National Airport.",,PDC
200004,5,900,200004,5,1100,1093761,5141134,DISTRICT OF COLUMBIA,11,2000,April,Strong Wind,Z,1,DISTRICT OF COLUMBIA,LWX,05-APR-00 09:00:00,EST,05-APR-00 11:00:00,2,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,"Northwest winds gusted over 35 MPH across the District on the morning and early afternoon of the 5th.  The strong winds caused a row house under construction on Florida Avenue NW to collapse.  Two workers were injured, one seriously, after being buried in debris.",Two construction workers were injured by fallen debris.,PDC
200006,2,1800,200006,2,1815,1098292,5154062,DISTRICT OF COLUMBIA,11,2000,June,Thunderstorm Wind,C,1,DISTRICT OF COLUMBIA,LWX,02-JUN-00 18:00:00,EST,02-JUN-00 18:15:00,0,0,0,0,2K,,NEWSPAPER,,,,,,,,,,,,,,COUNTYWIDE,,,COUNTYWIDE,38.91667,-77.01667,38.91667,-77.01667,"During a hot and humid afternoon, a cold front crossed the region.  This front triggered thunderstorms which contained winds in excess of 55 MPH and hail.  Trees were downed across the District, including those which fell across P Street NW and J Street NE.  Pea sized hail was also reported.",Trees were downed.,PDC
