BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200601,14,1700,200601,15,1700,1203508,5486723,DELAWARE,10,2006,January,Strong Wind,Z,3,INLAND SUSSEX,PHI,14-JAN-06 17:00:00,EST,15-JAN-06 17:00:00,0,0,0,0,5K,,TRAINED SPOTTER,45,EG,,,,,,,,,,,,,,,,,,,,"A slow moving and intense low pressure system combined with a high pressure ridge across the Mississippi Valley to produce a prolonged period of strong to high winds across Delaware from the late afternoon on the 14th through the late afternoon on the 15th. The strongest wind gusts occurred between 4 a.m. and 7 a.m. EST on the 15th. The persistent strong winds combined with ground that was wet and not frozen caused more tree damage than normally would be the case. Downed trees and tree limbs consequently helped snap poles and caused scattered power outages. Specific wind gusts included 71 mph in Breakwater Harbor (Sussex County), 62 mph in Wilmington (New Castle County), 58 mph at the Dover Air Force Base (Kent County), 53 mph at the New Castle County Airport and 45 mph in Georgetown (Sussex County). The intense low pressure system that was responsible for the winds moved from the Delaware Valley during the early afternoon on the 14th, to the New Jersey Coast at 7 p.m. EST on the 14th, onto Long Island at 10 p.m. EST on the 14th, in the New England coastal waters east of Massachusetts at 7 a.m. EST on the 15th and into Nova Scotia by early in the afternoon on the 15th. As the low pressure system exited Nova Scotia and the high pressure system built east into the Ohio Valley, winds started diminishing during the late afternoon on the 15th.",,PDS
200601,25,500,200601,25,1000,1203518,5486763,DELAWARE,10,2006,January,Winter Weather,Z,1,NEW CASTLE,PHI,25-JAN-06 05:00:00,EST,25-JAN-06 10:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,"Rain and wet snow showers occurred during the late evening of the 24th and skies cleared toward morning with light winds. This permitted black ice to form on roadways. The icy roads led to numerous accidents. State and county police reported between 5 a.m. and 10 a.m. EST there were 91 weather related crashes that caused 10 injuries in New Castle County. In Wilmington, the South Market Street Bridge was closed between 630 a.m. EST and 830 a.m. EST for de-icing after five accidents occurred. The northbound lanes of Delaware State Route 141 were also closed during the morning rush for de-icing. Conditions were not as slippery in Kent County as only eighteen minor weather related crashes occurred.",,PDS
200601,25,500,200601,25,800,1203518,5486849,DELAWARE,10,2006,January,Winter Weather,Z,2,KENT,PHI,25-JAN-06 05:00:00,EST,25-JAN-06 08:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,"Rain and wet snow showers occurred during the late evening of the 24th and skies cleared toward morning with light winds. This permitted black ice to form on roadways. The icy roads led to numerous accidents. State and county police reported between 5 a.m. and 10 a.m. EST there were 91 weather related crashes that caused 10 injuries in New Castle County. In Wilmington, the South Market Street Bridge was closed between 630 a.m. EST and 830 a.m. EST for de-icing after five accidents occurred. The northbound lanes of Delaware State Route 141 were also closed during the morning rush for de-icing. Conditions were not as slippery in Kent County as only eighteen minor weather related crashes occurred.",,PDS
200601,31,800,200601,31,1500,1203520,5486852,DELAWARE,10,2006,January,Coastal Flood,Z,4,DELAWARE BEACHES,PHI,31-JAN-06 08:00:00,EST,31-JAN-06 15:00:00,0,0,0,0,,0,COASTAL OBSERVING STATION,,,,,,,,,,,,,,,,,,,,,,"The combination of spring tides coming off the recent new moon and a rapidly intensifying low pressure system that passed east of Delaware on the 31st produced a strong onshore flow and widespread minor tidal flooding during the daytime high tide along the ocean shore as well as in Delaware Bay and along the Delaware River. The highest tides occurred during the morning along the ocean and the spread up Delaware  Bay around noon EST and into the Delaware River and tidal sections of its tributaries during the first half of the afternoon. The tide reached 7.1 feet above mean lower low water at Breakwater Harbor (Sussex County).  Minor tidal flooding begins at 6.7 feet above mean lower low water. The tide reached 7.44 feet above mean lower low water at Reedy Island (New Castle County). Minor tidal flooding starts at 7.2 feet above mean lower low water. The low pressure system that caused the minor tidal flooding formed along the Virginia coast during the early morning on the 31st. By 7 a.m. EST on the 31st it had deepened to a 995 millibar low pressure system. It then moved slowly northeast as it intensified. At 1 p.m. EST that afternoon it had deepened to 990 millibars and was located about 200 miles east of the Delaware coast and at 7 p.m. EST that evening, it had deepened to 976 millibars, but was already about 200 miles east of Cape Cod, Massachusetts. This made it only a one high tide cycle event.",,PDS
200601,14,1700,200601,15,1700,1203508,5486644,DELAWARE,10,2006,January,High Wind,Z,4,DELAWARE BEACHES,PHI,14-JAN-06 17:00:00,EST,15-JAN-06 17:00:00,0,0,0,0,10K,,TRAINED SPOTTER,62,MG,,,,,,,,,,,,,,,,,,,,"A slow moving and intense low pressure system combined with a high pressure ridge across the Mississippi Valley to produce a prolonged period of strong to high winds across Delaware from the late afternoon on the 14th through the late afternoon on the 15th. The strongest wind gusts occurred between 4 a.m. and 7 a.m. EST on the 15th. The persistent strong winds combined with ground that was wet and not frozen caused more tree damage than normally would be the case. Downed trees and tree limbs consequently helped snap poles and caused scattered power outages. Specific wind gusts included 71 mph in Breakwater Harbor (Sussex County), 62 mph in Wilmington (New Castle County), 58 mph at the Dover Air Force Base (Kent County), 53 mph at the New Castle County Airport and 45 mph in Georgetown (Sussex County). The intense low pressure system that was responsible for the winds moved from the Delaware Valley during the early afternoon on the 14th, to the New Jersey Coast at 7 p.m. EST on the 14th, onto Long Island at 10 p.m. EST on the 14th, in the New England coastal waters east of Massachusetts at 7 a.m. EST on the 15th and into Nova Scotia by early in the afternoon on the 15th. As the low pressure system exited Nova Scotia and the high pressure system built east into the Ohio Valley, winds started diminishing during the late afternoon on the 15th.",,PDS
200601,14,515,200601,14,515,1203504,5486636,DELAWARE,10,2006,January,Thunderstorm Wind,C,5,SUSSEX,PHI,14-JAN-06 05:15:00,EST,14-JAN-06 05:15:00,0,0,0,0,,,NEWSPAPER,52,EG,,,,,,,,,,,,MIDWAY,,,MIDWAY,38.73333,-75.11667,38.73333,-75.11667,A severe thunderstorm knocked down a large billboard for Hooters alongside the Roadhouse Steak Joint on Delaware State Route 1 into the Midway Estates feeder road. No additional damage was reported.,,PDS
200602,24,700,200602,24,1700,1204446,5490415,DELAWARE,10,2006,February,Strong Wind,Z,1,NEW CASTLE,PHI,24-FEB-06 07:00:00,EST,24-FEB-06 17:00:00,0,0,0,0,2K,,"AWOS,ASOS,MESONET,ETC",40,EG,,,,,,,,,,,,,,,,,,,,"The pressure difference between a low pressure system heading into the Canadian Maritimes and a high pressure system building east from the Great Lakes produced strong winds across Delaware. A cold front moved through the state between 1a.m. and 4 a.m. EST on the 24th and brought with it colder air. Winds increased behind the front during the daylight hours and peaked around Noon EST. Strongest winds included 45 mph in Sandtown (Kent County) and 43 mph at the New Castle County Airport. The gusty winds helped spread a shed fire quickly in Selbyville (Sussex County). The fire, which originated in a pump house shed, was caused by overheated wiring and spread quickly from the pump house to several other buildings and one boat.",,PDS
200602,24,700,200602,24,1700,1204446,5490416,DELAWARE,10,2006,February,Strong Wind,Z,4,DELAWARE BEACHES,PHI,24-FEB-06 07:00:00,EST,24-FEB-06 17:00:00,0,0,0,0,1K,,"AWOS,ASOS,MESONET,ETC",40,EG,,,,,,,,,,,,,,,,,,,,"The pressure difference between a low pressure system heading into the Canadian Maritimes and a high pressure system building east from the Great Lakes produced strong winds across Delaware. A cold front moved through the state between 1a.m. and 4 a.m. EST on the 24th and brought with it colder air. Winds increased behind the front during the daylight hours and peaked around Noon EST. Strongest winds included 45 mph in Sandtown (Kent County) and 43 mph at the New Castle County Airport. The gusty winds helped spread a shed fire quickly in Selbyville (Sussex County). The fire, which originated in a pump house shed, was caused by overheated wiring and spread quickly from the pump house to several other buildings and one boat.",,PDS
200602,24,700,200602,24,1700,1204446,5490417,DELAWARE,10,2006,February,Strong Wind,Z,3,INLAND SUSSEX,PHI,24-FEB-06 07:00:00,EST,24-FEB-06 17:00:00,0,0,0,0,5K,,"AWOS,ASOS,MESONET,ETC",40,EG,,,,,,,,,,,,,,,,,,,,"The pressure difference between a low pressure system heading into the Canadian Maritimes and a high pressure system building east from the Great Lakes produced strong winds across Delaware. A cold front moved through the state between 1a.m. and 4 a.m. EST on the 24th and brought with it colder air. Winds increased behind the front during the daylight hours and peaked around Noon EST. Strongest winds included 45 mph in Sandtown (Kent County) and 43 mph at the New Castle County Airport. The gusty winds helped spread a shed fire quickly in Selbyville (Sussex County). The fire, which originated in a pump house shed, was caused by overheated wiring and spread quickly from the pump house to several other buildings and one boat.",,PDS
200602,12,100,200602,12,1200,1204455,5490687,DELAWARE,10,2006,February,Strong Wind,Z,1,NEW CASTLE,PHI,12-FEB-06 01:00:00,EST,12-FEB-06 12:00:00,0,0,0,0,2K,,"AWOS,ASOS,MESONET,ETC",40,EG,,,,,,,,,,,,,,,,,,,,"The major winter storm also produced strong winds across Delaware.  As the winter storm strengthened off the New Jersey Coast during the morning of February 12th, the winds increased across a good portion of the area. Some peak wind gusts from around the state include, 56 mph at Breakwater Harbor (Sussex County), 44 mph at the New Castle County Airport near Wilmington, and 40 mph at Dover Air Force Base (Kent County). These winds, coupled with falling snow created near whiteout conditions in many places during the height of the storm, and also downed some tree limbs and power lines across parts of the state. Some 17,589 Delmarva Power customers lost power in New Castle County, with several towns losing power in Kent and Sussex Counties (from Harbeson to Georgetown and Bridgeville, to name a few towns).",,PDS
