BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200101,19,840,200101,19,845,1110295,5228053,FLORIDA,12,2001,January,Waterspout,C,91,OKALOOSA,MOB,19-JAN-01 08:40:00,CST,19-JAN-01 08:45:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,FT WALTON BEACH,,,FT WALTON BEACH,,,,,,"A waterspout was reported just offshore over the Gulf coastal waters moving toward the shore.  The waterspout persisted over the coastal waters for several minutes, and dissipated before moving ashore.",PDS
200101,19,845,200101,19,850,1110287,5228038,FLORIDA,12,2001,January,Thunderstorm Wind,C,91,OKALOOSA,MOB,19-JAN-01 08:45:00,CST,19-JAN-01 08:50:00,0,0,0,0,,,OTHER FEDERAL AGENCY,60,M,,,,,,,,,,,,EGLIN AFB,,,EGLIN AFB,30.48333,-86.53333,30.48333,-86.53333,,"A thunderstorm produced a 69 mph wind gust at Duke Field, on Eglin AFB, near Crestview.   No damage was reported.",PDS
200101,19,855,200101,19,905,1110292,5228043,FLORIDA,12,2001,January,High Wind,Z,2,COASTAL ESCAMBIA,MOB,19-JAN-01 08:55:00,CST,19-JAN-01 09:05:00,0,0,0,0,,,"AWOS,ASOS,MESONET,ETC",50,M,,,,,,,,,,,,,,,,,,,,,"A ""Bubble High"" developed in the wake of a line of eastward moving thunderstorms, and produced a tight pressure gradient, which resulted in strong gusty winds.    Weather Instruments on Pensacola Beach, installed by the Escambia County EMA, recorded a wind gust of 59 mph.  In addition, the high winds blew a large piece of tin roofing off a downtown Pensacola business.",PDS
200111,20,1530,200111,20,1530,1125622,5276032,FLORIDA,12,2001,November,Rip Current,C,31,DUVAL,JAX,20-NOV-01 15:30:00,EST,20-NOV-01 15:30:00,0,0,1,0,,,NEWSPAPER,,,,,,,,,,,,,,JACKSONVILLE BEACH,,,JACKSONVILLE BEACH,,,,,,20 year old male visiting form Ohio caught in Rip Current and drowned.,PDS
200112,17,1200,200112,17,1200,1125553,5275550,FLORIDA,12,2001,December,Rip Current,C,33,ESCAMBIA,MOB,17-DEC-01 12:00:00,CST,17-DEC-01 12:00:00,0,0,1,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,PENSACOLA BEACH,,,PENSACOLA BEACH,,,,,,Rough surf and strong rip currents claimed the life of a man who drowned in the waters just off Pensacola Beach.,PDS
200102,5,900,200102,6,1200,1110246,5229246,FLORIDA,12,2001,February,Wildfire,C,51,HENDRY,MFL,05-FEB-01 09:00:00,EST,06-FEB-01 12:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,10,WNW,CLEWISTON,10,WNW,CLEWISTON,,,,,"A wildfire burned 30,000 acres inside the levee of Lake Okeechobee between Moore Haven and Clewiston.  Several fish camps and a mobile home park  were evacuated. There are no known casualties or damage.",,PDS
200102,9,1400,200102,9,1400,1110247,5229247,FLORIDA,12,2001,February,Rip Current,C,86,MIAMI-DADE,MFL,09-FEB-01 14:00:00,EST,09-FEB-01 14:00:00,1,0,0,0,,,BROADCAST MEDIA,,,,,,,,,,,,,,MIAMI BEACH,,,MIAMI BEACH,,,,,A man nearly drowned in a rip current near Haulover Beach.,,PDS
200101,1,0,200101,1,900,1110706,5231380,FLORIDA,12,2001,January,Frost/Freeze,Z,39,LEVY,TBW,01-JAN-01 00:00:00,EST,01-JAN-01 09:00:00,0,0,0,0,0,0,"AWOS,ASOS,MESONET,ETC",,,,,,,,,,,,,,,,,,,,,,"Widespread freezing temperatures were observed across most of West Central and Southwest Florida from the late evening of December 31st through the mid-morning hours of January 1st, 2001.Low temperatures in Levy county ranged from the low to middle 20s with total durations below freezing, including the evening hours of December 31st, for up thirteen hours.In Citrus, Sumter, Hernando and Pasco counties, low temperatures ranged from the middle to upper 20s and remained below freezing for durations of nine to thirteen hours.In Polk, Hillsborough, Highlands, Hardee and De Soto counties, low temperatures ranged from the middle to upper 20s and remained below freezing for durations of six to nine hours.  Isolated pockets of low temperatures in the upper teens were observed in extreme rural southern Highlands county.  In Hillsborough county, the freezed caused nearly four million dollars in damage to the tropical fish crop.In Sarasota, Manatee, Charlotte and Lee counties, low temperatures dropped into the upper 20s and lower 30s and remained below freezing for durations of five to seven hours.  In Lee county, the freeze caused nearly three million dollars in damage to the squash and cucumber crop.  In Charlotte county, the freeze caused at least 100 thousand dollars damage to the pepper crop.",,PDS
200102,25,1100,200102,25,1100,1110248,5229248,FLORIDA,12,2001,February,Rip Current,C,11,BROWARD,MFL,25-FEB-01 11:00:00,EST,25-FEB-01 11:00:00,1,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,LAUDERDALE BY THE SEA,,,LAUDERDALE BY THE SEA,,,,,A 73-year old man was hospitalized after nearly drowning in a rip current.  The man who was vacationing from New York was trying to rescue his 40-year daughter who was also caught in the rip current but escaped unharmed.  Winds were east around 20 knots.,,PDS
200102,26,806,200102,26,806,1110249,5229249,FLORIDA,12,2001,February,Dense Fog,Z,69,COASTAL COLLIER,MFL,26-FEB-01 08:06:00,EST,26-FEB-01 08:06:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,"A 140-foot ferry boat collided with a 23-foot fishing boat in the Gulf of Mexico about 12 miles west of Marco Island.  The collision took place in dense sea fog with visibility less than 100 yards.  The fishing boat was sunk , drowning a 40-year old male.  Another man on the fishing boat  was seriously injured and a third suffered minor injuries.",,PDS
200101,1,200,200101,1,900,1110706,5231386,FLORIDA,12,2001,January,Frost/Freeze,Z,61,DE SOTO,TBW,01-JAN-01 02:00:00,EST,01-JAN-01 09:00:00,0,0,0,0,0,0,"AWOS,ASOS,MESONET,ETC",,,,,,,,,,,,,,,,,,,,,,"Widespread freezing temperatures were observed across most of West Central and Southwest Florida from the late evening of December 31st through the mid-morning hours of January 1st, 2001.Low temperatures in Levy county ranged from the low to middle 20s with total durations below freezing, including the evening hours of December 31st, for up thirteen hours.In Citrus, Sumter, Hernando and Pasco counties, low temperatures ranged from the middle to upper 20s and remained below freezing for durations of nine to thirteen hours.In Polk, Hillsborough, Highlands, Hardee and De Soto counties, low temperatures ranged from the middle to upper 20s and remained below freezing for durations of six to nine hours.  Isolated pockets of low temperatures in the upper teens were observed in extreme rural southern Highlands county.  In Hillsborough county, the freezed caused nearly four million dollars in damage to the tropical fish crop.In Sarasota, Manatee, Charlotte and Lee counties, low temperatures dropped into the upper 20s and lower 30s and remained below freezing for durations of five to seven hours.  In Lee county, the freeze caused nearly three million dollars in damage to the squash and cucumber crop.  In Charlotte county, the freeze caused at least 100 thousand dollars damage to the pepper crop.",,PDS
200101,1,400,200101,1,800,1110141,5228599,FLORIDA,12,2001,January,Extreme Cold/Wind Chill,Z,63,GLADES,MFL,01-JAN-01 04:00:00,EST,01-JAN-01 08:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,"The second and coldest night of a two-night freeze in south Florida saw minimum air temperatures ranging from 25 to 30 degrees over interior sections of the peninsula. In the metropolitan areas of Miami-Dade, Broward and Palm Beach counties temperatures were in the middle 30s over the western suburbs. In the downtown metro areas, temperatures were in the lower 40s with the temperatures in the mid 40s at the beach.  Crop damage included losses to corn and newly planted sugar cane in Palm Beach County, and to certain vegetables in Hendry and eastern Collier counties.   During the freeze, more than 40 house fires were reported, most associated with portable heating devices.",,PDS
200101,1,0,200101,1,900,1110706,5231381,FLORIDA,12,2001,January,Frost/Freeze,Z,42,CITRUS,TBW,01-JAN-01 00:00:00,EST,01-JAN-01 09:00:00,0,0,0,0,0,0,"AWOS,ASOS,MESONET,ETC",,,,,,,,,,,,,,,,,,,,,,"Widespread freezing temperatures were observed across most of West Central and Southwest Florida from the late evening of December 31st through the mid-morning hours of January 1st, 2001.Low temperatures in Levy county ranged from the low to middle 20s with total durations below freezing, including the evening hours of December 31st, for up thirteen hours.In Citrus, Sumter, Hernando and Pasco counties, low temperatures ranged from the middle to upper 20s and remained below freezing for durations of nine to thirteen hours.In Polk, Hillsborough, Highlands, Hardee and De Soto counties, low temperatures ranged from the middle to upper 20s and remained below freezing for durations of six to nine hours.  Isolated pockets of low temperatures in the upper teens were observed in extreme rural southern Highlands county.  In Hillsborough county, the freezed caused nearly four million dollars in damage to the tropical fish crop.In Sarasota, Manatee, Charlotte and Lee counties, low temperatures dropped into the upper 20s and lower 30s and remained below freezing for durations of five to seven hours.  In Lee county, the freeze caused nearly three million dollars in damage to the squash and cucumber crop.  In Charlotte county, the freeze caused at least 100 thousand dollars damage to the pepper crop.",,PDS
200101,1,0,200101,1,900,1110706,5231382,FLORIDA,12,2001,January,Frost/Freeze,Z,48,HERNANDO,TBW,01-JAN-01 00:00:00,EST,01-JAN-01 09:00:00,0,0,0,0,0,0,"AWOS,ASOS,MESONET,ETC",,,,,,,,,,,,,,,,,,,,,,"Widespread freezing temperatures were observed across most of West Central and Southwest Florida from the late evening of December 31st through the mid-morning hours of January 1st, 2001.Low temperatures in Levy county ranged from the low to middle 20s with total durations below freezing, including the evening hours of December 31st, for up thirteen hours.In Citrus, Sumter, Hernando and Pasco counties, low temperatures ranged from the middle to upper 20s and remained below freezing for durations of nine to thirteen hours.In Polk, Hillsborough, Highlands, Hardee and De Soto counties, low temperatures ranged from the middle to upper 20s and remained below freezing for durations of six to nine hours.  Isolated pockets of low temperatures in the upper teens were observed in extreme rural southern Highlands county.  In Hillsborough county, the freezed caused nearly four million dollars in damage to the tropical fish crop.In Sarasota, Manatee, Charlotte and Lee counties, low temperatures dropped into the upper 20s and lower 30s and remained below freezing for durations of five to seven hours.  In Lee county, the freeze caused nearly three million dollars in damage to the squash and cucumber crop.  In Charlotte county, the freeze caused at least 100 thousand dollars damage to the pepper crop.",,PDS
200101,1,0,200101,1,900,1110706,5231383,FLORIDA,12,2001,January,Frost/Freeze,Z,49,PASCO,TBW,01-JAN-01 00:00:00,EST,01-JAN-01 09:00:00,0,0,0,0,0,0,"AWOS,ASOS,MESONET,ETC",,,,,,,,,,,,,,,,,,,,,,"Widespread freezing temperatures were observed across most of West Central and Southwest Florida from the late evening of December 31st through the mid-morning hours of January 1st, 2001.Low temperatures in Levy county ranged from the low to middle 20s with total durations below freezing, including the evening hours of December 31st, for up thirteen hours.In Citrus, Sumter, Hernando and Pasco counties, low temperatures ranged from the middle to upper 20s and remained below freezing for durations of nine to thirteen hours.In Polk, Hillsborough, Highlands, Hardee and De Soto counties, low temperatures ranged from the middle to upper 20s and remained below freezing for durations of six to nine hours.  Isolated pockets of low temperatures in the upper teens were observed in extreme rural southern Highlands county.  In Hillsborough county, the freezed caused nearly four million dollars in damage to the tropical fish crop.In Sarasota, Manatee, Charlotte and Lee counties, low temperatures dropped into the upper 20s and lower 30s and remained below freezing for durations of five to seven hours.  In Lee county, the freeze caused nearly three million dollars in damage to the squash and cucumber crop.  In Charlotte county, the freeze caused at least 100 thousand dollars damage to the pepper crop.",,PDS
