BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199707,15,1845,199707,15,1845,2065713,5607648,GEORGIA,13,1997,July,Thunderstorm Wind,C,255,SPALDING,FFC,15-JUL-97 18:45:00,EST,15-JUL-97 18:45:00,0,0,0,0,250K,,,,,,,,,,,,,,,,GRIFFIN,,,GRIFFIN,33.25,-84.27,33.25,-84.27,,"Several trees were knocked down on houses near the Spalding county airport.  The most substantial damage was several aircraft which were parked at the airport.  Five planes received irreparable damage with at least three planes flipped onto their backs, and one on its nose.  As many as six other aircraft were damaged to a lesser degree due to wind stress on the ropes tying them down , or contact with the other aircraft.  One airplane was lifted off the groung, and then carried approximately 70 feet over a fuel truck along the edge of the airport property, landing upside-down  on the county fairgrounds.  	The terminal building at the airport also experienced significant damage to its roof.  One airplane, a DC-3, awaiting restoration at the field was turned like a wind vane from facing southwest to facing west-northwest. The county fairgrounds to the east of the airport also sustained damages.  A free standing ticket booth was destroyed and a storage trailer was toppled along the western edge of the fairgrounds.  Further east, five small sets of aluminum bleachers were rolled by the winds and destroyed.",PDC
199707,16,1640,199707,16,1658,2065714,5607649,GEORGIA,13,1997,July,Hail,C,89,DE KALB,FFC,16-JUL-97 16:40:00,EST,16-JUL-97 16:58:00,0,0,0,0,,,,1.00,,,,,,,,,,,,,BROOKHAVEN,,,CHAMBLEE,33.87,-84.32,33.88,-84.30,,,PDC
199707,16,1705,199707,16,1705,2065714,5607650,GEORGIA,13,1997,July,Hail,C,89,DE KALB,FFC,16-JUL-97 17:05:00,EST,16-JUL-97 17:05:00,0,0,0,0,,,,1.25,,,,,,,,,,,,,TUCKER,,,TUCKER,33.85,-84.22,33.85,-84.22,,,PDC
199707,16,1715,199707,16,1715,2065714,5607651,GEORGIA,13,1997,July,Hail,C,135,GWINNETT,FFC,16-JUL-97 17:15:00,EST,16-JUL-97 17:15:00,0,0,0,0,,,,.75,,,,,,,,,,,2,NE,NORCROSS,2,NE,NORCROSS,33.95,-84.2,33.95,-84.2,,,PDC
199707,27,1922,199707,27,1922,2065717,5609139,GEORGIA,13,1997,July,Thunderstorm Wind,C,207,MONROE,FFC,27-JUL-97 19:22:00,EST,27-JUL-97 19:22:00,0,0,0,0,2K,,,,,,,,,,,,,,,,FORSYTH,,,FORSYTH,33.03,-83.95,33.03,-83.95,,Several large tree limbs and power lines were knocked down by thunderstorm winds all across the county.,PDC
199707,27,1920,199707,27,1920,2065717,5609140,GEORGIA,13,1997,July,Thunderstorm Wind,C,159,JASPER,FFC,27-JUL-97 19:20:00,EST,27-JUL-97 19:20:00,0,0,0,0,3K,,,,,,,,,,,,,,,,SHADY DALE,,S,MONTICELLO,33.40,-83.60,33.28,-83.68,,Thunderstorm winds  knocked trees down in Shady Dale in northern Jasper county and just south of Monticello  at Felton McMichael Road.,PDC
199707,27,2020,199707,27,2020,2065717,5609141,GEORGIA,13,1997,July,Thunderstorm Wind,C,193,MACON,FFC,27-JUL-97 20:20:00,EST,27-JUL-97 20:20:00,0,0,0,0,3K,,,,,,,,,,,,,,,,OGLETHORPE,,,OGLETHORPE,32.3,-84.07,32.3,-84.07,,"Thunderstorm winds knocked a tree down near Georgia Highway 26, and another tree on Head Road off of Georgia Road  49 near Oglethorpe.",PDC
199707,27,1945,199707,27,1945,2065717,5609142,GEORGIA,13,1997,July,Thunderstorm Wind,C,23,BLECKLEY,FFC,27-JUL-97 19:45:00,EST,27-JUL-97 19:45:00,0,0,0,0,1K,,,,,,,,,,,,,,,,CARY,,,CARY,32.52,-83.3,32.52,-83.3,,Thunderstorm winds knocked tree limbs onto power lines on Georgia Highway 112 just south of Cary.,PDC
199707,27,2100,199707,27,2100,2065717,5609143,GEORGIA,13,1997,July,Thunderstorm Wind,C,197,MARION,FFC,27-JUL-97 21:00:00,EST,27-JUL-97 21:00:00,0,0,0,0,1K,,,,,,,,,,,,,,10,W,BUENA VISTA,10,W,BUENA VISTA,32.32,-84.68,32.32,-84.68,,Thunderstorm winds knocked down several trees.,PDC
199707,27,1956,199707,27,2000,2065717,5609145,GEORGIA,13,1997,July,Thunderstorm Wind,C,79,CRAWFORD,FFC,27-JUL-97 19:56:00,EST,27-JUL-97 20:00:00,0,0,0,0,2.25K,,,,,,,,,,,,,,,E,ROBERTA,2,,ROBERTA,32.72,-83.98,32.72,-84.02,,Thunderstorm winds knocked down several large trees and power lines.,PDC
199707,27,1950,199707,27,2020,2065717,5609146,GEORGIA,13,1997,July,Thunderstorm Wind,C,171,LAMAR,FFC,27-JUL-97 19:50:00,EST,27-JUL-97 20:20:00,0,0,0,0,2K,,,,,,,,,,,,,,10,E,BARNESVILLE,10,E,BARNESVILLE,33.05,-83.98,33.05,-83.98,,Thunderstorm winds blew down a couple of large tree limbs.,PDC
199707,28,1624,199707,28,1624,1044124,5609256,GEORGIA,13,1997,July,Hail,C,187,LUMPKIN,FFC,28-JUL-97 16:24:00,EST,28-JUL-97 16:24:00,0,0,0,0,,,,1.00,,,,,,,,,,,3,N,DAHLONEGA,3,N,DAHLONEGA,34.58,-83.98,34.58,-83.98,,,PDC
199707,28,1600,199707,28,1600,1044124,5609257,GEORGIA,13,1997,July,Thunderstorm Wind,C,311,WHITE,FFC,28-JUL-97 16:00:00,EST,28-JUL-97 16:00:00,0,0,0,0,2K,,,50,EG,,,,,,,,,,,,HELEN,,,HELEN,34.7,-83.72,34.7,-83.72,,Thunderstorm winds knocked down several trees and power lines.,PDC
199707,28,1721,199707,28,1726,1044124,5609258,GEORGIA,13,1997,July,Hail,C,217,NEWTON,FFC,28-JUL-97 17:21:00,EST,28-JUL-97 17:26:00,0,0,0,0,,,,1.00,,,,,,,,,,,,,COVINGTON,,,COVINGTON,33.6,-83.87,33.6,-83.87,,Dime to quarter sized hail was reported.,PDC
199707,28,1850,199707,28,1850,1044124,5609255,GEORGIA,13,1997,July,Hail,C,89,DE KALB,FFC,28-JUL-97 18:50:00,EST,28-JUL-97 18:50:00,0,0,0,0,,,,.75,,,,,,,,,,,,,DORAVILLE,,,DORAVILLE,33.9,-84.28,33.9,-84.28,,Dime sized hail fell.,PDC
199707,27,1730,199707,27,1730,2065717,5609133,GEORGIA,13,1997,July,Thunderstorm Wind,C,163,JEFFERSON,FFC,27-JUL-97 17:30:00,EST,27-JUL-97 17:30:00,0,0,0,0,1.5K,,,,,,,,,,,,,,3,SE,WADLEY,3,SE,WADLEY,32.83,-82.37,32.83,-82.37,,Thunderstorm winds knocked down several trees southeast of Wadley.,PDC
199707,27,1850,199707,27,1850,2065717,5609134,GEORGIA,13,1997,July,Thunderstorm Wind,C,21,BIBB,FFC,27-JUL-97 18:50:00,EST,27-JUL-97 18:50:00,0,0,0,0,2K,,,,,,,,,,,,,,,,MACON,,,MACON,32.82,-83.65,32.82,-83.65,,Thunderstorm winds knocked down several trees and power lines.,PDC
199707,27,1915,199707,27,1935,2065717,5609137,GEORGIA,13,1997,July,Thunderstorm Wind,C,169,JONES,FFC,27-JUL-97 19:15:00,EST,27-JUL-97 19:35:00,0,0,0,0,3K,,,,,,,,,,,,,,,,GRAY,,,GRAY,33.02,-83.53,33.02,-83.53,,Thunderstorm winds knocked down trees and power lines all over the county.,PDC
199707,27,2005,199707,27,2005,2065717,5609252,GEORGIA,13,1997,July,Thunderstorm Wind,C,153,HOUSTON,FFC,27-JUL-97 20:05:00,EST,27-JUL-97 20:05:00,0,0,0,0,2K,,,,,,,,,,,,,,5,N,PERRY,5,N,PERRY,32.52,-83.73,32.52,-83.73,,Thunderstorm winds knocked down several large tree limbs and power lines.,PDC
199707,28,1820,199707,28,1850,1044124,5609378,GEORGIA,13,1997,July,Lightning,C,135,GWINNETT,FFC,28-JUL-97 18:20:00,EST,28-JUL-97 18:50:00,0,0,0,0,80K,,,,,,,,,,,,,,,,LILBURN,,,LILBURN,,,,,,"Within a thirty minute period, lightning struck more than 9 homes and/or businesses in Gwinnett county.  Lightning also struck several transformers, leaving more than 5,000 people without power at the height of the storm.  Power was restored to most people by 10 pm that evening.  At least 5 transformers were damaged.",PDC
