BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202403,2,1631,202403,2,1631,189951,1167753,GEORGIA,13,2024,March,Hail,C,275,THOMAS,TAE,02-MAR-24 16:31:00,EST-5,02-MAR-24 16:31:00,0,0,0,0,0.00K,0.00K,Trained Spotter,0.75,,,,,,,,,,,1.91,WNW,MERRILLVILLE,1.91,WNW,MERRILLVILLE,30.95,-83.9,30.95,-83.9,A few thunderstorms occurred across southwest Georgia with one storm producing penny sized hail in Thomas county.,,CSV
202401,1,0,202401,15,2359,189345,1164474,GEORGIA,13,2024,January,Drought,Z,7,GILMER,FFC,01-JAN-24 00:00:00,EST-5,15-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Above-normal rainfall continued into January, bringing an end to the Short-Term Drought over Georgia. At the start of the year, conditions had improved such that Fall 2023's D4 Exceptional Drought had been completed eliminated, and D3 Extreme Drought was close behind. Persistent rainy conditions were chipping away at the remaining D2 Severe Drought through the month. Statistically speaking, at the start of January, 11.5 percent of the state was in D2 Severe Drought or worse, with 0.1 percent being D3 Extreme Drought. By the end of January, only 1.3 percent of the state was in D1 Moderate Drought conditions, and no areas were in a D2 Severe Drought or higher category. ||In total, January's rainfall generally ranged from 3 to 10 inches over north and central Georgia. Far northeast Georgia received the highest amounts, with accumulations of 8 to 12 inches (100 to 200 percent of normal). The lowest rainfall amounts were observed over east central Georgia, where accumulations generally amounted to 2 to 4 inches (50 to 90 percent of normal). The remainder of the area received 6 to 8 inches of rain (125 to 300 percent of normal). In general, these rainfall amounts fell during only 2-3 impactful weather events during the month, with a bulk falling January 9-10, 2024. ||In the January 25 Drought Information Statement issued by the NWS Atlanta office, 30-day rainfall totals were included for some of the climate record locations: Rome (RMG) reported 5.70 inches (121 percent of normal), Atlanta (ATL) reported 4.84 inches (113 percent of normal), Gainesville (GVL) reported 8.42 inches (174 percent of normal), Athens (AHN) reported 9.52 inches (221 percent of normal), Peachtree-DeKalb (PDK) reported 4.70 inches (106 percent of normal), Peachtree City (FFC) reported 5.18 inches (123 percent of normal), and Columbus (CSG) reported 4.20 inches (99 percent of normal). These 30-day totals show a marked difference from the abnormally low Fall 2023 monthly rainfall totals. ||By the end of January, soil moisture normal to above normal for the state, and the Crop Moisture Index indicated all nine Georgia climatological zones were Favorably Moist to Wet. The USDA's Crop Progress and Conditions report from the early January indicated livestock was reported to be in good condition, though hay supplies continued to run low due to the fall drought conditions. Cattle farmers were still having to supplement food to extend limited hay supplies. Additionally, the overall crop update for cotton and winter wheat was favorable. ||The drought ended statewide by January 30, 2024.","According to the Drought Monitor, D2 Severe Drought conditions were present in Gilmer county at the beginning of January. Above-normal January rainfall rapidly improved conditions to D1 Moderate Drought on January 16, ending the short-term drought over Gilmer county. ||In total, Gilmer county was under D2 Severe Drought or worse conditions for approximately 12 weeks, beginning on or about October 24, 2023, and ending January 16, 2024. At the peak, Gilmer county was under D3 Extreme Drought conditions for approximately 8 weeks.",CSV
202401,1,0,202401,15,2359,189345,1164500,GEORGIA,13,2024,January,Drought,Z,14,DAWSON,FFC,01-JAN-24 00:00:00,EST-5,15-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Above-normal rainfall continued into January, bringing an end to the Short-Term Drought over Georgia. At the start of the year, conditions had improved such that Fall 2023's D4 Exceptional Drought had been completed eliminated, and D3 Extreme Drought was close behind. Persistent rainy conditions were chipping away at the remaining D2 Severe Drought through the month. Statistically speaking, at the start of January, 11.5 percent of the state was in D2 Severe Drought or worse, with 0.1 percent being D3 Extreme Drought. By the end of January, only 1.3 percent of the state was in D1 Moderate Drought conditions, and no areas were in a D2 Severe Drought or higher category. ||In total, January's rainfall generally ranged from 3 to 10 inches over north and central Georgia. Far northeast Georgia received the highest amounts, with accumulations of 8 to 12 inches (100 to 200 percent of normal). The lowest rainfall amounts were observed over east central Georgia, where accumulations generally amounted to 2 to 4 inches (50 to 90 percent of normal). The remainder of the area received 6 to 8 inches of rain (125 to 300 percent of normal). In general, these rainfall amounts fell during only 2-3 impactful weather events during the month, with a bulk falling January 9-10, 2024. ||In the January 25 Drought Information Statement issued by the NWS Atlanta office, 30-day rainfall totals were included for some of the climate record locations: Rome (RMG) reported 5.70 inches (121 percent of normal), Atlanta (ATL) reported 4.84 inches (113 percent of normal), Gainesville (GVL) reported 8.42 inches (174 percent of normal), Athens (AHN) reported 9.52 inches (221 percent of normal), Peachtree-DeKalb (PDK) reported 4.70 inches (106 percent of normal), Peachtree City (FFC) reported 5.18 inches (123 percent of normal), and Columbus (CSG) reported 4.20 inches (99 percent of normal). These 30-day totals show a marked difference from the abnormally low Fall 2023 monthly rainfall totals. ||By the end of January, soil moisture normal to above normal for the state, and the Crop Moisture Index indicated all nine Georgia climatological zones were Favorably Moist to Wet. The USDA's Crop Progress and Conditions report from the early January indicated livestock was reported to be in good condition, though hay supplies continued to run low due to the fall drought conditions. Cattle farmers were still having to supplement food to extend limited hay supplies. Additionally, the overall crop update for cotton and winter wheat was favorable. ||The drought ended statewide by January 30, 2024.","According to the Drought Monitor, D2 Severe Drought conditions were present in Dawson county at the beginning of January. Above-normal January rainfall rapidly improved conditions to D1 Moderate Drought on January 16, ending the short-term drought over Dawson county. ||In total, Dawson county was under D2 Severe Drought or worse conditions for approximately 12 weeks, beginning on or about October 24, 2023, and ending January 16, 2024. At the peak, Pickens county was under D3 Extreme Drought conditions for approximately 6 weeks.",CSV
202401,1,0,202401,15,2359,189345,1164506,GEORGIA,13,2024,January,Drought,Z,41,HARALSON,FFC,01-JAN-24 00:00:00,EST-5,15-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Above-normal rainfall continued into January, bringing an end to the Short-Term Drought over Georgia. At the start of the year, conditions had improved such that Fall 2023's D4 Exceptional Drought had been completed eliminated, and D3 Extreme Drought was close behind. Persistent rainy conditions were chipping away at the remaining D2 Severe Drought through the month. Statistically speaking, at the start of January, 11.5 percent of the state was in D2 Severe Drought or worse, with 0.1 percent being D3 Extreme Drought. By the end of January, only 1.3 percent of the state was in D1 Moderate Drought conditions, and no areas were in a D2 Severe Drought or higher category. ||In total, January's rainfall generally ranged from 3 to 10 inches over north and central Georgia. Far northeast Georgia received the highest amounts, with accumulations of 8 to 12 inches (100 to 200 percent of normal). The lowest rainfall amounts were observed over east central Georgia, where accumulations generally amounted to 2 to 4 inches (50 to 90 percent of normal). The remainder of the area received 6 to 8 inches of rain (125 to 300 percent of normal). In general, these rainfall amounts fell during only 2-3 impactful weather events during the month, with a bulk falling January 9-10, 2024. ||In the January 25 Drought Information Statement issued by the NWS Atlanta office, 30-day rainfall totals were included for some of the climate record locations: Rome (RMG) reported 5.70 inches (121 percent of normal), Atlanta (ATL) reported 4.84 inches (113 percent of normal), Gainesville (GVL) reported 8.42 inches (174 percent of normal), Athens (AHN) reported 9.52 inches (221 percent of normal), Peachtree-DeKalb (PDK) reported 4.70 inches (106 percent of normal), Peachtree City (FFC) reported 5.18 inches (123 percent of normal), and Columbus (CSG) reported 4.20 inches (99 percent of normal). These 30-day totals show a marked difference from the abnormally low Fall 2023 monthly rainfall totals. ||By the end of January, soil moisture normal to above normal for the state, and the Crop Moisture Index indicated all nine Georgia climatological zones were Favorably Moist to Wet. The USDA's Crop Progress and Conditions report from the early January indicated livestock was reported to be in good condition, though hay supplies continued to run low due to the fall drought conditions. Cattle farmers were still having to supplement food to extend limited hay supplies. Additionally, the overall crop update for cotton and winter wheat was favorable. ||The drought ended statewide by January 30, 2024.","According to the Drought Monitor, D2 Severe Drought conditions were present in Haralson county at the beginning of January. Above-normal January rainfall rapidly improved conditions to D1 Moderate Drought on January 16, ending the short-term drought over Haralson county. ||In total, Haralson county was under D2 Severe Drought or worse conditions for approximately 6 weeks, beginning on or about December 5, 2023, and ending January 16, 2024.",CSV
202401,1,0,202401,15,2359,189345,1164509,GEORGIA,13,2024,January,Drought,Z,42,CARROLL,FFC,01-JAN-24 00:00:00,EST-5,15-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Above-normal rainfall continued into January, bringing an end to the Short-Term Drought over Georgia. At the start of the year, conditions had improved such that Fall 2023's D4 Exceptional Drought had been completed eliminated, and D3 Extreme Drought was close behind. Persistent rainy conditions were chipping away at the remaining D2 Severe Drought through the month. Statistically speaking, at the start of January, 11.5 percent of the state was in D2 Severe Drought or worse, with 0.1 percent being D3 Extreme Drought. By the end of January, only 1.3 percent of the state was in D1 Moderate Drought conditions, and no areas were in a D2 Severe Drought or higher category. ||In total, January's rainfall generally ranged from 3 to 10 inches over north and central Georgia. Far northeast Georgia received the highest amounts, with accumulations of 8 to 12 inches (100 to 200 percent of normal). The lowest rainfall amounts were observed over east central Georgia, where accumulations generally amounted to 2 to 4 inches (50 to 90 percent of normal). The remainder of the area received 6 to 8 inches of rain (125 to 300 percent of normal). In general, these rainfall amounts fell during only 2-3 impactful weather events during the month, with a bulk falling January 9-10, 2024. ||In the January 25 Drought Information Statement issued by the NWS Atlanta office, 30-day rainfall totals were included for some of the climate record locations: Rome (RMG) reported 5.70 inches (121 percent of normal), Atlanta (ATL) reported 4.84 inches (113 percent of normal), Gainesville (GVL) reported 8.42 inches (174 percent of normal), Athens (AHN) reported 9.52 inches (221 percent of normal), Peachtree-DeKalb (PDK) reported 4.70 inches (106 percent of normal), Peachtree City (FFC) reported 5.18 inches (123 percent of normal), and Columbus (CSG) reported 4.20 inches (99 percent of normal). These 30-day totals show a marked difference from the abnormally low Fall 2023 monthly rainfall totals. ||By the end of January, soil moisture normal to above normal for the state, and the Crop Moisture Index indicated all nine Georgia climatological zones were Favorably Moist to Wet. The USDA's Crop Progress and Conditions report from the early January indicated livestock was reported to be in good condition, though hay supplies continued to run low due to the fall drought conditions. Cattle farmers were still having to supplement food to extend limited hay supplies. Additionally, the overall crop update for cotton and winter wheat was favorable. ||The drought ended statewide by January 30, 2024.","According to the Drought Monitor, D2 Severe Drought conditions were present in Carroll county at the beginning of January. Above-normal January rainfall rapidly improved conditions to D1 Moderate Drought on January 16, ending the short-term drought over Carroll county. ||In total, Carroll county was under D2 Severe Drought or worse conditions for approximately 4 weeks, beginning on or about December 19, 2023, and ending January 16, 2024.",CSV
202401,1,0,202401,8,2359,189345,1164511,GEORGIA,13,2024,January,Drought,Z,24,BANKS,FFC,01-JAN-24 00:00:00,EST-5,08-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Above-normal rainfall continued into January, bringing an end to the Short-Term Drought over Georgia. At the start of the year, conditions had improved such that Fall 2023's D4 Exceptional Drought had been completed eliminated, and D3 Extreme Drought was close behind. Persistent rainy conditions were chipping away at the remaining D2 Severe Drought through the month. Statistically speaking, at the start of January, 11.5 percent of the state was in D2 Severe Drought or worse, with 0.1 percent being D3 Extreme Drought. By the end of January, only 1.3 percent of the state was in D1 Moderate Drought conditions, and no areas were in a D2 Severe Drought or higher category. ||In total, January's rainfall generally ranged from 3 to 10 inches over north and central Georgia. Far northeast Georgia received the highest amounts, with accumulations of 8 to 12 inches (100 to 200 percent of normal). The lowest rainfall amounts were observed over east central Georgia, where accumulations generally amounted to 2 to 4 inches (50 to 90 percent of normal). The remainder of the area received 6 to 8 inches of rain (125 to 300 percent of normal). In general, these rainfall amounts fell during only 2-3 impactful weather events during the month, with a bulk falling January 9-10, 2024. ||In the January 25 Drought Information Statement issued by the NWS Atlanta office, 30-day rainfall totals were included for some of the climate record locations: Rome (RMG) reported 5.70 inches (121 percent of normal), Atlanta (ATL) reported 4.84 inches (113 percent of normal), Gainesville (GVL) reported 8.42 inches (174 percent of normal), Athens (AHN) reported 9.52 inches (221 percent of normal), Peachtree-DeKalb (PDK) reported 4.70 inches (106 percent of normal), Peachtree City (FFC) reported 5.18 inches (123 percent of normal), and Columbus (CSG) reported 4.20 inches (99 percent of normal). These 30-day totals show a marked difference from the abnormally low Fall 2023 monthly rainfall totals. ||By the end of January, soil moisture normal to above normal for the state, and the Crop Moisture Index indicated all nine Georgia climatological zones were Favorably Moist to Wet. The USDA's Crop Progress and Conditions report from the early January indicated livestock was reported to be in good condition, though hay supplies continued to run low due to the fall drought conditions. Cattle farmers were still having to supplement food to extend limited hay supplies. Additionally, the overall crop update for cotton and winter wheat was favorable. ||The drought ended statewide by January 30, 2024.","According to the Drought Monitor, D2 Severe Drought conditions were present in Banks county at the beginning of January. Above-normal January rainfall rapidly improved conditions to D1 Moderate Drought on January 9, ending the short-term drought over Banks county. ||In total, Banks county was under D2 Severe Drought or worse conditions for approximately 7 weeks, beginning on or about November 21, 2023, and ending January 9, 2024.",CSV
202401,1,0,202401,8,2359,189345,1164515,GEORGIA,13,2024,January,Drought,Z,32,COBB,FFC,01-JAN-24 00:00:00,EST-5,08-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Above-normal rainfall continued into January, bringing an end to the Short-Term Drought over Georgia. At the start of the year, conditions had improved such that Fall 2023's D4 Exceptional Drought had been completed eliminated, and D3 Extreme Drought was close behind. Persistent rainy conditions were chipping away at the remaining D2 Severe Drought through the month. Statistically speaking, at the start of January, 11.5 percent of the state was in D2 Severe Drought or worse, with 0.1 percent being D3 Extreme Drought. By the end of January, only 1.3 percent of the state was in D1 Moderate Drought conditions, and no areas were in a D2 Severe Drought or higher category. ||In total, January's rainfall generally ranged from 3 to 10 inches over north and central Georgia. Far northeast Georgia received the highest amounts, with accumulations of 8 to 12 inches (100 to 200 percent of normal). The lowest rainfall amounts were observed over east central Georgia, where accumulations generally amounted to 2 to 4 inches (50 to 90 percent of normal). The remainder of the area received 6 to 8 inches of rain (125 to 300 percent of normal). In general, these rainfall amounts fell during only 2-3 impactful weather events during the month, with a bulk falling January 9-10, 2024. ||In the January 25 Drought Information Statement issued by the NWS Atlanta office, 30-day rainfall totals were included for some of the climate record locations: Rome (RMG) reported 5.70 inches (121 percent of normal), Atlanta (ATL) reported 4.84 inches (113 percent of normal), Gainesville (GVL) reported 8.42 inches (174 percent of normal), Athens (AHN) reported 9.52 inches (221 percent of normal), Peachtree-DeKalb (PDK) reported 4.70 inches (106 percent of normal), Peachtree City (FFC) reported 5.18 inches (123 percent of normal), and Columbus (CSG) reported 4.20 inches (99 percent of normal). These 30-day totals show a marked difference from the abnormally low Fall 2023 monthly rainfall totals. ||By the end of January, soil moisture normal to above normal for the state, and the Crop Moisture Index indicated all nine Georgia climatological zones were Favorably Moist to Wet. The USDA's Crop Progress and Conditions report from the early January indicated livestock was reported to be in good condition, though hay supplies continued to run low due to the fall drought conditions. Cattle farmers were still having to supplement food to extend limited hay supplies. Additionally, the overall crop update for cotton and winter wheat was favorable. ||The drought ended statewide by January 30, 2024.","According to the Drought Monitor, D2 Severe Drought conditions were present in Cobb county at the beginning of January. Above-normal January rainfall rapidly improved conditions to D1 Moderate Drought on January 9, ending the short-term drought over Cobb county. ||In total, Cobb county was under D2 Severe Drought or worse conditions for approximately 7 weeks, beginning on or about November 21, 2023, and ending January 9, 2024.",CSV
202401,1,0,202401,15,2359,189345,1164472,GEORGIA,13,2024,January,Drought,Z,5,MURRAY,FFC,01-JAN-24 00:00:00,EST-5,15-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Above-normal rainfall continued into January, bringing an end to the Short-Term Drought over Georgia. At the start of the year, conditions had improved such that Fall 2023's D4 Exceptional Drought had been completed eliminated, and D3 Extreme Drought was close behind. Persistent rainy conditions were chipping away at the remaining D2 Severe Drought through the month. Statistically speaking, at the start of January, 11.5 percent of the state was in D2 Severe Drought or worse, with 0.1 percent being D3 Extreme Drought. By the end of January, only 1.3 percent of the state was in D1 Moderate Drought conditions, and no areas were in a D2 Severe Drought or higher category. ||In total, January's rainfall generally ranged from 3 to 10 inches over north and central Georgia. Far northeast Georgia received the highest amounts, with accumulations of 8 to 12 inches (100 to 200 percent of normal). The lowest rainfall amounts were observed over east central Georgia, where accumulations generally amounted to 2 to 4 inches (50 to 90 percent of normal). The remainder of the area received 6 to 8 inches of rain (125 to 300 percent of normal). In general, these rainfall amounts fell during only 2-3 impactful weather events during the month, with a bulk falling January 9-10, 2024. ||In the January 25 Drought Information Statement issued by the NWS Atlanta office, 30-day rainfall totals were included for some of the climate record locations: Rome (RMG) reported 5.70 inches (121 percent of normal), Atlanta (ATL) reported 4.84 inches (113 percent of normal), Gainesville (GVL) reported 8.42 inches (174 percent of normal), Athens (AHN) reported 9.52 inches (221 percent of normal), Peachtree-DeKalb (PDK) reported 4.70 inches (106 percent of normal), Peachtree City (FFC) reported 5.18 inches (123 percent of normal), and Columbus (CSG) reported 4.20 inches (99 percent of normal). These 30-day totals show a marked difference from the abnormally low Fall 2023 monthly rainfall totals. ||By the end of January, soil moisture normal to above normal for the state, and the Crop Moisture Index indicated all nine Georgia climatological zones were Favorably Moist to Wet. The USDA's Crop Progress and Conditions report from the early January indicated livestock was reported to be in good condition, though hay supplies continued to run low due to the fall drought conditions. Cattle farmers were still having to supplement food to extend limited hay supplies. Additionally, the overall crop update for cotton and winter wheat was favorable. ||The drought ended statewide by January 30, 2024.","According to the Drought Monitor, D2 Severe Drought conditions were present in Murray county at the beginning of January. Above-normal January rainfall rapidly improved conditions to D1 Moderate Drought on January 16, ending the short-term drought over Murray county. ||In total, Murray county was under D2 Severe Drought or worse conditions for approximately 13 weeks, beginning on or about October 17, 2023, and ending January 16, 2024. At the peak, Murray county was under D3 Extreme Drought conditions for approximately 8 weeks.",CSV
202401,1,0,202401,15,2359,189345,1164475,GEORGIA,13,2024,January,Drought,Z,6,FANNIN,FFC,01-JAN-24 00:00:00,EST-5,15-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Above-normal rainfall continued into January, bringing an end to the Short-Term Drought over Georgia. At the start of the year, conditions had improved such that Fall 2023's D4 Exceptional Drought had been completed eliminated, and D3 Extreme Drought was close behind. Persistent rainy conditions were chipping away at the remaining D2 Severe Drought through the month. Statistically speaking, at the start of January, 11.5 percent of the state was in D2 Severe Drought or worse, with 0.1 percent being D3 Extreme Drought. By the end of January, only 1.3 percent of the state was in D1 Moderate Drought conditions, and no areas were in a D2 Severe Drought or higher category. ||In total, January's rainfall generally ranged from 3 to 10 inches over north and central Georgia. Far northeast Georgia received the highest amounts, with accumulations of 8 to 12 inches (100 to 200 percent of normal). The lowest rainfall amounts were observed over east central Georgia, where accumulations generally amounted to 2 to 4 inches (50 to 90 percent of normal). The remainder of the area received 6 to 8 inches of rain (125 to 300 percent of normal). In general, these rainfall amounts fell during only 2-3 impactful weather events during the month, with a bulk falling January 9-10, 2024. ||In the January 25 Drought Information Statement issued by the NWS Atlanta office, 30-day rainfall totals were included for some of the climate record locations: Rome (RMG) reported 5.70 inches (121 percent of normal), Atlanta (ATL) reported 4.84 inches (113 percent of normal), Gainesville (GVL) reported 8.42 inches (174 percent of normal), Athens (AHN) reported 9.52 inches (221 percent of normal), Peachtree-DeKalb (PDK) reported 4.70 inches (106 percent of normal), Peachtree City (FFC) reported 5.18 inches (123 percent of normal), and Columbus (CSG) reported 4.20 inches (99 percent of normal). These 30-day totals show a marked difference from the abnormally low Fall 2023 monthly rainfall totals. ||By the end of January, soil moisture normal to above normal for the state, and the Crop Moisture Index indicated all nine Georgia climatological zones were Favorably Moist to Wet. The USDA's Crop Progress and Conditions report from the early January indicated livestock was reported to be in good condition, though hay supplies continued to run low due to the fall drought conditions. Cattle farmers were still having to supplement food to extend limited hay supplies. Additionally, the overall crop update for cotton and winter wheat was favorable. ||The drought ended statewide by January 30, 2024.","According to the Drought Monitor, D2 Severe Drought conditions were present in Fannin county at the beginning of January. Above-normal January rainfall rapidly improved conditions to D1 Moderate Drought on January 16, ending the short-term drought over Fannin county. ||In total, Fannin county was under D2 Severe Drought or worse conditions for approximately 13 weeks, beginning on or about October 17, 2023, and ending January 16, 2024. At the peak, Fannin county was under D3 Extreme Drought conditions for approximately 8 weeks.",CSV
202401,1,0,202401,15,2359,189345,1164497,GEORGIA,13,2024,January,Drought,Z,8,UNION,FFC,01-JAN-24 00:00:00,EST-5,15-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Above-normal rainfall continued into January, bringing an end to the Short-Term Drought over Georgia. At the start of the year, conditions had improved such that Fall 2023's D4 Exceptional Drought had been completed eliminated, and D3 Extreme Drought was close behind. Persistent rainy conditions were chipping away at the remaining D2 Severe Drought through the month. Statistically speaking, at the start of January, 11.5 percent of the state was in D2 Severe Drought or worse, with 0.1 percent being D3 Extreme Drought. By the end of January, only 1.3 percent of the state was in D1 Moderate Drought conditions, and no areas were in a D2 Severe Drought or higher category. ||In total, January's rainfall generally ranged from 3 to 10 inches over north and central Georgia. Far northeast Georgia received the highest amounts, with accumulations of 8 to 12 inches (100 to 200 percent of normal). The lowest rainfall amounts were observed over east central Georgia, where accumulations generally amounted to 2 to 4 inches (50 to 90 percent of normal). The remainder of the area received 6 to 8 inches of rain (125 to 300 percent of normal). In general, these rainfall amounts fell during only 2-3 impactful weather events during the month, with a bulk falling January 9-10, 2024. ||In the January 25 Drought Information Statement issued by the NWS Atlanta office, 30-day rainfall totals were included for some of the climate record locations: Rome (RMG) reported 5.70 inches (121 percent of normal), Atlanta (ATL) reported 4.84 inches (113 percent of normal), Gainesville (GVL) reported 8.42 inches (174 percent of normal), Athens (AHN) reported 9.52 inches (221 percent of normal), Peachtree-DeKalb (PDK) reported 4.70 inches (106 percent of normal), Peachtree City (FFC) reported 5.18 inches (123 percent of normal), and Columbus (CSG) reported 4.20 inches (99 percent of normal). These 30-day totals show a marked difference from the abnormally low Fall 2023 monthly rainfall totals. ||By the end of January, soil moisture normal to above normal for the state, and the Crop Moisture Index indicated all nine Georgia climatological zones were Favorably Moist to Wet. The USDA's Crop Progress and Conditions report from the early January indicated livestock was reported to be in good condition, though hay supplies continued to run low due to the fall drought conditions. Cattle farmers were still having to supplement food to extend limited hay supplies. Additionally, the overall crop update for cotton and winter wheat was favorable. ||The drought ended statewide by January 30, 2024.","According to the Drought Monitor, D2 Severe Drought conditions were present in Union county at the beginning of January. Above-normal January rainfall rapidly improved conditions to D1 Moderate Drought on January 16, ending the short-term drought over Union county. ||In total, Union county was under D2 Severe Drought or worse conditions for approximately 11 weeks, beginning on or about October 31, 2023, and ending January 16, 2024. At the peak, Union county was under D3 Extreme Drought conditions for approximately 7 weeks.",CSV
202401,1,0,202401,15,2359,189345,1164499,GEORGIA,13,2024,January,Drought,Z,13,PICKENS,FFC,01-JAN-24 00:00:00,EST-5,15-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Above-normal rainfall continued into January, bringing an end to the Short-Term Drought over Georgia. At the start of the year, conditions had improved such that Fall 2023's D4 Exceptional Drought had been completed eliminated, and D3 Extreme Drought was close behind. Persistent rainy conditions were chipping away at the remaining D2 Severe Drought through the month. Statistically speaking, at the start of January, 11.5 percent of the state was in D2 Severe Drought or worse, with 0.1 percent being D3 Extreme Drought. By the end of January, only 1.3 percent of the state was in D1 Moderate Drought conditions, and no areas were in a D2 Severe Drought or higher category. ||In total, January's rainfall generally ranged from 3 to 10 inches over north and central Georgia. Far northeast Georgia received the highest amounts, with accumulations of 8 to 12 inches (100 to 200 percent of normal). The lowest rainfall amounts were observed over east central Georgia, where accumulations generally amounted to 2 to 4 inches (50 to 90 percent of normal). The remainder of the area received 6 to 8 inches of rain (125 to 300 percent of normal). In general, these rainfall amounts fell during only 2-3 impactful weather events during the month, with a bulk falling January 9-10, 2024. ||In the January 25 Drought Information Statement issued by the NWS Atlanta office, 30-day rainfall totals were included for some of the climate record locations: Rome (RMG) reported 5.70 inches (121 percent of normal), Atlanta (ATL) reported 4.84 inches (113 percent of normal), Gainesville (GVL) reported 8.42 inches (174 percent of normal), Athens (AHN) reported 9.52 inches (221 percent of normal), Peachtree-DeKalb (PDK) reported 4.70 inches (106 percent of normal), Peachtree City (FFC) reported 5.18 inches (123 percent of normal), and Columbus (CSG) reported 4.20 inches (99 percent of normal). These 30-day totals show a marked difference from the abnormally low Fall 2023 monthly rainfall totals. ||By the end of January, soil moisture normal to above normal for the state, and the Crop Moisture Index indicated all nine Georgia climatological zones were Favorably Moist to Wet. The USDA's Crop Progress and Conditions report from the early January indicated livestock was reported to be in good condition, though hay supplies continued to run low due to the fall drought conditions. Cattle farmers were still having to supplement food to extend limited hay supplies. Additionally, the overall crop update for cotton and winter wheat was favorable. ||The drought ended statewide by January 30, 2024.","According to the Drought Monitor, D2 Severe Drought conditions were present in Pickens county at the beginning of January. Above-normal January rainfall rapidly improved conditions to D1 Moderate Drought on January 16, ending the short-term drought over Pickens county. ||In total, Pickens county was under D2 Severe Drought or worse conditions for approximately 12 weeks, beginning on or about October 24, 2023, and ending January 16, 2024. At the peak, Pickens county was under D3 Extreme Drought conditions for approximately 8 weeks.",CSV
