BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201501,9,1400,201501,10,1400,92104,551795,HAWAII,15,2015,January,High Surf,Z,20,WINDWARD HALEAKALA,HFO,09-JAN-15 14:00:00,HST-10,10-JAN-15 14:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A swell from the northwest caused surf of 10 to 16 feet along the north-facing shores of Niihau, Kauai, Oahu, Molokai, and Maui; and 8 to 12 feet along the west-facing shores of Niihau, Kauai, Oahu, and Molokai.  No significant property damage or injuries were reported.",,CSV
201501,12,1400,201501,13,1800,92105,551796,HAWAII,15,2015,January,High Surf,Z,1,NIIHAU,HFO,12-JAN-15 14:00:00,HST-10,13-JAN-15 18:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A swell from a strong low far northwest of the islands generated surf of 10 to 20 feet along the north-facing shores of Niihau, Kauai, Oahu, Molokai, and Maui; and 8 to 15 feet along the west-facing shores of Niihau, Kauai, Oahu, and Molokai. There were no reports of serious injuries or property damage.",,CSV
201501,12,1400,201501,13,1800,92105,551797,HAWAII,15,2015,January,High Surf,Z,2,KAUAI WINDWARD,HFO,12-JAN-15 14:00:00,HST-10,13-JAN-15 18:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A swell from a strong low far northwest of the islands generated surf of 10 to 20 feet along the north-facing shores of Niihau, Kauai, Oahu, Molokai, and Maui; and 8 to 15 feet along the west-facing shores of Niihau, Kauai, Oahu, and Molokai. There were no reports of serious injuries or property damage.",,CSV
201501,12,1400,201501,13,1800,92105,551798,HAWAII,15,2015,January,High Surf,Z,3,KAUAI LEEWARD,HFO,12-JAN-15 14:00:00,HST-10,13-JAN-15 18:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A swell from a strong low far northwest of the islands generated surf of 10 to 20 feet along the north-facing shores of Niihau, Kauai, Oahu, Molokai, and Maui; and 8 to 15 feet along the west-facing shores of Niihau, Kauai, Oahu, and Molokai. There were no reports of serious injuries or property damage.",,CSV
201501,12,1400,201501,13,1800,92105,551799,HAWAII,15,2015,January,High Surf,Z,6,WAIANAE COAST,HFO,12-JAN-15 14:00:00,HST-10,13-JAN-15 18:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A swell from a strong low far northwest of the islands generated surf of 10 to 20 feet along the north-facing shores of Niihau, Kauai, Oahu, Molokai, and Maui; and 8 to 15 feet along the west-facing shores of Niihau, Kauai, Oahu, and Molokai. There were no reports of serious injuries or property damage.",,CSV
201501,12,1400,201501,13,1800,92105,551800,HAWAII,15,2015,January,High Surf,Z,7,OAHU NORTH SHORE,HFO,12-JAN-15 14:00:00,HST-10,13-JAN-15 18:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A swell from a strong low far northwest of the islands generated surf of 10 to 20 feet along the north-facing shores of Niihau, Kauai, Oahu, Molokai, and Maui; and 8 to 15 feet along the west-facing shores of Niihau, Kauai, Oahu, and Molokai. There were no reports of serious injuries or property damage.",,CSV
201501,12,1400,201501,13,1800,92105,551801,HAWAII,15,2015,January,High Surf,Z,8,OAHU KOOLAU,HFO,12-JAN-15 14:00:00,HST-10,13-JAN-15 18:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A swell from a strong low far northwest of the islands generated surf of 10 to 20 feet along the north-facing shores of Niihau, Kauai, Oahu, Molokai, and Maui; and 8 to 15 feet along the west-facing shores of Niihau, Kauai, Oahu, and Molokai. There were no reports of serious injuries or property damage.",,CSV
201501,12,1400,201501,13,1800,92105,551803,HAWAII,15,2015,January,High Surf,Z,13,MOLOKAI LEEWARD,HFO,12-JAN-15 14:00:00,HST-10,13-JAN-15 18:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A swell from a strong low far northwest of the islands generated surf of 10 to 20 feet along the north-facing shores of Niihau, Kauai, Oahu, Molokai, and Maui; and 8 to 15 feet along the west-facing shores of Niihau, Kauai, Oahu, and Molokai. There were no reports of serious injuries or property damage.",,CSV
201501,12,1400,201501,13,1800,92105,551804,HAWAII,15,2015,January,High Surf,Z,17,MAUI WINDWARD WEST,HFO,12-JAN-15 14:00:00,HST-10,13-JAN-15 18:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A swell from a strong low far northwest of the islands generated surf of 10 to 20 feet along the north-facing shores of Niihau, Kauai, Oahu, Molokai, and Maui; and 8 to 15 feet along the west-facing shores of Niihau, Kauai, Oahu, and Molokai. There were no reports of serious injuries or property damage.",,CSV
201501,12,1400,201501,13,1800,92105,551805,HAWAII,15,2015,January,High Surf,Z,20,WINDWARD HALEAKALA,HFO,12-JAN-15 14:00:00,HST-10,13-JAN-15 18:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A swell from a strong low far northwest of the islands generated surf of 10 to 20 feet along the north-facing shores of Niihau, Kauai, Oahu, Molokai, and Maui; and 8 to 15 feet along the west-facing shores of Niihau, Kauai, Oahu, and Molokai. There were no reports of serious injuries or property damage.",,CSV
