BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200901,9,1800,200901,10,1200,24043,140077,IOWA,19,2009,January,Heavy Snow,Z,59,DALLAS,DMX,09-JAN-09 18:00:00,CST-6,10-JAN-09 12:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"Low pressure moved into Kansas and deepened during the afternoon of the 9th and moved east across northern Missouri during the night and morning hours of the 10th.  A very strong temperature contrast became established along a frontal boundary extending through the low.  Polar air was in place over northern Iowa and areas north with temperatures in the teens.  In contrast, temperatures were in the low 50s over southern Iowa and in the 50s and 60s to the south of Iowa. Moisture streamed north into the system during the late afternoon and evening hours with surface dew point values reaching the 40s to low 50s south of the low.  The airmass was dry initially, but was overcome by the evening hours.  Very warm air did stream in aloft with 850 mb temperatures above +10 C. over southern Iowa during the early afternoon.  This set the stage for a band of ice pellets and some freezing rain during the initial stages of the snow event.  With the dry atmosphere, temperatures aloft cooled quickly and changed the ice pellets to snow fairly quickly.  Other than the initial onset of the precipitation, most of the precipitation fell as snow.  A band of moderate snow set up across central into east central Iowa as a strong deformation zone set up to the north of the low pressure track.  A band of 6 to 8 inch snowfall occurred in a band about two counties wide between the Interstate 80 and U.S. Highway 30 corridors from just west of Interstate 35 east.  Some of the heavier snowfall totals included 8.1 inches just southwest of Newton in Jasper County, 7.6 inches in Boone County in Boone, 7.5 inches in Marshall County at Marshalltown, 7.4 inches in Tama County at Garwin, 7.2 inches in Jasper County at Kellogg, and 7 inches just northeast of Des Moines in Polk County.  Roadways became quite slippery, however the snow was generally of light consistency with little wind during the event.  As a result, the heavy snowfall was more of an inconvenience rather than a life threatening event.",,CSV
200901,9,1800,200901,10,1200,24043,140078,IOWA,19,2009,January,Heavy Snow,Z,60,POLK,DMX,09-JAN-09 18:00:00,CST-6,10-JAN-09 12:00:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,"Low pressure moved into Kansas and deepened during the afternoon of the 9th and moved east across northern Missouri during the night and morning hours of the 10th.  A very strong temperature contrast became established along a frontal boundary extending through the low.  Polar air was in place over northern Iowa and areas north with temperatures in the teens.  In contrast, temperatures were in the low 50s over southern Iowa and in the 50s and 60s to the south of Iowa. Moisture streamed north into the system during the late afternoon and evening hours with surface dew point values reaching the 40s to low 50s south of the low.  The airmass was dry initially, but was overcome by the evening hours.  Very warm air did stream in aloft with 850 mb temperatures above +10 C. over southern Iowa during the early afternoon.  This set the stage for a band of ice pellets and some freezing rain during the initial stages of the snow event.  With the dry atmosphere, temperatures aloft cooled quickly and changed the ice pellets to snow fairly quickly.  Other than the initial onset of the precipitation, most of the precipitation fell as snow.  A band of moderate snow set up across central into east central Iowa as a strong deformation zone set up to the north of the low pressure track.  A band of 6 to 8 inch snowfall occurred in a band about two counties wide between the Interstate 80 and U.S. Highway 30 corridors from just west of Interstate 35 east.  Some of the heavier snowfall totals included 8.1 inches just southwest of Newton in Jasper County, 7.6 inches in Boone County in Boone, 7.5 inches in Marshall County at Marshalltown, 7.4 inches in Tama County at Garwin, 7.2 inches in Jasper County at Kellogg, and 7 inches just northeast of Des Moines in Polk County.  Roadways became quite slippery, however the snow was generally of light consistency with little wind during the event.  As a result, the heavy snowfall was more of an inconvenience rather than a life threatening event.",,CSV
200901,9,1800,200901,10,1200,24043,140079,IOWA,19,2009,January,Heavy Snow,Z,61,JASPER,DMX,09-JAN-09 18:00:00,CST-6,10-JAN-09 12:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"Low pressure moved into Kansas and deepened during the afternoon of the 9th and moved east across northern Missouri during the night and morning hours of the 10th.  A very strong temperature contrast became established along a frontal boundary extending through the low.  Polar air was in place over northern Iowa and areas north with temperatures in the teens.  In contrast, temperatures were in the low 50s over southern Iowa and in the 50s and 60s to the south of Iowa. Moisture streamed north into the system during the late afternoon and evening hours with surface dew point values reaching the 40s to low 50s south of the low.  The airmass was dry initially, but was overcome by the evening hours.  Very warm air did stream in aloft with 850 mb temperatures above +10 C. over southern Iowa during the early afternoon.  This set the stage for a band of ice pellets and some freezing rain during the initial stages of the snow event.  With the dry atmosphere, temperatures aloft cooled quickly and changed the ice pellets to snow fairly quickly.  Other than the initial onset of the precipitation, most of the precipitation fell as snow.  A band of moderate snow set up across central into east central Iowa as a strong deformation zone set up to the north of the low pressure track.  A band of 6 to 8 inch snowfall occurred in a band about two counties wide between the Interstate 80 and U.S. Highway 30 corridors from just west of Interstate 35 east.  Some of the heavier snowfall totals included 8.1 inches just southwest of Newton in Jasper County, 7.6 inches in Boone County in Boone, 7.5 inches in Marshall County at Marshalltown, 7.4 inches in Tama County at Garwin, 7.2 inches in Jasper County at Kellogg, and 7 inches just northeast of Des Moines in Polk County.  Roadways became quite slippery, however the snow was generally of light consistency with little wind during the event.  As a result, the heavy snowfall was more of an inconvenience rather than a life threatening event.",,CSV
200901,9,1800,200901,10,1200,24043,140080,IOWA,19,2009,January,Heavy Snow,Z,62,POWESHIEK,DMX,09-JAN-09 18:00:00,CST-6,10-JAN-09 12:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"Low pressure moved into Kansas and deepened during the afternoon of the 9th and moved east across northern Missouri during the night and morning hours of the 10th.  A very strong temperature contrast became established along a frontal boundary extending through the low.  Polar air was in place over northern Iowa and areas north with temperatures in the teens.  In contrast, temperatures were in the low 50s over southern Iowa and in the 50s and 60s to the south of Iowa. Moisture streamed north into the system during the late afternoon and evening hours with surface dew point values reaching the 40s to low 50s south of the low.  The airmass was dry initially, but was overcome by the evening hours.  Very warm air did stream in aloft with 850 mb temperatures above +10 C. over southern Iowa during the early afternoon.  This set the stage for a band of ice pellets and some freezing rain during the initial stages of the snow event.  With the dry atmosphere, temperatures aloft cooled quickly and changed the ice pellets to snow fairly quickly.  Other than the initial onset of the precipitation, most of the precipitation fell as snow.  A band of moderate snow set up across central into east central Iowa as a strong deformation zone set up to the north of the low pressure track.  A band of 6 to 8 inch snowfall occurred in a band about two counties wide between the Interstate 80 and U.S. Highway 30 corridors from just west of Interstate 35 east.  Some of the heavier snowfall totals included 8.1 inches just southwest of Newton in Jasper County, 7.6 inches in Boone County in Boone, 7.5 inches in Marshall County at Marshalltown, 7.4 inches in Tama County at Garwin, 7.2 inches in Jasper County at Kellogg, and 7 inches just northeast of Des Moines in Polk County.  Roadways became quite slippery, however the snow was generally of light consistency with little wind during the event.  As a result, the heavy snowfall was more of an inconvenience rather than a life threatening event.",,CSV
200901,9,1700,200901,10,1100,24043,140081,IOWA,19,2009,January,Heavy Snow,Z,38,GRUNDY,DMX,09-JAN-09 17:00:00,CST-6,10-JAN-09 11:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"Low pressure moved into Kansas and deepened during the afternoon of the 9th and moved east across northern Missouri during the night and morning hours of the 10th.  A very strong temperature contrast became established along a frontal boundary extending through the low.  Polar air was in place over northern Iowa and areas north with temperatures in the teens.  In contrast, temperatures were in the low 50s over southern Iowa and in the 50s and 60s to the south of Iowa. Moisture streamed north into the system during the late afternoon and evening hours with surface dew point values reaching the 40s to low 50s south of the low.  The airmass was dry initially, but was overcome by the evening hours.  Very warm air did stream in aloft with 850 mb temperatures above +10 C. over southern Iowa during the early afternoon.  This set the stage for a band of ice pellets and some freezing rain during the initial stages of the snow event.  With the dry atmosphere, temperatures aloft cooled quickly and changed the ice pellets to snow fairly quickly.  Other than the initial onset of the precipitation, most of the precipitation fell as snow.  A band of moderate snow set up across central into east central Iowa as a strong deformation zone set up to the north of the low pressure track.  A band of 6 to 8 inch snowfall occurred in a band about two counties wide between the Interstate 80 and U.S. Highway 30 corridors from just west of Interstate 35 east.  Some of the heavier snowfall totals included 8.1 inches just southwest of Newton in Jasper County, 7.6 inches in Boone County in Boone, 7.5 inches in Marshall County at Marshalltown, 7.4 inches in Tama County at Garwin, 7.2 inches in Jasper County at Kellogg, and 7 inches just northeast of Des Moines in Polk County.  Roadways became quite slippery, however the snow was generally of light consistency with little wind during the event.  As a result, the heavy snowfall was more of an inconvenience rather than a life threatening event.",,CSV
200911,1,0,200911,3,1300,34368,198739,IOWA,19,2009,November,Flood,C,123,MAHASKA,DMX,01-NOV-09 00:00:00,CST-6,03-NOV-09 13:00:00,0,0,0,0,10.00K,0.00K,Official NWS Observations,,,Heavy Rain,,,,,,,,,3.53,WNW,PEORIA,3.69,E,ROSE HILL,41.4888,-92.8635,41.319,-92.417,"October of 2009 had been a very wet month.  Flooding that began in late October continued into early November.  The flooding was limited in nature, only affecting a few locations along the Skunk and Cedar River systems.  Damage was minimal.",,CSV
200912,10,0,200912,10,1100,35218,203597,IOWA,19,2009,December,Cold/Wind Chill,Z,11,ALLAMAKEE,ARX,10-DEC-09 00:00:00,CST-6,10-DEC-09 11:00:00,0,0,0,0,0.00K,0.00K,Mesonet,,,,,,,,,,,,,,,,,,,,,,Strong winds and plummeting temperatures combined to create wind chills of 20 below to 30 below on December 10 in the wake of a large winter storm.,,CSV
200910,1,836,200910,1,1130,34296,198427,IOWA,19,2009,October,Flash Flood,C,59,DICKINSON,FSD,01-OCT-09 08:36:00,CST-6,01-OCT-09 11:30:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,1.71,SW,SPIRIT LAKE,1,SSE,SPIRIT LAKE,43.41,-95.12,43.41,-95.09,Thunderstorms produced heavy rain which caused flash flooding in the Spirit Lake area of northwest Iowa on the morning of October 1st.,"Heavy rain caused flooding of numerous streets, parkland, and low areas in the town of Spirit Lake.",CSV
200910,10,300,200910,10,1000,34585,199786,IOWA,19,2009,October,Winter Weather,Z,69,POTTAWATTAMIE,OAX,10-OCT-09 03:00:00,CST-6,10-OCT-09 10:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"A large upper level low pressure system over the northern plains combined with an unusually cold air mass that spilled south out of Canada and brought an early season snow to eastern Nebraska and west central Iowa.  Even though temperatures with the snow fell into the 20s, warm ground temperatures caused most of it to melt on roads with most accumulations limited to grassy surfaces, vehicles, driveways and sidewalks.  Even then the snow on paved surfaces quickly melted that morning as temperatures climbed above freezing.  The heaviest snowfall set up along a 30 to 40 mile wide east-west band from Albion and Columbus east through the Omaha metro and into west central Iowa.  Heavier amounts included 7.6 inches in Bennington, 6 inches at Ft. Calhoun, 5.5 inches at the NWS office in Valley and in Schuyler, and 3.5 to 4 inches at Omaha Eppley, near Weston, at Fremont and in Underwood Iowa.","An early season storm dropped 2 to 4 inches of snow across much of the county, including around 4 inches in Underwood.  Due to warm ground temperatures, much of the snow melted on roads as it fell, but the roads did become slushy for a while toward the end of the event until melting completely late that morning or early in the afternoon.",CSV
200912,7,2100,200912,9,500,34588,200620,IOWA,19,2009,December,Winter Storm,Z,90,FREMONT,OAX,07-DEC-09 21:00:00,CST-6,09-DEC-09 05:00:00,0,0,0,0,,,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,"A large and relatively slow moving storm brought a prolonged winter storm and even, for a time, blizzard conditions to eastern Nebraska and western Iowa from late on Dec. 7th through the early morning hours of Dec. 9th.  The storm was driven by an upper level disturbance that tracked from the west coast across the Rockies and deepened over the Mississippi River valley.  The heaviest snow fell in advance of when the stronger winds arrived, mainly during the morning and afternoon of Dec. 8th.  However, as the winds increased to 30 to 50 mph during the night of the 8th and early on the 9th, visibilities frequently dropped to near zero, especially in open areas.  Considerable drifting snow also occurred, in many cases closing roads back shut almost as fast as they could be opened.  This prompted many counties to pull snow plows off the roads for a while during the night of the 8th and 9th.  Many schools were closed for 3 days because of the storm, due the forecast of heavy snow to begin on the 7th, poor visibilities and roads drifted shut on the 8th and still some closed roads and bitter cold wind chills which followed the storm on the 9th.||Total snowfall from the storm was 6 to 15 inches over most of eastern Nebraska and western Iowa.  Higher amounts in eastern Nebraska included 15 inches in Union, 14 inches in Columbus, around 12 inches at the NWS in Valley, at Tekamah, Uehling, Steele City and Weeping Water.  In western Iowa heavier amounts included 12 inches in Clarinda and Hastings and around 11 inches in Harlan, Red Oak and Little Sioux.","Snowfall of 8 to 12 inches fell across much of the county from this storm with 10 inches measured in Shenandoah. The snow began during the late evening of 12/7 and continued into the early morning hours of 12/9.  Winds were not that strong when the snow started, but north winds increased during the afternoon of 12/8 and especially that evening into the next morning.  Frequent wind gusts of 40 mph or so were observed with a peak gust of 44 mph measured at Shenandoah.  The winds produced considerable blowing and drifting snow with blizzard conditions during the evening and early morning hours of the 8th and 9th, which closed many county roads.",CSV
