BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201311,15,1700,201311,17,900,81009,485143,IDAHO,16,2013,November,Heavy Snow,Z,5,NORTHERN CLEARWATER MOUNTAINS,MSO,15-NOV-13 17:00:00,PST-8,17-NOV-13 09:00:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,"A 170 kt upper level jet dove south out of British Columbia into Washington and Oregon by early Saturday November 16th which provided strong lift and precipitation across north-central Idaho into western Montana.  As the orientation of the upper level jet became more northwesterly by the 17th and moved off to the north and east, showers were felt across much of the area.","A person from the public reported that 6 of heavy wet snow fell from the evening of Nov. 15 through 10:45 am PST Nov. 16. They reported that the heavy snow created difficult driving conditions. The Pierce RS SNOTEL at 3,080 ft., located 9.2 miles west of Pierce, measured 3 snow and 1.40 of precipitation from Nov. 15-17. The Shanghi Summit at 4,570 ft., located 3.5 mi. west-northwest of Cardiff reported 16 of snow with 2.40 of precipitation.",CSV
201311,15,1200,201311,17,1300,81009,485183,IDAHO,16,2013,November,Winter Weather,Z,6,SOUTHERN CLEARWATER MOUNTAINS,MSO,15-NOV-13 12:00:00,PST-8,17-NOV-13 13:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"A 170 kt upper level jet dove south out of British Columbia into Washington and Oregon by early Saturday November 16th which provided strong lift and precipitation across north-central Idaho into western Montana.  As the orientation of the upper level jet became more northwesterly by the 17th and moved off to the north and east, showers were felt across much of the area.","The Dixie COOP observer at 5,740 ft. reported 15.3 of snow with 0.98 of precipitation between Nov. 15-18. A person from the public near Lowell reported that wet snow fell on back-country roads making travel miserable for hunters. The Mountain Meadows SNOTEL at 6,360 ft., located 13.2 miles southeast of Elk City reported 6 of snow with 0.50 of precipitation. The Savage Pass SNOTEL at 6,170 ft. located 5 miles southeast of Powell measured 16 of snow with 1.20 of precipitation. The web cam at Elk City showed snow on state highway 14 during the morning hours on Nov. 16.",CSV
201311,15,1700,201311,17,900,81009,485205,IDAHO,16,2013,November,Winter Weather,Z,8,LOWER HELLS CANYON / SALMON RIVER REGION,MSO,15-NOV-13 17:00:00,PST-8,17-NOV-13 09:00:00,0,0,0,0,0.00K,0.00K,Department of Highways,,,,,,,,,,,,,,,,,,,,,,"A 170 kt upper level jet dove south out of British Columbia into Washington and Oregon by early Saturday November 16th which provided strong lift and precipitation across north-central Idaho into western Montana.  As the orientation of the upper level jet became more northwesterly by the 17th and moved off to the north and east, showers were felt across much of the area.","The Idaho Transportation Department highway sensor at Whitebird Hill at 4,222 ft. on US-95 reported snowfall between 5 pm PST Nov. 15 through 5:45 am PST on Nov 16 and from 11:45 pm on Nov. 16 through 8:45 am PST on Nov. 17. The road sensor reported very low grip values which indicated very slick conditions during this storm.",CSV
201311,15,1700,201311,16,900,81009,485204,IDAHO,16,2013,November,Winter Weather,Z,7,OROFINO / GRANGEVILLE REGION,MSO,15-NOV-13 17:00:00,PST-8,16-NOV-13 09:00:00,0,0,0,0,0.00K,0.00K,Department of Highways,,,,,,,,,,,,,,,,,,,,,,"A 170 kt upper level jet dove south out of British Columbia into Washington and Oregon by early Saturday November 16th which provided strong lift and precipitation across north-central Idaho into western Montana.  As the orientation of the upper level jet became more northwesterly by the 17th and moved off to the north and east, showers were felt across much of the area.","The Idaho Transportation Department highway sensor located at 3,112 ft. at the top of Greer Grade, reported wet snow that fell between Nov. 15-16. A person from the public in Weippe reported 1.5 of snowfall at 9:12 am PST on Nov. 16.",CSV
201312,20,1146,201312,21,301,82529,496952,IDAHO,16,2013,December,Winter Weather,Z,8,LOWER HELLS CANYON / SALMON RIVER REGION,MSO,20-DEC-13 11:46:00,PST-8,21-DEC-13 03:01:00,0,0,0,0,0.00K,0.00K,Department of Highways,,,,,,,,,,,,,,,,,,,,,,"An upper level wave dropped out of British Columbia, embedded in northwesterly flow and brought periods of blowing snow and snow especially in the Camas Prairie. A plume of moisture with tropical origins interacted with this wave to provide higher snowfall amounts as compared with other northwest waves.","The ITD road sensor at Whitebird Hill on US-95 reported 0.25 of precipitation which could equate to around 3 of snowfall.  It reported visibilities below one-half mile at times between 1:46 and 11:16 pm PST, and web-cams indicated blowing snow and snow. The winds were southerly between 10 and 20 mph during the event.",CSV
201312,20,1200,201312,21,400,82529,496938,IDAHO,16,2013,December,Heavy Snow,Z,6,SOUTHERN CLEARWATER MOUNTAINS,MSO,20-DEC-13 12:00:00,PST-8,21-DEC-13 04:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"An upper level wave dropped out of British Columbia, embedded in northwesterly flow and brought periods of blowing snow and snow especially in the Camas Prairie. A plume of moisture with tropical origins interacted with this wave to provide higher snowfall amounts as compared with other northwest waves.","A trained spotter in Elk City measured 8.5 of snow that mainly fell during the afternoon and evening on Dec. 20. The Lowell ASOS reported around 0.10 of precipitation each hour from 4 to 8 pm PST which could equate to over 1 per hour snowfall rates, and temperatures ranged between 29-30 deg. F during the event. It recorded a total precipitation amount of 0.69 which could be converted to around 8 of snowfall. Other snowfall amounts: 12.4 Dixie COOP, 9 Mountain Meadows SNOTEL, and 8 2 miles north of Elk City.",CSV
201312,20,800,201312,20,1700,82529,496949,IDAHO,16,2013,December,Winter Weather,Z,5,NORTHERN CLEARWATER MOUNTAINS,MSO,20-DEC-13 08:00:00,PST-8,20-DEC-13 17:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"An upper level wave dropped out of British Columbia, embedded in northwesterly flow and brought periods of blowing snow and snow especially in the Camas Prairie. A plume of moisture with tropical origins interacted with this wave to provide higher snowfall amounts as compared with other northwest waves.","The COOP observer located in Pierce, measured 5.0 of total snowfall with 0.62 of liquid equivalent during the storm. Other snowfall amounts include: 6 Elk Butte SNOTEL and 4 Shanghi Summit SNOTEL.",CSV
201312,20,1700,201312,21,1200,82529,496953,IDAHO,16,2013,December,Winter Weather,Z,10,EASTERN LEMHI COUNTY,MSO,20-DEC-13 17:00:00,MST-7,21-DEC-13 12:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"An upper level wave dropped out of British Columbia, embedded in northwesterly flow and brought periods of blowing snow and snow especially in the Camas Prairie. A plume of moisture with tropical origins interacted with this wave to provide higher snowfall amounts as compared with other northwest waves.",A trained spotter located 1 mile east-southeast of Salmon estimated 5.5 of snowfall. The Saddle Mountain SNOTEL recorded 4 of snowfall with 0.50 of snow water equivalent during the storm.,CSV
201304,8,1100,201304,9,1100,74134,448355,IDAHO,16,2013,April,Heavy Snow,Z,25,WASATCH MOUNTAINS/IADHO PORTION,PIH,08-APR-13 11:00:00,MST-7,09-APR-13 11:00:00,0,0,0,0,0.00K,0.00K,SNOTEL,,,,,,,,,,,,,,,,,,,,,,Up to 9 inches of snow fell in Bear Lake County with power lines downed as well due to heavy wet snow.,Emigrant Summit reported 6 inches of snow. Giveout reported 5 inches of snow and Slug Creek Divide reported 9 inches of snow. Power lines were downed due to wet snow at 2 pm on the 8th in Paris and at 10 pm in Montpelier. The power was out in Montpelier from 10 pm on the 8th until 2:30 am on the 9th.,CSV
201304,13,800,201304,13,2000,74135,448370,IDAHO,16,2013,April,High Wind,Z,20,UPPER SNAKE RIVER PLAIN,PIH,13-APR-13 08:00:00,MST-7,13-APR-13 20:00:00,0,0,0,0,0.00K,0.00K,Mesonet,59.00,MG,,,,,,,,,,,,,,,,,,,,A strong cold front moved through eastern Idaho causing widespread 55 to 65 mph wind gusts.   The winds caused a dust storm on interstate 86 reducing visibility to zero.   The visibility caused a 16 car crash west of the Arbon Valley/Rainbow Road exit between American Falls and Chubbuck.   Both lanes of a 12 mile stretch of interstate 86 was closed from 4:45 until 9:45 pm between exits 49 and 61.,"Widespread 50 to 70 mph wind gusts occurred behind the passage of a strong cold front.   Taber measured 68 mph for a peak wind with 62 mph at Atomic city, 56 mph at Idaho Falls, and 57 mph at Rexburg.",CSV
