BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200601,1,0,200601,31,2359,1203706,5486226,ILLINOIS,17,2006,January,Drought,Z,12,KANE,LOT,01-JAN-06 00:00:00,CST,31-JAN-06 23:59:00,0,0,0,0,,,BROADCAST MEDIA,,,,,,,,,,,,,,,,,,,,,,"Severe to extreme drought conditions continued across much of north central Illinois during January 2006.  However, many locations received near normal or above normal precipitation for the month.  Chicago Ohare Airport received 2.78 inches, which was 1.03 inches above normal.  Rockford Airport received 2.97 inches, which was 1.56 inches above normal.",,PDS
200601,20,2000,200601,21,400,1203705,5486214,ILLINOIS,17,2006,January,Winter Storm,Z,6,LAKE,LOT,20-JAN-06 20:00:00,CST,21-JAN-06 04:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A winter storm moved across Northern Illinois during the afternoon and evening hours on Friday, January 20th and the early morning hours of Saturday, January 21st.  Snow begin to fall during the afternoon hours and continued through evening hours and was heavy at times.  A band of very heavy snow fell across Kane County, southeast McHenry County, northwest Cook county and most of Lake County.  Snowfall amounts in this band ranged from 10 to 12 inches.  Outside of this heavy band, snowfall amounts ranged from 6 to 9 inches, but snowfall amounts tapered off quickly across south central Dupage and south central Cook counties, with those areas receiving 3 to 5 inches of snow.  Some of the largest snowfall amounts included 12.0 inches in Elgin in Kane County; 11.7 inches in Grayslake in Lake County; 11.5 inches in Shabbona in DeKalb County; 11.0 inches Barrington in Cook County; 9.0 inches in Paw Paw in Lee County; 8.0 inches in Belvidere in Boone County; 6.7 inches in Spring Grove in McHenry County and 6.5 inches in Mendota in Lasalle County.  Chicago Ohare Airport measured 4.7 inches and Rockford Airport measured 5.0 inches.",,PDS
200601,20,2000,200601,21,400,1203705,5486215,ILLINOIS,17,2006,January,Winter Storm,Z,14,COOK,LOT,20-JAN-06 20:00:00,CST,21-JAN-06 04:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A winter storm moved across Northern Illinois during the afternoon and evening hours on Friday, January 20th and the early morning hours of Saturday, January 21st.  Snow begin to fall during the afternoon hours and continued through evening hours and was heavy at times.  A band of very heavy snow fell across Kane County, southeast McHenry County, northwest Cook county and most of Lake County.  Snowfall amounts in this band ranged from 10 to 12 inches.  Outside of this heavy band, snowfall amounts ranged from 6 to 9 inches, but snowfall amounts tapered off quickly across south central Dupage and south central Cook counties, with those areas receiving 3 to 5 inches of snow.  Some of the largest snowfall amounts included 12.0 inches in Elgin in Kane County; 11.7 inches in Grayslake in Lake County; 11.5 inches in Shabbona in DeKalb County; 11.0 inches Barrington in Cook County; 9.0 inches in Paw Paw in Lee County; 8.0 inches in Belvidere in Boone County; 6.7 inches in Spring Grove in McHenry County and 6.5 inches in Mendota in Lasalle County.  Chicago Ohare Airport measured 4.7 inches and Rockford Airport measured 5.0 inches.",,PDS
200601,19,1000,200601,19,1900,1203221,5488796,ILLINOIS,17,2006,January,Strong Wind,Z,78,WABASH,PAH,19-JAN-06 10:00:00,CST,19-JAN-06 19:00:00,0,0,0,0,1K,,"AWOS,ASOS,MESONET,ETC",28,ES,,,,,,,,,,,,,,,,,,,,Strong southwest winds were sustained around 30 MPH. Gusts were measured up to 48 MPH at Carbondale.,,PDS
200601,19,1000,200601,19,1900,1203221,5488797,ILLINOIS,17,2006,January,Strong Wind,Z,76,WAYNE,PAH,19-JAN-06 10:00:00,CST,19-JAN-06 19:00:00,0,0,0,0,1K,,"AWOS,ASOS,MESONET,ETC",28,ES,,,,,,,,,,,,,,,,,,,,Strong southwest winds were sustained around 30 MPH. Gusts were measured up to 48 MPH at Carbondale.,,PDS
200602,8,800,200602,8,1400,1203658,5487027,ILLINOIS,17,2006,February,Winter Weather,Z,81,FRANKLIN,PAH,08-FEB-06 08:00:00,CST,08-FEB-06 14:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"Light snow accumulated from 1 to 3 inches, mainly on grassy areas. The accumulating snow was primarily along and north of a line from Carmi to Murphysboro. Three to four inches of snow was reported in Jefferson County and at Enfield, which is in White County. Elsewhere, one to two inches was reported at Benton, Murphysboro, and Pinckneyville. Slippery roads contributed to a serious accident near Makanda in Jackson County. A 20-year-old woman was seriously injured when her vehicle spun out of control and was struck in the side by an oncoming truck.",,PDS
200602,8,800,200602,8,1400,1203658,5487028,ILLINOIS,17,2006,February,Winter Weather,Z,82,HAMILTON,PAH,08-FEB-06 08:00:00,CST,08-FEB-06 14:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"Light snow accumulated from 1 to 3 inches, mainly on grassy areas. The accumulating snow was primarily along and north of a line from Carmi to Murphysboro. Three to four inches of snow was reported in Jefferson County and at Enfield, which is in White County. Elsewhere, one to two inches was reported at Benton, Murphysboro, and Pinckneyville. Slippery roads contributed to a serious accident near Makanda in Jackson County. A 20-year-old woman was seriously injured when her vehicle spun out of control and was struck in the side by an oncoming truck.",,PDS
200601,1,0,200601,31,2359,1203620,5486185,ILLINOIS,17,2006,January,Drought,Z,24,MERCER,DVN,01-JAN-06 00:00:00,CST,31-JAN-06 23:59:00,0,0,0,0,,,OTHER FEDERAL AGENCY,,,,,,,,,,,,,,,,,,,,,,"The drought that began back in June 2005 continued through January 2006 and into February 2006.  Being the middle of winter the affects of the drought were essentially hydrologic in nature.  A summary of the conditions for January 2006 is given by the service hydrologist.Total precipitation for the month was 2.10 inches or 0.80 inches above normal and 161% of normal.  Monthly totals and departures varied widely by location.  For example, in Burlington, Iowa, the monthly total was 2.73 inches or 1.42 inches above normal and 208% of normal.  In the other hand, in Dubuque, Iowa, the monthly total was 1.32 inches or 0.04 inches above normal and 103% of normal.  Precipitation for most of the month was light to moderate.  The exception was toward the end of the month when a storm system brought significant rainfall amounts to the HSA from the 28th-30th.  Precipitation totals ranged from around 1 inch in the west to over 2 inches in the east.  Because of the warm temperatures, most of the precipitation fell as rain.  The majority of the rain fell on the 28th over a 24-hour period.  Because most of the ground was unfrozen, the majority of this rainfall soaked into the soil, easing the drought.Another storm system brought low to moderate precipitation amounts to the HSA on the 2nd.  Again, because of the warm temperatures, the precipitation fell as rain.  Amounts were greatest on the Iowa and Missouri side of the Mississippi River.  Totals of 0.5 to 1.0 inches were common there.  On the Illinois side, amounts of less than 0.5 inches were common.River ConditionsStream flows began the month with most locations reporting near normal (25th to 74th percentile) conditions.  A few locations reported above normal (76th to 90th percentile) conditions and a few locations reported below normal (10th to 24th percentile) conditions.  The precipitation event on the 2nd resulted in increases in stream flows especially in Iowa and Missouri.  Stream flows went to above to much above normal (greater than 90th percentile) there, but were below to much below normal (less than 10th percentile) across Illinois.  These conditions persisted through the 15th.After the 15th stream flows across the entire HSA gradually became near to below normal.  The flows remained this way until the 28th when significant liquid precipitation fell across the entire HSA.  In response to this precipitation, stream flows became above to much above normal.  Flows gradually decreased and at the end of the month they were normal to above normal.Source: U.S. Geological Survey.  Their WaterWatch Web site has an animation of daily flow percentiles for the United States (http://water.usgs.gov/cgi-bin/waterwatch_animation?200601).DroughtFor the entire HSA, the three-month precipitation total is 5.76 inches or 0.04 inches above normal and 101% of normal.  The six-month precipitation total is 12.30 inches or 3.69 inches below normal and 77% of normal.  The 12-month precipitation total is 23.95 inches or 12.28 inches below normal and 66% of normal.According to the U.S. Drought Monitor maps (http://drought.unl.edu/dm/), the drought conditions for the HSA did not change much during the month.  The eastern two-thirds of the HSA were in the Extreme Drought (D3) category.  The western one-third of the HSA was in the Severe Drought (D2) or Moderate Drought (D1) category.",,PDS
200601,1,0,200601,31,2359,1203620,5486186,ILLINOIS,17,2006,January,Drought,Z,18,PUTNAM,DVN,01-JAN-06 00:00:00,CST,31-JAN-06 23:59:00,0,0,0,0,,,OTHER FEDERAL AGENCY,,,,,,,,,,,,,,,,,,,,,,"The drought that began back in June 2005 continued through January 2006 and into February 2006.  Being the middle of winter the affects of the drought were essentially hydrologic in nature.  A summary of the conditions for January 2006 is given by the service hydrologist.Total precipitation for the month was 2.10 inches or 0.80 inches above normal and 161% of normal.  Monthly totals and departures varied widely by location.  For example, in Burlington, Iowa, the monthly total was 2.73 inches or 1.42 inches above normal and 208% of normal.  In the other hand, in Dubuque, Iowa, the monthly total was 1.32 inches or 0.04 inches above normal and 103% of normal.  Precipitation for most of the month was light to moderate.  The exception was toward the end of the month when a storm system brought significant rainfall amounts to the HSA from the 28th-30th.  Precipitation totals ranged from around 1 inch in the west to over 2 inches in the east.  Because of the warm temperatures, most of the precipitation fell as rain.  The majority of the rain fell on the 28th over a 24-hour period.  Because most of the ground was unfrozen, the majority of this rainfall soaked into the soil, easing the drought.Another storm system brought low to moderate precipitation amounts to the HSA on the 2nd.  Again, because of the warm temperatures, the precipitation fell as rain.  Amounts were greatest on the Iowa and Missouri side of the Mississippi River.  Totals of 0.5 to 1.0 inches were common there.  On the Illinois side, amounts of less than 0.5 inches were common.River ConditionsStream flows began the month with most locations reporting near normal (25th to 74th percentile) conditions.  A few locations reported above normal (76th to 90th percentile) conditions and a few locations reported below normal (10th to 24th percentile) conditions.  The precipitation event on the 2nd resulted in increases in stream flows especially in Iowa and Missouri.  Stream flows went to above to much above normal (greater than 90th percentile) there, but were below to much below normal (less than 10th percentile) across Illinois.  These conditions persisted through the 15th.After the 15th stream flows across the entire HSA gradually became near to below normal.  The flows remained this way until the 28th when significant liquid precipitation fell across the entire HSA.  In response to this precipitation, stream flows became above to much above normal.  Flows gradually decreased and at the end of the month they were normal to above normal.Source: U.S. Geological Survey.  Their WaterWatch Web site has an animation of daily flow percentiles for the United States (http://water.usgs.gov/cgi-bin/waterwatch_animation?200601).DroughtFor the entire HSA, the three-month precipitation total is 5.76 inches or 0.04 inches above normal and 101% of normal.  The six-month precipitation total is 12.30 inches or 3.69 inches below normal and 77% of normal.  The 12-month precipitation total is 23.95 inches or 12.28 inches below normal and 66% of normal.According to the U.S. Drought Monitor maps (http://drought.unl.edu/dm/), the drought conditions for the HSA did not change much during the month.  The eastern two-thirds of the HSA were in the Extreme Drought (D3) category.  The western one-third of the HSA was in the Severe Drought (D2) or Moderate Drought (D1) category.",,PDS
200601,20,2000,200601,21,400,1203705,5486212,ILLINOIS,17,2006,January,Winter Storm,Z,5,MCHENRY,LOT,20-JAN-06 20:00:00,CST,21-JAN-06 04:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A winter storm moved across Northern Illinois during the afternoon and evening hours on Friday, January 20th and the early morning hours of Saturday, January 21st.  Snow begin to fall during the afternoon hours and continued through evening hours and was heavy at times.  A band of very heavy snow fell across Kane County, southeast McHenry County, northwest Cook county and most of Lake County.  Snowfall amounts in this band ranged from 10 to 12 inches.  Outside of this heavy band, snowfall amounts ranged from 6 to 9 inches, but snowfall amounts tapered off quickly across south central Dupage and south central Cook counties, with those areas receiving 3 to 5 inches of snow.  Some of the largest snowfall amounts included 12.0 inches in Elgin in Kane County; 11.7 inches in Grayslake in Lake County; 11.5 inches in Shabbona in DeKalb County; 11.0 inches Barrington in Cook County; 9.0 inches in Paw Paw in Lee County; 8.0 inches in Belvidere in Boone County; 6.7 inches in Spring Grove in McHenry County and 6.5 inches in Mendota in Lasalle County.  Chicago Ohare Airport measured 4.7 inches and Rockford Airport measured 5.0 inches.",,PDS
