BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201105,11,1738,201105,11,1738,50714,307217,INDIANA,18,2011,May,Lightning,C,127,PORTER,LOT,11-MAY-11 17:38:00,CST-6,11-MAY-11 17:38:00,1,0,0,0,0.00K,0.00K,Emergency Manager,,,,,,,,,,,,8,NE,VALPARAISO,8,NE,VALPARAISO,41.5519,-86.9407,41.5519,-86.9407,Strong to severe thunderstorms moved across many areas of northwest Indiana during the evening hours of May 11th.,A woman in Jackson Township was injured when lightning struck nearby while she was closing a metal window.,CSV
201106,20,1218,201106,20,1219,54144,324730,INDIANA,18,2011,June,Hail,C,53,GRANT,IWX,20-JUN-11 12:18:00,EST-5,20-JUN-11 12:19:00,0,0,0,0,0.00K,0.00K,Trained Spotter,0.88,,,,,,,,,,,.52,E,SHADY HILLS,.52,E,SHADY HILLS,40.57,-85.66,40.57,-85.66,A line of strong to severe storms moving through central Indiana clipped portions of northern Indiana with locally damaging winds.,,CSV
201106,20,746,201106,20,747,54144,324732,INDIANA,18,2011,June,Thunderstorm Wind,C,17,CASS,IWX,20-JUN-11 07:46:00,EST-5,20-JUN-11 07:47:00,0,0,0,0,0.00K,0.00K,Emergency Manager,65.00,EG,,,,,,,,,,.73,NNE,LOGANSPORT MUNI ARPT,.73,NNE,LOGANSPORT MUNI ARPT,40.7303,-86.3768,40.7303,-86.3768,A line of strong to severe storms moving through central Indiana clipped portions of northern Indiana with locally damaging winds.,"Emergency management officials reported trees down, as well as snapped power poles at County Road 35 North and Burlington Avenue.",CSV
201106,20,746,201106,20,747,54144,324733,INDIANA,18,2011,June,Thunderstorm Wind,C,17,CASS,IWX,20-JUN-11 07:46:00,EST-5,20-JUN-11 07:47:00,0,0,0,0,0.00K,0.00K,Emergency Manager,60.00,EG,,,,,,,,,,.69,S,GEORGETOWN,.69,S,GEORGETOWN,40.74,-86.5,40.74,-86.5,A line of strong to severe storms moving through central Indiana clipped portions of northern Indiana with locally damaging winds.,Emergency management officials reported trees down in Georgetown.,CSV
201106,20,733,201106,20,734,54144,324735,INDIANA,18,2011,June,Thunderstorm Wind,C,181,WHITE,IWX,20-JUN-11 07:33:00,EST-5,20-JUN-11 07:34:00,0,0,0,0,0.00K,0.00K,Trained Spotter,60.00,EG,,,,,,,,,,1.25,WSW,IDAVILLE,1.25,WSW,IDAVILLE,40.76,-86.65,40.76,-86.65,A line of strong to severe storms moving through central Indiana clipped portions of northern Indiana with locally damaging winds.,"Trained spotters reported several trees larger than six inches in diameter down, as well as numerous branches in and around Idaville.",CSV
201106,20,736,201106,20,737,54144,324736,INDIANA,18,2011,June,Thunderstorm Wind,C,181,WHITE,IWX,20-JUN-11 07:36:00,EST-5,20-JUN-11 07:37:00,0,0,0,0,0.00K,0.00K,Trained Spotter,60.00,EG,,,,,,,,,,.87,SW,BURNETTSVILLE,.87,SW,BURNETTSVILLE,40.76,-86.59,40.76,-86.59,A line of strong to severe storms moving through central Indiana clipped portions of northern Indiana with locally damaging winds.,Trained spotters reported a one foot diameter down with other smaller trees and tree limbs down in and around Burnettsville.,CSV
201104,24,1700,201104,30,2359,49777,292417,INDIANA,18,2011,April,Flood,C,51,GIBSON,PAH,24-APR-11 17:00:00,CST-6,30-APR-11 23:59:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,,,Heavy Rain,,,,,,,,,.85,SSE,PATOKA,1.32,SW,PATOKA,38.4084,-87.5748,38.4003,-87.6028,"The Patoka River began its upward trend toward a record flood. The river rose above flood stage late in the month. A series of heavy rainfall events gradually forced the river upward at an unsteady rate. The river continued rising past the end of the month. Impacts of the May crest will be included in the May report. April ended up being the second wettest April on record at Evansville. Most of the rain fell during the latter half of the month. A persistent southwest flow aloft tended to steer storms northeast from the Plains across the mid-section of the country. Cold fronts tended to stall near the Lower Ohio Valley as they became more parallel to the upper-level steering flow. Bands and clusters of thunderstorms frequently developed in the vicinity of the front, producing heavy rainfall.",,CSV
201104,23,1445,201104,23,1645,50351,296542,INDIANA,18,2011,April,Flash Flood,C,51,GIBSON,PAH,23-APR-11 14:45:00,CST-6,23-APR-11 16:45:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,0,N,FT BRANCH,.26,SE,FT BRANCH,38.25,-87.58,38.2323,-87.5626,"Bands of thunderstorms developed along a surface cold front extending from northern Arkansas northeastward along the Ohio River. Relatively strong diurnal heating occurred south of the front, where mixed-layer cape values increased to around 1500 j/kg. Along and north of the front, training storms capable of producing flash flooding were the main hazard.",Numerous roads were flooded or closed in the Fort Branch area.,CSV
201106,27,1000,201106,30,2359,52854,316044,INDIANA,18,2011,June,Flood,C,129,POSEY,PAH,27-JUN-11 10:00:00,CST-6,30-JUN-11 23:59:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,,,Heavy Rain,,,,,,,,,.56,NW,NEW HARMONY,1.38,N,NEW HARMONY,38.1362,-87.9366,38.1343,-87.9306,An upper level high that was over the region during early June retrograded west during the middle of the month. This allowed for disturbances in the northwest flow aloft to bring multiple rounds of precipitation. Showers and thunderstorms during this time were slow-moving and capable of torrential downpours. Rainfall ranged from two to almost five inches in many locations. Another series of mesoscale convective systems late in the month produced one to three inches with locally higher amounts. Rivers rose back above flood stage in response to the rainfall.,Minor flooding along the Wabash River flooded some low-lying fields.,CSV
201106,27,900,201106,30,2359,52854,316037,INDIANA,18,2011,June,Flood,C,51,GIBSON,PAH,27-JUN-11 09:00:00,CST-6,30-JUN-11 23:59:00,0,0,0,0,0.00K,50.00K,River/Stream Gage,,,Heavy Rain,,,,,,,,,0,N,EAST MT CARMEL,1.02,SW,EAST MT CARMEL,38.4,-87.73,38.3814,-87.7557,An upper level high that was over the region during early June retrograded west during the middle of the month. This allowed for disturbances in the northwest flow aloft to bring multiple rounds of precipitation. Showers and thunderstorms during this time were slow-moving and capable of torrential downpours. Rainfall ranged from two to almost five inches in many locations. Another series of mesoscale convective systems late in the month produced one to three inches with locally higher amounts. Rivers rose back above flood stage in response to the rainfall.,Minor flooding of the Wabash River inundated some low-lying woods and fields. A few local river roads were closed by high water. Some backwater from the Wabash River raised levels on tributary creeks. All oil field production ceased with the exception of pumping units on substructures. Access to these was by boat only. Agricultural losses were significant. Farmers moved livestock to higher ground.,CSV
201106,25,2359,201106,30,2359,52854,316052,INDIANA,18,2011,June,Flood,C,51,GIBSON,PAH,25-JUN-11 23:59:00,CST-6,30-JUN-11 23:59:00,0,0,0,0,10.00K,30.00K,River/Stream Gage,,,Heavy Rain,,,,,,,,,0,N,HAZLETON,1.18,SE,GIRO,38.48,-87.53,38.4966,-87.4659,An upper level high that was over the region during early June retrograded west during the middle of the month. This allowed for disturbances in the northwest flow aloft to bring multiple rounds of precipitation. Showers and thunderstorms during this time were slow-moving and capable of torrential downpours. Rainfall ranged from two to almost five inches in many locations. Another series of mesoscale convective systems late in the month produced one to three inches with locally higher amounts. Rivers rose back above flood stage in response to the rainfall.,Minor flooding of the White River inundated bottomland fields and woodlands. High water affected residents in Pottsville river cabins. A few roads were flooded. Oil-stripped fields were flooded. Flood gates were installed at Hazleton. Floodwaters  covered the Hazleton softball field.,CSV
201106,25,1115,201106,30,2359,52854,316055,INDIANA,18,2011,June,Flood,C,125,PIKE,PAH,25-JUN-11 11:15:00,EST-5,30-JUN-11 23:59:00,0,0,0,0,10.00K,20.00K,River/Stream Gage,,,Heavy Rain,,,,,,,,,0,N,PETERSBURG,3.87,N,PETERSBURG,38.5,-87.28,38.5162,-87.2771,An upper level high that was over the region during early June retrograded west during the middle of the month. This allowed for disturbances in the northwest flow aloft to bring multiple rounds of precipitation. Showers and thunderstorms during this time were slow-moving and capable of torrential downpours. Rainfall ranged from two to almost five inches in many locations. Another series of mesoscale convective systems late in the month produced one to three inches with locally higher amounts. Rivers rose back above flood stage in response to the rainfall.,Minor flooding of the White River inundated bottomland fields and woodlands. County Road 250 West from State Road 56 was flooded and blocked vehicle access to Dodge City. About a dozen Pike County roads were flooded.,CSV
201105,7,1555,201105,7,1557,50712,299173,INDIANA,18,2011,May,Hail,C,111,NEWTON,LOT,07-MAY-11 15:55:00,CST-6,07-MAY-11 15:57:00,0,0,0,0,0.00K,0.00K,Law Enforcement,1.00,,,,,,,,,,,2,SW,MOROCCO,2,SW,MOROCCO,40.8995,-87.4471,40.8995,-87.4471,Strong to severe thunderstorms moved across parts of northwest Indiana during the afternoon hours of May 7th producing mainly hail.,,CSV
201105,7,1615,201105,7,1616,50712,299176,INDIANA,18,2011,May,Hail,C,111,NEWTON,LOT,07-MAY-11 16:15:00,CST-6,07-MAY-11 16:16:00,0,0,0,0,0.00K,0.00K,Law Enforcement,0.88,,,,,,,,,,,1,W,MT AYR,1,W,MT AYR,40.95,-87.2992,40.95,-87.2992,Strong to severe thunderstorms moved across parts of northwest Indiana during the afternoon hours of May 7th producing mainly hail.,,CSV
201105,11,1730,201105,11,1732,50714,299233,INDIANA,18,2011,May,Hail,C,127,PORTER,LOT,11-MAY-11 17:30:00,CST-6,11-MAY-11 17:32:00,0,0,0,0,0.00K,0.00K,Trained Spotter,1.00,,,,,,,,,,,.44,NE,BURLINGTON BEACH,.44,NE,BURLINGTON BEACH,41.5046,-87.0441,41.5046,-87.0441,Strong to severe thunderstorms moved across many areas of northwest Indiana during the evening hours of May 11th.,Quarter size hail was reported near Robin Road.,CSV
