BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200501,13,300,200501,13,300,1182732,5433121,LOUISIANA,22,2005,January,Thunderstorm Wind,C,83,RICHLAND,JAN,13-JAN-05 03:00:00,CST,13-JAN-05 03:00:00,0,0,0,0,10K,,LAW ENFORCEMENT,60,EG,,,,,,,,,,3,E,START,3,E,START,32.48333,-91.81667,32.48333,-91.81667,,A few power lines were blown down.,PDS
200501,13,323,200501,13,325,1182732,5433122,LOUISIANA,22,2005,January,Thunderstorm Wind,C,41,FRANKLIN,JAN,13-JAN-05 03:23:00,CST,13-JAN-05 03:25:00,0,0,0,0,60K,,AMATEUR RADIO,67,EG,,,,,,,,,,,,WISNER,,,WISNER,31.98333,-91.66667,31.98333,-91.66667,,"One home sustained roof damage and two sheds were destroyed in Wisner. In addition, several trees were blown down with a few taking down power lines.",PDS
200501,13,328,200501,13,328,1182732,5433123,LOUISIANA,22,2005,January,Thunderstorm Wind,C,123,WEST CARROLL,JAN,13-JAN-05 03:28:00,CST,13-JAN-05 03:28:00,0,0,0,0,1K,,GENERAL PUBLIC,50,EG,,,,,,,,,,4,NW,PIONEER,4,NW,PIONEER,32.76667,-91.48333,32.76667,-91.48333,,Numerous large limbs were blown down. Large lawn furniture was blown and scattered across a field.,PDS
200501,13,345,200501,13,345,1182732,5433124,LOUISIANA,22,2005,January,Thunderstorm Wind,C,35,EAST CARROLL,JAN,13-JAN-05 03:45:00,CST,13-JAN-05 03:45:00,0,0,0,0,5K,,LAW ENFORCEMENT,53,EG,,,,,,,,,,,,LAKE PROVIDENCE,,,LAKE PROVIDENCE,32.8,-91.18333,32.8,-91.18333,,A tree and a power line were blown down.,PDS
200501,13,358,200501,13,358,1182732,5433125,LOUISIANA,22,2005,January,Thunderstorm Wind,C,107,TENSAS,JAN,13-JAN-05 03:58:00,CST,13-JAN-05 03:58:00,0,0,0,0,40K,,EMERGENCY MANAGER,68,EG,,,,,,,,,,3,S,NEWELLTON,3,S,NEWELLTON,32.01667,-91.23333,32.01667,-91.23333,,On the north side of Lake Bruin one home sustained minor roof damage and another sustained minor structural damage.,PDS
200501,13,258,200501,13,300,1182732,5433120,LOUISIANA,22,2005,January,Thunderstorm Wind,C,83,RICHLAND,JAN,13-JAN-05 02:58:00,CST,13-JAN-05 03:00:00,0,0,0,0,75K,,LAW ENFORCEMENT,65,EG,,,,,,,,,,,,START,,,START,32.48333,-91.86667,32.3,-91.78333,,Numerous trees along with a few power lines were blown down between Start and Mangham. A few trees were blown down on some homes causing significant damage.,PDS
200502,22,1535,200502,22,1539,1184399,5438159,LOUISIANA,22,2005,February,Hail,C,29,CONCORDIA,JAN,22-FEB-05 15:35:00,CST,22-FEB-05 15:39:00,0,0,0,0,,,NEWSPAPER,1.00,,,,,,,,,,,4,E,CLAYTON,4,E,CLAYTON,31.71667,-91.48333,31.71667,-91.46667,,Quarter sized hail fell just east of Clayton near Lake Saint John. This supercell continued to produce quarter size hail as it moved east across the Mississippi River into northern Adams county.,PDS
200502,23,1337,200502,23,1339,1184398,5438152,LOUISIANA,22,2005,February,Thunderstorm Wind,C,29,CONCORDIA,JAN,23-FEB-05 13:37:00,CST,23-FEB-05 13:39:00,0,0,0,0,20K,,POST OFFICE,60,EG,,,,,,,,,,,,MONTEREY,,,MONTEREY,31.46667,-91.71667,31.46667,-91.71667,,The co-op building in Monterey was damaged. A portion of the eave was pealed off and blown out into a field.,PDS
200502,23,1335,200502,23,1335,1184398,5438153,LOUISIANA,22,2005,February,Lightning,C,29,CONCORDIA,JAN,23-FEB-05 13:35:00,CST,23-FEB-05 13:35:00,0,0,0,0,,15K,NEWSPAPER,,,,,,,,,,,,,,MONTEREY,,,MONTEREY,,,,,,Lightning killed 11 cows as they stood around a hay ring.,PDS
200502,22,1445,200502,22,1445,1184399,5438154,LOUISIANA,22,2005,February,Hail,C,25,CATAHOULA,JAN,22-FEB-05 14:45:00,CST,22-FEB-05 14:45:00,0,0,0,0,,,LAW ENFORCEMENT,0.88,,,,,,,,,,,,,FOULES,,,FOULES,31.81667,-91.6,31.81667,-91.6,,,PDS
