BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202006,4,2050,202006,4,2200,147195,884885,MARYLAND,24,2020,June,Lightning,C,35,QUEEN ANNE'S,PHI,04-JUN-20 20:50:00,EST-5,04-JUN-20 22:00:00,0,0,0,0,10.00K,0.00K,Fire Department/Rescue,,,,,,,,,,,,1.28,WNW,CHURCH HILL,1.28,WNW,CHURCH HILL,39.14,-76,39.14,-76,"Several weak disturbances and their associated boundaries, in combination with an unstable airmass, produced strong to severe thunderstorms across northeastern Maryland  during the late afternoon and evening hours.  Localized heavy downpours were also reported.",Structure fire on Hallmark Farm Circle due to a lightning strike. Time of start estimated from radar.,CSV
202006,4,2115,202006,4,2115,147195,884896,MARYLAND,24,2020,June,Thunderstorm Wind,C,11,CAROLINE,PHI,04-JUN-20 21:15:00,EST-5,04-JUN-20 21:15:00,0,0,0,0,,,Department of Highways,50.00,EG,,,,,,,,,,0,N,GREENSBORO,0,N,GREENSBORO,38.97,-75.8,38.97,-75.8,"Several weak disturbances and their associated boundaries, in combination with an unstable airmass, produced strong to severe thunderstorms across northeastern Maryland  during the late afternoon and evening hours.  Localized heavy downpours were also reported.",MD-313 northbound north of MD-314 was closed due to storm debris. Time estimated from radar.,CSV
202006,4,2040,202006,4,2040,147195,884891,MARYLAND,24,2020,June,Thunderstorm Wind,C,29,KENT,PHI,04-JUN-20 20:40:00,EST-5,04-JUN-20 20:40:00,0,0,0,0,,,911 Call Center,50.00,EG,,,,,,,,,,1.07,E,BIGWOODS,1.07,E,BIGWOODS,39.28,-76.01,39.28,-76.01,"Several weak disturbances and their associated boundaries, in combination with an unstable airmass, produced strong to severe thunderstorms across northeastern Maryland  during the late afternoon and evening hours.  Localized heavy downpours were also reported.",Tree down at the intersection of Pekins Hill Road and Wallis Road.  Time estimated from radar.,CSV
202006,4,2045,202006,4,2045,147195,884893,MARYLAND,24,2020,June,Thunderstorm Wind,C,15,CECIL,PHI,04-JUN-20 20:45:00,EST-5,04-JUN-20 20:45:00,0,0,0,0,,,State Official,50.00,EG,,,,,,,,,,1.48,SSW,CALVERT,1.48,SSW,CALVERT,39.68,-75.99,39.68,-75.99,"Several weak disturbances and their associated boundaries, in combination with an unstable airmass, produced strong to severe thunderstorms across northeastern Maryland  during the late afternoon and evening hours.  Localized heavy downpours were also reported.",Tree down at the intersection of Crothers Road and England Creamery Road.  Time estimated from radar.,CSV
202008,28,1343,202008,28,1343,150978,910054,MARYLAND,24,2020,August,Thunderstorm Wind,C,15,CECIL,PHI,28-AUG-20 13:43:00,EST-5,28-AUG-20 13:43:00,0,0,0,0,0.00K,0.00K,Utility Company,55.00,EG,,,,,,,,,,.53,E,CECILTON,.53,E,CECILTON,39.4,-75.87,39.4,-75.87,"A quasi-stationary frontal boundary was located near the border region of the mid-Atlantic and New England for much of the day on August 28. South of the front, a hot and humid air mass developed. In addition, a fast moving approaching shortwave disturbance caused shear to increase, creating an environment of moderate to strong shear and instability as well as high moisture. Forcing from the shortwave caused widespread convection to develop by early to mid afternoon. Significant storm organization occurred, particularly in association with a line of storms that impacted portions of Pennsylvania, New Jersey, and northern Delmarva. This mesoscale convective system (MCS) produced widespread wind damage, with a few other storms across the region also producing damaging winds.",Several reports of downed trees and wires in the Cecilton area. Time estimated from radar.,CSV
202008,28,1345,202008,28,1345,150978,910055,MARYLAND,24,2020,August,Thunderstorm Wind,C,15,CECIL,PHI,28-AUG-20 13:45:00,EST-5,28-AUG-20 13:45:00,0,0,0,0,0.00K,0.00K,Utility Company,55.00,EG,,,,,,,,,,0,N,WARWICK,0,N,WARWICK,39.42,-75.78,39.42,-75.78,"A quasi-stationary frontal boundary was located near the border region of the mid-Atlantic and New England for much of the day on August 28. South of the front, a hot and humid air mass developed. In addition, a fast moving approaching shortwave disturbance caused shear to increase, creating an environment of moderate to strong shear and instability as well as high moisture. Forcing from the shortwave caused widespread convection to develop by early to mid afternoon. Significant storm organization occurred, particularly in association with a line of storms that impacted portions of Pennsylvania, New Jersey, and northern Delmarva. This mesoscale convective system (MCS) produced widespread wind damage, with a few other storms across the region also producing damaging winds.",Several reports of downed trees and wires in the Warwick area. Time estimated from radar.,CSV
202008,28,1520,202008,28,1520,150978,910056,MARYLAND,24,2020,August,Thunderstorm Wind,C,15,CECIL,PHI,28-AUG-20 15:20:00,EST-5,28-AUG-20 15:20:00,0,0,0,0,0.00K,0.00K,Trained Spotter,55.00,EG,,,,,,,,,,1.06,E,RISING SUN,1.06,E,RISING SUN,39.7,-76.05,39.7,-76.05,"A quasi-stationary frontal boundary was located near the border region of the mid-Atlantic and New England for much of the day on August 28. South of the front, a hot and humid air mass developed. In addition, a fast moving approaching shortwave disturbance caused shear to increase, creating an environment of moderate to strong shear and instability as well as high moisture. Forcing from the shortwave caused widespread convection to develop by early to mid afternoon. Significant storm organization occurred, particularly in association with a line of storms that impacted portions of Pennsylvania, New Jersey, and northern Delmarva. This mesoscale convective system (MCS) produced widespread wind damage, with a few other storms across the region also producing damaging winds.",Several trees and power lines were downed in the area. Time estimated from radar.,CSV
202008,28,1610,202008,28,1610,150978,910058,MARYLAND,24,2020,August,Thunderstorm Wind,C,29,KENT,PHI,28-AUG-20 16:10:00,EST-5,28-AUG-20 16:10:00,0,0,0,0,0.00K,0.00K,Utility Company,50.00,EG,,,,,,,,,,.69,S,CHESTERTOWN,.69,S,CHESTERTOWN,39.21,-76.07,39.21,-76.07,"A quasi-stationary frontal boundary was located near the border region of the mid-Atlantic and New England for much of the day on August 28. South of the front, a hot and humid air mass developed. In addition, a fast moving approaching shortwave disturbance caused shear to increase, creating an environment of moderate to strong shear and instability as well as high moisture. Forcing from the shortwave caused widespread convection to develop by early to mid afternoon. Significant storm organization occurred, particularly in association with a line of storms that impacted portions of Pennsylvania, New Jersey, and northern Delmarva. This mesoscale convective system (MCS) produced widespread wind damage, with a few other storms across the region also producing damaging winds.",Outflow winds downed trees and destroyed a transformer. Time estimated from radar.,CSV
202008,25,1925,202008,25,1925,150969,910061,MARYLAND,24,2020,August,Thunderstorm Wind,C,35,QUEEN ANNE'S,PHI,25-AUG-20 19:25:00,EST-5,25-AUG-20 19:25:00,0,0,0,0,0.00K,0.00K,Mesonet,63.00,MG,,,,,,,,,,1.75,WSW,BRYANTOWN,1.75,WSW,BRYANTOWN,38.92,-76.2,38.92,-76.2,"A strong cold front along with a mid-level shortwave trough approached the mid-Atlantic on August 25. Ahead of the disturbances, wind shear increased significantly and surface temperatures warmed, increasing instability. While some ingredients were in place for a major severe weather event, an offset in timing between the shortwave and the front, combined with greater than expected mid-level dry air, caused storms to generally struggle to develop over the mid-Atlantic. Greater storm coverage was found in more favorable environments over both New England and the Ohio Valley. However, the environment over the mid-Atlantic was still highly favorable for damaging winds, so the few storms that did develop produced some instances of wind damage.",,CSV
202008,25,1704,202008,25,1704,150969,910006,MARYLAND,24,2020,August,Thunderstorm Wind,C,15,CECIL,PHI,25-AUG-20 17:04:00,EST-5,25-AUG-20 17:04:00,0,0,0,0,0.00K,0.00K,Fire Department/Rescue,50.00,EG,,,,,,,,,,.39,SSE,LESLIE,.39,SSE,LESLIE,39.6147,-75.9478,39.6147,-75.9478,"A strong cold front along with a mid-level shortwave trough approached the mid-Atlantic on August 25. Ahead of the disturbances, wind shear increased significantly and surface temperatures warmed, increasing instability. While some ingredients were in place for a major severe weather event, an offset in timing between the shortwave and the front, combined with greater than expected mid-level dry air, caused storms to generally struggle to develop over the mid-Atlantic. Greater storm coverage was found in more favorable environments over both New England and the Ohio Valley. However, the environment over the mid-Atlantic was still highly favorable for damaging winds, so the few storms that did develop produced some instances of wind damage.",A tree and wires were downed at North East Rd and Nazarene Camp Rd. Time estimated from radar.,CSV
