BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202401,16,1200,202401,17,100,187643,1152235,MAINE,23,2024,January,Winter Storm,Z,9,CENTRAL SOMERSET,GYX,16-JAN-24 12:00:00,EST-5,17-JAN-24 01:00:00,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Early on the 16th low pressure developed along the Gulf Coast. The center took a north northeast track paralleling the East Coast through the remainder of the 16th, arriving near the elbow of Cape Cod by the early evening. Heavy snow overspread much of western Maine during the afternoon and evening of the 16th, but a storm track hugging the coastline brought warmer air inland and a change over to mixed precipitation early on the 17th. In the western Maine mountains, temperatures remained cold enough for nearly all the precipitation to fall as snow. As winds backed around to northwest, precipitation ended as mountain snow showers.","Snow moved into the western Maine mountains during the morning of the 16th, and quickly became moderate to heavy. At times during the middle of the day snowfall rates reached 1 inch per hour. By the evening of the 16th snow was tapering off, coming to an end shortly after midnight. Snowfall totals ranged from 8 to 13 inches.",CSV
202401,16,1200,202401,17,100,187643,1152236,MAINE,23,2024,January,Winter Storm,Z,14,SOUTHERN SOMERSET,GYX,16-JAN-24 12:00:00,EST-5,17-JAN-24 01:00:00,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Early on the 16th low pressure developed along the Gulf Coast. The center took a north northeast track paralleling the East Coast through the remainder of the 16th, arriving near the elbow of Cape Cod by the early evening. Heavy snow overspread much of western Maine during the afternoon and evening of the 16th, but a storm track hugging the coastline brought warmer air inland and a change over to mixed precipitation early on the 17th. In the western Maine mountains, temperatures remained cold enough for nearly all the precipitation to fall as snow. As winds backed around to northwest, precipitation ended as mountain snow showers.","Snow moved into the western Maine mountains during the morning of the 16th, and quickly became moderate to heavy. At times during the middle of the day snowfall rates reached 1 inch per hour. By the evening of the 16th snow was tapering off and starting to mix with sleet and freezing rain, coming to an end shortly after midnight. Snowfall totals ranged from 5 to 7 inches.",CSV
202401,7,600,202401,7,1900,186878,1147408,MAINE,23,2024,January,Winter Storm,Z,27,KNOX,GYX,07-JAN-24 06:00:00,EST-5,07-JAN-24 19:00:00,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Early on the 6th low pressure began organize along the Gulf Coast as high pressure settled into southern Quebec. This high pressure brought some fresh cold air ahead of the developing East Coast storm. Early on the 7th the storm center had moved to a position near Chesapeake Bay and was beginning to occlude. By this time light snow was already breaking out across parts of western Maine as warm, moist air was forced over the cold dome. Slow deepening continued as the nor'easter approached Nantucket, with the strongest forcing sent a mesoscale band of heavy snow north into southwestern Maine where it settled through the afternoon. Snowfall rates in excess of 1 to 2 inches per hour were frequently observed underneath this band. The storm began to exit east northeast and snow generally ended from west to east into the early evening hours on the 7th.","Light to moderate snow began early in the morning on the 7th. Snow was occasionally heavy at times, but a heavy mesoscale snowband never quite made it north into the Midcoast. Snow ended quickly once surface winds veered to northwesterly. Snowfall totals ranged from 6 to 10 inches.",CSV
202401,6,2300,202401,7,1700,186878,1147398,MAINE,23,2024,January,Winter Storm,Z,18,INTERIOR YORK,GYX,06-JAN-24 23:00:00,EST-5,07-JAN-24 17:00:00,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Early on the 6th low pressure began organize along the Gulf Coast as high pressure settled into southern Quebec. This high pressure brought some fresh cold air ahead of the developing East Coast storm. Early on the 7th the storm center had moved to a position near Chesapeake Bay and was beginning to occlude. By this time light snow was already breaking out across parts of western Maine as warm, moist air was forced over the cold dome. Slow deepening continued as the nor'easter approached Nantucket, with the strongest forcing sent a mesoscale band of heavy snow north into southwestern Maine where it settled through the afternoon. Snowfall rates in excess of 1 to 2 inches per hour were frequently observed underneath this band. The storm began to exit east northeast and snow generally ended from west to east into the early evening hours on the 7th.",Light to moderate snow began late in the evening on the 6th. Heavy snow began early in the morning on the 7th as a mesoscale band forced by strong warm air advection lifted into southwest Maine and settled overhead into the afternoon. Snowfall rates in excess of 1 to 2 inches per hours were observed throughout the event. Snow ended quickly once surface winds veered to northwesterly. Snowfall totals ranged from 12 to 18 inches.,CSV
202401,7,200,202401,7,1900,186878,1147400,MAINE,23,2024,January,Winter Storm,Z,24,COASTAL CUMBERLAND,GYX,07-JAN-24 02:00:00,EST-5,07-JAN-24 19:00:00,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Early on the 6th low pressure began organize along the Gulf Coast as high pressure settled into southern Quebec. This high pressure brought some fresh cold air ahead of the developing East Coast storm. Early on the 7th the storm center had moved to a position near Chesapeake Bay and was beginning to occlude. By this time light snow was already breaking out across parts of western Maine as warm, moist air was forced over the cold dome. Slow deepening continued as the nor'easter approached Nantucket, with the strongest forcing sent a mesoscale band of heavy snow north into southwestern Maine where it settled through the afternoon. Snowfall rates in excess of 1 to 2 inches per hour were frequently observed underneath this band. The storm began to exit east northeast and snow generally ended from west to east into the early evening hours on the 7th.",Light to moderate snow began early in the morning on the 7th. Heavy snow began in the morning on the 7th as a mesoscale band forced by strong warm air advection lifted into Casco Bay and settled overhead into the afternoon. Snowfall rates in excess of 1 to 2 inches per hours were observed throughout the event. Snow ended quickly once surface winds veered to northwesterly. Snowfall totals ranged from 12 to 16 inches.,CSV
202401,7,100,202401,7,1800,186878,1147401,MAINE,23,2024,January,Winter Storm,Z,19,CENTRAL INTERIOR CUMBERLAND,GYX,07-JAN-24 01:00:00,EST-5,07-JAN-24 18:00:00,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Early on the 6th low pressure began organize along the Gulf Coast as high pressure settled into southern Quebec. This high pressure brought some fresh cold air ahead of the developing East Coast storm. Early on the 7th the storm center had moved to a position near Chesapeake Bay and was beginning to occlude. By this time light snow was already breaking out across parts of western Maine as warm, moist air was forced over the cold dome. Slow deepening continued as the nor'easter approached Nantucket, with the strongest forcing sent a mesoscale band of heavy snow north into southwestern Maine where it settled through the afternoon. Snowfall rates in excess of 1 to 2 inches per hour were frequently observed underneath this band. The storm began to exit east northeast and snow generally ended from west to east into the early evening hours on the 7th.",Light to moderate snow began early in the morning on the 7th. Heavy snow began in the morning on the 7th as a mesoscale band forced by strong warm air advection lifted into the Lakes Region of Maine and settled overhead into the afternoon. Snowfall rates in excess of 1 to 2 inches per hours were observed throughout the event. Snow ended quickly once surface winds veered to northwesterly. Snowfall totals ranged from 12 to 16 inches.,CSV
202401,6,2300,202401,7,1700,186878,1147402,MAINE,23,2024,January,Winter Storm,Z,33,INTERIOR CUMBERLAND HIGHLANDS,GYX,06-JAN-24 23:00:00,EST-5,07-JAN-24 17:00:00,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Early on the 6th low pressure began organize along the Gulf Coast as high pressure settled into southern Quebec. This high pressure brought some fresh cold air ahead of the developing East Coast storm. Early on the 7th the storm center had moved to a position near Chesapeake Bay and was beginning to occlude. By this time light snow was already breaking out across parts of western Maine as warm, moist air was forced over the cold dome. Slow deepening continued as the nor'easter approached Nantucket, with the strongest forcing sent a mesoscale band of heavy snow north into southwestern Maine where it settled through the afternoon. Snowfall rates in excess of 1 to 2 inches per hour were frequently observed underneath this band. The storm began to exit east northeast and snow generally ended from west to east into the early evening hours on the 7th.","Light to moderate snow began late in the evening on the 6th. Snow was heavy at times, but a heavy mesoscale snowband never quite made it north into the Bridgton area. Snow ended quickly once surface winds veered to northwesterly. Snowfall totals ranged from 8 to 10 inches.",CSV
202401,6,2300,202401,7,1700,186878,1147399,MAINE,23,2024,January,Winter Storm,Z,23,COASTAL YORK,GYX,06-JAN-24 23:00:00,EST-5,07-JAN-24 17:00:00,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Early on the 6th low pressure began organize along the Gulf Coast as high pressure settled into southern Quebec. This high pressure brought some fresh cold air ahead of the developing East Coast storm. Early on the 7th the storm center had moved to a position near Chesapeake Bay and was beginning to occlude. By this time light snow was already breaking out across parts of western Maine as warm, moist air was forced over the cold dome. Slow deepening continued as the nor'easter approached Nantucket, with the strongest forcing sent a mesoscale band of heavy snow north into southwestern Maine where it settled through the afternoon. Snowfall rates in excess of 1 to 2 inches per hour were frequently observed underneath this band. The storm began to exit east northeast and snow generally ended from west to east into the early evening hours on the 7th.",Light to moderate snow began late in the evening on the 6th. Heavy snow began early in the morning on the 7th as a mesoscale band forced by strong warm air advection lifted into southwest Maine but settled just inland from the coast through the afternoon. Snowfall rates in excess of 1 inch per hours were observed throughout the event. Snow ended quickly once surface winds veered to northwesterly. Snowfall totals ranged from 8 to 12 inches.,CSV
202401,6,2300,202401,7,1700,186878,1147403,MAINE,23,2024,January,Winter Storm,Z,33,INTERIOR CUMBERLAND HIGHLANDS,GYX,06-JAN-24 23:00:00,EST-5,07-JAN-24 17:00:00,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Early on the 6th low pressure began organize along the Gulf Coast as high pressure settled into southern Quebec. This high pressure brought some fresh cold air ahead of the developing East Coast storm. Early on the 7th the storm center had moved to a position near Chesapeake Bay and was beginning to occlude. By this time light snow was already breaking out across parts of western Maine as warm, moist air was forced over the cold dome. Slow deepening continued as the nor'easter approached Nantucket, with the strongest forcing sent a mesoscale band of heavy snow north into southwestern Maine where it settled through the afternoon. Snowfall rates in excess of 1 to 2 inches per hour were frequently observed underneath this band. The storm began to exit east northeast and snow generally ended from west to east into the early evening hours on the 7th.","Light to moderate snow began late in the evening on the 6th. Snow was heavy at times, but a heavy mesoscale snowband never quite made it north into the western Maine mountains. Snow ended quickly once surface winds veered to northwesterly. Snowfall totals ranged from 7 to 10 inches.",CSV
202401,7,400,202401,7,1800,186878,1147404,MAINE,23,2024,January,Winter Storm,Z,25,SAGADAHOC,GYX,07-JAN-24 04:00:00,EST-5,07-JAN-24 18:00:00,0,0,0,0,,,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Early on the 6th low pressure began organize along the Gulf Coast as high pressure settled into southern Quebec. This high pressure brought some fresh cold air ahead of the developing East Coast storm. Early on the 7th the storm center had moved to a position near Chesapeake Bay and was beginning to occlude. By this time light snow was already breaking out across parts of western Maine as warm, moist air was forced over the cold dome. Slow deepening continued as the nor'easter approached Nantucket, with the strongest forcing sent a mesoscale band of heavy snow north into southwestern Maine where it settled through the afternoon. Snowfall rates in excess of 1 to 2 inches per hour were frequently observed underneath this band. The storm began to exit east northeast and snow generally ended from west to east into the early evening hours on the 7th.",Light to moderate snow began early in the morning on the 7th. Heavy snow began mid morning on the 7th as a mesoscale band forced by strong warm air advection lifted through Casco Bay and settled overhead into the afternoon. Snowfall rates in excess of 1 to 2 inches per hours were observed throughout the event. Snow ended quickly once surface winds veered to northwesterly. Snowfall totals ranged from 8 to 14 inches.,CSV
