BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199812,17,500,199812,18,1030,2151529,5673526,MINNESOTA,27,1998,December,Heavy Snow,Z,12,NORTHERN COOK / NORTHERN LAKE,DLH,17-DEC-98 05:00:00,CST,18-DEC-98 10:30:00,0,0,0,0,,,GENERAL PUBLIC,,,,,,,,,,,,,,,,,,,,,,"Heavy snow fell over northeastern Minnesota, generally east of International Falls and Grand Rapids and north of Duluth. Some of the heavier amounts were 8.3 inches at Marcell, 7 at Virginia, 8 at Two Harbors and at Trout Lake on the Gunflint Trail, and 6.5 at Hermantown near Duluth.",,PDC
199812,17,500,199812,18,1030,2151529,5673525,MINNESOTA,27,1998,December,Heavy Snow,Z,10,KOOCHICHING,DLH,17-DEC-98 05:00:00,CST,18-DEC-98 10:30:00,0,0,0,0,,,GENERAL PUBLIC,,,,,,,,,,,,,,,,,,,,,,"Heavy snow fell over northeastern Minnesota, generally east of International Falls and Grand Rapids and north of Duluth. Some of the heavier amounts were 8.3 inches at Marcell, 7 at Virginia, 8 at Two Harbors and at Trout Lake on the Gunflint Trail, and 6.5 at Hermantown near Duluth.",,PDC
199812,17,500,199812,18,1030,2151529,5673527,MINNESOTA,27,1998,December,Heavy Snow,Z,18,NORTHERN ITASCA,DLH,17-DEC-98 05:00:00,CST,18-DEC-98 10:30:00,0,0,0,0,,,GENERAL PUBLIC,,,,,,,,,,,,,,,,,,,,,,"Heavy snow fell over northeastern Minnesota, generally east of International Falls and Grand Rapids and north of Duluth. Some of the heavier amounts were 8.3 inches at Marcell, 7 at Virginia, 8 at Two Harbors and at Trout Lake on the Gunflint Trail, and 6.5 at Hermantown near Duluth.",,PDC
199809,25,2245,199809,25,2245,2149176,5664224,MINNESOTA,27,1998,September,Thunderstorm Wind,C,111,OTTER TAIL,FGF,25-SEP-98 22:45:00,CST,25-SEP-98 22:45:00,0,0,0,0,2M,,EMERGENCY MANAGER,,,,,,,,,,,,,,OTTERTAIL,,,OTTERTAIL,46.43,-95.55,46.43,-95.55,,"An 85,000 bushel grain bin was flattened against the Ottertail elevator.  Another 90,000 bushel bin crumpled to the ground, and two other 45,000 bushel bins were damaged by the strong wind.  Around the town, a storage shed was blown apart, a marine business was damaged, several irrigation systems were twisted, trees were uprooted, and many signs were damaged.  A pontoon was picked up by the wind and thrown 150 feet into a spruce tree.",PDC
199809,25,2245,199809,25,2245,2149176,5664225,MINNESOTA,27,1998,September,Hail,C,111,OTTER TAIL,FGF,25-SEP-98 22:45:00,CST,25-SEP-98 22:45:00,0,0,0,0,,,EMERGENCY MANAGER,1.00,,,,,,,,,,,,,PERHAM,,,PERHAM,46.6,-95.57,46.6,-95.57,,Two inches of hail fell.,PDC
199809,25,2230,199809,25,2230,2149176,5664226,MINNESOTA,27,1998,September,Thunderstorm Wind,C,111,OTTER TAIL,FGF,25-SEP-98 22:30:00,CST,25-SEP-98 22:30:00,0,0,0,0,75K,,NEWSPAPER,,,,,,,,,,,,3,NW,BASSWOOD,3,NW,BASSWOOD,46.48,-95.73,46.48,-95.73,,"A resort on Dead Lake was hit by the strong winds.  Four cabins were damaged and a large propane tank was pushed off its foundation.  A boat was picked up and thrown 3 cabins down, dragging the anchor.",PDC
199809,25,2245,199809,25,2245,2149176,5664227,MINNESOTA,27,1998,September,Thunderstorm Wind,C,111,OTTER TAIL,FGF,25-SEP-98 22:45:00,CST,25-SEP-98 22:45:00,0,0,0,0,20K,,NEWSPAPER,,,,,,,,,,,,,,HEINOLA,,,HEINOLA,46.45,-95.4,46.45,-95.4,,"The wind tore up a trailer home, scattering the contents for a half a mile.",PDC
199809,25,2342,199809,25,2342,2149169,5664658,MINNESOTA,27,1998,September,Hail,C,21,CASS,DLH,25-SEP-98 23:42:00,CST,25-SEP-98 23:42:00,0,0,0,0,,,GENERAL PUBLIC,1.00,,,,,,,,,,,,,PILLAGER,,,PILLAGER,46.33,-94.48,46.33,-94.48,,,PDC
199809,25,2350,199809,25,2350,2149170,5664659,MINNESOTA,27,1998,September,Hail,C,115,PINE,DLH,25-SEP-98 23:50:00,CST,25-SEP-98 23:50:00,0,0,0,0,,,GENERAL PUBLIC,1.00,,,,,,,,,,,2,N,PINE CITY,2,N,PINE CITY,45.87,-92.98,45.87,-92.98,,,PDC
199809,26,3,199809,26,3,2149171,5664660,MINNESOTA,27,1998,September,Hail,C,35,CROW WING,DLH,26-SEP-98 00:03:00,CST,26-SEP-98 00:03:00,0,0,0,0,,,GENERAL PUBLIC,1.00,,,,,,,,,,,,,CROSBY,,,CROSBY,46.48,-93.95,46.48,-93.95,,,PDC
