BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201106,26,2158,201106,26,2158,54109,324303,MISSOURI,29,2011,June,Thunderstorm Wind,C,81,HARRISON,EAX,26-JUN-11 21:58:00,CST-6,26-JUN-11 21:58:00,0,0,0,0,0.00K,0.00K,Trained Spotter,56.00,EG,,,,,,,,,,0,N,HATFIELD,0,N,HATFIELD,40.53,-94.15,40.53,-94.15,"A warm front, combined with an upper level disturbance, caused a squall line to move east across the area, during the evening hours of June 26, 2011. Damaging winds and large hail were reported.",Thunderstorm wind gusts were estimated up to 65 mph.,CSV
201106,26,2201,201106,26,2201,54109,324304,MISSOURI,29,2011,June,Hail,C,81,HARRISON,EAX,26-JUN-11 22:01:00,CST-6,26-JUN-11 22:01:00,0,0,0,0,0.00K,0.00K,Trained Spotter,1.00,,,,,,,,,,,0,N,HATFIELD,0,N,HATFIELD,40.53,-94.15,40.53,-94.15,"A warm front, combined with an upper level disturbance, caused a squall line to move east across the area, during the evening hours of June 26, 2011. Damaging winds and large hail were reported.",,CSV
201105,22,1616,201105,22,1616,51915,309344,MISSOURI,29,2011,May,Hail,C,53,COOPER,EAX,22-MAY-11 16:16:00,CST-6,22-MAY-11 16:16:00,0,0,0,0,0.00K,0.00K,Law Enforcement,1.00,,,,,,,,,,,1.28,WSW,BOONVILLE,1.28,WSW,BOONVILLE,38.96,-92.75,38.96,-92.75,"A cold front helped to generate severe thunderstorms, across portions of Missouri, mainly along the Interstate 70 corridor, in the afternoon hours of May 22, 2011. There were several reports of tornadoes, along with reports of hail and damaging wind.",,CSV
201105,22,1614,201105,22,1614,51915,309345,MISSOURI,29,2011,May,Hail,C,53,COOPER,EAX,22-MAY-11 16:14:00,CST-6,22-MAY-11 16:14:00,0,0,0,0,0.00K,0.00K,Law Enforcement,2.75,,,,,,,,,,,2.63,NW,CLARKS FORK,2.63,NW,CLARKS FORK,38.91,-92.68,38.91,-92.68,"A cold front helped to generate severe thunderstorms, across portions of Missouri, mainly along the Interstate 70 corridor, in the afternoon hours of May 22, 2011. There were several reports of tornadoes, along with reports of hail and damaging wind.",,CSV
201105,22,1615,201105,22,1615,51915,309350,MISSOURI,29,2011,May,Hail,C,53,COOPER,EAX,22-MAY-11 16:15:00,CST-6,22-MAY-11 16:15:00,0,0,0,0,0.00K,0.00K,Public,1.50,,,,,,,,,,,1.28,WSW,BOONVILLE,1.28,WSW,BOONVILLE,38.96,-92.75,38.96,-92.75,"A cold front helped to generate severe thunderstorms, across portions of Missouri, mainly along the Interstate 70 corridor, in the afternoon hours of May 22, 2011. There were several reports of tornadoes, along with reports of hail and damaging wind.",,CSV
201105,22,1700,201105,22,1700,51915,309352,MISSOURI,29,2011,May,Hail,C,53,COOPER,EAX,22-MAY-11 17:00:00,CST-6,22-MAY-11 17:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,1.75,,,,,,,,,,,2.77,ENE,LICK,2.77,ENE,LICK,38.94,-92.77,38.94,-92.77,"A cold front helped to generate severe thunderstorms, across portions of Missouri, mainly along the Interstate 70 corridor, in the afternoon hours of May 22, 2011. There were several reports of tornadoes, along with reports of hail and damaging wind.",,CSV
201105,22,1657,201105,22,1657,51915,309353,MISSOURI,29,2011,May,Thunderstorm Wind,C,175,RANDOLPH,EAX,22-MAY-11 16:57:00,CST-6,22-MAY-11 16:57:00,0,0,0,0,0.40K,0.00K,Broadcast Media,52.00,EG,,,,,,,,,,.87,SE,HIGBEE,.87,SE,HIGBEE,39.31,-92.51,39.31,-92.51,"A cold front helped to generate severe thunderstorms, across portions of Missouri, mainly along the Interstate 70 corridor, in the afternoon hours of May 22, 2011. There were several reports of tornadoes, along with reports of hail and damaging wind.",A powerpole was reported down. Thunderstorm wind gusts were estimated up to 60 mph.,CSV
201105,22,1711,201105,22,1711,51915,309354,MISSOURI,29,2011,May,Hail,C,175,RANDOLPH,EAX,22-MAY-11 17:11:00,CST-6,22-MAY-11 17:11:00,0,0,0,0,0.00K,0.00K,Trained Spotter,0.88,,,,,,,,,,,3.85,SE,HIGBEE,3.85,SE,HIGBEE,39.28,-92.47,39.28,-92.47,"A cold front helped to generate severe thunderstorms, across portions of Missouri, mainly along the Interstate 70 corridor, in the afternoon hours of May 22, 2011. There were several reports of tornadoes, along with reports of hail and damaging wind.",,CSV
201105,22,1720,201105,22,1720,51915,309355,MISSOURI,29,2011,May,Thunderstorm Wind,C,53,COOPER,EAX,22-MAY-11 17:20:00,CST-6,22-MAY-11 17:20:00,0,0,0,0,0.00K,0.00K,Law Enforcement,52.00,EG,,,,,,,,,,2.26,ESE,BOONVILLE VIERTEL AR,2.26,ESE,BOONVILLE VIERTEL AR,38.96,-92.64,38.96,-92.64,"A cold front helped to generate severe thunderstorms, across portions of Missouri, mainly along the Interstate 70 corridor, in the afternoon hours of May 22, 2011. There were several reports of tornadoes, along with reports of hail and damaging wind.","Small trees were snapped off, with thunderstorm wind gusts estimated up to 60 mph.",CSV
201105,21,1912,201105,21,1912,52007,309902,MISSOURI,29,2011,May,Hail,C,49,CLINTON,EAX,21-MAY-11 19:12:00,CST-6,21-MAY-11 19:12:00,0,0,0,0,0.00K,0.00K,Law Enforcement,0.75,,,,,,,,,,,4.7,NE,PERRIN,4.7,NE,PERRIN,39.72,-94.36,39.72,-94.36,"An upper level disturbance over northern Kansas, lifted into Nebraska, during the afternoon and evening hours of May 21, 2011. This disturbance, combined with moisture convergence and diurnal heating, allowed thunderstorms to develop. The thunderstorms moved northeast into northwestern Missouri. There were numerous reports of hail and one report of a tornado.",,CSV
