BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201501,3,1334,201501,3,1334,91633,549166,MISSISSIPPI,28,2015,January,Funnel Cloud,C,147,WALTHALL,LIX,03-JAN-15 13:34:00,CST-6,03-JAN-15 13:34:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,8,NW,TYLERTOWN,8,NW,TYLERTOWN,31.2019,-90.2457,31.2019,-90.2457,A squall line developed in advance of a cold front moving across Mississippi and Louisiana during the late morning and early afternoon hours.,A rotating wall cloud and funnel cloud were reported northwest of Tylertown.,CSV
201501,9,700,201501,9,825,91634,549168,MISSISSIPPI,28,2015,January,Winter Weather,Z,69,AMITE,LIX,09-JAN-15 07:00:00,CST-6,09-JAN-15 08:25:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,Moisture returning northward over a cold airmass produced a brief period of freezing rain over southwest Mississippi during the morning hours.,A light glazing was reported on one bridge on Mississippi Highway 570 west of McComb.,CSV
201505,25,1054,201505,25,1300,96662,581427,MISSISSIPPI,28,2015,May,Flash Flood,C,95,MONROE,MEG,25-MAY-15 10:54:00,CST-6,25-MAY-15 13:00:00,0,0,0,0,0.00K,0.00K,Public,,,Heavy Rain,,,,,,,,,.74,ENE,AMORY,2.21,NNE,BECKER,33.9843,-88.4881,33.9602,-88.464,An upper level disturbance lifting northeast through the region triggered widespread showers and thunderstorms along and east of the Mississippi River. On the southern end of this area of showers and thunderstorms an intense bow echo developed and moved into Monroe County producing a couple of weak tornadoes and flash flooding.,Heavy rain caused flash flooding in the Amory area. Several roads were flooded including Hatley-Smithville Road and Highway 278 east of Amory.,CSV
201505,17,1815,201505,17,2015,95340,572894,MISSISSIPPI,28,2015,May,Flash Flood,C,115,PONTOTOC,MEG,17-MAY-15 18:15:00,CST-6,17-MAY-15 20:15:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,2.66,ENE,CHERRY CREEK,2.97,ENE,CHERRY CREEK,34.3647,-88.9569,34.3612,-88.9589,"A strong upper level trough was pushing into the Central Plains during the early morning hours of May 17, 2015. The associated cold front stretched south through the Southern Plains. Numerous showers and thunderstorms pushed well east of the front into Eastern Arkansas during the mid-morning hours and eventually weakened. Outflow boundaries associated with the aforementioned activity pushed east into West Tennessee and North Mississippi. These boundaries initiated new convection as the airmass destabilized during the afternoon hours. Some of these thunderstorms contained heavy rain and produced isolated flash flooding.",Heavy rain produced flash flooding in between Ecru and New Harmony. The roadway was partially washed out at the intersection of Subertown Road and Baggett Road.,CSV
201505,20,1616,201505,20,1621,96586,580910,MISSISSIPPI,28,2015,May,Hail,C,95,MONROE,MEG,20-MAY-15 16:16:00,CST-6,20-MAY-15 16:21:00,0,0,0,0,,0.00K,Social Media,1.00,,,,,,,,,,,2,S,SMITHVILLE,2,S,SMITHVILLE,34.0411,-88.4,34.0411,-88.4,"A mesoscale convective vortex moved into the Mid-South during the afternoon hours on May 20, 2015. This feature combined with a stalled frontal boundary to produce scattered thunderstorms across West Tennessee and North Mississippi. A couple of weak tornadoes occurred in West Tennessee and isolated large hail was reported in North Mississippi.",Quarter size hail reported near Smithville.,CSV
201501,3,1116,201501,3,1116,91633,549164,MISSISSIPPI,28,2015,January,Thunderstorm Wind,C,45,HANCOCK,LIX,03-JAN-15 11:16:00,CST-6,03-JAN-15 11:16:00,0,0,0,0,0.00K,0.00K,Trained Spotter,52.00,EG,,,,,,,,,,0,N,PEARLINGTON,0,N,PEARLINGTON,30.25,-89.62,30.25,-89.62,A squall line developed in advance of a cold front moving across Mississippi and Louisiana during the late morning and early afternoon hours.,A storm spotter reported 60 mph wind gusts in Pearlington with tree limbs down.,CSV
201501,3,1309,201501,3,1309,91633,549165,MISSISSIPPI,28,2015,January,Thunderstorm Wind,C,113,PIKE,LIX,03-JAN-15 13:09:00,CST-6,03-JAN-15 13:09:00,0,0,0,0,0.00K,0.00K,Public,52.00,EG,,,,,,,,,,0,N,MAGNOLIA,0,N,MAGNOLIA,31.15,-90.47,31.15,-90.47,A squall line developed in advance of a cold front moving across Mississippi and Louisiana during the late morning and early afternoon hours.,A citizen reported large tree limbs and branches blown down by thunderstorm winds in Magnolia.,CSV
201506,10,1810,201506,10,1810,95130,571593,MISSISSIPPI,28,2015,June,Hail,C,49,HINDS,JAN,10-JUN-15 18:10:00,CST-6,10-JUN-15 18:10:00,0,0,0,0,0.00K,0.00K,Public,1.00,,,,,,,,,,,2.06,S,TOUGALOO,2.06,S,TOUGALOO,32.3704,-90.1256,32.3704,-90.1256,"The combination of rich gulf moisture, instability, and strong moisture convergence aided in providing strong storms over portions of Central Mississippi mainly during the afternoon and evening hours. Wind damage, hail and flash flooding occurred from these storms.",Large amounts of pea sized hail with some stones up to quarter sized fell at the Jackson Futbol Club.,CSV
201506,10,1845,201506,10,1845,95130,571594,MISSISSIPPI,28,2015,June,Hail,C,129,SMITH,JAN,10-JUN-15 18:45:00,CST-6,10-JUN-15 18:45:00,0,0,0,0,0.00K,0.00K,Trained Spotter,1.00,,,,,,,,,,,.91,SE,LORENA,.91,SE,LORENA,32.17,-89.51,32.17,-89.51,"The combination of rich gulf moisture, instability, and strong moisture convergence aided in providing strong storms over portions of Central Mississippi mainly during the afternoon and evening hours. Wind damage, hail and flash flooding occurred from these storms.",Hail up to the size of quarters occurred along Highway 35.,CSV
201506,10,1800,201506,10,1800,95130,571587,MISSISSIPPI,28,2015,June,Thunderstorm Wind,C,49,HINDS,JAN,10-JUN-15 18:00:00,CST-6,10-JUN-15 18:00:00,0,0,0,0,9.00K,0.00K,Public,55.00,EG,,,,,,,,,,2.05,S,TOUGALOO,2.05,S,TOUGALOO,32.3704,-90.1284,32.3704,-90.1284,"The combination of rich gulf moisture, instability, and strong moisture convergence aided in providing strong storms over portions of Central Mississippi mainly during the afternoon and evening hours. Wind damage, hail and flash flooding occurred from these storms.","At the Jackson Futbol Club Complex on Westbrook Road, the tops were blown out of a couple of trees. Large aluminum soccer goals were blown over and tossed some 3 to 4 feet. A tree was blown down on Harrow Road.",CSV
201505,24,1520,201505,24,1530,96629,581155,MISSISSIPPI,28,2015,May,Thunderstorm Wind,C,17,CHICKASAW,MEG,24-MAY-15 15:20:00,CST-6,24-MAY-15 15:30:00,0,0,0,0,,0.00K,Emergency Manager,50.00,EG,,,,,,,,,,2.94,WSW,HOLLADAY,2.39,WNW,HOULKA,33.9197,-89.0497,34.0379,-89.0607,"An upper level disturbance moved out of Northeast Texas into the Mid-South during the afternoon and early evening hours on May 24, 2015. The airmass across the Mid-South was moist and unstable and the disturbance ignited scattered showers and thunderstorms across the region. A few storms were severe with damaging winds.",An uprooted tree fell on a car on County Road 405 west of Houston. A large oak tree fell on a trailer near Houlka. Several trees were knocked down on Highway 32 west of Houlka.,CSV
201505,24,1518,201505,24,1518,94435,567899,MISSISSIPPI,28,2015,May,Thunderstorm Wind,C,163,YAZOO,JAN,24-MAY-15 15:18:00,CST-6,24-MAY-15 15:18:00,0,0,0,0,8.00K,0.00K,Emergency Manager,50.00,EG,,,,,,,,,,2.76,S,OIL CITY,2.76,S,OIL CITY,32.64,-90.43,32.64,-90.43,"Warm, moist air combined with an upper level disturbance to bring scattered to numerous showers and thunderstorms to the area. Some of these storms were severe and brought gusty winds to the region, resulting in some downed trees and other types of damage.",Trees were blown down along Mississippi Highway 433 near Martin Road.,CSV
201505,24,1525,201505,24,1525,94435,567900,MISSISSIPPI,28,2015,May,Thunderstorm Wind,C,149,WARREN,JAN,24-MAY-15 15:25:00,CST-6,24-MAY-15 15:25:00,0,0,0,0,7.00K,0.00K,Broadcast Media,50.00,EG,,,,,,,,,,1.38,S,CULKIN ACADAMEY,1.38,S,CULKIN ACADAMEY,32.35,-90.82,32.35,-90.82,"Warm, moist air combined with an upper level disturbance to bring scattered to numerous showers and thunderstorms to the area. Some of these storms were severe and brought gusty winds to the region, resulting in some downed trees and other types of damage.",Powerlines were blown down along Old Highway 80 near Beechwood Road.,CSV
201505,24,1550,201505,24,1550,94435,567901,MISSISSIPPI,28,2015,May,Thunderstorm Wind,C,163,YAZOO,JAN,24-MAY-15 15:50:00,CST-6,24-MAY-15 15:50:00,0,0,0,0,6.00K,0.00K,Emergency Manager,50.00,EG,,,,,,,,,,.85,ENE,EDEN,.85,ENE,EDEN,32.9852,-90.3167,32.9852,-90.3167,"Warm, moist air combined with an upper level disturbance to bring scattered to numerous showers and thunderstorms to the area. Some of these storms were severe and brought gusty winds to the region, resulting in some downed trees and other types of damage.",Trees were blown down at US Highway 49E and Eden Main Street.,CSV
201505,24,1615,201505,24,1615,94435,567902,MISSISSIPPI,28,2015,May,Thunderstorm Wind,C,51,HOLMES,JAN,24-MAY-15 16:15:00,CST-6,24-MAY-15 16:15:00,0,0,0,0,6.00K,0.00K,Law Enforcement,50.00,EG,,,,,,,,,,.58,E,TCHULA,.58,E,TCHULA,33.18,-90.22,33.18,-90.22,"Warm, moist air combined with an upper level disturbance to bring scattered to numerous showers and thunderstorms to the area. Some of these storms were severe and brought gusty winds to the region, resulting in some downed trees and other types of damage.",Trees were blown down in the Tchula area.,CSV
201505,24,1820,201505,24,1820,94435,567903,MISSISSIPPI,28,2015,May,Thunderstorm Wind,C,1,ADAMS,JAN,24-MAY-15 18:20:00,CST-6,24-MAY-15 18:20:00,0,0,0,0,6.00K,0.00K,Emergency Manager,50.00,EG,,,,,,,,,,.91,SE,(HEZ)HARDY FLD NATCH,.91,SE,(HEZ)HARDY FLD NATCH,31.61,-91.29,31.61,-91.29,"Warm, moist air combined with an upper level disturbance to bring scattered to numerous showers and thunderstorms to the area. Some of these storms were severe and brought gusty winds to the region, resulting in some downed trees and other types of damage.",Trees were blown down near the Natchez airport.,CSV
201505,24,1850,201505,24,1850,94435,567904,MISSISSIPPI,28,2015,May,Thunderstorm Wind,C,29,COPIAH,JAN,24-MAY-15 18:50:00,CST-6,24-MAY-15 18:50:00,0,0,0,0,15.00K,0.00K,Broadcast Media,43.00,EG,,,,,,,,,,.36,NE,GEORGETOWN,.36,NE,GEORGETOWN,31.8741,-90.1763,31.8741,-90.1763,"Warm, moist air combined with an upper level disturbance to bring scattered to numerous showers and thunderstorms to the area. Some of these storms were severe and brought gusty winds to the region, resulting in some downed trees and other types of damage.",One tree was blown down on Highway 28 west of Georgetown. A car struck the downed tree but no injuries occurred.,CSV
201505,24,2300,201505,25,200,94435,567905,MISSISSIPPI,28,2015,May,Flash Flood,C,49,HINDS,JAN,24-MAY-15 23:00:00,CST-6,25-MAY-15 02:00:00,0,0,0,0,5.00K,0.00K,Trained Spotter,,,Heavy Rain,,,,,,,,,.69,N,CLINTON,.36,NNE,CLINTON,32.34,-90.33,32.3403,-90.3238,"Warm, moist air combined with an upper level disturbance to bring scattered to numerous showers and thunderstorms to the area. Some of these storms were severe and brought gusty winds to the region, resulting in some downed trees and other types of damage.",Water was covering a yard and driveway and entered a garage in Clinton.,CSV
201506,24,1500,201506,24,1500,95886,576089,MISSISSIPPI,28,2015,June,Hail,C,121,RANKIN,JAN,24-JUN-15 15:00:00,CST-6,24-JUN-15 15:00:00,0,0,0,0,0.00K,0.00K,Public,0.88,,,,,,,,,,,.36,W,RICE HILL,.36,W,RICE HILL,32.2703,-90.0361,32.2703,-90.0361,Strong to severe storms developed across the area during the afternoon. This was aided by instability from daytime heating along with various outflow boundaries combined with a moist air mass. The severe storms had produced damage in the form of blown down trees and power lines. There were also some isolated events of hail.,Nickel sized hail fell at the intersection of Greenfield Road and Highway 18.,CSV
