BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201105,16,845,201105,16,2100,51713,307543,MONTANA,30,2011,May,High Wind,Z,27,WIBAUX,GGW,16-MAY-11 08:45:00,MST-7,16-MAY-11 21:00:00,0,0,0,0,0.00K,0.00K,Mesonet,36.00,MS,,,,,,,,,,,,,,,,,,,,"This occurred just in Wibaux County, where strong mid-level winds mixed to the surface.",The Beaver Hill DOT sensor reported several hours of sustained winds over 40 mph with gusts over 55 mph. No damage was reported.,CSV
201105,20,919,201105,29,900,53667,321543,MONTANA,30,2011,May,Flood,C,71,PHILLIPS,GGW,20-MAY-11 09:19:00,MST-7,29-MAY-11 09:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,Heavy Rain,,,,,,,,,4.18,N,HAYS DOT,4.3,N,HAYS DOT,47.9799,-108.7331,47.9582,-108.7272,This flooding occurred in a large portion of northeast Montana.,"At 0245 MST on May 22nd, Highway 66 between Highway 191 and Highway 2 was closed due to flooding. Eight inches of rain fell in the Little Rocky Mountains. Also, the Beaver Creek was flooding between Saco and Hinsdale.",CSV
201105,20,906,201105,23,336,53667,321605,MONTANA,30,2011,May,Flood,C,109,WIBAUX,GGW,20-MAY-11 09:06:00,MST-7,23-MAY-11 03:36:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,Heavy Rain,,,,,,,,,6.5,WNW,CARLYLE,12.62,NE,WIBAUX,46.695,-104.1504,47.0254,-104.1284,This flooding occurred in a large portion of northeast Montana.,Many gravel roads became impassible due to the extremely wet conditions.,CSV
201105,23,316,201105,31,2359,53806,322404,MONTANA,30,2011,May,Flood,C,33,GARFIELD,GGW,23-MAY-11 03:16:00,MST-7,31-MAY-11 23:59:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,Heavy Rain / Snow Melt,,,,,,,,,12.63,NNW,MOSBY,12.6,SW,MOSBY,47.1793,-107.9225,46.9936,-107.8796,Heavy rain and some mountain snowmelt contributed to flooding of especially the Flatwillow Creek and the Musselshell River.,"The Musselshell River at Mosby reached close to 16 feet on May 23rd (the second highest stage ever), 8 feet above flood stage. Most of these creeks remained high or out of their banks until the end of June.",CSV
201105,29,2355,201105,31,1206,53807,322407,MONTANA,30,2011,May,Flood,C,83,RICHLAND,GGW,29-MAY-11 23:55:00,MST-7,31-MAY-11 12:06:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,Heavy Rain,,,,,,,,,6.04,NNE,LAMBERT,5.42,SSE,LAMBERT,47.7635,-104.5816,47.6138,-104.5706,"An additional two inches of rain fell across the area, bringing flooding to creeks and streams in the area.",Creeks and streams flowed out of their banks in some areas.,CSV
201105,29,2355,201105,31,1206,53807,322409,MONTANA,30,2011,May,Flood,C,21,DAWSON,GGW,29-MAY-11 23:55:00,MST-7,31-MAY-11 12:06:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,Heavy Rain,,,,,,,,,8.1,WSW,GLENDIVE DAWSON ARPT,7.79,NNW,GLENDIVE DAWSON ARPT,47.0929,-104.9634,47.2347,-104.8398,"An additional two inches of rain fell across the area, bringing flooding to creeks and streams in the area.",Creeks and streams flowed out of their banks in some areas.,CSV
201105,29,2355,201105,31,1206,53807,322410,MONTANA,30,2011,May,Flood,C,109,WIBAUX,GGW,29-MAY-11 23:55:00,MST-7,31-MAY-11 12:06:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,Heavy Rain,,,,,,,,,1.83,NNW,BEAVER HILL DOT,5.79,W,ST PHILLIP,47.0256,-104.2603,46.8331,-104.2506,"An additional two inches of rain fell across the area, bringing flooding to creeks and streams in the area.",Creeks and streams flowed out of their banks in some areas.,CSV
201101,13,1847,201101,13,2100,46216,268055,MONTANA,30,2011,January,Winter Weather,Z,22,GARFIELD,GGW,13-JAN-11 18:47:00,MST-7,13-JAN-11 21:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,Freezing rain occurred in Garfield county as a warm front was to the southwest of the area. Icy conditions were experienced in Garfield county.,Garfield County Sheriff reported freezing rain and icy roadways.,CSV
201110,11,1700,201110,11,1700,57738,346525,MONTANA,30,2011,October,High Wind,Z,9,NORTH ROCKY MOUNTAIN FRONT,TFX,11-OCT-11 17:00:00,MST-7,11-OCT-11 17:00:00,0,0,0,0,0.00K,0.00K,Mesonet,69.00,MG,,,,,,,,,,,,,,,,,,,,A strong westerly flow aloft resulted in high winds along the Rocky Mountain Front. Wind gusts in excess of 70 mph were reported.,A wind gust to 79 mph was reported at Saint Mary 13W (the Logan Pass Visitor Center in Glacier National Park). Gusts to 80 mph were also reported.,CSV
201110,26,1430,201110,26,1430,57739,346526,MONTANA,30,2011,October,High Wind,Z,48,SOUTHERN ROCKY MOUNTAIN FRONT,TFX,26-OCT-11 14:30:00,MST-7,26-OCT-11 14:30:00,0,0,0,0,0.00K,0.00K,Mesonet,50.00,MG,,,,,,,,,,,,,,,,,,,,Stong westerly winds aloft resulted in high winds over the Southern Rocky Mountain Front. Wind gusts in excess of 60 mph were reported.,A wind gust to 58 mph was reported at Bynum 13W (the Dellwo MSCN site). A gust to 62 mph was also reported at the site.,CSV
201110,1,0,201110,8,1200,66359,397912,MONTANA,30,2011,October,Wildfire,Z,14,SOUTHERN LEWIS AND CLARK,TFX,01-OCT-11 00:00:00,MST-7,08-OCT-11 12:00:00,0,0,0,0,0.00K,0.00K,Fire Department/Rescue,,,,,,,,,,,,,,,,,,,,,,"There were five fires in the Lincoln Ranger District. All five of these wildfires were sparked by lightning that moved through the Lincoln area Saturday evening, October 1, 2011. The Arrastra, Lone Point and Porcupine fires are burning in the Arrastra Creek area; the Baking Powder fire is burning in the Scapegoat Wilderness between Baking Powder Creek and Falls Creek, and the Dalton Mountain fire. Combined the fires burned about 734 acres in steep terrain. Cool temperatures, higher relative humidity levels and precipitation that occurred in Lincoln following ignition helped minimize activity and spread of the Lincoln fires.","There were five fires in the Lincoln Ranger District. All five of these wildfires were sparked by lightning that moved through the Lincoln area Saturday evening, October 1, 2011.",CSV
201111,30,0,201111,30,600,59386,355054,MONTANA,30,2011,November,Heavy Snow,Z,6,BITTERROOT / SAPPHIRE MOUNTAINS,MSO,30-NOV-11 00:00:00,MST-7,30-NOV-11 06:00:00,0,0,0,0,0.00K,0.00K,SNOTEL,,,,,,,,,,,,,,,,,,,,,,"A moist, fast moving Pacific storm moved a cross western Montana as November came to a close. The heaviest snowfall was orographically influenced.",The SNOTEL at Lolo Pass measured 3 inches of snow.,CSV
201106,6,2054,201106,6,2054,53571,321000,MONTANA,30,2011,June,Thunderstorm Wind,C,111,YELLOWSTONE,BYZ,06-JUN-11 20:54:00,MST-7,06-JUN-11 20:54:00,0,0,0,0,,,Trained Spotter,61.00,EG,,,,,,,,,,2.37,NW,NIBES,2.37,NW,NIBES,46,-108.07,46,-108.07,"Considerable forcing and ascent and deep-layer wind fields resulted in widespread and intense thunderstorm activity. Boundary layer dewpoints in the 50s, steep lapse rates and pronounced veering of winds with height fostered an environment favorable for supercells capable of large hail and tornadoes.",A storage shed was blown apart and flew 60-70 feet into a center pivot.,CSV
