BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200001,28,1000,200001,30,1200,1090649,5128917,NORTH CAROLINA,37,2000,January,Winter Storm,Z,10,WARREN,RAH,28-JAN-00 10:00:00,EST,30-JAN-00 12:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Sleet and freezing rain began to fall in the wetsern Piedmont of North Carolina on the evening of the 28th. The ice accumulated to a half inch in some locations near the Triad area and along the Virginia border, with most locations in the area receiving around a quarter of an inch of ice. The rest of central North Carolina received a thin coating of less than a quarter inch, creating patchy spots of ice on roads and causing downed trees and power lines. Approximately 30,000 people were without power across the state at the peak of the storm. In eastern portions of the Sandhills and in the Coastal Plain, the freezing rain changed to light rain, preventing more widespread icing in that area. A lull in the precipitation from the predawn hours on Sunday until Sunday morning also kept ice accumulation minimal.",,PDC
200001,28,1000,200001,30,1200,1090649,5128918,NORTH CAROLINA,37,2000,January,Winter Storm,Z,43,WILSON,RAH,28-JAN-00 10:00:00,EST,30-JAN-00 12:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Sleet and freezing rain began to fall in the wetsern Piedmont of North Carolina on the evening of the 28th. The ice accumulated to a half inch in some locations near the Triad area and along the Virginia border, with most locations in the area receiving around a quarter of an inch of ice. The rest of central North Carolina received a thin coating of less than a quarter inch, creating patchy spots of ice on roads and causing downed trees and power lines. Approximately 30,000 people were without power across the state at the peak of the storm. In eastern portions of the Sandhills and in the Coastal Plain, the freezing rain changed to light rain, preventing more widespread icing in that area. A lull in the precipitation from the predawn hours on Sunday until Sunday morning also kept ice accumulation minimal.",,PDC
200001,18,200,200001,18,1400,1090650,5128919,NORTH CAROLINA,37,2000,January,Winter Storm,Z,23,ALAMANCE,RAH,18-JAN-00 02:00:00,EST,18-JAN-00 14:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Light snow moved over the Triad area in the early morning hours of the 18th and sperad slowly east-southeast, reaching the Sandhills and Coastal Plain before daybreak. The snow intensified in the morning in the Triad area where 4 to 6 inches of snow fell. The Sandhills and Coastal Plain received 1 to 3 inches before changing over to sleet and freezing rain in the mid-morning hours. Total accumulations of ice were less than a quarter of an inch. The snow and ice made for slick road conditions across the entire area. Most counties reported numerous accidents, causing many major roads to close.",,PDC
200002,13,2315,200002,13,2315,1090231,5128572,NORTH CAROLINA,37,2000,February,Thunderstorm Wind,C,39,CHEROKEE,MRX,13-FEB-00 23:15:00,EST,13-FEB-00 23:15:00,0,0,0,0,10K,,LAW ENFORCEMENT,,,,,,,,,,,,,,MARBLE,,,MARBLE,35.18333,-83.93333,35.18333,-83.93333,Power lines down.,,PDC
200001,18,200,200001,18,1400,1090650,5128923,NORTH CAROLINA,37,2000,January,Winter Storm,Z,38,DAVIDSON,RAH,18-JAN-00 02:00:00,EST,18-JAN-00 14:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Light snow moved over the Triad area in the early morning hours of the 18th and sperad slowly east-southeast, reaching the Sandhills and Coastal Plain before daybreak. The snow intensified in the morning in the Triad area where 4 to 6 inches of snow fell. The Sandhills and Coastal Plain received 1 to 3 inches before changing over to sleet and freezing rain in the mid-morning hours. Total accumulations of ice were less than a quarter of an inch. The snow and ice made for slick road conditions across the entire area. Most counties reported numerous accidents, causing many major roads to close.",,PDC
200001,18,200,200001,18,1400,1090650,5128921,NORTH CAROLINA,37,2000,January,Winter Storm,Z,40,CHATHAM,RAH,18-JAN-00 02:00:00,EST,18-JAN-00 14:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Light snow moved over the Triad area in the early morning hours of the 18th and sperad slowly east-southeast, reaching the Sandhills and Coastal Plain before daybreak. The snow intensified in the morning in the Triad area where 4 to 6 inches of snow fell. The Sandhills and Coastal Plain received 1 to 3 inches before changing over to sleet and freezing rain in the mid-morning hours. Total accumulations of ice were less than a quarter of an inch. The snow and ice made for slick road conditions across the entire area. Most counties reported numerous accidents, causing many major roads to close.",,PDC
200001,18,200,200001,18,1400,1090650,5128922,NORTH CAROLINA,37,2000,January,Winter Storm,Z,88,CUMBERLAND,RAH,18-JAN-00 02:00:00,EST,18-JAN-00 14:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Light snow moved over the Triad area in the early morning hours of the 18th and sperad slowly east-southeast, reaching the Sandhills and Coastal Plain before daybreak. The snow intensified in the morning in the Triad area where 4 to 6 inches of snow fell. The Sandhills and Coastal Plain received 1 to 3 inches before changing over to sleet and freezing rain in the mid-morning hours. Total accumulations of ice were less than a quarter of an inch. The snow and ice made for slick road conditions across the entire area. Most counties reported numerous accidents, causing many major roads to close.",,PDC
200001,28,1000,200001,30,1200,1090649,5128892,NORTH CAROLINA,37,2000,January,Winter Storm,Z,88,CUMBERLAND,RAH,28-JAN-00 10:00:00,EST,30-JAN-00 12:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Sleet and freezing rain began to fall in the wetsern Piedmont of North Carolina on the evening of the 28th. The ice accumulated to a half inch in some locations near the Triad area and along the Virginia border, with most locations in the area receiving around a quarter of an inch of ice. The rest of central North Carolina received a thin coating of less than a quarter inch, creating patchy spots of ice on roads and causing downed trees and power lines. Approximately 30,000 people were without power across the state at the peak of the storm. In eastern portions of the Sandhills and in the Coastal Plain, the freezing rain changed to light rain, preventing more widespread icing in that area. A lull in the precipitation from the predawn hours on Sunday until Sunday morning also kept ice accumulation minimal.",,PDC
200001,28,1000,200001,30,1200,1090649,5128894,NORTH CAROLINA,37,2000,January,Winter Storm,Z,25,DURHAM,RAH,28-JAN-00 10:00:00,EST,30-JAN-00 12:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Sleet and freezing rain began to fall in the wetsern Piedmont of North Carolina on the evening of the 28th. The ice accumulated to a half inch in some locations near the Triad area and along the Virginia border, with most locations in the area receiving around a quarter of an inch of ice. The rest of central North Carolina received a thin coating of less than a quarter inch, creating patchy spots of ice on roads and causing downed trees and power lines. Approximately 30,000 people were without power across the state at the peak of the storm. In eastern portions of the Sandhills and in the Coastal Plain, the freezing rain changed to light rain, preventing more widespread icing in that area. A lull in the precipitation from the predawn hours on Sunday until Sunday morning also kept ice accumulation minimal.",,PDC
200001,28,1000,200001,30,1200,1090649,5128908,NORTH CAROLINA,37,2000,January,Winter Storm,Z,24,ORANGE,RAH,28-JAN-00 10:00:00,EST,30-JAN-00 12:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Sleet and freezing rain began to fall in the wetsern Piedmont of North Carolina on the evening of the 28th. The ice accumulated to a half inch in some locations near the Triad area and along the Virginia border, with most locations in the area receiving around a quarter of an inch of ice. The rest of central North Carolina received a thin coating of less than a quarter inch, creating patchy spots of ice on roads and causing downed trees and power lines. Approximately 30,000 people were without power across the state at the peak of the storm. In eastern portions of the Sandhills and in the Coastal Plain, the freezing rain changed to light rain, preventing more widespread icing in that area. A lull in the precipitation from the predawn hours on Sunday until Sunday morning also kept ice accumulation minimal.",,PDC
