BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200903,27,1254,200903,27,1938,26159,153235,NORTH DAKOTA,38,2009,March,Flash Flood,C,73,RANSOM,FGF,27-MAR-09 12:54:00,CST-6,27-MAR-09 19:38:00,0,0,0,0,0.50K,0.00K,Law Enforcement,,,Ice Jam,,,,,,,,,1,NW,LISBON,1,SW,LISBON,46.4402,-97.6949,46.4198,-97.6949,"An ice jam developed on the Sheyenne River at Lisbon, causing water to back up along the river in town.",,CSV
200903,27,133,200903,27,1500,26158,153233,NORTH DAKOTA,38,2009,March,Flash Flood,C,17,CASS,FGF,27-MAR-09 01:33:00,CST-6,27-MAR-09 15:00:00,0,0,0,0,1.00K,0.00K,Law Enforcement,,,Dam / Levee Break,,,,,,,,,.5,N,FARGO,.5,NW,FARGO,46.8772,-96.78,46.8751,-96.7875,"In the early morning hours of the 27th, seepage was reported in a dike at Linden Avenue, east of Fourth Street South in Fargo. This initiated a mandatory evacuation of all residences east of Fourth Street South between South River Road and Lindenwood Drive.",,CSV
200901,4,700,200901,4,900,24072,140282,NORTH DAKOTA,38,2009,January,Extreme Cold/Wind Chill,Z,53,RICHLAND,FGF,04-JAN-09 07:00:00,CST-6,04-JAN-09 09:00:00,0,0,0,0,,,ASOS,,,,,,,,,,,,,,,,,,,,,,Arctic air returned to the Northern Plains and Upper Midwest Saturday (3th) and Sunday (4th). Brisk westerly winds of 10 to 20 mph created dangerously cold wind chills across eastern North Dakota Saturday night through Sunday evening until the winds subsided Sunday night.,,CSV
200901,9,514,200901,9,1435,24177,140835,NORTH DAKOTA,38,2009,January,Heavy Snow,Z,14,BENSON,FGF,09-JAN-09 05:14:00,CST-6,09-JAN-09 14:35:00,0,0,0,0,,,Public,,,,,,,,,,,,,,,,,,,,,,"A narrow band of 6 to 8 inches of snow fell across southwest Benson County, western Eddy County, southwest Griggs County, and northwest Barnes County.",,CSV
200901,9,514,200901,9,1435,24177,140836,NORTH DAKOTA,38,2009,January,Heavy Snow,Z,24,EDDY,FGF,09-JAN-09 05:14:00,CST-6,09-JAN-09 14:35:00,0,0,0,0,,,Public,,,,,,,,,,,,,,,,,,,,,,"A narrow band of 6 to 8 inches of snow fell across southwest Benson County, western Eddy County, southwest Griggs County, and northwest Barnes County.",,CSV
200901,9,514,200901,9,1435,24177,140837,NORTH DAKOTA,38,2009,January,Heavy Snow,Z,28,GRIGGS,FGF,09-JAN-09 05:14:00,CST-6,09-JAN-09 14:35:00,0,0,0,0,,,Public,,,,,,,,,,,,,,,,,,,,,,"A narrow band of 6 to 8 inches of snow fell across southwest Benson County, western Eddy County, southwest Griggs County, and northwest Barnes County.",,CSV
200901,9,932,200901,9,1435,24177,140838,NORTH DAKOTA,38,2009,January,Heavy Snow,Z,38,BARNES,FGF,09-JAN-09 09:32:00,CST-6,09-JAN-09 14:35:00,0,0,0,0,,,Public,,,,,,,,,,,,,,,,,,,,,,"A narrow band of 6 to 8 inches of snow fell across southwest Benson County, western Eddy County, southwest Griggs County, and northwest Barnes County.",,CSV
200901,3,2300,200901,4,2200,24072,140274,NORTH DAKOTA,38,2009,January,Extreme Cold/Wind Chill,Z,26,NELSON,FGF,03-JAN-09 23:00:00,CST-6,04-JAN-09 22:00:00,0,0,0,0,,,ASOS,,,,,,,,,,,,,,,,,,,,,,Arctic air returned to the Northern Plains and Upper Midwest Saturday (3th) and Sunday (4th). Brisk westerly winds of 10 to 20 mph created dangerously cold wind chills across eastern North Dakota Saturday night through Sunday evening until the winds subsided Sunday night.,,CSV
200901,3,100,200901,4,1200,24072,140275,NORTH DAKOTA,38,2009,January,Extreme Cold/Wind Chill,Z,27,GRAND FORKS,FGF,03-JAN-09 01:00:00,CST-6,04-JAN-09 12:00:00,0,0,0,0,,,ASOS,,,,,,,,,,,,,,,,,,,,,,Arctic air returned to the Northern Plains and Upper Midwest Saturday (3th) and Sunday (4th). Brisk westerly winds of 10 to 20 mph created dangerously cold wind chills across eastern North Dakota Saturday night through Sunday evening until the winds subsided Sunday night.,,CSV
200901,3,2200,200901,4,2100,24072,140276,NORTH DAKOTA,38,2009,January,Extreme Cold/Wind Chill,Z,28,GRIGGS,FGF,03-JAN-09 22:00:00,CST-6,04-JAN-09 21:00:00,0,0,0,0,,,ASOS,,,,,,,,,,,,,,,,,,,,,,Arctic air returned to the Northern Plains and Upper Midwest Saturday (3th) and Sunday (4th). Brisk westerly winds of 10 to 20 mph created dangerously cold wind chills across eastern North Dakota Saturday night through Sunday evening until the winds subsided Sunday night.,,CSV
