BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202006,3,1559,202006,3,1559,149007,898047,NEBRASKA,31,2020,June,Hail,C,57,DUNDY,GLD,03-JUN-20 15:59:00,MST-7,03-JUN-20 15:59:00,0,0,0,0,,,Public,0.75,,,,,,,,,,,13.37,NNW,MAX,13.37,NNW,MAX,40.2936,-101.512,40.2936,-101.512,"Thunderstorms formed in eastern Colorado during the afternoon moving northeast behind an outflow boundary. As the storms entered into southwest Nebraska, they merged with thunderstorms that developed in northeast Colorado to form a line of storms along the outflow boundary. This line of storms produced hail up to penny sized sized in Dundy County.",Pea to penny sized hail reported at the location.,CSV
202006,7,1506,202006,7,1506,149600,901629,NEBRASKA,31,2020,June,High Wind,Z,81,RED WILLOW,GLD,07-JUN-20 15:06:00,CST-6,07-JUN-20 15:06:00,0,0,0,0,0.00K,0.00K,ASOS,50.00,MG,,,,,,,,,,,,,,,,,,,,"Unseasonably strong winds occurred at McCook, leading to a gust of 58 MPH being measured at the airport.",Measured at the McCook airport.,CSV
202006,9,1203,202006,9,1203,149995,904311,NEBRASKA,31,2020,June,High Wind,Z,79,DUNDY,GLD,09-JUN-20 12:03:00,MST-7,09-JUN-20 12:03:00,0,0,0,0,1.50K,0.00K,Social Media,70.00,EG,,,,,,,,,,,,,,,,,,,,Unseasonably strong wind gusts occurred across far Southwest Nebraska.  The highest gust reported for the event was 68 MPH at the McCook airport.  The high winds also uprooted a tree in Benkelman.,A tree was uprooted in Benkelman from the high winds.,CSV
202006,9,1629,202006,9,1629,149995,904313,NEBRASKA,31,2020,June,High Wind,Z,80,HITCHCOCK,GLD,09-JUN-20 16:29:00,CST-6,09-JUN-20 16:29:00,0,0,0,0,0.00K,0.00K,Mesonet,52.00,MG,,,,,,,,,,,,,,,,,,,,Unseasonably strong wind gusts occurred across far Southwest Nebraska.  The highest gust reported for the event was 68 MPH at the McCook airport.  The high winds also uprooted a tree in Benkelman.,The peak gust for the county was reported at three WNW of Trenton.,CSV
202006,2,1720,202006,2,1720,148836,896644,NEBRASKA,31,2020,June,Hail,C,87,HITCHCOCK,GLD,02-JUN-20 17:20:00,CST-6,02-JUN-20 17:20:00,0,0,0,0,0.00K,0.00K,Social Media,0.75,,,,,,,,,,,.41,W,PALISADE,.41,W,PALISADE,40.3491,-101.1078,40.3491,-101.1078,A cluster of thunderstorms extended south into Southwest Nebraska behind a weak cold front moving eastward.  The largest hail reported was baseball size near Palisade.  The same storms broke limbs off of trees at the same location.,,CSV
202006,2,1723,202006,2,1723,148836,896643,NEBRASKA,31,2020,June,Thunderstorm Wind,C,87,HITCHCOCK,GLD,02-JUN-20 17:23:00,CST-6,02-JUN-20 17:23:00,0,0,0,0,0.00K,0.00K,Public,61.00,EG,,,,,,,,,,2.85,WSW,PALISADE,2.85,WSW,PALISADE,40.3355,-101.1506,40.3355,-101.1506,A cluster of thunderstorms extended south into Southwest Nebraska behind a weak cold front moving eastward.  The largest hail reported was baseball size near Palisade.  The same storms broke limbs off of trees at the same location.,Tree limbs of unknown size were blown down by the wind gusts.  This came with hail up to baseball size.,CSV
202006,9,900,202006,9,1645,149995,904315,NEBRASKA,31,2020,June,High Wind,Z,81,RED WILLOW,GLD,09-JUN-20 09:00:00,CST-6,09-JUN-20 16:45:00,0,0,0,0,1.00K,0.00K,ASOS,59.00,MG,,,,,,,,,,,,,,,,,,,,Unseasonably strong wind gusts occurred across far Southwest Nebraska.  The highest gust reported for the event was 68 MPH at the McCook airport.  The high winds also uprooted a tree in Benkelman.,The peak wind gust was reported at the McCook airport.  The high winds also caused a power line to be blown down that lead to a fire in a tree.,CSV
202006,4,1545,202006,4,1546,150126,905153,NEBRASKA,31,2020,June,Tornado,C,57,DUNDY,GLD,04-JUN-20 15:45:00,MST-7,04-JUN-20 15:46:00,0,0,0,0,0.00K,0.00K,Public,,,,,EFU,0.82,30,,,,,4.22,N,COLFER,4.3,N,COLFER,40.091,-101.8697,40.091,-101.8541,"A brief landspout tornado formed in southern Dundy County. The tornado appeared to form as a storm was developing as it moved east northeast towards Benkelman, ahead of an incoming line of storms.",Dundy County Dispatch received a report of a possible landspout 10 miles west of Benkelman. Landspout was in contact with the ground for 30 seconds. A review of radar data determined this event did occur as weather conditions were favorable for development.,CSV
202004,12,600,202004,12,1800,146416,879793,NEBRASKA,31,2020,April,Winter Storm,Z,13,DIXON,FSD,12-APR-20 06:00:00,CST-6,12-APR-20 18:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"A strong mid-level trough in split flow moved out of the southwestern U.S. on the morning of April 12, and phased with a strong northern stream trough across the northern Plains by April 13. Intense low pressure developed across the central Plains and moved into the Great Lakes, with a strong frontogenetic band of precipitation from Nebraska to Minnesota. Convective instability produced some spotty thunder along with the rain changing to snow.","Snowfall totaled 4.0 inches at Newcastle and 3.5 inches at Concord. Winds near Wayne and Gayville gusted from 35 to 42 mph at times between 0700CST and 1400CST, with visibilities frequently at one-half mile or less, and occasionally as low as one-quarter mile.",CSV
202004,12,600,202004,12,1700,146416,879794,NEBRASKA,31,2020,April,Winter Weather,Z,14,DAKOTA,FSD,12-APR-20 06:00:00,CST-6,12-APR-20 17:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"A strong mid-level trough in split flow moved out of the southwestern U.S. on the morning of April 12, and phased with a strong northern stream trough across the northern Plains by April 13. Intense low pressure developed across the central Plains and moved into the Great Lakes, with a strong frontogenetic band of precipitation from Nebraska to Minnesota. Convective instability produced some spotty thunder along with the rain changing to snow.","Snowfall totaled 2.3 inches at Emerson. Winds at Sioux City gusted frequently to 35 to 40 mph between 0830-1530, and led to frequent visibility under one mile, and as low as one-half mile at times.",CSV
