BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202007,23,1646,202007,23,1646,151444,912629,NEW HAMPSHIRE,33,2020,July,Hail,C,13,MERRIMACK,GYX,23-JUL-20 16:46:00,EST-5,23-JUL-20 16:46:00,0,0,0,0,,,Public,1.50,,,,,,,,,,,.86,SW,BOW MILLS,.86,SW,BOW MILLS,43.16,-71.54,43.16,-71.54,"A warm frontal boundary wavered around southern New Hampshire during the afternoon of the 23rd. Near and south of this boundary, temperatures and dewpoints were quite high which allowed for strong instability. Thunderstorms developed over southern New Hampshire with the approach of an upper level disturbance. The combination of instability and adequate wind shear allowed for some of the storms to become severe.",Ping pong ball size hail 2 miles north of Bow.,CSV
202007,23,1702,202007,23,1702,151444,912631,NEW HAMPSHIRE,33,2020,July,Thunderstorm Wind,C,15,ROCKINGHAM,GYX,23-JUL-20 17:02:00,EST-5,23-JUL-20 17:02:00,0,0,0,0,,,Public,50.00,EG,,,,,,,,,,2.62,WNW,CANDIA,2.62,WNW,CANDIA,43.09,-71.33,43.09,-71.33,"A warm frontal boundary wavered around southern New Hampshire during the afternoon of the 23rd. Near and south of this boundary, temperatures and dewpoints were quite high which allowed for strong instability. Thunderstorms developed over southern New Hampshire with the approach of an upper level disturbance. The combination of instability and adequate wind shear allowed for some of the storms to become severe.",Trees downed on North Road about 3 miles west of Candia.,CSV
202007,23,1705,202007,23,1705,151444,912632,NEW HAMPSHIRE,33,2020,July,Hail,C,13,MERRIMACK,GYX,23-JUL-20 17:05:00,EST-5,23-JUL-20 17:05:00,0,0,0,0,,,Public,1.50,,,,,,,,,,,1.01,E,MARTIN CORNER,1.01,E,MARTIN CORNER,43.05,-71.43,43.05,-71.43,"A warm frontal boundary wavered around southern New Hampshire during the afternoon of the 23rd. Near and south of this boundary, temperatures and dewpoints were quite high which allowed for strong instability. Thunderstorms developed over southern New Hampshire with the approach of an upper level disturbance. The combination of instability and adequate wind shear allowed for some of the storms to become severe.",Ping pong ball size hail fell just south of Hooksett.,CSV
202007,23,1635,202007,23,1635,151444,912628,NEW HAMPSHIRE,33,2020,July,Hail,C,11,HILLSBOROUGH,GYX,23-JUL-20 16:35:00,EST-5,23-JUL-20 16:35:00,0,0,0,0,,,Public,1.25,,,,,,,,,,,.69,N,WEARE,.69,N,WEARE,43.11,-71.73,43.11,-71.73,"A warm frontal boundary wavered around southern New Hampshire during the afternoon of the 23rd. Near and south of this boundary, temperatures and dewpoints were quite high which allowed for strong instability. Thunderstorms developed over southern New Hampshire with the approach of an upper level disturbance. The combination of instability and adequate wind shear allowed for some of the storms to become severe.",Half dollar size hail in Weare.,CSV
202007,23,1654,202007,23,1654,151444,912630,NEW HAMPSHIRE,33,2020,July,Hail,C,13,MERRIMACK,GYX,23-JUL-20 16:54:00,EST-5,23-JUL-20 16:54:00,0,0,0,0,,,Public,1.50,,,,,,,,,,,1.22,NW,HOOKSETT,1.22,NW,HOOKSETT,43.11,-71.49,43.11,-71.49,"A warm frontal boundary wavered around southern New Hampshire during the afternoon of the 23rd. Near and south of this boundary, temperatures and dewpoints were quite high which allowed for strong instability. Thunderstorms developed over southern New Hampshire with the approach of an upper level disturbance. The combination of instability and adequate wind shear allowed for some of the storms to become severe.",Ping pong ball size hail near Hooksett.,CSV
202010,1,0,202010,31,2359,153896,926865,NEW HAMPSHIRE,33,2020,October,Drought,Z,5,SOUTHERN GRAFTON,GYX,01-OCT-20 00:00:00,EST-5,31-OCT-20 23:59:00,0,0,0,0,100.00K,500.00K,State Official,,,,,,,,,,,,,,,,,,,,,,"Dry conditions developed rapidly across New Hampshire starting in the middle of May. The period May 16 to June 25 was exceedingly dry. There was some relief in late June and July, especially in the White Mountains and parts of southwest New Hampshire due to thunderstorm activity. By the middle of August, dry conditions set in again with September being exceedingly dry with some locations reporting their driest September on record. The National Centers for Environmental Information reported that September was the 7th driest on record for New Hampshire. D2 severe drought was confined to coastal New Hampshire, the Merrimack River Valley and the Lakes Region during the beginning of the month. The D2 severe drought rapidly expanded through the entire state by the end of September. An area of D3 extreme drought area developing towards the end of September in Southeast New Hampshire with Strafford County being the hardest hit, along with regions of surrounding counties.  The drought peaked in intensity during the first week of October before beneficial widespread rains impacted the state towards the middle of October.  Concord received a monthly rainfall total of 5.11, Manchester received 4.01, Whitfield received 5.48, and Durham received 4.59.  Towards the middle of the month most of Coos County was reduced from D2 Severe Drought to D1 Moderate Drought.  Drought classification continued to improve by the third week in October due to the heavy rains. Grafton, Sullivan, and Cheshire Counties were reduced from D2 Severe Drought to D1 Moderate Drought. The northern and western sections of Carroll, Belknap, Merrimack and Hillsborough Counties also showed a drought classification improvement by the end of the month. Severe and Extreme drought remained across southeast New Hampshire through the end of the month.","The drought peaked in intensity during the first week of October before beneficial widespread rains impacted the state towards the middle of October. Concord received a monthly rainfall total of 5.11, Manchester received 4.01, Whitefield received 5.48, and Durham received 4.59. Even with the October rainfall, deficits since Jan 1st remained at -9.77 at Concord, -10.66 at Whitefield and -12.42 at Manchester. Drought monitor classifications in October had a positive trend or maintained with no worsening of drought conditions in part of the state.  During the first week of October 95% of the state was in D2 Severe drought and 22% of the state was in D3 Extreme drought.  By the end of the month the areal extent of D2 Severe drought had decreased to 33% of the state and D3 Extreme drought decreased to 17% of the state.  Overall, the greatest improvements were across Northern and Western New Hampshire, where D1 Moderate drought remained.  Severe and Extreme drought remained centered across southeast New Hampshire by the end of the month.  Hydrologic conditions continued to worsen in the first week of October on non-regulated rivers with 81% of USGS river gaging stations below normal and 9% of sites at record lows for the beginning of October.  Hydrologic conditions began to improve by mid-month due to the heavy rainfall with most river basins near the normal range by the end of October. Reservoir levels continued to trend below normal on the upper Connecticut River along with Lake Winnipesaukee which remained half a foot below normal by the end of the month. Overall lake levels were on par with the 2016 drought. In New Hampshire of the monitoring wells maintained by the USGS and the state of New Hampshire, the majority were below average with record low levels across southeast New Hampshire for the date. Numerous water bans and restrictions remained in effect during the month of October with virtually all towns in Southern and Central New Hampshire having issued a water ban impacting 400,000 residents.  An estimated 1000 private residents had dry wells with state agencies reporting over 100 applicants fore well assistance. Corn, potatoes, barley fruit crops and forage crops were the most affected. Farmers were concerned about having enough forage for their livestock to get through the winter. Dairy industry was especially impacted due to low grass yields.",CSV
202010,1,0,202010,31,2359,153896,926863,NEW HAMPSHIRE,33,2020,October,Drought,Z,6,SOUTHERN CARROLL,GYX,01-OCT-20 00:00:00,EST-5,31-OCT-20 23:59:00,0,0,0,0,100.00K,500.00K,State Official,,,,,,,,,,,,,,,,,,,,,,"Dry conditions developed rapidly across New Hampshire starting in the middle of May. The period May 16 to June 25 was exceedingly dry. There was some relief in late June and July, especially in the White Mountains and parts of southwest New Hampshire due to thunderstorm activity. By the middle of August, dry conditions set in again with September being exceedingly dry with some locations reporting their driest September on record. The National Centers for Environmental Information reported that September was the 7th driest on record for New Hampshire. D2 severe drought was confined to coastal New Hampshire, the Merrimack River Valley and the Lakes Region during the beginning of the month. The D2 severe drought rapidly expanded through the entire state by the end of September. An area of D3 extreme drought area developing towards the end of September in Southeast New Hampshire with Strafford County being the hardest hit, along with regions of surrounding counties.  The drought peaked in intensity during the first week of October before beneficial widespread rains impacted the state towards the middle of October.  Concord received a monthly rainfall total of 5.11, Manchester received 4.01, Whitfield received 5.48, and Durham received 4.59.  Towards the middle of the month most of Coos County was reduced from D2 Severe Drought to D1 Moderate Drought.  Drought classification continued to improve by the third week in October due to the heavy rains. Grafton, Sullivan, and Cheshire Counties were reduced from D2 Severe Drought to D1 Moderate Drought. The northern and western sections of Carroll, Belknap, Merrimack and Hillsborough Counties also showed a drought classification improvement by the end of the month. Severe and Extreme drought remained across southeast New Hampshire through the end of the month.","The drought peaked in intensity during the first week of October before beneficial widespread rains impacted the state towards the middle of October. Concord received a monthly rainfall total of 5.11, Manchester received 4.01, Whitefield received 5.48, and Durham received 4.59. Even with the October rainfall, deficits since Jan 1st remained at -9.77 at Concord, -10.66 at Whitefield and -12.42 at Manchester. Drought monitor classifications in October had a positive trend or maintained with no worsening of drought conditions in part of the state.  During the first week of October 95% of the state was in D2 Severe drought and 22% of the state was in D3 Extreme drought.  By the end of the month the areal extent of D2 Severe drought had decreased to 33% of the state and D3 Extreme drought decreased to 17% of the state.  Overall, the greatest improvements were across Northern and Western New Hampshire, where D1 Moderate drought remained.  Severe and Extreme drought remained centered across southeast New Hampshire by the end of the month.  Hydrologic conditions continued to worsen in the first week of October on non-regulated rivers with 81% of USGS river gaging stations below normal and 9% of sites at record lows for the beginning of October.  Hydrologic conditions began to improve by mid-month due to the heavy rainfall with most river basins near the normal range by the end of October. Reservoir levels continued to trend below normal on the upper Connecticut River along with Lake Winnipesaukee which remained half a foot below normal by the end of the month. Overall lake levels were on par with the 2016 drought. In New Hampshire of the monitoring wells maintained by the USGS and the state of New Hampshire, the majority were below average with record low levels across southeast New Hampshire for the date. Numerous water bans and restrictions remained in effect during the month of October with virtually all towns in Southern and Central New Hampshire having issued a water ban impacting 400,000 residents.  An estimated 1000 private residents had dry wells with state agencies reporting over 100 applicants fore well assistance. Corn, potatoes, barley fruit crops and forage crops were the most affected. Farmers were concerned about having enough forage for their livestock to get through the winter. Dairy industry was especially impacted due to low grass yields.",CSV
202010,1,0,202010,31,2359,153896,926864,NEW HAMPSHIRE,33,2020,October,Drought,Z,2,SOUTHERN COOS,GYX,01-OCT-20 00:00:00,EST-5,31-OCT-20 23:59:00,0,0,0,0,100.00K,500.00K,State Official,,,,,,,,,,,,,,,,,,,,,,"Dry conditions developed rapidly across New Hampshire starting in the middle of May. The period May 16 to June 25 was exceedingly dry. There was some relief in late June and July, especially in the White Mountains and parts of southwest New Hampshire due to thunderstorm activity. By the middle of August, dry conditions set in again with September being exceedingly dry with some locations reporting their driest September on record. The National Centers for Environmental Information reported that September was the 7th driest on record for New Hampshire. D2 severe drought was confined to coastal New Hampshire, the Merrimack River Valley and the Lakes Region during the beginning of the month. The D2 severe drought rapidly expanded through the entire state by the end of September. An area of D3 extreme drought area developing towards the end of September in Southeast New Hampshire with Strafford County being the hardest hit, along with regions of surrounding counties.  The drought peaked in intensity during the first week of October before beneficial widespread rains impacted the state towards the middle of October.  Concord received a monthly rainfall total of 5.11, Manchester received 4.01, Whitfield received 5.48, and Durham received 4.59.  Towards the middle of the month most of Coos County was reduced from D2 Severe Drought to D1 Moderate Drought.  Drought classification continued to improve by the third week in October due to the heavy rains. Grafton, Sullivan, and Cheshire Counties were reduced from D2 Severe Drought to D1 Moderate Drought. The northern and western sections of Carroll, Belknap, Merrimack and Hillsborough Counties also showed a drought classification improvement by the end of the month. Severe and Extreme drought remained across southeast New Hampshire through the end of the month.","The drought peaked in intensity during the first week of October before beneficial widespread rains impacted the state towards the middle of October. Concord received a monthly rainfall total of 5.11, Manchester received 4.01, Whitefield received 5.48, and Durham received 4.59. Even with the October rainfall, deficits since Jan 1st remained at -9.77 at Concord, -10.66 at Whitefield and -12.42 at Manchester. Drought monitor classifications in October had a positive trend or maintained with no worsening of drought conditions in part of the state.  During the first week of October 95% of the state was in D2 Severe drought and 22% of the state was in D3 Extreme drought.  By the end of the month the areal extent of D2 Severe drought had decreased to 33% of the state and D3 Extreme drought decreased to 17% of the state.  Overall, the greatest improvements were across Northern and Western New Hampshire, where D1 Moderate drought remained.  Severe and Extreme drought remained centered across southeast New Hampshire by the end of the month.  Hydrologic conditions continued to worsen in the first week of October on non-regulated rivers with 81% of USGS river gaging stations below normal and 9% of sites at record lows for the beginning of October.  Hydrologic conditions began to improve by mid-month due to the heavy rainfall with most river basins near the normal range by the end of October. Reservoir levels continued to trend below normal on the upper Connecticut River along with Lake Winnipesaukee which remained half a foot below normal by the end of the month. Overall lake levels were on par with the 2016 drought. In New Hampshire of the monitoring wells maintained by the USGS and the state of New Hampshire, the majority were below average with record low levels across southeast New Hampshire for the date. Numerous water bans and restrictions remained in effect during the month of October with virtually all towns in Southern and Central New Hampshire having issued a water ban impacting 400,000 residents.  An estimated 1000 private residents had dry wells with state agencies reporting over 100 applicants fore well assistance. Corn, potatoes, barley fruit crops and forage crops were the most affected. Farmers were concerned about having enough forage for their livestock to get through the winter. Dairy industry was especially impacted due to low grass yields.",CSV
202010,1,0,202010,31,2359,153896,926866,NEW HAMPSHIRE,33,2020,October,Drought,Z,10,STRAFFORD,GYX,01-OCT-20 00:00:00,EST-5,31-OCT-20 23:59:00,0,0,0,0,100.00K,500.00K,State Official,,,,,,,,,,,,,,,,,,,,,,"Dry conditions developed rapidly across New Hampshire starting in the middle of May. The period May 16 to June 25 was exceedingly dry. There was some relief in late June and July, especially in the White Mountains and parts of southwest New Hampshire due to thunderstorm activity. By the middle of August, dry conditions set in again with September being exceedingly dry with some locations reporting their driest September on record. The National Centers for Environmental Information reported that September was the 7th driest on record for New Hampshire. D2 severe drought was confined to coastal New Hampshire, the Merrimack River Valley and the Lakes Region during the beginning of the month. The D2 severe drought rapidly expanded through the entire state by the end of September. An area of D3 extreme drought area developing towards the end of September in Southeast New Hampshire with Strafford County being the hardest hit, along with regions of surrounding counties.  The drought peaked in intensity during the first week of October before beneficial widespread rains impacted the state towards the middle of October.  Concord received a monthly rainfall total of 5.11, Manchester received 4.01, Whitfield received 5.48, and Durham received 4.59.  Towards the middle of the month most of Coos County was reduced from D2 Severe Drought to D1 Moderate Drought.  Drought classification continued to improve by the third week in October due to the heavy rains. Grafton, Sullivan, and Cheshire Counties were reduced from D2 Severe Drought to D1 Moderate Drought. The northern and western sections of Carroll, Belknap, Merrimack and Hillsborough Counties also showed a drought classification improvement by the end of the month. Severe and Extreme drought remained across southeast New Hampshire through the end of the month.","The drought peaked in intensity during the first week of October before beneficial widespread rains impacted the state towards the middle of October. Concord received a monthly rainfall total of 5.11, Manchester received 4.01, Whitefield received 5.48, and Durham received 4.59. Even with the October rainfall, deficits since Jan 1st remained at -9.77 at Concord, -10.66 at Whitefield and -12.42 at Manchester. Drought monitor classifications in October had a positive trend or maintained with no worsening of drought conditions in part of the state.  During the first week of October 95% of the state was in D2 Severe drought and 22% of the state was in D3 Extreme drought.  By the end of the month the areal extent of D2 Severe drought had decreased to 33% of the state and D3 Extreme drought decreased to 17% of the state.  Overall, the greatest improvements were across Northern and Western New Hampshire, where D1 Moderate drought remained.  Severe and Extreme drought remained centered across southeast New Hampshire by the end of the month.  Hydrologic conditions continued to worsen in the first week of October on non-regulated rivers with 81% of USGS river gaging stations below normal and 9% of sites at record lows for the beginning of October.  Hydrologic conditions began to improve by mid-month due to the heavy rainfall with most river basins near the normal range by the end of October. Reservoir levels continued to trend below normal on the upper Connecticut River along with Lake Winnipesaukee which remained half a foot below normal by the end of the month. Overall lake levels were on par with the 2016 drought. In New Hampshire of the monitoring wells maintained by the USGS and the state of New Hampshire, the majority were below average with record low levels across southeast New Hampshire for the date. Numerous water bans and restrictions remained in effect during the month of October with virtually all towns in Southern and Central New Hampshire having issued a water ban impacting 400,000 residents.  An estimated 1000 private residents had dry wells with state agencies reporting over 100 applicants fore well assistance. Corn, potatoes, barley fruit crops and forage crops were the most affected. Farmers were concerned about having enough forage for their livestock to get through the winter. Dairy industry was especially impacted due to low grass yields.",CSV
202010,1,0,202010,31,2359,153896,926867,NEW HAMPSHIRE,33,2020,October,Drought,Z,7,SULLIVAN,GYX,01-OCT-20 00:00:00,EST-5,31-OCT-20 23:59:00,0,0,0,0,100.00K,500.00K,State Official,,,,,,,,,,,,,,,,,,,,,,"Dry conditions developed rapidly across New Hampshire starting in the middle of May. The period May 16 to June 25 was exceedingly dry. There was some relief in late June and July, especially in the White Mountains and parts of southwest New Hampshire due to thunderstorm activity. By the middle of August, dry conditions set in again with September being exceedingly dry with some locations reporting their driest September on record. The National Centers for Environmental Information reported that September was the 7th driest on record for New Hampshire. D2 severe drought was confined to coastal New Hampshire, the Merrimack River Valley and the Lakes Region during the beginning of the month. The D2 severe drought rapidly expanded through the entire state by the end of September. An area of D3 extreme drought area developing towards the end of September in Southeast New Hampshire with Strafford County being the hardest hit, along with regions of surrounding counties.  The drought peaked in intensity during the first week of October before beneficial widespread rains impacted the state towards the middle of October.  Concord received a monthly rainfall total of 5.11, Manchester received 4.01, Whitfield received 5.48, and Durham received 4.59.  Towards the middle of the month most of Coos County was reduced from D2 Severe Drought to D1 Moderate Drought.  Drought classification continued to improve by the third week in October due to the heavy rains. Grafton, Sullivan, and Cheshire Counties were reduced from D2 Severe Drought to D1 Moderate Drought. The northern and western sections of Carroll, Belknap, Merrimack and Hillsborough Counties also showed a drought classification improvement by the end of the month. Severe and Extreme drought remained across southeast New Hampshire through the end of the month.","The drought peaked in intensity during the first week of October before beneficial widespread rains impacted the state towards the middle of October. Concord received a monthly rainfall total of 5.11, Manchester received 4.01, Whitefield received 5.48, and Durham received 4.59. Even with the October rainfall, deficits since Jan 1st remained at -9.77 at Concord, -10.66 at Whitefield and -12.42 at Manchester. Drought monitor classifications in October had a positive trend or maintained with no worsening of drought conditions in part of the state.  During the first week of October 95% of the state was in D2 Severe drought and 22% of the state was in D3 Extreme drought.  By the end of the month the areal extent of D2 Severe drought had decreased to 33% of the state and D3 Extreme drought decreased to 17% of the state.  Overall, the greatest improvements were across Northern and Western New Hampshire, where D1 Moderate drought remained.  Severe and Extreme drought remained centered across southeast New Hampshire by the end of the month.  Hydrologic conditions continued to worsen in the first week of October on non-regulated rivers with 81% of USGS river gaging stations below normal and 9% of sites at record lows for the beginning of October.  Hydrologic conditions began to improve by mid-month due to the heavy rainfall with most river basins near the normal range by the end of October. Reservoir levels continued to trend below normal on the upper Connecticut River along with Lake Winnipesaukee which remained half a foot below normal by the end of the month. Overall lake levels were on par with the 2016 drought. In New Hampshire of the monitoring wells maintained by the USGS and the state of New Hampshire, the majority were below average with record low levels across southeast New Hampshire for the date. Numerous water bans and restrictions remained in effect during the month of October with virtually all towns in Southern and Central New Hampshire having issued a water ban impacting 400,000 residents.  An estimated 1000 private residents had dry wells with state agencies reporting over 100 applicants fore well assistance. Corn, potatoes, barley fruit crops and forage crops were the most affected. Farmers were concerned about having enough forage for their livestock to get through the winter. Dairy industry was especially impacted due to low grass yields.",CSV
