BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200601,15,300,200601,15,500,1203494,5486624,NEW JERSEY,34,2006,January,Winter Storm,Z,23,WESTERN CAPE MAY,PHI,15-JAN-06 03:00:00,EST,15-JAN-06 05:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A very intense low pressure system produced bands of heavier snow across New Jersey and affected the northwestern and southeastern part of the state the most. As the system closed in the mid levels, some embedded thunderstorms within the bands formed across southern New Jersey. The strong winds combined with the heavy snow to produce near blizzard conditions during the one to two hour period when the heaviest snow fell.  Accumulations along the Sussex and Morris County border averaged 3 to 6 inches. Similar accumulations occurred from Burlington and Ocean Counties southeast through Cape May County. Lesser accumulations occurred elsewhere in the state. Rain began falling during the afternoon of the 14th. As the low pressure system intensified and moved offshore, the precipitation changed to snow during the evening. The change to snow occurred fairly uniformly across the state from around 7 p.m. EST in Sussex County, to around 8 p.m. EST in Mercer County and between 9 p.m. and 10 p.m. EST in Cumberland and Cape May Counties. The snow fell at its heaviest between 10 p.m. EST on the 14th and 2 a.m. EST on the 15th. The snow ended between 3 a.m. EST and 6 a.m. EST across most of the area, except for Monmouth and Ocean Counties where a last band persisted for a few more hours. Because the heavy snow occurred late on a Saturday night (the 14th into the 15th) and was over by Sunday morning the 15th, very few accidents were reported. Most of the reported accidents were minor: mainly spinouts and fender-benders.Specific accumulations included 6.5 inches in Hamilton Township (Atlantic County), 6.2 inches in Highland Lakes (Sussex County), 5.7 inches in Mount Laurel (Burlington County), 5.5 inches in Florence (Burlington County) and Jefferson Township (Morris County), 4.7 inches at the Atlantic City International Airport, 4.0 inches in Ocean City (Cape May County), Flemington (Hunterdon County),  Marcella (Morris County), Pottersville (Somerset County) and Lawrenceville (Mercer County), 3.7 inches in Sussex (Sussex County), 3.5 inches in Pennsauken (Camden County) and Malaga (Gloucester County), 3.4 inches in Cream Ridge (Monmouth County), 3.0 inches in Lindenwold (Camden County) and Trenton (Mercer County), 2.2 inches in Hillsborough (Somerset County), 1.5 inches in Metuchen (Middlesex County) and 1.0 inch in Belvidere (Warren County).  A cold front moved through the Delaware Valley during the late afternoon on the 14th. An intense  low pressure system formed on the front and moved slowly east through New Jersey during the first half of the evening and was off the coast by 10 p.m. EST on the 15th. This permitted the rain to change to snow across the state.",,PDS
200601,15,800,200601,15,900,1203494,5486625,NEW JERSEY,34,2006,January,Winter Storm,Z,20,WESTERN OCEAN,PHI,15-JAN-06 08:00:00,EST,15-JAN-06 09:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A very intense low pressure system produced bands of heavier snow across New Jersey and affected the northwestern and southeastern part of the state the most. As the system closed in the mid levels, some embedded thunderstorms within the bands formed across southern New Jersey. The strong winds combined with the heavy snow to produce near blizzard conditions during the one to two hour period when the heaviest snow fell.  Accumulations along the Sussex and Morris County border averaged 3 to 6 inches. Similar accumulations occurred from Burlington and Ocean Counties southeast through Cape May County. Lesser accumulations occurred elsewhere in the state. Rain began falling during the afternoon of the 14th. As the low pressure system intensified and moved offshore, the precipitation changed to snow during the evening. The change to snow occurred fairly uniformly across the state from around 7 p.m. EST in Sussex County, to around 8 p.m. EST in Mercer County and between 9 p.m. and 10 p.m. EST in Cumberland and Cape May Counties. The snow fell at its heaviest between 10 p.m. EST on the 14th and 2 a.m. EST on the 15th. The snow ended between 3 a.m. EST and 6 a.m. EST across most of the area, except for Monmouth and Ocean Counties where a last band persisted for a few more hours. Because the heavy snow occurred late on a Saturday night (the 14th into the 15th) and was over by Sunday morning the 15th, very few accidents were reported. Most of the reported accidents were minor: mainly spinouts and fender-benders.Specific accumulations included 6.5 inches in Hamilton Township (Atlantic County), 6.2 inches in Highland Lakes (Sussex County), 5.7 inches in Mount Laurel (Burlington County), 5.5 inches in Florence (Burlington County) and Jefferson Township (Morris County), 4.7 inches at the Atlantic City International Airport, 4.0 inches in Ocean City (Cape May County), Flemington (Hunterdon County),  Marcella (Morris County), Pottersville (Somerset County) and Lawrenceville (Mercer County), 3.7 inches in Sussex (Sussex County), 3.5 inches in Pennsauken (Camden County) and Malaga (Gloucester County), 3.4 inches in Cream Ridge (Monmouth County), 3.0 inches in Lindenwold (Camden County) and Trenton (Mercer County), 2.2 inches in Hillsborough (Somerset County), 1.5 inches in Metuchen (Middlesex County) and 1.0 inch in Belvidere (Warren County).  A cold front moved through the Delaware Valley during the late afternoon on the 14th. An intense  low pressure system formed on the front and moved slowly east through New Jersey during the first half of the evening and was off the coast by 10 p.m. EST on the 15th. This permitted the rain to change to snow across the state.",,PDS
200601,14,1800,200601,15,1600,1203510,5486734,NEW JERSEY,34,2006,January,High Wind,Z,25,EASTERN ATLANTIC,PHI,14-JAN-06 18:00:00,EST,15-JAN-06 16:00:00,0,0,0,0,50K,,NEWSPAPER,56,MG,,,,,,,,,,,,,,,,,,,,"A slow moving and intense low pressure system combined with a high pressure ridge across the Mississippi Valley to produce a prolonged period of strong to high winds across New Jersey from the evening on the 14th through the late afternoon on the 15th. The strongest wind gusts occurred between 5 a.m. and 8 a.m. EST on the 15th. The persistent strong winds combined with ground that was wet and not frozen caused more tree damage than normally would be the case. Downed trees and tree limbs consequently helped snap poles and caused scattered power outages. Jersey Central Power and Light reported about 21,000 of its customers lost power in northern New Jersey, Conectiv Energy reported about 18,000 of its customers lost power in southern New Jersey and Public Service Electric and Gas reported about 1,300 of its customers lost power. All power was restored by the 16th. In Morris County, Boonton Township reported about a dozen weather related calls. Several schools in Rockaway Borough cancelled classes on the 16th because power was not restored in time. Specific wind gusts included 68 mph in Cape May (Cape May County), 65 mph in Atlantic City (Atlantic County), 63 mph at Cape May Harbor (Cape May County), 61 mph in Keansburg (Monmouth County), 58 mph in Wantage (Sussex County), 56 mph in Lawrenceville (Mercer County), 54 mph in Tabernacle (Burlington County) and Barnegat Light (Ocean County), 48 mph at the Atlantic City International Airport and Hillsborough (Somerset County), 41 mph in Millville (Cumberland County) and Trenton (Mercer County). The intense low pressure system that was responsible for the winds moved from the Delaware Valley during the early afternoon on the 14th, to the New Jersey coast at 7 p.m. EST on the 14th, onto Long Island at 10 p.m. EST on the 14th, in the New England coastal waters east of Massachusetts at 7 a.m. EST on the 15th and into Nova Scotia by early in the afternoon on the 15th. As the low pressure system exited Nova Scotia and the high pressure system built east into the Ohio Valley, winds started diminishing during the late afternoon on the 15th.",,PDS
200601,14,1800,200601,15,1600,1203510,5486735,NEW JERSEY,34,2006,January,High Wind,Z,24,EASTERN CAPE MAY,PHI,14-JAN-06 18:00:00,EST,15-JAN-06 16:00:00,0,0,0,0,25K,,NEWSPAPER,55,MG,,,,,,,,,,,,,,,,,,,,"A slow moving and intense low pressure system combined with a high pressure ridge across the Mississippi Valley to produce a prolonged period of strong to high winds across New Jersey from the evening on the 14th through the late afternoon on the 15th. The strongest wind gusts occurred between 5 a.m. and 8 a.m. EST on the 15th. The persistent strong winds combined with ground that was wet and not frozen caused more tree damage than normally would be the case. Downed trees and tree limbs consequently helped snap poles and caused scattered power outages. Jersey Central Power and Light reported about 21,000 of its customers lost power in northern New Jersey, Conectiv Energy reported about 18,000 of its customers lost power in southern New Jersey and Public Service Electric and Gas reported about 1,300 of its customers lost power. All power was restored by the 16th. In Morris County, Boonton Township reported about a dozen weather related calls. Several schools in Rockaway Borough cancelled classes on the 16th because power was not restored in time. Specific wind gusts included 68 mph in Cape May (Cape May County), 65 mph in Atlantic City (Atlantic County), 63 mph at Cape May Harbor (Cape May County), 61 mph in Keansburg (Monmouth County), 58 mph in Wantage (Sussex County), 56 mph in Lawrenceville (Mercer County), 54 mph in Tabernacle (Burlington County) and Barnegat Light (Ocean County), 48 mph at the Atlantic City International Airport and Hillsborough (Somerset County), 41 mph in Millville (Cumberland County) and Trenton (Mercer County). The intense low pressure system that was responsible for the winds moved from the Delaware Valley during the early afternoon on the 14th, to the New Jersey coast at 7 p.m. EST on the 14th, onto Long Island at 10 p.m. EST on the 14th, in the New England coastal waters east of Massachusetts at 7 a.m. EST on the 15th and into Nova Scotia by early in the afternoon on the 15th. As the low pressure system exited Nova Scotia and the high pressure system built east into the Ohio Valley, winds started diminishing during the late afternoon on the 15th.",,PDS
200601,14,1800,200601,15,1600,1203510,5486736,NEW JERSEY,34,2006,January,High Wind,Z,14,EASTERN MONMOUTH,PHI,14-JAN-06 18:00:00,EST,15-JAN-06 16:00:00,0,0,0,0,25K,,NEWSPAPER,50,EG,,,,,,,,,,,,,,,,,,,,"A slow moving and intense low pressure system combined with a high pressure ridge across the Mississippi Valley to produce a prolonged period of strong to high winds across New Jersey from the evening on the 14th through the late afternoon on the 15th. The strongest wind gusts occurred between 5 a.m. and 8 a.m. EST on the 15th. The persistent strong winds combined with ground that was wet and not frozen caused more tree damage than normally would be the case. Downed trees and tree limbs consequently helped snap poles and caused scattered power outages. Jersey Central Power and Light reported about 21,000 of its customers lost power in northern New Jersey, Conectiv Energy reported about 18,000 of its customers lost power in southern New Jersey and Public Service Electric and Gas reported about 1,300 of its customers lost power. All power was restored by the 16th. In Morris County, Boonton Township reported about a dozen weather related calls. Several schools in Rockaway Borough cancelled classes on the 16th because power was not restored in time. Specific wind gusts included 68 mph in Cape May (Cape May County), 65 mph in Atlantic City (Atlantic County), 63 mph at Cape May Harbor (Cape May County), 61 mph in Keansburg (Monmouth County), 58 mph in Wantage (Sussex County), 56 mph in Lawrenceville (Mercer County), 54 mph in Tabernacle (Burlington County) and Barnegat Light (Ocean County), 48 mph at the Atlantic City International Airport and Hillsborough (Somerset County), 41 mph in Millville (Cumberland County) and Trenton (Mercer County). The intense low pressure system that was responsible for the winds moved from the Delaware Valley during the early afternoon on the 14th, to the New Jersey coast at 7 p.m. EST on the 14th, onto Long Island at 10 p.m. EST on the 14th, in the New England coastal waters east of Massachusetts at 7 a.m. EST on the 15th and into Nova Scotia by early in the afternoon on the 15th. As the low pressure system exited Nova Scotia and the high pressure system built east into the Ohio Valley, winds started diminishing during the late afternoon on the 15th.",,PDS
200601,14,1800,200601,15,1600,1203510,5486737,NEW JERSEY,34,2006,January,Strong Wind,Z,8,MORRIS,PHI,14-JAN-06 18:00:00,EST,15-JAN-06 16:00:00,0,0,0,0,50K,,NEWSPAPER,45,EG,,,,,,,,,,,,,,,,,,,,"A slow moving and intense low pressure system combined with a high pressure ridge across the Mississippi Valley to produce a prolonged period of strong to high winds across New Jersey from the evening on the 14th through the late afternoon on the 15th. The strongest wind gusts occurred between 5 a.m. and 8 a.m. EST on the 15th. The persistent strong winds combined with ground that was wet and not frozen caused more tree damage than normally would be the case. Downed trees and tree limbs consequently helped snap poles and caused scattered power outages. Jersey Central Power and Light reported about 21,000 of its customers lost power in northern New Jersey, Conectiv Energy reported about 18,000 of its customers lost power in southern New Jersey and Public Service Electric and Gas reported about 1,300 of its customers lost power. All power was restored by the 16th. In Morris County, Boonton Township reported about a dozen weather related calls. Several schools in Rockaway Borough cancelled classes on the 16th because power was not restored in time. Specific wind gusts included 68 mph in Cape May (Cape May County), 65 mph in Atlantic City (Atlantic County), 63 mph at Cape May Harbor (Cape May County), 61 mph in Keansburg (Monmouth County), 58 mph in Wantage (Sussex County), 56 mph in Lawrenceville (Mercer County), 54 mph in Tabernacle (Burlington County) and Barnegat Light (Ocean County), 48 mph at the Atlantic City International Airport and Hillsborough (Somerset County), 41 mph in Millville (Cumberland County) and Trenton (Mercer County). The intense low pressure system that was responsible for the winds moved from the Delaware Valley during the early afternoon on the 14th, to the New Jersey coast at 7 p.m. EST on the 14th, onto Long Island at 10 p.m. EST on the 14th, in the New England coastal waters east of Massachusetts at 7 a.m. EST on the 15th and into Nova Scotia by early in the afternoon on the 15th. As the low pressure system exited Nova Scotia and the high pressure system built east into the Ohio Valley, winds started diminishing during the late afternoon on the 15th.",,PDS
200601,14,1800,200601,15,1600,1203510,5486738,NEW JERSEY,34,2006,January,Strong Wind,Z,19,NORTHWESTERN BURLINGTON,PHI,14-JAN-06 18:00:00,EST,15-JAN-06 16:00:00,0,0,0,0,10K,,NEWSPAPER,41,MG,,,,,,,,,,,,,,,,,,,,"A slow moving and intense low pressure system combined with a high pressure ridge across the Mississippi Valley to produce a prolonged period of strong to high winds across New Jersey from the evening on the 14th through the late afternoon on the 15th. The strongest wind gusts occurred between 5 a.m. and 8 a.m. EST on the 15th. The persistent strong winds combined with ground that was wet and not frozen caused more tree damage than normally would be the case. Downed trees and tree limbs consequently helped snap poles and caused scattered power outages. Jersey Central Power and Light reported about 21,000 of its customers lost power in northern New Jersey, Conectiv Energy reported about 18,000 of its customers lost power in southern New Jersey and Public Service Electric and Gas reported about 1,300 of its customers lost power. All power was restored by the 16th. In Morris County, Boonton Township reported about a dozen weather related calls. Several schools in Rockaway Borough cancelled classes on the 16th because power was not restored in time. Specific wind gusts included 68 mph in Cape May (Cape May County), 65 mph in Atlantic City (Atlantic County), 63 mph at Cape May Harbor (Cape May County), 61 mph in Keansburg (Monmouth County), 58 mph in Wantage (Sussex County), 56 mph in Lawrenceville (Mercer County), 54 mph in Tabernacle (Burlington County) and Barnegat Light (Ocean County), 48 mph at the Atlantic City International Airport and Hillsborough (Somerset County), 41 mph in Millville (Cumberland County) and Trenton (Mercer County). The intense low pressure system that was responsible for the winds moved from the Delaware Valley during the early afternoon on the 14th, to the New Jersey coast at 7 p.m. EST on the 14th, onto Long Island at 10 p.m. EST on the 14th, in the New England coastal waters east of Massachusetts at 7 a.m. EST on the 15th and into Nova Scotia by early in the afternoon on the 15th. As the low pressure system exited Nova Scotia and the high pressure system built east into the Ohio Valley, winds started diminishing during the late afternoon on the 15th.",,PDS
200601,14,1800,200601,15,1600,1203510,5486739,NEW JERSEY,34,2006,January,Strong Wind,Z,16,SALEM,PHI,14-JAN-06 18:00:00,EST,15-JAN-06 16:00:00,0,0,0,0,10K,,NEWSPAPER,40,EG,,,,,,,,,,,,,,,,,,,,"A slow moving and intense low pressure system combined with a high pressure ridge across the Mississippi Valley to produce a prolonged period of strong to high winds across New Jersey from the evening on the 14th through the late afternoon on the 15th. The strongest wind gusts occurred between 5 a.m. and 8 a.m. EST on the 15th. The persistent strong winds combined with ground that was wet and not frozen caused more tree damage than normally would be the case. Downed trees and tree limbs consequently helped snap poles and caused scattered power outages. Jersey Central Power and Light reported about 21,000 of its customers lost power in northern New Jersey, Conectiv Energy reported about 18,000 of its customers lost power in southern New Jersey and Public Service Electric and Gas reported about 1,300 of its customers lost power. All power was restored by the 16th. In Morris County, Boonton Township reported about a dozen weather related calls. Several schools in Rockaway Borough cancelled classes on the 16th because power was not restored in time. Specific wind gusts included 68 mph in Cape May (Cape May County), 65 mph in Atlantic City (Atlantic County), 63 mph at Cape May Harbor (Cape May County), 61 mph in Keansburg (Monmouth County), 58 mph in Wantage (Sussex County), 56 mph in Lawrenceville (Mercer County), 54 mph in Tabernacle (Burlington County) and Barnegat Light (Ocean County), 48 mph at the Atlantic City International Airport and Hillsborough (Somerset County), 41 mph in Millville (Cumberland County) and Trenton (Mercer County). The intense low pressure system that was responsible for the winds moved from the Delaware Valley during the early afternoon on the 14th, to the New Jersey coast at 7 p.m. EST on the 14th, onto Long Island at 10 p.m. EST on the 14th, in the New England coastal waters east of Massachusetts at 7 a.m. EST on the 15th and into Nova Scotia by early in the afternoon on the 15th. As the low pressure system exited Nova Scotia and the high pressure system built east into the Ohio Valley, winds started diminishing during the late afternoon on the 15th.",,PDS
200601,14,1800,200601,15,1600,1203510,5486740,NEW JERSEY,34,2006,January,Strong Wind,Z,10,SOMERSET,PHI,14-JAN-06 18:00:00,EST,15-JAN-06 16:00:00,0,0,0,0,10K,,NEWSPAPER,40,MG,,,,,,,,,,,,,,,,,,,,"A slow moving and intense low pressure system combined with a high pressure ridge across the Mississippi Valley to produce a prolonged period of strong to high winds across New Jersey from the evening on the 14th through the late afternoon on the 15th. The strongest wind gusts occurred between 5 a.m. and 8 a.m. EST on the 15th. The persistent strong winds combined with ground that was wet and not frozen caused more tree damage than normally would be the case. Downed trees and tree limbs consequently helped snap poles and caused scattered power outages. Jersey Central Power and Light reported about 21,000 of its customers lost power in northern New Jersey, Conectiv Energy reported about 18,000 of its customers lost power in southern New Jersey and Public Service Electric and Gas reported about 1,300 of its customers lost power. All power was restored by the 16th. In Morris County, Boonton Township reported about a dozen weather related calls. Several schools in Rockaway Borough cancelled classes on the 16th because power was not restored in time. Specific wind gusts included 68 mph in Cape May (Cape May County), 65 mph in Atlantic City (Atlantic County), 63 mph at Cape May Harbor (Cape May County), 61 mph in Keansburg (Monmouth County), 58 mph in Wantage (Sussex County), 56 mph in Lawrenceville (Mercer County), 54 mph in Tabernacle (Burlington County) and Barnegat Light (Ocean County), 48 mph at the Atlantic City International Airport and Hillsborough (Somerset County), 41 mph in Millville (Cumberland County) and Trenton (Mercer County). The intense low pressure system that was responsible for the winds moved from the Delaware Valley during the early afternoon on the 14th, to the New Jersey coast at 7 p.m. EST on the 14th, onto Long Island at 10 p.m. EST on the 14th, in the New England coastal waters east of Massachusetts at 7 a.m. EST on the 15th and into Nova Scotia by early in the afternoon on the 15th. As the low pressure system exited Nova Scotia and the high pressure system built east into the Ohio Valley, winds started diminishing during the late afternoon on the 15th.",,PDS
200601,14,1800,200601,15,1600,1203510,5486744,NEW JERSEY,34,2006,January,Strong Wind,Z,20,WESTERN OCEAN,PHI,14-JAN-06 18:00:00,EST,15-JAN-06 16:00:00,0,0,0,0,10K,,NEWSPAPER,42,EG,,,,,,,,,,,,,,,,,,,,"A slow moving and intense low pressure system combined with a high pressure ridge across the Mississippi Valley to produce a prolonged period of strong to high winds across New Jersey from the evening on the 14th through the late afternoon on the 15th. The strongest wind gusts occurred between 5 a.m. and 8 a.m. EST on the 15th. The persistent strong winds combined with ground that was wet and not frozen caused more tree damage than normally would be the case. Downed trees and tree limbs consequently helped snap poles and caused scattered power outages. Jersey Central Power and Light reported about 21,000 of its customers lost power in northern New Jersey, Conectiv Energy reported about 18,000 of its customers lost power in southern New Jersey and Public Service Electric and Gas reported about 1,300 of its customers lost power. All power was restored by the 16th. In Morris County, Boonton Township reported about a dozen weather related calls. Several schools in Rockaway Borough cancelled classes on the 16th because power was not restored in time. Specific wind gusts included 68 mph in Cape May (Cape May County), 65 mph in Atlantic City (Atlantic County), 63 mph at Cape May Harbor (Cape May County), 61 mph in Keansburg (Monmouth County), 58 mph in Wantage (Sussex County), 56 mph in Lawrenceville (Mercer County), 54 mph in Tabernacle (Burlington County) and Barnegat Light (Ocean County), 48 mph at the Atlantic City International Airport and Hillsborough (Somerset County), 41 mph in Millville (Cumberland County) and Trenton (Mercer County). The intense low pressure system that was responsible for the winds moved from the Delaware Valley during the early afternoon on the 14th, to the New Jersey coast at 7 p.m. EST on the 14th, onto Long Island at 10 p.m. EST on the 14th, in the New England coastal waters east of Massachusetts at 7 a.m. EST on the 15th and into Nova Scotia by early in the afternoon on the 15th. As the low pressure system exited Nova Scotia and the high pressure system built east into the Ohio Valley, winds started diminishing during the late afternoon on the 15th.",,PDS
