BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201901,7,1645,201901,7,1815,132362,791943,NEW MEXICO,35,2019,January,High Wind,Z,523,CENTRAL HIGHLANDS,ABQ,07-JAN-19 16:45:00,MST-7,07-JAN-19 18:15:00,0,0,0,0,0.00K,0.00K,ASOS,35.00,MS,,,,,,,,,,,,,,,,,,,,A strong upper level jet in the wake of a departing storm system combined with a sharp surface pressure along the central mountain chain to produce high winds on January 7th. Many areas from the central mountain chain eastward into the eastern plains experienced peak wind gusts between 45 and 55 mph through the afternoon and early evening. The strongest winds impacted the area around Clines Corners were sustained winds reached 40 mph for a couple hours.,Clines Corners reported sustained winds of 40 mph.,CSV
201901,22,400,201901,22,1600,132652,793728,NEW MEXICO,35,2019,January,Winter Weather,Z,527,RATON RIDGE/JOHNSON MESA,ABQ,22-JAN-19 04:00:00,MST-7,22-JAN-19 16:00:00,0,0,0,0,0.00K,0.00K,Department of Highways,,,,,,,,,,,,,,,,,,,,,,"A potent storm system shifted east through the southern Rockies on January 22nd and forced a major cold front southward down the Front Range. A sharp north wind shift surged south across the Colorado border into northeastern New Mexico with wind gusts up to 62 mph at Raton. Light snow and frigid temperatures behind the front set the stage for hazardous travel conditions with snow, blowing snow, and very low visibility. Interstate 25 at Raton Pass was closed for several hours. Several rural highways over eastern Colfax and western Union counties were also closed due to extremely icy travel.","The combination of light snow, blowing snow, high winds, and frigid temperatures resulted in extremely hazardous travel conditions along Interstate 25 at Raton Pass. The highway was closed for much of the day.",CSV
201901,22,500,201901,22,1700,132652,793729,NEW MEXICO,35,2019,January,Winter Weather,Z,530,UNION COUNTY,ABQ,22-JAN-19 05:00:00,MST-7,22-JAN-19 17:00:00,0,0,0,0,0.00K,0.00K,Department of Highways,,,,,,,,,,,,,,,,,,,,,,"A potent storm system shifted east through the southern Rockies on January 22nd and forced a major cold front southward down the Front Range. A sharp north wind shift surged south across the Colorado border into northeastern New Mexico with wind gusts up to 62 mph at Raton. Light snow and frigid temperatures behind the front set the stage for hazardous travel conditions with snow, blowing snow, and very low visibility. Interstate 25 at Raton Pass was closed for several hours. Several rural highways over eastern Colfax and western Union counties were also closed due to extremely icy travel.","The combination of light snow, blowing snow, high winds, and frigid temperatures resulted in extremely hazardous travel conditions over many rural highways near the Colorado border. NM-456 was closed for the entire day and severe travel conditions were reported along U.S. 64/87.",CSV
201901,22,608,201901,22,800,132652,793730,NEW MEXICO,35,2019,January,High Wind,Z,527,RATON RIDGE/JOHNSON MESA,ABQ,22-JAN-19 06:08:00,MST-7,22-JAN-19 08:00:00,0,0,0,0,0.00K,0.00K,ASOS,45.00,MS,,,,,,,,,,,,,,,,,,,,"A potent storm system shifted east through the southern Rockies on January 22nd and forced a major cold front southward down the Front Range. A sharp north wind shift surged south across the Colorado border into northeastern New Mexico with wind gusts up to 62 mph at Raton. Light snow and frigid temperatures behind the front set the stage for hazardous travel conditions with snow, blowing snow, and very low visibility. Interstate 25 at Raton Pass was closed for several hours. Several rural highways over eastern Colfax and western Union counties were also closed due to extremely icy travel.",The Raton airport reported peak sustained winds between 40 and 52 mph for a couple hours.,CSV
201901,22,643,201901,22,829,132652,793731,NEW MEXICO,35,2019,January,High Wind,Z,527,RATON RIDGE/JOHNSON MESA,ABQ,22-JAN-19 06:43:00,MST-7,22-JAN-19 08:29:00,0,0,0,0,0.00K,0.00K,ASOS,53.00,MG,,,,,,,,,,,,,,,,,,,,"A potent storm system shifted east through the southern Rockies on January 22nd and forced a major cold front southward down the Front Range. A sharp north wind shift surged south across the Colorado border into northeastern New Mexico with wind gusts up to 62 mph at Raton. Light snow and frigid temperatures behind the front set the stage for hazardous travel conditions with snow, blowing snow, and very low visibility. Interstate 25 at Raton Pass was closed for several hours. Several rural highways over eastern Colfax and western Union counties were also closed due to extremely icy travel.",The Raton airport reported peak wind gusts up to 61 mph for a couple hours.,CSV
201901,22,1108,201901,22,1308,132652,793732,NEW MEXICO,35,2019,January,High Wind,Z,530,UNION COUNTY,ABQ,22-JAN-19 11:08:00,MST-7,22-JAN-19 13:08:00,0,0,0,0,0.00K,0.00K,ASOS,37.00,MS,,,,,,,,,,,,,,,,,,,,"A potent storm system shifted east through the southern Rockies on January 22nd and forced a major cold front southward down the Front Range. A sharp north wind shift surged south across the Colorado border into northeastern New Mexico with wind gusts up to 62 mph at Raton. Light snow and frigid temperatures behind the front set the stage for hazardous travel conditions with snow, blowing snow, and very low visibility. Interstate 25 at Raton Pass was closed for several hours. Several rural highways over eastern Colfax and western Union counties were also closed due to extremely icy travel.",The Clayton airport reported peak sustained winds between 40 and 43 mph for a couple hours.,CSV
201901,22,1254,201901,22,1256,132652,793733,NEW MEXICO,35,2019,January,High Wind,Z,530,UNION COUNTY,ABQ,22-JAN-19 12:54:00,MST-7,22-JAN-19 12:56:00,0,0,0,0,0.00K,0.00K,ASOS,53.00,MG,,,,,,,,,,,,,,,,,,,,"A potent storm system shifted east through the southern Rockies on January 22nd and forced a major cold front southward down the Front Range. A sharp north wind shift surged south across the Colorado border into northeastern New Mexico with wind gusts up to 62 mph at Raton. Light snow and frigid temperatures behind the front set the stage for hazardous travel conditions with snow, blowing snow, and very low visibility. Interstate 25 at Raton Pass was closed for several hours. Several rural highways over eastern Colfax and western Union counties were also closed due to extremely icy travel.",The Clayton airport reported peak wind gusts up to 61 mph.,CSV
201901,23,1804,201901,23,1806,132749,794249,NEW MEXICO,35,2019,January,High Wind,Z,523,CENTRAL HIGHLANDS,ABQ,23-JAN-19 18:04:00,MST-7,23-JAN-19 18:06:00,0,0,0,0,0.00K,0.00K,ASOS,52.00,MG,,,,,,,,,,,,,,,,,,,,Fast northwest flow in place across the region provided typical windy conditions at Clines Corners during the late afternoon and early evening hours. A peak wind gust up to 60 mph was reported at Clines Corners.,Peak wind gust of 60 mph at Clines Corners.,CSV
201901,1,0,201901,31,2359,132939,795327,NEW MEXICO,35,2019,January,Drought,Z,505,WEST CENTRAL PLATEAU,ABQ,01-JAN-19 00:00:00,MST-7,31-JAN-19 23:59:00,0,0,0,0,,,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Moderate to severe drought conditions across portions of western and central New Mexico at the end of December 2018 improved only slightly through January 2019. However, exceptional drought conditions over the northwestern half of the state improved significantly for January. Severe drought conditions improved to 33 percent of the state, of which around 15 percent was deemed extreme drought or worse. Exceptional drought improved to roughly 1 percent of New Mexico. Precipitation amounts for January 2019 ranged from around one half inch to three inches of parts of central and northern New Mexico. Several winter storm systems that moved across the state at the end of December 2018 and the beginning of January 2019 brought much needed snowfall to the region, especially across the northwest. Snow pack conditions continued to improve across the northern mountains.",Exceptional drought conditions from December 2018 for areas around Gallup improved to extreme in January 2019.,CSV
201901,1,0,201901,31,2359,132939,795328,NEW MEXICO,35,2019,January,Drought,Z,509,SAN FRANCISCO RIVER VALLEY,ABQ,01-JAN-19 00:00:00,MST-7,31-JAN-19 23:59:00,0,0,0,0,,,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Moderate to severe drought conditions across portions of western and central New Mexico at the end of December 2018 improved only slightly through January 2019. However, exceptional drought conditions over the northwestern half of the state improved significantly for January. Severe drought conditions improved to 33 percent of the state, of which around 15 percent was deemed extreme drought or worse. Exceptional drought improved to roughly 1 percent of New Mexico. Precipitation amounts for January 2019 ranged from around one half inch to three inches of parts of central and northern New Mexico. Several winter storm systems that moved across the state at the end of December 2018 and the beginning of January 2019 brought much needed snowfall to the region, especially across the northwest. Snow pack conditions continued to improve across the northern mountains.",Severe drought conditions from December 2018 improved to moderate drought in January 2019.,CSV
