BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201507,22,1315,201507,22,1317,97194,584496,NEVADA,32,2015,July,Thunderstorm Wind,C,7,ELKO,LKN,22-JUL-15 13:15:00,PST-8,22-JUL-15 13:17:00,0,0,0,0,1.00K,0.00K,NWS Employee,60.00,EG,,,,,,,,,,3.61,SSE,SPRING CREEK,3.61,SSE,SPRING CREEK,40.7,-115.6,40.7,-115.6,Monsoon moisture fueled thunderstorms produced strong winds and flash flooding across portions of northern and central Nevada.  Flash flooding was reported along State Highway 379 about 10 miles south of Eureka and State Route 306 between Interstate 80 and Beowawe. Strong winds broke tree branches up to 6 inches in diameter in Carlin.,Strong winds picked up a shed and moved it 130 feet before wrapping it around a tree.,CSV
201507,22,1555,201507,22,1700,97194,584497,NEVADA,32,2015,July,Flash Flood,C,11,EUREKA,LKN,22-JUL-15 15:55:00,PST-8,22-JUL-15 17:00:00,0,0,0,0,1.00K,0.00K,Public,,,Heavy Rain,,,,,,,,,9.8,S,EUREKA,10.92,S,EUREKA,39.36,-115.92,39.3625,-115.9329,Monsoon moisture fueled thunderstorms produced strong winds and flash flooding across portions of northern and central Nevada.  Flash flooding was reported along State Highway 379 about 10 miles south of Eureka and State Route 306 between Interstate 80 and Beowawe. Strong winds broke tree branches up to 6 inches in diameter in Carlin.,Very heavy rain caused Fish Creek to overflow its bank and flow across state road 379. The water was at least 6 inches  deep. Damages are estimated.,CSV
201507,22,1900,201507,22,2000,97194,584498,NEVADA,32,2015,July,Flash Flood,C,11,EUREKA,LKN,22-JUL-15 19:00:00,PST-8,22-JUL-15 20:00:00,0,0,0,0,3.00K,0.00K,Department of Highways,,,Heavy Rain,,,,,,,,,4.51,SE,DUNPHY,5.53,NNW,BEOWAWE,40.6596,-116.4523,40.6069,-116.4928,Monsoon moisture fueled thunderstorms produced strong winds and flash flooding across portions of northern and central Nevada.  Flash flooding was reported along State Highway 379 about 10 miles south of Eureka and State Route 306 between Interstate 80 and Beowawe. Strong winds broke tree branches up to 6 inches in diameter in Carlin.,Heavy rain caused water and debris to flow over State Route 306 between Interstate 80 and the river near Beowawe in 4 different places. Damages are estimated.,CSV
201505,27,1002,201505,27,1010,95628,574420,NEVADA,32,2015,May,Hail,C,33,WHITE PINE,LKN,27-MAY-15 10:02:00,PST-8,27-MAY-15 10:10:00,0,0,0,0,0.00K,0.00K,Public,0.75,,,,,,,,,,,.54,E,ELY,.54,E,ELY,39.25,-114.89,39.25,-114.89,Hail up to the size of dimes was reported in Ely.,,CSV
201507,22,1320,201507,22,1322,97194,584494,NEVADA,32,2015,July,Thunderstorm Wind,C,7,ELKO,LKN,22-JUL-15 13:20:00,PST-8,22-JUL-15 13:22:00,0,0,0,0,0.00K,0.00K,Trained Spotter,56.00,EG,,,,,,,,,,0,N,CARLIN,0,N,CARLIN,40.72,-116.1,40.72,-116.1,Monsoon moisture fueled thunderstorms produced strong winds and flash flooding across portions of northern and central Nevada.  Flash flooding was reported along State Highway 379 about 10 miles south of Eureka and State Route 306 between Interstate 80 and Beowawe. Strong winds broke tree branches up to 6 inches in diameter in Carlin.,Numerous reports were received from spotters and the public of broken tree branches up to 6 inches in diameter in Carlin.,CSV
201506,29,1725,201506,29,1730,95720,574971,NEVADA,32,2015,June,Thunderstorm Wind,C,7,ELKO,LKN,29-JUN-15 17:25:00,PST-8,29-JUN-15 17:30:00,0,0,0,0,0.00K,0.00K,Mesonet,55.00,MG,,,,,,,,,,12.64,SE,CHARLESTON,12.64,SE,CHARLESTON,41.52,-115.39,41.52,-115.39,Thunderstorm winds snapped off the top of a tree in Spring Creek.  Thunderstorm winds up to 63 mph were also reported across other parts of Elko county.,,CSV
201505,18,942,201505,18,950,96162,578141,NEVADA,32,2015,May,Hail,C,3,CLARK,VEF,18-MAY-15 09:42:00,PST-8,18-MAY-15 09:50:00,0,0,0,0,0.00K,0.00K,Public,0.88,,,,,,,,,,,0,N,HENDERSON,0,N,HENDERSON,36.03,-114.98,36.03,-114.98,An unseasonable low pressure system moving overhead helped trigger scattered thunderstorms over the Mojave Desert. Two of the storms produced large hail.,,CSV
201505,24,1300,201505,24,1400,96163,578147,NEVADA,32,2015,May,Flash Flood,C,17,LINCOLN,VEF,24-MAY-15 13:00:00,PST-8,24-MAY-15 14:00:00,0,0,0,0,5.00K,0.00K,Public,,,Heavy Rain,,,,,,,,,1.63,ENE,DELMUES,.27,ENE,DELMUES,37.9094,-114.2726,37.9127,-114.2758,An unseasonable upper low east of the area helped fuel showers and thunderstorms over the southern Great Basin and Mojave Desert. Isolated flash flooding occurred.,Flash flooding washed out sections of Echo Canyon Dam Road.,CSV
201505,25,1600,201505,25,1700,96163,578149,NEVADA,32,2015,May,Flash Flood,C,9,ESMERALDA,VEF,25-MAY-15 16:00:00,PST-8,25-MAY-15 17:00:00,0,0,0,0,1.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,11,W,LIDA,10.78,W,LIDA,37.45,-117.7005,37.4489,-117.703,An unseasonable upper low east of the area helped fuel showers and thunderstorms over the southern Great Basin and Mojave Desert. Isolated flash flooding occurred.,Rocks and mud washed over Highway 266 11 miles W of Lida.,CSV
201505,28,1400,201505,28,1405,96164,578155,NEVADA,32,2015,May,Dust Devil,C,3,CLARK,VEF,28-MAY-15 14:00:00,PST-8,28-MAY-15 14:05:00,0,0,0,0,2.00K,0.00K,Broadcast Media,,,,,,,,,,,,1.78,NE,PARADISE,1.81,NE,PARADISE,36.1508,-115.101,36.1507,-115.1002,A dust devil caused damage in east Las Vegas.,A dust devil tore carport awnings off two mobile homes in the Riviera Mobile Home Park.,CSV
201507,9,1303,201507,9,1305,96140,577933,NEVADA,32,2015,July,Thunderstorm Wind,C,33,WHITE PINE,LKN,09-JUL-15 13:03:00,PST-8,09-JUL-15 13:05:00,0,0,0,0,0.00K,0.00K,ASOS,55.00,MG,,,,,,,,,,0,N,(ELY)YELLAND FLD ELY,0,N,(ELY)YELLAND FLD ELY,39.3,-114.85,39.3,-114.85,Thunderstorms produced wind gusts up to 63 mph across central Nevada.,A thunderstorm wind gust to 63 mph was recorded at the Ely ASOS.,CSV
201506,29,1445,201506,29,1450,95720,574969,NEVADA,32,2015,June,Thunderstorm Wind,C,7,ELKO,LKN,29-JUN-15 14:45:00,PST-8,29-JUN-15 14:50:00,0,0,0,0,,0.00K,Public,52.00,EG,,,,,,,,,,0,N,SPRING CREEK,0,N,SPRING CREEK,40.75,-115.62,40.75,-115.62,Thunderstorm winds snapped off the top of a tree in Spring Creek.  Thunderstorm winds up to 63 mph were also reported across other parts of Elko county.,Thunderstorm winds snapped off the top part of a tree. It was estimated from pictures that the tree was 3 to 4 inches in diameter where it snapped.,CSV
201506,29,1550,201506,29,1555,95720,574970,NEVADA,32,2015,June,Thunderstorm Wind,C,7,ELKO,LKN,29-JUN-15 15:50:00,PST-8,29-JUN-15 15:55:00,0,0,0,0,0.00K,0.00K,Mesonet,51.00,MG,,,,,,,,,,6.41,NNE,RYNDON,6.41,NNE,RYNDON,41.04,-115.57,41.04,-115.57,Thunderstorm winds snapped off the top of a tree in Spring Creek.  Thunderstorm winds up to 63 mph were also reported across other parts of Elko county.,,CSV
201506,30,1822,201506,30,1822,97735,587729,NEVADA,32,2015,June,Thunderstorm Wind,C,31,WASHOE,REV,30-JUN-15 18:22:00,PST-8,30-JUN-15 18:22:00,0,0,0,0,0.00K,0.00K,Official NWS Observations,53.00,MG,,,,,,,,,,1.26,E,LEMMON VLY,1.26,E,LEMMON VLY,39.5683,-119.7965,39.5683,-119.7965,"Slow-moving thunderstorms with heavy to torrential rainfall affected western Nevada on the 30th. Compared to Reno sounding climatology since 1994, atmospheric moisture was near maximum values for late June.",Measured at the NWS office.,CSV
201506,30,1755,201506,30,1845,97735,587727,NEVADA,32,2015,June,Flash Flood,C,31,WASHOE,REV,30-JUN-15 17:55:00,PST-8,30-JUN-15 18:45:00,0,0,0,0,500.00K,0.00K,Newspaper,,,Heavy Rain,,,,,,,,,3.45,NNW,VISTA,2.77,ENE,SPARKS,39.5665,-119.7039,39.5641,-119.7258,"Slow-moving thunderstorms with heavy to torrential rainfall affected western Nevada on the 30th. Compared to Reno sounding climatology since 1994, atmospheric moisture was near maximum values for late June.","Slow-moving thunderstorms with torrential rainfall in the higher terrain overwhelmed city drainage systems, causing flash flooding in East Sparks. Some areas were under several feet of water, with standing water and debris making travel difficult along Sparks and Vista Blvds. According to Sparks Police at least a dozen cars were stuck in the flooding. Water damage to Whitehead and Moss Elementary Schools was estimated at between 400K and 450K.",CSV
201506,10,1500,201506,10,1700,97540,586948,NEVADA,32,2015,June,Flash Flood,C,5,DOUGLAS,REV,10-JUN-15 15:00:00,PST-8,10-JUN-15 17:00:00,0,0,0,0,10.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,1.49,ESE,DRESSLERVILLE,1.64,E,DRESSLERVILLE,38.8943,-119.6932,38.8961,-119.6726,Slow-moving thunderstorms with heavy rainfall produced flash flooding near dry washes leading out of the Virginia Range on the 9th and the Pine Nut Mountains  on the 10th.,The Douglas County Emergency Manager reported 9 homes with damage due to flooding near the low water crossings in the Ruhenstroth subdivision area. A fire chief noted that the completely dry Pine Nut Creek was rapidly filled with a 4 to 5 foot wall of water.,CSV
201506,5,1412,201506,5,1412,95144,571634,NEVADA,32,2015,June,Hail,C,21,MINERAL,REV,05-JUN-15 14:12:00,PST-8,05-JUN-15 14:12:00,0,0,0,0,0.00K,0.00K,Emergency Manager,1.75,,,,,,,,,,,.54,W,HAWTHORNE,.54,W,HAWTHORNE,38.53,-118.63,38.53,-118.63,"Low pressure centered over southern California extended north into western Nevada on the 5th.  Relatively moist and unstable conditions brought thunderstorm development in the afternoon. Most thunderstorms were relatively weak, although several thunderstorms over Mineral County were much stronger than the average.",The Nevada Division of Emergency Management reported golf-ball sized hail.,CSV
201506,27,1640,201506,27,1640,97550,586963,NEVADA,32,2015,June,Thunderstorm Wind,C,5,DOUGLAS,REV,27-JUN-15 16:40:00,PST-8,27-JUN-15 16:40:00,0,0,0,0,0.00K,0.00K,Trained Spotter,68.00,MG,,,,,,,,,,1.38,S,MOTTSVILLE,1.38,S,MOTTSVILLE,38.91,-119.83,38.91,-119.83,Thunderstorms brought severe outflow winds on the 27th.,,CSV
201506,10,1500,201506,10,1700,97540,586939,NEVADA,32,2015,June,Flash Flood,C,5,DOUGLAS,REV,10-JUN-15 15:00:00,PST-8,10-JUN-15 17:00:00,0,0,0,0,5.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,1.68,ESE,GARDNERVILLE,1.61,ESE,GARDNERVILLE,38.9204,-119.7012,38.9218,-119.6988,Slow-moving thunderstorms with heavy rainfall produced flash flooding near dry washes leading out of the Virginia Range on the 9th and the Pine Nut Mountains  on the 10th.,The Douglas County Emergency Manager reported flash flooding impacts near low water crossings along Sawmill and Arroyo Roads.,CSV
201506,9,1900,201506,9,1930,97540,586933,NEVADA,32,2015,June,Flash Flood,C,19,LYON,REV,09-JUN-15 19:00:00,PST-8,09-JUN-15 19:30:00,0,0,0,0,20.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,5.13,NNE,DAYTON,6.39,NNE,DAYTON,39.3022,-119.5577,39.2928,-119.5346,Slow-moving thunderstorms with heavy rainfall produced flash flooding near dry washes leading out of the Virginia Range on the 9th and the Pine Nut Mountains  on the 10th.,"Per a spotter report, 1.13 inches of rain fell in about an hour in the Six Mile Canyon area near the Lyon and Storey County line. Lyon County Emergency Management  received reports of significant yard and landscaping damage as well as water in garages. Also, heavy equipment was required to remove mud from streets in the Mark Twain community as well as in Six Mile Canyon (Storey County).",CSV
201506,5,1415,201506,5,1430,95144,571636,NEVADA,32,2015,June,Tornado,C,21,MINERAL,REV,05-JUN-15 14:15:00,PST-8,05-JUN-15 14:30:00,0,0,0,0,,0.00K,NWS Storm Survey,,,,,EF1,1.54,40,,,,,1.11,E,HAWTHORNE,.59,SW,HAWTHORNE,38.5276,-118.5998,38.5239,-118.6276,"Low pressure centered over southern California extended north into western Nevada on the 5th.  Relatively moist and unstable conditions brought thunderstorm development in the afternoon. Most thunderstorms were relatively weak, although several thunderstorms over Mineral County were much stronger than the average.",The storm survey was supplemented by a public video of the tornado moving along 5th street in Hawthorne. The tornado was determined to be EF-1 for 0.3 miles on the east side of Hawthorne (near 5th street) and EF-0 elsewhere. Approximately 10 to 15 homes and businesses were severely damaged along with power lines and road signs. One 2 foot diameter tree was blown over onto a mobile home and 2 vehicles were severely damaged. This tornado was associated with a non-supercell thunderstorm.,CSV
201506,5,1615,201506,5,1625,96165,578158,NEVADA,32,2015,June,Hail,C,17,LINCOLN,VEF,05-JUN-15 16:15:00,PST-8,05-JUN-15 16:25:00,0,0,0,0,0.00K,0.00K,Trained Spotter,0.75,,,,,,,,,,,1.29,ENE,PANACA,1.29,ENE,PANACA,37.79,-114.38,37.79,-114.38,An unseasonable upper level low combined with moisture from the remnants of a tropical cyclone to generate isolated thunderstorms over the southern Great Basin. One storm produced hail.,,CSV
201506,10,1300,201506,10,1400,96167,578162,NEVADA,32,2015,June,Flash Flood,C,17,LINCOLN,VEF,10-JUN-15 13:00:00,PST-8,10-JUN-15 14:00:00,0,0,0,0,1.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,.64,W,DELMUES,.6,N,DELMUES,37.8994,-114.3117,37.9031,-114.3,"An unusually late-season low pressure system combined with unusually early-season deep subtropical moisture to fuel scattered thunderstorms over the Mojave Desert and southern Great Basin. Some storms produced flash flooding, and isolated wind damage also occurred.",Water and mud covered Echo Dam Road.,CSV
201506,11,1720,201506,11,1830,96167,578163,NEVADA,32,2015,June,Flash Flood,C,9,ESMERALDA,VEF,11-JUN-15 17:20:00,PST-8,11-JUN-15 18:30:00,0,0,0,0,2.00K,0.00K,Trained Spotter,,,Heavy Rain,,,,,,,,,1.65,SW,DYER ARPT,1.62,S,DYER ARPT,37.6034,-118.0217,37.6064,-118.0018,"An unusually late-season low pressure system combined with unusually early-season deep subtropical moisture to fuel scattered thunderstorms over the Mojave Desert and southern Great Basin. Some storms produced flash flooding, and isolated wind damage also occurred.",Water and mud were over Highway 264 in three places between mile markers 3 and 9.,CSV
201506,14,1400,201506,14,1500,96167,578164,NEVADA,32,2015,June,Heavy Rain,C,3,CLARK,VEF,14-JUN-15 14:00:00,PST-8,14-JUN-15 15:00:00,0,7,0,0,10.00K,0.00K,Broadcast Media,,,,,,,,,,,,2.14,SE,EAST LAS VEGAS,1.98,NNW,SUNRISE MANOR,36.1002,-115.0406,36.1967,-115.0832,"An unusually late-season low pressure system combined with unusually early-season deep subtropical moisture to fuel scattered thunderstorms over the Mojave Desert and southern Great Basin. Some storms produced flash flooding, and isolated wind damage also occurred.","Heavy rain in the Las Vegas Valley left several inches of standing water on some streets, knocked out power to over 1700 customers, and contributed to several vehicle accidents which resulted in seven injuries (indirect).",CSV
