BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202401,13,500,202401,13,600,187986,1154650,NEW YORK,36,2024,January,High Wind,Z,79,NORTHEAST SUFFOLK,OKX,13-JAN-24 05:00:00,EST-5,13-JAN-24 06:00:00,0,0,0,0,0.00K,0.00K,Mesonet,52.00,MG,,,,,,,,,,,,,,,,,,,,"A strong area of low pressure shifted northeast through the eastern Great Lakes Region on January 13, 2024. This sent a warm front, quickly followed by a cold front, across Southeastern New York during the morning hours. The resulting strong pressure gradient helped produce high winds across the area during this period.","A measured high wind gust of 60 mph occurred at a mesonet station located at Great Gull Island, NY at 636 AM Local Standard Time.",CSV
202401,14,1600,202401,14,1700,188155,1155609,NEW YORK,36,2024,January,High Wind,Z,79,NORTHEAST SUFFOLK,OKX,14-JAN-24 16:00:00,EST-5,14-JAN-24 17:00:00,0,0,0,0,0.00K,0.00K,Mesonet,50.00,MG,,,,,,,,,,,,,,,,,,,,"On January 14, 2024, a strong pressure gradient resulted over Southeastern New York in part from a strong low pressure system slowly moving across Southeastern Canada. An associated cold front passed through during the afternoon. The combination of the cold front and strong pressure gradient helped produce high wind gusts across the area during the afternoon hours.","A measured high wind gust of 58 mph occurred at 421 PM Local Standard Time at a mesonet site located at Fishers Island Airport, NY.",CSV
202401,10,18,202401,10,48,187413,1154988,NEW YORK,36,2024,January,Flash Flood,C,59,NASSAU,OKX,10-JAN-24 00:18:00,EST-5,10-JAN-24 00:48:00,0,0,0,0,0.00K,0.00K,Public,,,Heavy Rain,,,,,,,,,.76,WSW,NASSAU SHRS,.8,SE,ARLYN OAKS,40.6678,-73.4442,40.6727,-73.4424,"A large low pressure system impacted the area late on January 9th and into the 10th with long duration persistent moderate to heavy rainfall. In addition to widespread river flooding, some localized areas of flash flooding occurred as the heaviest rainfall associated with convection moved through. Precipitable water values of 1.2-1.4 inches were record levels for early January. The anomalous moisture and heavy rainfall resulted in a widespread 2 - 4 inches of rainfall, much of it occurring over a several hour timeframe before the cold frontal passage.",Block Blvd closed in East Massapequa due to flooding.,CSV
202401,6,1800,202401,7,1300,187076,1148160,NEW YORK,36,2024,January,Heavy Snow,Z,67,ORANGE,OKX,06-JAN-24 18:00:00,EST-5,07-JAN-24 13:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Low pressure pushed northeast from the Tennessee Valley and moved along and off the coast. An accumulating snow took place across portions of the Lower Hudson Valley of Interior Southeastern New York. Orange and Putnam counties reached Winter Storm Criteria, while locations further south did not as snow totals dropped quickly southeast of Orange and Putnam counties as only advisory criteria was reached across portions of Westchester and Rockland counties where the snow mixed with, and even changed to rain in places.","Snowfall totals varied across Orange County from west to east.  Cocorahs observers reported of 13.1 inches in Port Jervis and 10.3 inches in Warwick. A trained spotter reported 11.7 inches in Walden.  The public reporte 10.2 inches in Newburgh, 10.2 inches in Pine Bush, and 9.5 inches in Florida. A trained spotter reported 9.2 inches in Salisbury Mills.||Snowfall totals averaged over 6.0 inches across the county, although amounts varied greatly with some western locations generally receiving less being on the outer edge of the precipitation shield when colder air arrived. Trained spotters reported 15.5 inches at 1 WNW Monroe and 6.1 inches at Salisbury Mills. Public reports included 9.4 inches in Chester and 6.5 inches at 2 SW Greenwood Lake. Cocorahs reports included 8.5 inches in Port Jervis, but only 2.2 inches in Walden.",CSV
202401,6,1800,202401,7,1300,187076,1148168,NEW YORK,36,2024,January,Heavy Snow,Z,68,PUTNAM,OKX,06-JAN-24 18:00:00,EST-5,07-JAN-24 13:00:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,"Low pressure pushed northeast from the Tennessee Valley and moved along and off the coast. An accumulating snow took place across portions of the Lower Hudson Valley of Interior Southeastern New York. Orange and Putnam counties reached Winter Storm Criteria, while locations further south did not as snow totals dropped quickly southeast of Orange and Putnam counties as only advisory criteria was reached across portions of Westchester and Rockland counties where the snow mixed with, and even changed to rain in places.",Heavy snow was reported via Cocorahs observers with 6.5 inches reported in Cold Spring and 6.0 inches in Nelsonville. A report of 5.6 inches was submitted via Broadcast Media from Putnam Valley.,CSV
202401,6,1600,202401,7,1400,187076,1148193,NEW YORK,36,2024,January,Winter Weather,Z,69,ROCKLAND,OKX,06-JAN-24 16:00:00,EST-5,07-JAN-24 14:00:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,"Low pressure pushed northeast from the Tennessee Valley and moved along and off the coast. An accumulating snow took place across portions of the Lower Hudson Valley of Interior Southeastern New York. Orange and Putnam counties reached Winter Storm Criteria, while locations further south did not as snow totals dropped quickly southeast of Orange and Putnam counties as only advisory criteria was reached across portions of Westchester and Rockland counties where the snow mixed with, and even changed to rain in places.","An accumulating snow occurred across Rockland County before a mix and changeover to a wintery mix and rain. Amounts averaged between 3 and 4 inches across much of the zone and fell short of warning criteria. Cocorahs reported 4.1 inches at 1.7 SSW Spring Valley, 4.0 inches in Stony Point, and 3.6 inches at 0.6 SE New Hempstead. A Trained spotter reported 3.0 inches in New City. The public reported 3.0 inches at 2 W Buchanan.",CSV
202401,6,1800,202401,7,1300,187076,1148195,NEW YORK,36,2024,January,Winter Weather,Z,70,NORTHERN WESTCHESTER,OKX,06-JAN-24 18:00:00,EST-5,07-JAN-24 13:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Low pressure pushed northeast from the Tennessee Valley and moved along and off the coast. An accumulating snow took place across portions of the Lower Hudson Valley of Interior Southeastern New York. Orange and Putnam counties reached Winter Storm Criteria, while locations further south did not as snow totals dropped quickly southeast of Orange and Putnam counties as only advisory criteria was reached across portions of Westchester and Rockland counties where the snow mixed with, and even changed to rain in places.","An accumulating snow took place across Northern Westchester. Amounts ranged mostly between 3 and 5 inches. Trained spotters reported 4.6 inches in Peekskill, and 4.0 inches at 1 SE Croton-on-Hudson. Cocorahs reported 4.0 inches in Shrub Oak. Amounts were less going south and east with a quicker mix and changeover to rain. Amounts fell short of warning criteria.",CSV
202405,27,1457,202405,27,1457,190258,1169393,NEW YORK,36,2024,May,Thunderstorm Wind,C,89,ST. LAWRENCE,BTV,27-MAY-24 14:57:00,EST-5,27-MAY-24 14:57:00,0,0,0,0,2.00K,0.00K,State Official,50.00,EG,,,,,,,,,,2.07,N,CANTON,2.07,N,CANTON,44.63,-75.17,44.63,-75.17,"During the afternoon of May 27th, a relatively strong pressure gradient created a low-level jet stream of >50 knots with portions of northern New York being in the warm, slightly unstable sector. A weak cold front approached the region in the late afternoon and evening hours producing isolated to scattered showers and thunderstorms. A few thunderstorms, although not strong by normal standards were able to tap into the strong low level winds and produce isolated wind gusts that caused some damage to trees and utilities.",Downed tree and limbs into powerlines.,CSV
202405,27,1520,202405,27,1520,190258,1169394,NEW YORK,36,2024,May,Thunderstorm Wind,C,89,ST. LAWRENCE,BTV,27-MAY-24 15:20:00,EST-5,27-MAY-24 15:20:00,0,0,0,0,5.00K,0.00K,State Official,50.00,EG,,,,,,,,,,.98,W,MASSENA,.98,W,MASSENA,44.93,-74.89,44.93,-74.89,"During the afternoon of May 27th, a relatively strong pressure gradient created a low-level jet stream of >50 knots with portions of northern New York being in the warm, slightly unstable sector. A weak cold front approached the region in the late afternoon and evening hours producing isolated to scattered showers and thunderstorms. A few thunderstorms, although not strong by normal standards were able to tap into the strong low level winds and produce isolated wind gusts that caused some damage to trees and utilities.",A few downed powerlines caused by downed trees onto lines.,CSV
202401,9,2130,202401,10,0,187949,1154379,NEW YORK,36,2024,January,High Wind,Z,177,NORTHERN NASSAU,OKX,09-JAN-24 21:30:00,EST-5,10-JAN-24 00:00:00,0,0,0,0,0.00K,0.00K,Department of Highways,50.00,EG,,,,,,,,,,,,,,,,,,,,"A strong area of low pressure moved northeast from the Mid-Atlantic Region to southern New England during the night of January 9, 2024 into the early morning hours of January 10, 2024. Its center passed just north of the region during this period. The pressure gradient tightened as the center of the storm approached, producing high winds over Southeastern New York during this period.","The Department of Highways reported a downed tree on NY Route 106 northbound at Francis Drive in Muttontown, NY, blocking a lane at 1138 PM Local Standard Time. The public reported downed power lines blocking the tracks of Long Island Railroad and causing a fire in Glen Cove, NY at 1145 PM Local Standard Time. Additionally, NOS station KPTN6 - Kings Point, NY recorded a high measured wind gust of 59 mph at 1054 PM Local Standard Time.",CSV
