BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202106,13,1359,202106,13,1400,158938,960855,OHIO,39,2021,June,Thunderstorm Wind,C,59,GUERNSEY,PBZ,13-JUN-21 13:59:00,EST-5,13-JUN-21 14:00:00,0,0,0,0,1.00K,0.00K,Law Enforcement,55.00,EG,,,,,,,,,,.87,SE,CAMBRIDGE,.87,SE,CAMBRIDGE,40.02,-81.59,40.02,-81.59,"An advancing cold front, along with shortwave support, created the chance for thunderstorms across the region. Sufficient shear (40kts in the 0-6km layer), moderate to high instability (1500-2000 J/kg of CAPE), and dry mid-level air resulted in damaging winds and hail.",The State Patrol reported 4 power poles down along SR 209 near mile marker 7.,CSV
202106,13,1415,202106,13,1415,158938,960856,OHIO,39,2021,June,Thunderstorm Wind,C,119,MUSKINGUM,PBZ,13-JUN-21 14:15:00,EST-5,13-JUN-21 14:15:00,0,0,0,0,0.00K,0.00K,Emergency Manager,55.00,EG,,,,,,,,,,0,N,SOUTH ZANESVILLE,0,N,SOUTH ZANESVILLE,39.9,-82.02,39.9,-82.02,"An advancing cold front, along with shortwave support, created the chance for thunderstorms across the region. Sufficient shear (40kts in the 0-6km layer), moderate to high instability (1500-2000 J/kg of CAPE), and dry mid-level air resulted in damaging winds and hail.","An emergency manager reported several trees and power lines down, including in the vicinity of Fair Street and Maysville Pike.",CSV
202106,13,1435,202106,13,1435,158938,960857,OHIO,39,2021,June,Thunderstorm Wind,C,31,COSHOCTON,PBZ,13-JUN-21 14:35:00,EST-5,13-JUN-21 14:35:00,0,0,0,0,0.00K,0.00K,Department of Highways,55.00,EG,,,,,,,,,,1.26,WSW,PLAINFIELD,1.26,WSW,PLAINFIELD,40.19,-81.74,40.19,-81.74,"An advancing cold front, along with shortwave support, created the chance for thunderstorms across the region. Sufficient shear (40kts in the 0-6km layer), moderate to high instability (1500-2000 J/kg of CAPE), and dry mid-level air resulted in damaging winds and hail.",Trees reported down across Linton Township.,CSV
202106,13,1250,202106,13,1251,158938,960854,OHIO,39,2021,June,Hail,C,111,MONROE,PBZ,13-JUN-21 12:50:00,EST-5,13-JUN-21 12:51:00,0,0,0,0,0.00K,0.00K,Public,1.00,,,,,,,,,,,1.27,WNW,MALAGA,1.27,WNW,MALAGA,39.86,-81.17,39.86,-81.17,"An advancing cold front, along with shortwave support, created the chance for thunderstorms across the region. Sufficient shear (40kts in the 0-6km layer), moderate to high instability (1500-2000 J/kg of CAPE), and dry mid-level air resulted in damaging winds and hail.",Nickel to quarter sized hail was reported by the public.,CSV
202107,16,1316,202107,16,1318,158902,961986,OHIO,39,2021,July,Thunderstorm Wind,C,61,HAMILTON,ILN,16-JUL-21 13:16:00,EST-5,16-JUL-21 13:18:00,0,0,0,0,3.00K,0.00K,State Official,45.00,EG,,,,,,,,,,.69,N,MACK,.69,N,MACK,39.16,-84.63,39.16,-84.63,Showers and thunderstorms moved across the Ohio Valley ahead of an approaching cold front during the afternoon and evening hours.,A few power lines were downed.,CSV
202107,16,1354,202107,16,1356,158902,961987,OHIO,39,2021,July,Thunderstorm Wind,C,165,WARREN,ILN,16-JUL-21 13:54:00,EST-5,16-JUL-21 13:56:00,0,0,0,0,4.00K,0.00K,Emergency Manager,50.00,EG,,,,,,,,,,.69,N,MORROW FRITH ARPT,.69,N,MORROW FRITH ARPT,39.34,-84.05,39.34,-84.05,Showers and thunderstorms moved across the Ohio Valley ahead of an approaching cold front during the afternoon and evening hours.,Several trees were downed.,CSV
202107,16,1408,202107,16,1410,158902,961988,OHIO,39,2021,July,Thunderstorm Wind,C,25,CLERMONT,ILN,16-JUL-21 14:08:00,EST-5,16-JUL-21 14:10:00,0,0,0,0,5.00K,0.00K,State Official,50.00,EG,,,,,,,,,,.88,NW,NEW RICHMOND,.88,NW,NEW RICHMOND,38.96,-84.29,38.96,-84.29,Showers and thunderstorms moved across the Ohio Valley ahead of an approaching cold front during the afternoon and evening hours.,Several trees and power lines were downed.,CSV
202106,30,2145,202106,30,2245,158482,958183,OHIO,39,2021,June,Flash Flood,C,61,HAMILTON,ILN,30-JUN-21 21:45:00,EST-5,30-JUN-21 22:45:00,0,0,0,0,20.00K,0.00K,NWS Employee,,,Heavy Rain,,,,,,,,,.69,S,CUMMINGSVILLE,1.12,SSE,CUMMINGSVILLE,39.16,-84.53,39.1586,-84.5253,Thunderstorms developed ahead of a cold front moving through the Ohio Valley. Some of the storms produced heavy rainfall.,"Several vehicles were trapped and stranded due to high water along I-75, near mile marker 5.",CSV
202106,3,1500,202106,3,1600,157564,952486,OHIO,39,2021,June,Flood,C,135,PREBLE,ILN,03-JUN-21 15:00:00,EST-5,03-JUN-21 16:00:00,0,0,0,0,0.00K,0.00K,Public,,,Heavy Rain,,,,,,,,,.53,E,COLLEGE CORNER,.69,ESE,COLLEGE CORNER,39.57,-84.81,39.5679,-84.8148,Showers and thunderstorms developed during the afternoon hours across the Ohio Valley ahead of an upper level low pressure system moving through the region.,"Standing water, about 4 to 5 inches deep, was reported in several yards and streets.",CSV
202106,10,1915,202106,10,2015,157741,953563,OHIO,39,2021,June,Flood,C,159,UNION,ILN,10-JUN-21 19:15:00,EST-5,10-JUN-21 20:15:00,0,0,0,0,0.00K,0.00K,State Official,,,Heavy Rain,,,,,,,,,1.51,ESE,RICHWOOD GRINDELL AR,1.35,SW,RICHWOOD,40.4128,-83.3229,40.4139,-83.3159,Slow moving thunderstorms developed during the afternoon hours in a warm and humid airmass.,High water was reported on Graham-Jones Road.,CSV
