BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201703,7,1300,201703,7,1600,114901,689247,OREGON,41,2017,March,High Wind,Z,2,CENTRAL OREGON COAST,PQR,07-MAR-17 13:00:00,PST-8,07-MAR-17 16:00:00,0,0,0,0,,0.00K,Official NWS Observations,51.00,MG,,,,,,,,,,,,,,,,,,,,Low pressure system that made landfall near the mouth of the Columbia River brought high winds to the Oregon Coast and Coast Range.,"Weather stations at Gleneden Beach and Yachats both recorded peak gusts up to 59 mph, while Newport and Florence both saw sustained winds over 40 mph.",CSV
201701,3,1515,201701,4,1600,113039,675725,OREGON,41,2017,January,Heavy Snow,Z,509,EAST SLOPES OF THE OREGON CASCADES,PDT,03-JAN-17 15:15:00,PST-8,04-JAN-17 16:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,Heavy snow fell across central and east-central Oregon January 3rd and 4th.,"Measured snow fall of 20 inches since the previous afternoon, 5 miles south of Bend in Deschutes county.",CSV
201701,3,1515,201701,4,1600,113039,675730,OREGON,41,2017,January,Heavy Snow,Z,506,OCHOCO-JOHN DAY HIGHLANDS,PDT,03-JAN-17 15:15:00,PST-8,04-JAN-17 16:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,Heavy snow fell across central and east-central Oregon January 3rd and 4th.,"Measured snow fall of 7.5 inches, 3 miles south-southeast of Prineville in Crook county.  Elevation 3290 feet.",CSV
201701,1,1600,201701,2,503,113038,675722,OREGON,41,2017,January,Heavy Snow,Z,510,NORTH CENTRAL OREGON,PDT,01-JAN-17 16:00:00,PST-8,02-JAN-17 05:03:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,Significant snow fall over portions of South-central Washington and North-central Oregon on January 1st and 2nd.,"Estimated total snow fall of 7 inches in Wamic, Wasco county. Elevation 1800 feet.",CSV
201701,3,1545,201701,4,1600,113039,675727,OREGON,41,2017,January,Heavy Snow,Z,511,CENTRAL OREGON,PDT,03-JAN-17 15:45:00,PST-8,04-JAN-17 16:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,Heavy snow fell across central and east-central Oregon January 3rd and 4th.,"Measured snow fall of 12 inches since the previous afternoon, 8 miles northwest of Terrebonne in Jefferson county.  Also had snow drifts up to 3 feet in height.",CSV
201701,7,1100,201701,8,1300,113040,675735,OREGON,41,2017,January,Heavy Snow,Z,509,EAST SLOPES OF THE OREGON CASCADES,PDT,07-JAN-17 11:00:00,PST-8,08-JAN-17 13:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,A Pacific storm system brought widespread snow to the Pacific Northwest.,"Measured snow fall of 10 inches, 2 miles south-southwest of Camp Sherman in Jefferson county.",CSV
201701,17,1045,201701,18,2300,113205,678575,OREGON,41,2017,January,Blizzard,Z,49,GRAND RONDE VALLEY,PDT,17-JAN-17 10:45:00,PST-8,18-JAN-17 23:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,A major winter storm brought significant snow and ice to the region. Also the Grande Ronde valley experienced high winds and blizzard conditions.,Winds of 41-47 mph with gusts to 64 mph caused reduced visibilities to around 1/4 mile in blowing snow between 645 and 725 PM at the La Grande airport in Union county.,CSV
201701,3,2000,201701,4,800,113418,678695,OREGON,41,2017,January,Heavy Snow,Z,64,LOWER TREASURE VALLEY,BOI,03-JAN-17 20:00:00,MST-7,04-JAN-17 08:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,The first in a series of major snow storms to hit Eastern Oregon and Southwest Idaho spread 4 to 16 inches of snow across the area.,Trained spotters across parts of eastern Malheur County and in and around the Ontario area reported 4 to 8 inches of snow.,CSV
201701,7,900,201701,7,2100,113420,678698,OREGON,41,2017,January,Heavy Snow,Z,63,MALHEUR,BOI,07-JAN-17 09:00:00,MST-7,07-JAN-17 21:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,Another in a series of snow storms pummeled parts of Eastern Oregon and Southwest Idaho.,Trained spotters reported 6 to 8 inches of snow near Harper and Juntura.,CSV
201701,7,900,201701,7,2100,113420,678699,OREGON,41,2017,January,Heavy Snow,Z,64,LOWER TREASURE VALLEY,BOI,07-JAN-17 09:00:00,MST-7,07-JAN-17 21:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Another in a series of snow storms pummeled parts of Eastern Oregon and Southwest Idaho.,A cooperative observer at Owyhee Dam reported 5 inches of snow and trained spotters around Ontario reported 4 to 5  inches.,CSV
201701,10,330,201701,13,1645,111641,666054,OREGON,41,2017,January,Flood,C,11,COOS,MFR,10-JAN-17 03:30:00,PST-8,13-JAN-17 16:45:00,0,0,0,0,0.00K,0.00K,Official NWS Observations,,,Heavy Rain / Snow Melt,,,,,,,,,0,N,BANDON,1.51,NW,BULLARDS,43.12,-124.42,43.16,-124.41,An extended period of heavy rain combined with snowmelt to cause rises in the Coquille River. The river flooded on 01/11-13/2017.,The Coquille River at Coquille rose above flood stage (21.0 feet) at 10/0330 PST and rose above moderate flood stage (23.0 feet) at 11/0100 PST. The river crested at 23.55 feet at 11/1245 PST. The river fell below moderate flood stage at 12/1745 PST and below flood stage at 13/1700 PST.,CSV
201701,11,100,201701,11,1315,111639,666055,OREGON,41,2017,January,Flood,C,11,COOS,MFR,11-JAN-17 01:00:00,PST-8,11-JAN-17 13:15:00,0,0,0,0,0.00K,0.00K,Official NWS Observations,,,Heavy Rain / Snow Melt,,,,,,,,,2.62,WNW,BYERTE,.51,W,MYRTLE PT,42.93,-124.17,43.07,-124.17,An extended period of heavy rain combined with snowmelt to cause rises in the South Fork of the Coquille River. The river flooded on 01/11/2017.,The South Fork of the Coquille River at Myrtle Point rose above flood stage (33.0 feet) at 11/0100 PST. The river crested at 33.66 feet at 11/0600 PST. The river fell below  flood stage at 11/1315 PST.,CSV
201701,10,1515,201701,11,1845,111640,666057,OREGON,41,2017,January,Flood,C,15,CURRY,MFR,10-JAN-17 15:15:00,PST-8,11-JAN-17 18:45:00,0,0,0,0,0.00K,0.00K,Official NWS Observations,,,Heavy Rain / Snow Melt,,,,,,,,,1.71,NW,MARIAL,2.07,ENE,MARIAL,42.74,-123.9,42.74,-123.75,An extended period of heavy rain combined with snowmelt to cause rises in the Rogue River at Agness. The river flooded on 01/11-12/2017.,The Rogue River at Agness rose above flood stage (17.0 feet) at 10/1515 PST. The river crested at 21.88 feet between 11/0115 and 11/0130 PST. The river fell  below flood stage at 11/1845 PST.,CSV
201701,4,2200,201701,5,1000,111647,668400,OREGON,41,2017,January,Frost/Freeze,Z,22,CURRY COUNTY COAST,MFR,04-JAN-17 22:00:00,PST-8,05-JAN-17 10:00:00,0,0,0,0,0.00K,0.00K,Official NWS Observations,,,,,,,,,,,,,,,,,,,,,,An unusually cold air mass brought freezing temperatures to the south Oregon coast.,Reported low temperatures along the coast ranged from 30 to 35 degrees.,CSV
201701,1,0,201701,4,800,111695,666298,OREGON,41,2017,January,Winter Storm,Z,27,SOUTH CENTRAL OREGON CASCADES,MFR,01-JAN-17 00:00:00,PST-8,04-JAN-17 08:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"Two fronts combined with an usually cold air mass already in place to bring heavy snow to many portions of southwest and south central Oregon.  This storm had an unusually severe impact due to the low snow levels, all the way down the the coastal beaches.  Some areas that usually only get a few inches of snow in a season got as much as two feet over several days.   There were numerous reports of power outages and tree damage.  Traffic along major highways, including Interstate 5, was shut down at times, and there were numerous traffic accidents.  Many people were stranded on the roads or in their homes. There were widespread school closures, many closed for the entire week. There was one fatality due to a traffic accident.","The cooperative observer at Crater Lake National Park reported 3.4 inches of snow in 24 hours as of 01/0800 PST, 13.0 inches on the 2nd, 7.6 inches on the 3rd, and 17.0 inches on the 4th, for a storm total of 41 inches in four days.",CSV
201701,3,1030,201701,4,1030,111695,666289,OREGON,41,2017,January,Winter Storm,Z,31,CENTRAL & EASTERN LAKE COUNTY,MFR,03-JAN-17 10:30:00,PST-8,04-JAN-17 10:30:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Two fronts combined with an usually cold air mass already in place to bring heavy snow to many portions of southwest and south central Oregon.  This storm had an unusually severe impact due to the low snow levels, all the way down the the coastal beaches.  Some areas that usually only get a few inches of snow in a season got as much as two feet over several days.   There were numerous reports of power outages and tree damage.  Traffic along major highways, including Interstate 5, was shut down at times, and there were numerous traffic accidents.  Many people were stranded on the roads or in their homes. There were widespread school closures, many closed for the entire week. There was one fatality due to a traffic accident.","A spotter 9SSE Summer Lake reported 8.0 inches of snow in 12 hours as of 03/2230 PST, then 15.0 inches of snow in 24 hours as of 04/1010 PST. The cooperative observer at Hart Mountain Refuge reported 10.0 inches of snow in 24 hours as of 04/0800 PST. A member of the public 13W Paisley reported 11.0 inches of snow at 04/0700 PST. A member of the public at MP 72 on Oregon Highway 31 reported 15.0 inches of snow at 04/1010 PST.",CSV
201701,7,0,201701,8,2359,112026,668128,OREGON,41,2017,January,Winter Weather,Z,28,SISKIYOU MOUNTAINS & SOUTHERN OREGON CASCADES,MFR,07-JAN-17 00:00:00,PST-8,08-JAN-17 23:59:00,0,0,0,0,0.00K,0.00K,Newspaper,,,,,,,,,,,,,,,,,,,,,,Another in a series of strong storms brought some snow and freezing precipitation to southwest Oregon.  Many motor vehicle collisions and power outages were reported.,The Mount Ashland Ski Area was closed for two days (1/7 and 1/8) due to strong winds and whiteout conditions.,CSV
201701,9,700,201701,10,700,112034,668135,OREGON,41,2017,January,Heavy Snow,Z,26,JACKSON COUNTY,MFR,09-JAN-17 07:00:00,PST-8,10-JAN-17 07:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,Yet another in a series of strong storms brought heavy precipitation and strong winds to portions of southwest Oregon.,A spotter 7NNW Rogue River reported 12.0 inches of snow in 24 hours ending at 10/0700 PST.  Many trees were down on Queen's Branch and East Evans Creek Road.,CSV
201701,18,7,201701,18,1536,112043,668182,OREGON,41,2017,January,High Wind,Z,21,SOUTH CENTRAL OREGON COAST,MFR,18-JAN-17 00:07:00,PST-8,18-JAN-17 15:36:00,0,0,0,0,0.00K,0.00K,Official NWS Observations,55.00,MG,,,,,,,,,,,,,,,,,,,,This was an unusual high wind event for the Medford CWA. The trajectory of the storm moving in from the south brought high winds that spread from east to west instead of the usual west to east.,Several rounds of high winds occurred during this interval.  The peak gust was 63 mph recorded at 18/0048 PST.,CSV
