BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199901,2,2300,199901,3,900,1076470,5684370,PENNSYLVANIA,42,1999,January,Winter Storm,Z,55,MONROE,PHI,02-JAN-99 23:00:00,EST,03-JAN-99 09:00:00,0,0,1,0,,0,"AWOS,ASOS,MESONET,ETC",,,,,,,,,,,,,,,,,,,,,,"Wintry precipitation affected Eastern Pennsylvania the evening of the 2nd and morning of the 3rd.  It lasted the longest in the Poconos and claimed the life of an 85-year-old Saylorsburg man (Monroe County) who slipped on the ice and died from the injuries he sustained a couple of weeks later.A very cold and dry air mass built into Eastern Pennsylvania on the 1st and the 2nd.  As the high pressure system built into New England and the adjacent coastal waters, the circulation around it and a low pressure system over the Lower Ohio Valley started to bring in warmer air from the Atlantic Ocean.  During the evening of the 2nd the air near the ground was cold enough for precipitation to start as light freezing rain and sleet from the Lehigh Valley south.  In the Poconos precipitation started as snow and sleet.  Precipitation intensity was light for the first several hours of this event.  This permitted temperatures to rise above freezing before the onset of heavy rain.   The only places this did not occur were in the valleys of the Poconos as several hours of heavy freezing rain occurred during the early morning of the 3rd.  By mid-morning of the 3rd even the Poconos' air temperatures went above freezing.   Water equivalents of ice and sleet around the Philadelphia area were only a few hundredths of an inch.  This increased to one to two tenths of an inch in Berks County and the Lehigh Valley and as much as three-quarters of an inch in the valleys of the Poconos.  Because this occurred late on a weekend night, the number of reported vehicular accidents was not very high in the Lehigh Valley and the Poconos.  In and around Philadelphia numerous fender benders were reported.  A truck spreading salt even overturned.  A six lane stretch of Roosevelt Boulevard within Philadelphia was closed because of icy conditions.",,PDC
199907,28,1120,199907,28,1130,2411473,5716165,PENNSYLVANIA,42,1999,July,Thunderstorm Wind,C,7,BEAVER,PBZ,28-JUL-99 11:20:00,EST,28-JUL-99 11:30:00,0,0,0,0,50K,,TRAINED SPOTTER,,,,,,,,,,,,,,COUNTYWIDE,,,COUNTYWIDE,40.67,-80.33,40.67,-80.33,"On July 28th, thunderstorms produced a macroburst which blew across portions of Western Pennsylvania. the macroburst started at around 9 AM EST and marched across the region through the late morning hours.  The thunderstorms first started in west-central Lawrence County and moved southeast at about 30 to 35 MPH into northeast Beaver County.  An additional storm developed in northeast Beaver County and merged with the first storm in the northwestern part of the county.  Together they combined into an intense thunderstorm complex which produced a swath of wind damage across Western Pennsylvania that punched southeastward through southwest Butler, much of Allegheny, northeast Washington, southwest Westmoreland and northern Fayette counties.  Hundreds of trees and power lines were snapped and toppled.  Approximately 110,000 customers lost power in Allegheny County alone.  This power outage was larger than the one that occurred during the  June 2nd, 1998 tornado which struck the Mt. Washington section of Pittsburgh. Air traffic at the Pittsburgh International Airport was suspended for nearly four hours.  There were also several instances of structural damage to homes and businesses in the form of roof, shingle, and siding damage.  Some small out-building and sheds were also damaged or destroyed.  This rather long-lived macroburst event had an approximate path length of 85 miles and stretched across parts of seven counties.  The width varied from approximately a mile or so to as much as 12 to 14 miles wide, especially across parts of Allegheny County.  Spotters provided several reports of winds reaching 60 to 70 MPH, with some reports as high as 85 MPH.  This macroburst event is comparable in size and strength to the June 30th, 1998 event which roared across Beaver, Allegheny and Westmoreland counties in Western Pennsylvania.  In addition to the damaging winds, the storms produced torrential amounts of rainfall which flooded roadways, under-passes and other low-lying areas, stranding several people in their cars.  Several mud and rock slides were also reported.  There were numerous reports of basement flooding across the region.  The Pittsburgh International Airport reported a record-setting 3.48 inches of rain for the day.","Thunderstorm winds produced widespread damage across the county, downing numerous trees and power lines.  One car was crushed by a large tree in Midland.  One beef cattle in Daugherty Township was electrocuted when a wire fell on it.  Several other reports of minor damage to siding and roofs were received by the area 911.",PDC
199907,28,1130,199907,28,1130,2411473,5716166,PENNSYLVANIA,42,1999,July,Thunderstorm Wind,C,65,JEFFERSON,PBZ,28-JUL-99 11:30:00,EST,28-JUL-99 11:30:00,0,0,0,0,3K,,TRAINED SPOTTER,,,,,,,,,,,,,,BROCKWAY,,,BROCKWAY,41.25,-78.8,41.25,-78.8,"On July 28th, thunderstorms produced a macroburst which blew across portions of Western Pennsylvania. the macroburst started at around 9 AM EST and marched across the region through the late morning hours.  The thunderstorms first started in west-central Lawrence County and moved southeast at about 30 to 35 MPH into northeast Beaver County.  An additional storm developed in northeast Beaver County and merged with the first storm in the northwestern part of the county.  Together they combined into an intense thunderstorm complex which produced a swath of wind damage across Western Pennsylvania that punched southeastward through southwest Butler, much of Allegheny, northeast Washington, southwest Westmoreland and northern Fayette counties.  Hundreds of trees and power lines were snapped and toppled.  Approximately 110,000 customers lost power in Allegheny County alone.  This power outage was larger than the one that occurred during the  June 2nd, 1998 tornado which struck the Mt. Washington section of Pittsburgh. Air traffic at the Pittsburgh International Airport was suspended for nearly four hours.  There were also several instances of structural damage to homes and businesses in the form of roof, shingle, and siding damage.  Some small out-building and sheds were also damaged or destroyed.  This rather long-lived macroburst event had an approximate path length of 85 miles and stretched across parts of seven counties.  The width varied from approximately a mile or so to as much as 12 to 14 miles wide, especially across parts of Allegheny County.  Spotters provided several reports of winds reaching 60 to 70 MPH, with some reports as high as 85 MPH.  This macroburst event is comparable in size and strength to the June 30th, 1998 event which roared across Beaver, Allegheny and Westmoreland counties in Western Pennsylvania.  In addition to the damaging winds, the storms produced torrential amounts of rainfall which flooded roadways, under-passes and other low-lying areas, stranding several people in their cars.  Several mud and rock slides were also reported.  There were numerous reports of basement flooding across the region.  The Pittsburgh International Airport reported a record-setting 3.48 inches of rain for the day.",Thunderstorm winds downed several trees and power lines.,PDC
199907,28,1145,199907,28,1145,2411473,5716167,PENNSYLVANIA,42,1999,July,Thunderstorm Wind,C,129,WESTMORELAND,PBZ,28-JUL-99 11:45:00,EST,28-JUL-99 11:45:00,0,0,0,0,10K,,TRAINED SPOTTER,,,,,,,,,,,,,,GREENSBURG,,,GREENSBURG,40.3,-79.55,40.3,-79.55,"On July 28th, thunderstorms produced a macroburst which blew across portions of Western Pennsylvania. the macroburst started at around 9 AM EST and marched across the region through the late morning hours.  The thunderstorms first started in west-central Lawrence County and moved southeast at about 30 to 35 MPH into northeast Beaver County.  An additional storm developed in northeast Beaver County and merged with the first storm in the northwestern part of the county.  Together they combined into an intense thunderstorm complex which produced a swath of wind damage across Western Pennsylvania that punched southeastward through southwest Butler, much of Allegheny, northeast Washington, southwest Westmoreland and northern Fayette counties.  Hundreds of trees and power lines were snapped and toppled.  Approximately 110,000 customers lost power in Allegheny County alone.  This power outage was larger than the one that occurred during the  June 2nd, 1998 tornado which struck the Mt. Washington section of Pittsburgh. Air traffic at the Pittsburgh International Airport was suspended for nearly four hours.  There were also several instances of structural damage to homes and businesses in the form of roof, shingle, and siding damage.  Some small out-building and sheds were also damaged or destroyed.  This rather long-lived macroburst event had an approximate path length of 85 miles and stretched across parts of seven counties.  The width varied from approximately a mile or so to as much as 12 to 14 miles wide, especially across parts of Allegheny County.  Spotters provided several reports of winds reaching 60 to 70 MPH, with some reports as high as 85 MPH.  This macroburst event is comparable in size and strength to the June 30th, 1998 event which roared across Beaver, Allegheny and Westmoreland counties in Western Pennsylvania.  In addition to the damaging winds, the storms produced torrential amounts of rainfall which flooded roadways, under-passes and other low-lying areas, stranding several people in their cars.  Several mud and rock slides were also reported.  There were numerous reports of basement flooding across the region.  The Pittsburgh International Airport reported a record-setting 3.48 inches of rain for the day.",Thunderstorm winds downed numerous trees and power lines across the Greensburg area.,PDC
199907,28,1115,199907,28,1135,2411473,5716163,PENNSYLVANIA,42,1999,July,Thunderstorm Wind,C,3,ALLEGHENY,PBZ,28-JUL-99 11:15:00,EST,28-JUL-99 11:35:00,0,0,0,0,50K,,TRAINED SPOTTER,,,,,,,,,,,,,,COUNTYWIDE,,,COUNTYWIDE,40.43,-80.05,40.43,-80.05,"On July 28th, thunderstorms produced a macroburst which blew across portions of Western Pennsylvania. the macroburst started at around 9 AM EST and marched across the region through the late morning hours.  The thunderstorms first started in west-central Lawrence County and moved southeast at about 30 to 35 MPH into northeast Beaver County.  An additional storm developed in northeast Beaver County and merged with the first storm in the northwestern part of the county.  Together they combined into an intense thunderstorm complex which produced a swath of wind damage across Western Pennsylvania that punched southeastward through southwest Butler, much of Allegheny, northeast Washington, southwest Westmoreland and northern Fayette counties.  Hundreds of trees and power lines were snapped and toppled.  Approximately 110,000 customers lost power in Allegheny County alone.  This power outage was larger than the one that occurred during the  June 2nd, 1998 tornado which struck the Mt. Washington section of Pittsburgh. Air traffic at the Pittsburgh International Airport was suspended for nearly four hours.  There were also several instances of structural damage to homes and businesses in the form of roof, shingle, and siding damage.  Some small out-building and sheds were also damaged or destroyed.  This rather long-lived macroburst event had an approximate path length of 85 miles and stretched across parts of seven counties.  The width varied from approximately a mile or so to as much as 12 to 14 miles wide, especially across parts of Allegheny County.  Spotters provided several reports of winds reaching 60 to 70 MPH, with some reports as high as 85 MPH.  This macroburst event is comparable in size and strength to the June 30th, 1998 event which roared across Beaver, Allegheny and Westmoreland counties in Western Pennsylvania.  In addition to the damaging winds, the storms produced torrential amounts of rainfall which flooded roadways, under-passes and other low-lying areas, stranding several people in their cars.  Several mud and rock slides were also reported.  There were numerous reports of basement flooding across the region.  The Pittsburgh International Airport reported a record-setting 3.48 inches of rain for the day.","Thunderstorm winds downed numerous trees and power lines countywide.  A wind gust to 66 MPH was recorded at the Carnegie Science Center in downtown Pittsburgh.  Power was knocked out to 110,000 customers across the county, while another 196,000 households and businesses were left without water for several hours.",PDC
199907,28,1120,199907,28,1120,2411473,5716164,PENNSYLVANIA,42,1999,July,Thunderstorm Wind,C,65,JEFFERSON,PBZ,28-JUL-99 11:20:00,EST,28-JUL-99 11:20:00,0,0,0,0,3K,,TRAINED SPOTTER,,,,,,,,,,,,,,BROOKVILLE,,,BROOKVILLE,41.17,-79.08,41.17,-79.08,"On July 28th, thunderstorms produced a macroburst which blew across portions of Western Pennsylvania. the macroburst started at around 9 AM EST and marched across the region through the late morning hours.  The thunderstorms first started in west-central Lawrence County and moved southeast at about 30 to 35 MPH into northeast Beaver County.  An additional storm developed in northeast Beaver County and merged with the first storm in the northwestern part of the county.  Together they combined into an intense thunderstorm complex which produced a swath of wind damage across Western Pennsylvania that punched southeastward through southwest Butler, much of Allegheny, northeast Washington, southwest Westmoreland and northern Fayette counties.  Hundreds of trees and power lines were snapped and toppled.  Approximately 110,000 customers lost power in Allegheny County alone.  This power outage was larger than the one that occurred during the  June 2nd, 1998 tornado which struck the Mt. Washington section of Pittsburgh. Air traffic at the Pittsburgh International Airport was suspended for nearly four hours.  There were also several instances of structural damage to homes and businesses in the form of roof, shingle, and siding damage.  Some small out-building and sheds were also damaged or destroyed.  This rather long-lived macroburst event had an approximate path length of 85 miles and stretched across parts of seven counties.  The width varied from approximately a mile or so to as much as 12 to 14 miles wide, especially across parts of Allegheny County.  Spotters provided several reports of winds reaching 60 to 70 MPH, with some reports as high as 85 MPH.  This macroburst event is comparable in size and strength to the June 30th, 1998 event which roared across Beaver, Allegheny and Westmoreland counties in Western Pennsylvania.  In addition to the damaging winds, the storms produced torrential amounts of rainfall which flooded roadways, under-passes and other low-lying areas, stranding several people in their cars.  Several mud and rock slides were also reported.  There were numerous reports of basement flooding across the region.  The Pittsburgh International Airport reported a record-setting 3.48 inches of rain for the day.",Thunderstorm winds downed several trees and power lines.,PDC
199907,31,1845,199907,31,1845,2411475,5716342,PENNSYLVANIA,42,1999,July,Thunderstorm Wind,C,7,BEAVER,PBZ,31-JUL-99 18:45:00,EST,31-JUL-99 18:45:00,0,0,0,0,3K,,TRAINED SPOTTER,,,,,,,,,,,,,,DARLINGTON,,,DARLINGTON,40.82,-80.42,40.82,-80.42,,Thunderstorm winds downed several trees.,PDC
199907,31,1845,199907,31,1845,2411475,5716343,PENNSYLVANIA,42,1999,July,Thunderstorm Wind,C,5,ARMSTRONG,PBZ,31-JUL-99 18:45:00,EST,31-JUL-99 18:45:00,0,0,0,0,5K,,TRAINED SPOTTER,,,,,,,,,,,,,,PARKER CITY,,,PARKER CITY,41.1,-79.7,41.1,-79.7,,"Thunderstorm winds downed several trees across the area, blocking SR 268.",PDC
199907,31,1845,199907,31,1845,2411475,5716344,PENNSYLVANIA,42,1999,July,Thunderstorm Wind,C,19,BUTLER,PBZ,31-JUL-99 18:45:00,EST,31-JUL-99 18:45:00,0,0,0,0,3K,,TRAINED SPOTTER,,,,,,,,,,,,,,BUTLER,,,BUTLER,40.85,-79.88,40.85,-79.88,,Thunderstorm winds downed several trees.,PDC
199907,31,1900,199907,31,1900,2411475,5716345,PENNSYLVANIA,42,1999,July,Thunderstorm Wind,C,65,JEFFERSON,PBZ,31-JUL-99 19:00:00,EST,31-JUL-99 19:00:00,0,0,0,0,5K,,TRAINED SPOTTER,,,,,,,,,,,,,,BROOKVILLE,,,BROOKVILLE,41.17,-79.08,41.17,-79.08,,"Thunderstorm winds downed several trees, blocking local streets in Brookville.",PDC
