BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200601,17,1000,200601,17,1500,1203875,5486824,PUERTO RICO,99,2006,January,High Surf,Z,5,NORTH CENTRAL,SJU,17-JAN-06 10:00:00,AST,17-JAN-06 15:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,Strong low pressure system over the Atlantic generated moderate to large long period northwest swells that combined with breezy east to northeast winds which affected the coastal waters of Puerto Rico.,Breaking waves and resultant high surf caused flooding of the Vega Baja public beach parking lot and partial flooding of the coastal road.,PDS
200601,17,1000,200601,17,1500,1203875,5486825,PUERTO RICO,99,2006,January,High Surf,Z,8,NORTHWEST,SJU,17-JAN-06 10:00:00,AST,17-JAN-06 15:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,Strong low pressure system over the Atlantic generated moderate to large long period northwest swells that combined with breezy east to northeast winds which affected the coastal waters of Puerto Rico.,Breaking waves and resultant high surf caused flooding of Marina Avenue and forced the closing of nearby schools San Carlos and the Eladio G. Vega in the municipality of Aguadilla. Fisherman boats were pushed to shore.,PDS
200601,17,1000,200601,17,1500,1203875,5486826,PUERTO RICO,99,2006,January,High Surf,Z,1,SAN JUAN AND VICINITY,SJU,17-JAN-06 10:00:00,AST,17-JAN-06 15:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,Strong low pressure system over the Atlantic generated moderate to large long period northwest swells that combined with breezy east to northeast winds which affected the coastal waters of Puerto Rico.,Breaking waves and resultant high surf caused flooding of the Loiza Headstart in the Colobo sector...road 187 in Vacia Talega sector and streets of the Parcelas Suarez sector.,PDS
200601,15,1643,200601,15,1943,1203876,5493192,PUERTO RICO,99,2006,January,Flash Flood,C,1,SAN JUAN AND VICINITY,SJU,15-JAN-06 16:43:00,AST,15-JAN-06 19:43:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,TRUJILLO ALTO,,,TRUJILLO ALTO,18.33333,-66,18.33333,-66,,Heavy showers associated to a strong cold front produced rainfall accumulations of two to six inches. These showers flooded parts of Encantada Community and a road at Barrio Matienzo.,PDS
200601,15,1701,200601,15,2103,1203876,5493193,PUERTO RICO,99,2006,January,Flash Flood,C,2,NORTHEAST,SJU,15-JAN-06 17:01:00,AST,15-JAN-06 21:03:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,NAGUABO,,,NAGUABO,18.21667,-65.73333,18.21667,-65.73333,,Road 31 at exit 22 near River Rio Blanco and Highway 53 flooded.,PDS
200601,15,1701,200601,15,2103,1203876,5493194,PUERTO RICO,99,2006,January,Flash Flood,C,4,EASTERN INTERIOR,SJU,15-JAN-06 17:01:00,AST,15-JAN-06 21:03:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,CAGUAS,,,CAGUAS,18.2,-66.03333,18.2,-66.03333,,Barrio Canas was reported flooded.,PDS
200601,15,1701,200601,15,2101,1203877,5493195,PUERTO RICO,99,2006,January,Flash Flood,C,1,SAN JUAN AND VICINITY,SJU,15-JAN-06 17:01:00,AST,15-JAN-06 21:01:00,0,0,0,0,30K,,EMERGENCY MANAGER,,,,,,,,,,,,,,SAN JUAN,,,SAN JUAN,18.38333,-66.05,18.38333,-66.05,,Ten apartments were reported flooded at the Monte Hatillo Housing Complex.,PDS
200601,16,400,200601,19,0,1203878,5493196,PUERTO RICO,99,2006,January,Coastal Flood,Z,8,NORTHWEST,SJU,16-JAN-06 04:00:00,AST,19-JAN-06 00:00:00,0,0,0,0,35K,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,,Coastal areas of the Aguadilla municipality were flooded by 12 to 15 feet swells that flooded roads and forced several schools to close. Several fishermen boats were damaged as well as boat ramps and platforms at Barrio Higuey. Forty-five feet of the boardwalk were damaged by the heavy seas and debris was accumulated along Yumet Avenue.,PDS
200601,12,1445,200601,12,1445,1206159,5493237,PUERTO RICO,99,2006,January,High Surf,Z,5,NORTH CENTRAL,SJU,12-JAN-06 14:45:00,AST,12-JAN-06 14:45:00,0,0,1,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,,A 17 year old surfer drowned as he was swept by rip currents at Barrio  Islote in Arecibo.,PDS
200603,31,1823,200603,31,2130,1206160,5493238,PUERTO RICO,99,2006,March,Flash Flood,C,5,NORTH CENTRAL,SJU,31-MAR-06 18:23:00,AST,31-MAR-06 21:30:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,VEGA ALTA,,,VEGA ALTA,18.41667,-66.33333,18.41667,-66.33333,,"Emergency management officials indicated that a part of River Cibuco was out of its banks and flooding low lying sections of roads 620, 647 and 675 which were impassable.",PDS
200603,31,1600,200603,31,1600,1206161,5493239,PUERTO RICO,99,2006,March,Debris Flow,Z,8,NORTHWEST,SJU,31-MAR-06 16:00:00,AST,31-MAR-06 16:00:00,0,0,0,0,,,BROADCAST MEDIA,,,,,,,,,,,,,,,,,,,,,,,A rockslide occurred on Highway 131 and was partially blocking the highway in the municipality of Quebradillas.,PDS
200603,31,2200,200603,31,2359,1206162,5493240,PUERTO RICO,99,2006,March,Flash Flood,C,1,SAN JUAN AND VICINITY,SJU,31-MAR-06 22:00:00,AST,31-MAR-06 23:59:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,SAN JUAN,,,SAN JUAN,18.38333,-66.05,18.38333,-66.05,,Flooding was reported at Barriada Figueroa in Santurce. Some flooding of urban areas was reported in Condado and Ocean Park. Fernandez Juncos Avenue was closed with 2 feet of water.,PDS
200601,17,400,200601,17,1500,1203879,5493206,PUERTO RICO,99,2006,January,Coastal Flood,Z,10,MAYAGUEZ AND VICINITY,SJU,17-JAN-06 04:00:00,AST,17-JAN-06 15:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,,Coastal flooding was reported along low lying areas of Highway 102 in Mayaguez. High swells pushed debris into the road in an area were the water breaker wall was damaged.,PDS
200604,6,1620,200604,6,1620,1208460,5503742,PUERTO RICO,99,2006,April,Heavy Rain,C,2,NORTHEAST,SJU,06-APR-06 16:20:00,AST,06-APR-06 16:20:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,NAGUABO,,,NAGUABO,,,,,,Road 30 at La Pitina sector was reported impassable.,PDS
200604,6,2103,200604,6,2359,1208461,5503743,PUERTO RICO,99,2006,April,Flash Flood,C,5,NORTH CENTRAL,SJU,06-APR-06 21:03:00,AST,06-APR-06 23:59:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,MANATI,,,MANATI,18.41667,-66.48333,18.41667,-66.48333,,River Manati was reported out of its banks and flooding road 666 at the Cachete sector.,PDS
200604,6,2202,200604,6,2202,1208462,5503744,PUERTO RICO,99,2006,April,Debris Flow,Z,6,CENTRAL INTERIOR,SJU,06-APR-06 22:02:00,AST,06-APR-06 22:02:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,,Landslide reported along road 717 at Barrio Palomas.,PDS
200604,22,1413,200604,22,1530,1208449,5504229,PUERTO RICO,99,2006,April,Heavy Rain,C,2,NORTHEAST,SJU,22-APR-06 14:13:00,AST,22-APR-06 15:30:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,CANOVANAS,,,CANOVANAS,,,,,Broad area of low pressure in the mid to upper levels located across the Atlantic and extending south across Hispaniola and Puerto Rico combined with local conditions to produce heavy rain in the San Juan metro and vicinity.,"A flooded home was reported at Villa Conquistador, Barrio San Isidro.",PDS
200604,1,1545,200604,1,1730,1208450,5504230,PUERTO RICO,99,2006,April,Heavy Rain,C,1,SAN JUAN AND VICINITY,SJU,01-APR-06 15:45:00,AST,01-APR-06 17:30:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,SAN JUAN,,,SAN JUAN,,,,,A nearly stationary frontal trough that extended from just south of the Dominican Republic northeast across the Mona Passage  into the Central Atlantic and strong upper level jet combined to generate numerous showers and isolated thunderstorms across the northern section of Puerto Rico.,"Urban flooding was reported along Baldorioty Avenue near public housing, right two lanes were flooded from Carolina to San Juan.",PDS
200604,22,1106,200604,22,1530,1208449,5504148,PUERTO RICO,99,2006,April,Heavy Rain,C,1,SAN JUAN AND VICINITY,SJU,22-APR-06 11:06:00,AST,22-APR-06 15:30:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,SAN JUAN,,,SAN JUAN,,,,,Broad area of low pressure in the mid to upper levels located across the Atlantic and extending south across Hispaniola and Puerto Rico combined with local conditions to produce heavy rain in the San Juan metro and vicinity.,Urban flooding and trapped vehicles were reported along 65th Infanteria avenue in Rio Piedras.,PDS
200604,6,1430,200604,6,1830,1208459,5503644,PUERTO RICO,99,2006,April,Flash Flood,C,4,EASTERN INTERIOR,SJU,06-APR-06 14:30:00,AST,06-APR-06 18:30:00,0,0,0,0,2K,,EMERGENCY MANAGER,,,,,,,,,,,,,,CAGUAS,,,CAGUAS,18.2,-66.03333,18.2,-66.03333,Mid to upper level trough located just west of Puerto Rico combined with upper level jetstream to produce heavy rain over eastern interior part of  the island. Given wet antecedent conditions flash flooding was reported by mid afternoon.,One home was reported flooded at Urb. Parque del Monte. One car and its occupant were trapped by flood waters.,PDS
200604,6,1435,200604,6,1830,1208459,5503645,PUERTO RICO,99,2006,April,Flash Flood,C,4,EASTERN INTERIOR,SJU,06-APR-06 14:35:00,AST,06-APR-06 18:30:00,0,0,0,0,2K,,EMERGENCY MANAGER,,,,,,,,,,,,,,CAGUAS,,,CAGUAS,18.2,-66.03333,18.2,-66.03333,Mid to upper level trough located just west of Puerto Rico combined with upper level jetstream to produce heavy rain over eastern interior part of  the island. Given wet antecedent conditions flash flooding was reported by mid afternoon.,A home was reported flooded at Urb. Santa Juana.,PDS
200604,6,1501,200604,6,1830,1208459,5503646,PUERTO RICO,99,2006,April,Flash Flood,C,4,EASTERN INTERIOR,SJU,06-APR-06 15:01:00,AST,06-APR-06 18:30:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,CAGUAS,,,CAGUAS,18.2,-66.03333,18.2,-66.03333,Mid to upper level trough located just west of Puerto Rico combined with upper level jetstream to produce heavy rain over eastern interior part of  the island. Given wet antecedent conditions flash flooding was reported by mid afternoon.,Street flooding was reported at Barrio Bairoa in front of National Hardware Store.,PDS
200604,22,1025,200604,22,1135,1212251,5511081,PUERTO RICO,99,2006,April,Heavy Rain,C,1,SAN JUAN AND VICINITY,SJU,22-APR-06 10:25:00,AST,22-APR-06 11:35:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,TOA BAJA,,,TOA BAJA,,,,,Area of low pressure in the mid to upper levels located across the Northwest Atlantic with associated trough extending south to Hispaniola and the local area. This combination produced scattered to numerous showers and isolated thunderstorms produced periods of heavy rain which resulted in urban and street flooding.,Road 165 was reported flooded in front of Campomar in Levittown.,PDS
