BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201709,20,1100,201709,20,2300,120357,721909,PUERTO RICO,99,2017,September,Hurricane (Typhoon),Z,4,EASTERN INTERIOR,SJU,20-SEP-17 11:00:00,AST-4,20-SEP-17 23:00:00,0,0,0,0,500.00K,0.00K,Emergency Manager,,,,4,,,,,,,,,,,,,,,,,,"Hurricane Maria was a catastrophic category 4 hurricane which devastated the island of Puerto Rico on September 20, 2017. Maximum sustained winds of 175 mph as it was approaching the county warning area. The direction was towards the west northwest with the eye clipping Saint Croix and Vieques. The hurricane then made landfall in the municipality of Yabucoa in mainland PR at 6:15 am AST with maximum sustained winds of 155 mph. The center of the storm traversed diagonally through mainland Puerto Rico exiting across the northwest municipalities in the early afternoon hours. Extreme winds  were observed across most of mainland Puerto Rico, Vieques, and Saint Croix with catastrophic flooding observed across many areas in mainland Puerto Rico.||During a preliminary survey of areas along the path of Hurricane Maria���s center, it was evident that catastrophic damage had occurred. Maria���s strong winds spread large amounts of debris across the entire area. All full trees were defoliated, and those that were not, were snapped or uprooted by Maria���s strong winds and lost medium to large branches. During the interview process, stories and images were particularly similar. Numerous locals reported that they felt the ground and their houses shaking, while most were amazed by the force of the unprecedented strong winds that not only transformed their surroundings but also their lives. Although most structures across the island are built using concrete as the main material, countless homes and buildings sustained some type of structural damage. If not blown off, non-concrete roofs suffered some type of damage. Nearly all commercial signs, fences, and canopies were destroyed, including large digital high definition boards. The last time that Puerto Rico experienced a category 4 or stronger hurricane was back on 1928 with Hurricane San Felipe II.  Maria was the strongest hurricane to make landfall in mainland Puerto Rico since Hurricane Felipe II in 1928, a category 5 storm. |The NOAA estimate of damage in Puerto Rico and the U.S. Virgin Islands due to Maria is 90 billion dollars.||Death toll from hurricane Maria at the moment of this report is highly uncertain. The official number stands at 65 deaths. 20 of these deaths occurred during the hurricane. The other 45 deaths occurred in the aftermath of the hurricane. From these 45 deaths, there were four (4) people which died due to heart attack,  three (3) due to lack of respiratory aid and three more (3) people due to lack of medical supplies. In addition two (2) deaths were due to suicides. One person (1) died when a tree fell over his car while driving. As of late November 2017, there were three (3) confirmed deaths from leptospirosis. One person (1) died during hurricane preparations. One women (1) died when she fell from her wheel chair. Her house was flooded, and she drowned.|The reasons of the remainder of the deaths are unknown at the moment of this publication.",Municipality of Comerio-Road 779 obstructed towards Polomas.,CSV
201709,20,1100,201709,20,2300,120357,721910,PUERTO RICO,99,2017,September,Hurricane (Typhoon),Z,4,EASTERN INTERIOR,SJU,20-SEP-17 11:00:00,AST-4,20-SEP-17 23:00:00,0,0,0,0,500.00K,0.00K,Emergency Manager,,,,4,,,,,,,,,,,,,,,,,,"Hurricane Maria was a catastrophic category 4 hurricane which devastated the island of Puerto Rico on September 20, 2017. Maximum sustained winds of 175 mph as it was approaching the county warning area. The direction was towards the west northwest with the eye clipping Saint Croix and Vieques. The hurricane then made landfall in the municipality of Yabucoa in mainland PR at 6:15 am AST with maximum sustained winds of 155 mph. The center of the storm traversed diagonally through mainland Puerto Rico exiting across the northwest municipalities in the early afternoon hours. Extreme winds  were observed across most of mainland Puerto Rico, Vieques, and Saint Croix with catastrophic flooding observed across many areas in mainland Puerto Rico.||During a preliminary survey of areas along the path of Hurricane Maria���s center, it was evident that catastrophic damage had occurred. Maria���s strong winds spread large amounts of debris across the entire area. All full trees were defoliated, and those that were not, were snapped or uprooted by Maria���s strong winds and lost medium to large branches. During the interview process, stories and images were particularly similar. Numerous locals reported that they felt the ground and their houses shaking, while most were amazed by the force of the unprecedented strong winds that not only transformed their surroundings but also their lives. Although most structures across the island are built using concrete as the main material, countless homes and buildings sustained some type of structural damage. If not blown off, non-concrete roofs suffered some type of damage. Nearly all commercial signs, fences, and canopies were destroyed, including large digital high definition boards. The last time that Puerto Rico experienced a category 4 or stronger hurricane was back on 1928 with Hurricane San Felipe II.  Maria was the strongest hurricane to make landfall in mainland Puerto Rico since Hurricane Felipe II in 1928, a category 5 storm. |The NOAA estimate of damage in Puerto Rico and the U.S. Virgin Islands due to Maria is 90 billion dollars.||Death toll from hurricane Maria at the moment of this report is highly uncertain. The official number stands at 65 deaths. 20 of these deaths occurred during the hurricane. The other 45 deaths occurred in the aftermath of the hurricane. From these 45 deaths, there were four (4) people which died due to heart attack,  three (3) due to lack of respiratory aid and three more (3) people due to lack of medical supplies. In addition two (2) deaths were due to suicides. One person (1) died when a tree fell over his car while driving. As of late November 2017, there were three (3) confirmed deaths from leptospirosis. One person (1) died during hurricane preparations. One women (1) died when she fell from her wheel chair. Her house was flooded, and she drowned.|The reasons of the remainder of the deaths are unknown at the moment of this publication.",Municipality of Comerio-Road 156 obstructed in Barrio Dona Elenoa Sector El Higuero by Electrical Wires.,CSV
201709,20,602,201709,21,1500,120357,721914,PUERTO RICO,99,2017,September,Flash Flood,C,43,COAMO,SJU,20-SEP-17 06:02:00,AST-4,21-SEP-17 15:00:00,0,0,0,0,500.00K,0.00K,River/Stream Gage,,,Heavy Rain,,,,,,,,,4.81,WSW,COAMO,3.6,WNW,COAMO,18.0506,-66.4165,18.0996,-66.4179,"Hurricane Maria was a catastrophic category 4 hurricane which devastated the island of Puerto Rico on September 20, 2017. Maximum sustained winds of 175 mph as it was approaching the county warning area. The direction was towards the west northwest with the eye clipping Saint Croix and Vieques. The hurricane then made landfall in the municipality of Yabucoa in mainland PR at 6:15 am AST with maximum sustained winds of 155 mph. The center of the storm traversed diagonally through mainland Puerto Rico exiting across the northwest municipalities in the early afternoon hours. Extreme winds  were observed across most of mainland Puerto Rico, Vieques, and Saint Croix with catastrophic flooding observed across many areas in mainland Puerto Rico.||During a preliminary survey of areas along the path of Hurricane Maria���s center, it was evident that catastrophic damage had occurred. Maria���s strong winds spread large amounts of debris across the entire area. All full trees were defoliated, and those that were not, were snapped or uprooted by Maria���s strong winds and lost medium to large branches. During the interview process, stories and images were particularly similar. Numerous locals reported that they felt the ground and their houses shaking, while most were amazed by the force of the unprecedented strong winds that not only transformed their surroundings but also their lives. Although most structures across the island are built using concrete as the main material, countless homes and buildings sustained some type of structural damage. If not blown off, non-concrete roofs suffered some type of damage. Nearly all commercial signs, fences, and canopies were destroyed, including large digital high definition boards. The last time that Puerto Rico experienced a category 4 or stronger hurricane was back on 1928 with Hurricane San Felipe II.  Maria was the strongest hurricane to make landfall in mainland Puerto Rico since Hurricane Felipe II in 1928, a category 5 storm. |The NOAA estimate of damage in Puerto Rico and the U.S. Virgin Islands due to Maria is 90 billion dollars.||Death toll from hurricane Maria at the moment of this report is highly uncertain. The official number stands at 65 deaths. 20 of these deaths occurred during the hurricane. The other 45 deaths occurred in the aftermath of the hurricane. From these 45 deaths, there were four (4) people which died due to heart attack,  three (3) due to lack of respiratory aid and three more (3) people due to lack of medical supplies. In addition two (2) deaths were due to suicides. One person (1) died when a tree fell over his car while driving. As of late November 2017, there were three (3) confirmed deaths from leptospirosis. One person (1) died during hurricane preparations. One women (1) died when she fell from her wheel chair. Her house was flooded, and she drowned.|The reasons of the remainder of the deaths are unknown at the moment of this publication.",Rio Coamo went out of its banks.,CSV
201709,20,629,201709,21,1500,120357,721915,PUERTO RICO,99,2017,September,Flash Flood,C,47,COROZAL,SJU,20-SEP-17 06:29:00,AST-4,21-SEP-17 15:00:00,0,0,0,0,500.00K,0.00K,River/Stream Gage,,,Heavy Rain,,,,,,,,,3.48,NNW,COROZAL,2.51,N,COROZAL,18.3468,-66.3396,18.3578,-66.3104,"Hurricane Maria was a catastrophic category 4 hurricane which devastated the island of Puerto Rico on September 20, 2017. Maximum sustained winds of 175 mph as it was approaching the county warning area. The direction was towards the west northwest with the eye clipping Saint Croix and Vieques. The hurricane then made landfall in the municipality of Yabucoa in mainland PR at 6:15 am AST with maximum sustained winds of 155 mph. The center of the storm traversed diagonally through mainland Puerto Rico exiting across the northwest municipalities in the early afternoon hours. Extreme winds  were observed across most of mainland Puerto Rico, Vieques, and Saint Croix with catastrophic flooding observed across many areas in mainland Puerto Rico.||During a preliminary survey of areas along the path of Hurricane Maria���s center, it was evident that catastrophic damage had occurred. Maria���s strong winds spread large amounts of debris across the entire area. All full trees were defoliated, and those that were not, were snapped or uprooted by Maria���s strong winds and lost medium to large branches. During the interview process, stories and images were particularly similar. Numerous locals reported that they felt the ground and their houses shaking, while most were amazed by the force of the unprecedented strong winds that not only transformed their surroundings but also their lives. Although most structures across the island are built using concrete as the main material, countless homes and buildings sustained some type of structural damage. If not blown off, non-concrete roofs suffered some type of damage. Nearly all commercial signs, fences, and canopies were destroyed, including large digital high definition boards. The last time that Puerto Rico experienced a category 4 or stronger hurricane was back on 1928 with Hurricane San Felipe II.  Maria was the strongest hurricane to make landfall in mainland Puerto Rico since Hurricane Felipe II in 1928, a category 5 storm. |The NOAA estimate of damage in Puerto Rico and the U.S. Virgin Islands due to Maria is 90 billion dollars.||Death toll from hurricane Maria at the moment of this report is highly uncertain. The official number stands at 65 deaths. 20 of these deaths occurred during the hurricane. The other 45 deaths occurred in the aftermath of the hurricane. From these 45 deaths, there were four (4) people which died due to heart attack,  three (3) due to lack of respiratory aid and three more (3) people due to lack of medical supplies. In addition two (2) deaths were due to suicides. One person (1) died when a tree fell over his car while driving. As of late November 2017, there were three (3) confirmed deaths from leptospirosis. One person (1) died during hurricane preparations. One women (1) died when she fell from her wheel chair. Her house was flooded, and she drowned.|The reasons of the remainder of the deaths are unknown at the moment of this publication.",Rio Cibuco went out of its banks.,CSV
201709,20,1100,201709,20,2300,120357,721916,PUERTO RICO,99,2017,September,Hurricane (Typhoon),Z,6,CENTRAL INTERIOR,SJU,20-SEP-17 11:00:00,AST-4,20-SEP-17 23:00:00,0,0,0,0,500.00K,0.00K,Emergency Manager,,,,4,,,,,,,,,,,,,,,,,,"Hurricane Maria was a catastrophic category 4 hurricane which devastated the island of Puerto Rico on September 20, 2017. Maximum sustained winds of 175 mph as it was approaching the county warning area. The direction was towards the west northwest with the eye clipping Saint Croix and Vieques. The hurricane then made landfall in the municipality of Yabucoa in mainland PR at 6:15 am AST with maximum sustained winds of 155 mph. The center of the storm traversed diagonally through mainland Puerto Rico exiting across the northwest municipalities in the early afternoon hours. Extreme winds  were observed across most of mainland Puerto Rico, Vieques, and Saint Croix with catastrophic flooding observed across many areas in mainland Puerto Rico.||During a preliminary survey of areas along the path of Hurricane Maria���s center, it was evident that catastrophic damage had occurred. Maria���s strong winds spread large amounts of debris across the entire area. All full trees were defoliated, and those that were not, were snapped or uprooted by Maria���s strong winds and lost medium to large branches. During the interview process, stories and images were particularly similar. Numerous locals reported that they felt the ground and their houses shaking, while most were amazed by the force of the unprecedented strong winds that not only transformed their surroundings but also their lives. Although most structures across the island are built using concrete as the main material, countless homes and buildings sustained some type of structural damage. If not blown off, non-concrete roofs suffered some type of damage. Nearly all commercial signs, fences, and canopies were destroyed, including large digital high definition boards. The last time that Puerto Rico experienced a category 4 or stronger hurricane was back on 1928 with Hurricane San Felipe II.  Maria was the strongest hurricane to make landfall in mainland Puerto Rico since Hurricane Felipe II in 1928, a category 5 storm. |The NOAA estimate of damage in Puerto Rico and the U.S. Virgin Islands due to Maria is 90 billion dollars.||Death toll from hurricane Maria at the moment of this report is highly uncertain. The official number stands at 65 deaths. 20 of these deaths occurred during the hurricane. The other 45 deaths occurred in the aftermath of the hurricane. From these 45 deaths, there were four (4) people which died due to heart attack,  three (3) due to lack of respiratory aid and three more (3) people due to lack of medical supplies. In addition two (2) deaths were due to suicides. One person (1) died when a tree fell over his car while driving. As of late November 2017, there were three (3) confirmed deaths from leptospirosis. One person (1) died during hurricane preparations. One women (1) died when she fell from her wheel chair. Her house was flooded, and she drowned.|The reasons of the remainder of the deaths are unknown at the moment of this publication.",Municipality of Corozal-Bridge collapsed on road 164 in Barrio Nuevo.,CSV
201709,20,512,201709,21,1500,120357,722607,PUERTO RICO,99,2017,September,Flash Flood,C,7,AGUAS BUENAS,SJU,20-SEP-17 05:12:00,AST-4,21-SEP-17 15:00:00,0,0,0,0,750.00M,0.00K,Emergency Manager,,,Heavy Rain / Tropical System,,,,,,,,,4.92,NW,AGUAS BUENAS,6.07,WNW,AGUAS BUENAS,18.2757,-66.1775,18.2568,-66.1974,"Hurricane Maria was a catastrophic category 4 hurricane which devastated the island of Puerto Rico on September 20, 2017. Maximum sustained winds of 175 mph as it was approaching the county warning area. The direction was towards the west northwest with the eye clipping Saint Croix and Vieques. The hurricane then made landfall in the municipality of Yabucoa in mainland PR at 6:15 am AST with maximum sustained winds of 155 mph. The center of the storm traversed diagonally through mainland Puerto Rico exiting across the northwest municipalities in the early afternoon hours. Extreme winds  were observed across most of mainland Puerto Rico, Vieques, and Saint Croix with catastrophic flooding observed across many areas in mainland Puerto Rico.||During a preliminary survey of areas along the path of Hurricane Maria���s center, it was evident that catastrophic damage had occurred. Maria���s strong winds spread large amounts of debris across the entire area. All full trees were defoliated, and those that were not, were snapped or uprooted by Maria���s strong winds and lost medium to large branches. During the interview process, stories and images were particularly similar. Numerous locals reported that they felt the ground and their houses shaking, while most were amazed by the force of the unprecedented strong winds that not only transformed their surroundings but also their lives. Although most structures across the island are built using concrete as the main material, countless homes and buildings sustained some type of structural damage. If not blown off, non-concrete roofs suffered some type of damage. Nearly all commercial signs, fences, and canopies were destroyed, including large digital high definition boards. The last time that Puerto Rico experienced a category 4 or stronger hurricane was back on 1928 with Hurricane San Felipe II.  Maria was the strongest hurricane to make landfall in mainland Puerto Rico since Hurricane Felipe II in 1928, a category 5 storm. |The NOAA estimate of damage in Puerto Rico and the U.S. Virgin Islands due to Maria is 90 billion dollars.||Death toll from hurricane Maria at the moment of this report is highly uncertain. The official number stands at 65 deaths. 20 of these deaths occurred during the hurricane. The other 45 deaths occurred in the aftermath of the hurricane. From these 45 deaths, there were four (4) people which died due to heart attack,  three (3) due to lack of respiratory aid and three more (3) people due to lack of medical supplies. In addition two (2) deaths were due to suicides. One person (1) died when a tree fell over his car while driving. As of late November 2017, there were three (3) confirmed deaths from leptospirosis. One person (1) died during hurricane preparations. One women (1) died when she fell from her wheel chair. Her house was flooded, and she drowned.|The reasons of the remainder of the deaths are unknown at the moment of this publication.",Heavy rain associated to hurricane Maria resulted in mudslides and rockslides.,CSV
201709,20,600,201709,21,1500,120357,749456,PUERTO RICO,99,2017,September,Flash Flood,C,137,TOA BAJA,SJU,20-SEP-17 06:00:00,AST-4,21-SEP-17 15:00:00,0,0,9,0,2.50B,0.00K,Newspaper,,,Heavy Rain / Tropical System,,,,,,,,,2.71,ENE,TOA BAJA,1.63,NNW,TOA BAJA,18.449,-66.1638,18.4649,-66.213,"Hurricane Maria was a catastrophic category 4 hurricane which devastated the island of Puerto Rico on September 20, 2017. Maximum sustained winds of 175 mph as it was approaching the county warning area. The direction was towards the west northwest with the eye clipping Saint Croix and Vieques. The hurricane then made landfall in the municipality of Yabucoa in mainland PR at 6:15 am AST with maximum sustained winds of 155 mph. The center of the storm traversed diagonally through mainland Puerto Rico exiting across the northwest municipalities in the early afternoon hours. Extreme winds  were observed across most of mainland Puerto Rico, Vieques, and Saint Croix with catastrophic flooding observed across many areas in mainland Puerto Rico.||During a preliminary survey of areas along the path of Hurricane Maria���s center, it was evident that catastrophic damage had occurred. Maria���s strong winds spread large amounts of debris across the entire area. All full trees were defoliated, and those that were not, were snapped or uprooted by Maria���s strong winds and lost medium to large branches. During the interview process, stories and images were particularly similar. Numerous locals reported that they felt the ground and their houses shaking, while most were amazed by the force of the unprecedented strong winds that not only transformed their surroundings but also their lives. Although most structures across the island are built using concrete as the main material, countless homes and buildings sustained some type of structural damage. If not blown off, non-concrete roofs suffered some type of damage. Nearly all commercial signs, fences, and canopies were destroyed, including large digital high definition boards. The last time that Puerto Rico experienced a category 4 or stronger hurricane was back on 1928 with Hurricane San Felipe II.  Maria was the strongest hurricane to make landfall in mainland Puerto Rico since Hurricane Felipe II in 1928, a category 5 storm. |The NOAA estimate of damage in Puerto Rico and the U.S. Virgin Islands due to Maria is 90 billion dollars.||Death toll from hurricane Maria at the moment of this report is highly uncertain. The official number stands at 65 deaths. 20 of these deaths occurred during the hurricane. The other 45 deaths occurred in the aftermath of the hurricane. From these 45 deaths, there were four (4) people which died due to heart attack,  three (3) due to lack of respiratory aid and three more (3) people due to lack of medical supplies. In addition two (2) deaths were due to suicides. One person (1) died when a tree fell over his car while driving. As of late November 2017, there were three (3) confirmed deaths from leptospirosis. One person (1) died during hurricane preparations. One women (1) died when she fell from her wheel chair. Her house was flooded, and she drowned.|The reasons of the remainder of the deaths are unknown at the moment of this publication.",Rio de la Plata went out of its banks producing catastrophic flooding across Toa Baja municipality. Nine people were confirmed dead due to flooding water associated with the river.,CSV
201709,20,600,201709,21,1500,120357,749457,PUERTO RICO,99,2017,September,Flash Flood,C,143,VEGA ALTA,SJU,20-SEP-17 06:00:00,AST-4,21-SEP-17 15:00:00,0,0,1,0,750.00M,0.00K,Newspaper,,,Heavy Rain / Tropical System,,,,,,,,,0,N,VEGA ALTA,2.1,NW,VEGA ALTA,18.42,-66.33,18.4317,-66.3429,"Hurricane Maria was a catastrophic category 4 hurricane which devastated the island of Puerto Rico on September 20, 2017. Maximum sustained winds of 175 mph as it was approaching the county warning area. The direction was towards the west northwest with the eye clipping Saint Croix and Vieques. The hurricane then made landfall in the municipality of Yabucoa in mainland PR at 6:15 am AST with maximum sustained winds of 155 mph. The center of the storm traversed diagonally through mainland Puerto Rico exiting across the northwest municipalities in the early afternoon hours. Extreme winds  were observed across most of mainland Puerto Rico, Vieques, and Saint Croix with catastrophic flooding observed across many areas in mainland Puerto Rico.||During a preliminary survey of areas along the path of Hurricane Maria���s center, it was evident that catastrophic damage had occurred. Maria���s strong winds spread large amounts of debris across the entire area. All full trees were defoliated, and those that were not, were snapped or uprooted by Maria���s strong winds and lost medium to large branches. During the interview process, stories and images were particularly similar. Numerous locals reported that they felt the ground and their houses shaking, while most were amazed by the force of the unprecedented strong winds that not only transformed their surroundings but also their lives. Although most structures across the island are built using concrete as the main material, countless homes and buildings sustained some type of structural damage. If not blown off, non-concrete roofs suffered some type of damage. Nearly all commercial signs, fences, and canopies were destroyed, including large digital high definition boards. The last time that Puerto Rico experienced a category 4 or stronger hurricane was back on 1928 with Hurricane San Felipe II.  Maria was the strongest hurricane to make landfall in mainland Puerto Rico since Hurricane Felipe II in 1928, a category 5 storm. |The NOAA estimate of damage in Puerto Rico and the U.S. Virgin Islands due to Maria is 90 billion dollars.||Death toll from hurricane Maria at the moment of this report is highly uncertain. The official number stands at 65 deaths. 20 of these deaths occurred during the hurricane. The other 45 deaths occurred in the aftermath of the hurricane. From these 45 deaths, there were four (4) people which died due to heart attack,  three (3) due to lack of respiratory aid and three more (3) people due to lack of medical supplies. In addition two (2) deaths were due to suicides. One person (1) died when a tree fell over his car while driving. As of late November 2017, there were three (3) confirmed deaths from leptospirosis. One person (1) died during hurricane preparations. One women (1) died when she fell from her wheel chair. Her house was flooded, and she drowned.|The reasons of the remainder of the deaths are unknown at the moment of this publication.",Rio de la Plata went out of its banks. One person was confirmed dead when he was trying to cross road PR-690 in bicycle.,CSV
201709,20,1100,201709,20,2300,120357,721917,PUERTO RICO,99,2017,September,Hurricane (Typhoon),Z,6,CENTRAL INTERIOR,SJU,20-SEP-17 11:00:00,AST-4,20-SEP-17 23:00:00,0,0,0,0,500.00K,0.00K,Emergency Manager,,,,4,,,,,,,,,,,,,,,,,,"Hurricane Maria was a catastrophic category 4 hurricane which devastated the island of Puerto Rico on September 20, 2017. Maximum sustained winds of 175 mph as it was approaching the county warning area. The direction was towards the west northwest with the eye clipping Saint Croix and Vieques. The hurricane then made landfall in the municipality of Yabucoa in mainland PR at 6:15 am AST with maximum sustained winds of 155 mph. The center of the storm traversed diagonally through mainland Puerto Rico exiting across the northwest municipalities in the early afternoon hours. Extreme winds  were observed across most of mainland Puerto Rico, Vieques, and Saint Croix with catastrophic flooding observed across many areas in mainland Puerto Rico.||During a preliminary survey of areas along the path of Hurricane Maria���s center, it was evident that catastrophic damage had occurred. Maria���s strong winds spread large amounts of debris across the entire area. All full trees were defoliated, and those that were not, were snapped or uprooted by Maria���s strong winds and lost medium to large branches. During the interview process, stories and images were particularly similar. Numerous locals reported that they felt the ground and their houses shaking, while most were amazed by the force of the unprecedented strong winds that not only transformed their surroundings but also their lives. Although most structures across the island are built using concrete as the main material, countless homes and buildings sustained some type of structural damage. If not blown off, non-concrete roofs suffered some type of damage. Nearly all commercial signs, fences, and canopies were destroyed, including large digital high definition boards. The last time that Puerto Rico experienced a category 4 or stronger hurricane was back on 1928 with Hurricane San Felipe II.  Maria was the strongest hurricane to make landfall in mainland Puerto Rico since Hurricane Felipe II in 1928, a category 5 storm. |The NOAA estimate of damage in Puerto Rico and the U.S. Virgin Islands due to Maria is 90 billion dollars.||Death toll from hurricane Maria at the moment of this report is highly uncertain. The official number stands at 65 deaths. 20 of these deaths occurred during the hurricane. The other 45 deaths occurred in the aftermath of the hurricane. From these 45 deaths, there were four (4) people which died due to heart attack,  three (3) due to lack of respiratory aid and three more (3) people due to lack of medical supplies. In addition two (2) deaths were due to suicides. One person (1) died when a tree fell over his car while driving. As of late November 2017, there were three (3) confirmed deaths from leptospirosis. One person (1) died during hurricane preparations. One women (1) died when she fell from her wheel chair. Her house was flooded, and she drowned.|The reasons of the remainder of the deaths are unknown at the moment of this publication.","Municipality of Corozal-Communications to Barrios Mana, Palmarito, and Maguelles cutoff.",CSV
201709,20,1100,201709,20,2300,120357,721918,PUERTO RICO,99,2017,September,Hurricane (Typhoon),Z,6,CENTRAL INTERIOR,SJU,20-SEP-17 11:00:00,AST-4,20-SEP-17 23:00:00,0,0,0,0,500.00K,0.00K,Emergency Manager,,,,4,,,,,,,,,,,,,,,,,,"Hurricane Maria was a catastrophic category 4 hurricane which devastated the island of Puerto Rico on September 20, 2017. Maximum sustained winds of 175 mph as it was approaching the county warning area. The direction was towards the west northwest with the eye clipping Saint Croix and Vieques. The hurricane then made landfall in the municipality of Yabucoa in mainland PR at 6:15 am AST with maximum sustained winds of 155 mph. The center of the storm traversed diagonally through mainland Puerto Rico exiting across the northwest municipalities in the early afternoon hours. Extreme winds  were observed across most of mainland Puerto Rico, Vieques, and Saint Croix with catastrophic flooding observed across many areas in mainland Puerto Rico.||During a preliminary survey of areas along the path of Hurricane Maria���s center, it was evident that catastrophic damage had occurred. Maria���s strong winds spread large amounts of debris across the entire area. All full trees were defoliated, and those that were not, were snapped or uprooted by Maria���s strong winds and lost medium to large branches. During the interview process, stories and images were particularly similar. Numerous locals reported that they felt the ground and their houses shaking, while most were amazed by the force of the unprecedented strong winds that not only transformed their surroundings but also their lives. Although most structures across the island are built using concrete as the main material, countless homes and buildings sustained some type of structural damage. If not blown off, non-concrete roofs suffered some type of damage. Nearly all commercial signs, fences, and canopies were destroyed, including large digital high definition boards. The last time that Puerto Rico experienced a category 4 or stronger hurricane was back on 1928 with Hurricane San Felipe II.  Maria was the strongest hurricane to make landfall in mainland Puerto Rico since Hurricane Felipe II in 1928, a category 5 storm. |The NOAA estimate of damage in Puerto Rico and the U.S. Virgin Islands due to Maria is 90 billion dollars.||Death toll from hurricane Maria at the moment of this report is highly uncertain. The official number stands at 65 deaths. 20 of these deaths occurred during the hurricane. The other 45 deaths occurred in the aftermath of the hurricane. From these 45 deaths, there were four (4) people which died due to heart attack,  three (3) due to lack of respiratory aid and three more (3) people due to lack of medical supplies. In addition two (2) deaths were due to suicides. One person (1) died when a tree fell over his car while driving. As of late November 2017, there were three (3) confirmed deaths from leptospirosis. One person (1) died during hurricane preparations. One women (1) died when she fell from her wheel chair. Her house was flooded, and she drowned.|The reasons of the remainder of the deaths are unknown at the moment of this publication.",Municipality of Corozal-Road 802 impassable to vehicles.,CSV
