BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200501,22,1500,200501,23,1300,1184676,5438957,RHODE ISLAND,44,2005,January,Winter Storm,Z,6,WASHINGTON,BOX,22-JAN-05 15:00:00,EST,23-JAN-05 13:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A major winter storm brought heavy snow, high winds, and coastal flooding to southern New England. In Rhode Island, snowfall totals of 15 to 25 inches were widely observed. Winds gusting as high as 60 mph at times (mainly around greater Providence) created near blizzard conditions at times, making travel impossible during the height of the storm.Officially, the snowfall total at T.F. Green State Airport in Warwick was 23.4 inches, which was the second greatest snowstorm for the Providence area since records began in 1905. The snowfall total of 16.4 inches on the 23rd set a daily snowfall record, easily breaking the previous record of 8 inches set in 1965.Other snowfall totals, as reported by trained spotters, included 27 inches in Little Compton; 25 inches in West Warwick; 23 inches in Burrillville and Johnston; 22 inches in South Kingstown; 21 inches in Bristol, Tiverton, Hopkinton, Cranston, and Smithfield; 20 inches in Cumberland and Westerly; 18 inches in Exeter and Coventry; 16 inches in Pawtucket; and 15 inches in North Foster.",,PDS
200501,22,1500,200501,23,1300,1184676,5438958,RHODE ISLAND,44,2005,January,Winter Storm,Z,3,WESTERN KENT,BOX,22-JAN-05 15:00:00,EST,23-JAN-05 13:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A major winter storm brought heavy snow, high winds, and coastal flooding to southern New England. In Rhode Island, snowfall totals of 15 to 25 inches were widely observed. Winds gusting as high as 60 mph at times (mainly around greater Providence) created near blizzard conditions at times, making travel impossible during the height of the storm.Officially, the snowfall total at T.F. Green State Airport in Warwick was 23.4 inches, which was the second greatest snowstorm for the Providence area since records began in 1905. The snowfall total of 16.4 inches on the 23rd set a daily snowfall record, easily breaking the previous record of 8 inches set in 1965.Other snowfall totals, as reported by trained spotters, included 27 inches in Little Compton; 25 inches in West Warwick; 23 inches in Burrillville and Johnston; 22 inches in South Kingstown; 21 inches in Bristol, Tiverton, Hopkinton, Cranston, and Smithfield; 20 inches in Cumberland and Westerly; 18 inches in Exeter and Coventry; 16 inches in Pawtucket; and 15 inches in North Foster.",,PDS
200501,22,1500,200501,23,1300,1184676,5438720,RHODE ISLAND,44,2005,January,Winter Storm,Z,7,NEWPORT,BOX,22-JAN-05 15:00:00,EST,23-JAN-05 13:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A major winter storm brought heavy snow, high winds, and coastal flooding to southern New England. In Rhode Island, snowfall totals of 15 to 25 inches were widely observed. Winds gusting as high as 60 mph at times (mainly around greater Providence) created near blizzard conditions at times, making travel impossible during the height of the storm.Officially, the snowfall total at T.F. Green State Airport in Warwick was 23.4 inches, which was the second greatest snowstorm for the Providence area since records began in 1905. The snowfall total of 16.4 inches on the 23rd set a daily snowfall record, easily breaking the previous record of 8 inches set in 1965.Other snowfall totals, as reported by trained spotters, included 27 inches in Little Compton; 25 inches in West Warwick; 23 inches in Burrillville and Johnston; 22 inches in South Kingstown; 21 inches in Bristol, Tiverton, Hopkinton, Cranston, and Smithfield; 20 inches in Cumberland and Westerly; 18 inches in Exeter and Coventry; 16 inches in Pawtucket; and 15 inches in North Foster.",,PDS
200501,22,1500,200501,23,1300,1184676,5438561,RHODE ISLAND,44,2005,January,Winter Storm,Z,1,NORTHWEST PROVIDENCE,BOX,22-JAN-05 15:00:00,EST,23-JAN-05 13:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A major winter storm brought heavy snow, high winds, and coastal flooding to southern New England. In Rhode Island, snowfall totals of 15 to 25 inches were widely observed. Winds gusting as high as 60 mph at times (mainly around greater Providence) created near blizzard conditions at times, making travel impossible during the height of the storm.Officially, the snowfall total at T.F. Green State Airport in Warwick was 23.4 inches, which was the second greatest snowstorm for the Providence area since records began in 1905. The snowfall total of 16.4 inches on the 23rd set a daily snowfall record, easily breaking the previous record of 8 inches set in 1965.Other snowfall totals, as reported by trained spotters, included 27 inches in Little Compton; 25 inches in West Warwick; 23 inches in Burrillville and Johnston; 22 inches in South Kingstown; 21 inches in Bristol, Tiverton, Hopkinton, Cranston, and Smithfield; 20 inches in Cumberland and Westerly; 18 inches in Exeter and Coventry; 16 inches in Pawtucket; and 15 inches in North Foster.",,PDS
200501,22,1500,200501,23,1300,1184676,5438562,RHODE ISLAND,44,2005,January,Winter Storm,Z,5,BRISTOL,BOX,22-JAN-05 15:00:00,EST,23-JAN-05 13:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A major winter storm brought heavy snow, high winds, and coastal flooding to southern New England. In Rhode Island, snowfall totals of 15 to 25 inches were widely observed. Winds gusting as high as 60 mph at times (mainly around greater Providence) created near blizzard conditions at times, making travel impossible during the height of the storm.Officially, the snowfall total at T.F. Green State Airport in Warwick was 23.4 inches, which was the second greatest snowstorm for the Providence area since records began in 1905. The snowfall total of 16.4 inches on the 23rd set a daily snowfall record, easily breaking the previous record of 8 inches set in 1965.Other snowfall totals, as reported by trained spotters, included 27 inches in Little Compton; 25 inches in West Warwick; 23 inches in Burrillville and Johnston; 22 inches in South Kingstown; 21 inches in Bristol, Tiverton, Hopkinton, Cranston, and Smithfield; 20 inches in Cumberland and Westerly; 18 inches in Exeter and Coventry; 16 inches in Pawtucket; and 15 inches in North Foster.",,PDS
200501,22,1500,200501,23,1300,1184676,5438563,RHODE ISLAND,44,2005,January,Winter Storm,Z,4,EASTERN KENT,BOX,22-JAN-05 15:00:00,EST,23-JAN-05 13:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A major winter storm brought heavy snow, high winds, and coastal flooding to southern New England. In Rhode Island, snowfall totals of 15 to 25 inches were widely observed. Winds gusting as high as 60 mph at times (mainly around greater Providence) created near blizzard conditions at times, making travel impossible during the height of the storm.Officially, the snowfall total at T.F. Green State Airport in Warwick was 23.4 inches, which was the second greatest snowstorm for the Providence area since records began in 1905. The snowfall total of 16.4 inches on the 23rd set a daily snowfall record, easily breaking the previous record of 8 inches set in 1965.Other snowfall totals, as reported by trained spotters, included 27 inches in Little Compton; 25 inches in West Warwick; 23 inches in Burrillville and Johnston; 22 inches in South Kingstown; 21 inches in Bristol, Tiverton, Hopkinton, Cranston, and Smithfield; 20 inches in Cumberland and Westerly; 18 inches in Exeter and Coventry; 16 inches in Pawtucket; and 15 inches in North Foster.",,PDS
200501,22,1500,200501,23,1300,1184676,5438956,RHODE ISLAND,44,2005,January,Winter Storm,Z,2,SOUTHEAST PROVIDENCE,BOX,22-JAN-05 15:00:00,EST,23-JAN-05 13:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A major winter storm brought heavy snow, high winds, and coastal flooding to southern New England. In Rhode Island, snowfall totals of 15 to 25 inches were widely observed. Winds gusting as high as 60 mph at times (mainly around greater Providence) created near blizzard conditions at times, making travel impossible during the height of the storm.Officially, the snowfall total at T.F. Green State Airport in Warwick was 23.4 inches, which was the second greatest snowstorm for the Providence area since records began in 1905. The snowfall total of 16.4 inches on the 23rd set a daily snowfall record, easily breaking the previous record of 8 inches set in 1965.Other snowfall totals, as reported by trained spotters, included 27 inches in Little Compton; 25 inches in West Warwick; 23 inches in Burrillville and Johnston; 22 inches in South Kingstown; 21 inches in Bristol, Tiverton, Hopkinton, Cranston, and Smithfield; 20 inches in Cumberland and Westerly; 18 inches in Exeter and Coventry; 16 inches in Pawtucket; and 15 inches in North Foster.",,PDS
200501,5,900,200501,6,2100,1184667,5439228,RHODE ISLAND,44,2005,January,Winter Storm,Z,1,NORTHWEST PROVIDENCE,BOX,05-JAN-05 09:00:00,EST,06-JAN-05 21:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure tracking southeast of Nantucket brought heavy snow to northern Rhode Islandand much of interior southern New England. Snowfall totals of 5 to 7 inches were widely observed throughout Providence County.The official snowfall total at T.F. Green State Airport in Warwick was 4.5 inches, which included 0.1 inch of snow from the previous day. Other snowfall totals, as reported by trained spotters, included 7 inches in Cranston and North Foster; and 6 inches in Burrillville, downtown Providence, Pawtucket, and Woonsocket.",,PDS
200501,5,900,200501,6,2100,1184667,5439229,RHODE ISLAND,44,2005,January,Winter Storm,Z,2,SOUTHEAST PROVIDENCE,BOX,05-JAN-05 09:00:00,EST,06-JAN-05 21:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure tracking southeast of Nantucket brought heavy snow to northern Rhode Islandand much of interior southern New England. Snowfall totals of 5 to 7 inches were widely observed throughout Providence County.The official snowfall total at T.F. Green State Airport in Warwick was 4.5 inches, which included 0.1 inch of snow from the previous day. Other snowfall totals, as reported by trained spotters, included 7 inches in Cranston and North Foster; and 6 inches in Burrillville, downtown Providence, Pawtucket, and Woonsocket.",,PDS
200502,24,1800,200502,25,1000,1185189,5441641,RHODE ISLAND,44,2005,February,Heavy Snow,Z,1,NORTHWEST PROVIDENCE,BOX,24-FEB-05 18:00:00,EST,25-FEB-05 10:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"Low pressure over the Mid Atlantic states strengthened rapidly as it passed southeast of Nantucket, and brought heavy snow to much of southeast New England, including Rhode Island. Snowfall totals averaged 5 to 8 inches throughout the Ocean State, with locally as much as 10 inches near the south coast.Officially, the snowfall totals at T.F. Green State Airport in Warwick was 5.8 inches. Other snowfall totals, as reported by trained spotters, included 10 inches in South Kingstown, Little Compton, and Portsmouth; 8 inches in Exeter, East Greenwich, and Bristol; 7 inches in Cranston, North Foster, and Barrington; 6 inches in East Providence and Warwick; and 5 inches in Woonsocket and Burrillville.",,PDS
