BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201306,10,1209,201306,10,1214,77096,465467,SOUTH CAROLINA,45,2013,June,Thunderstorm Wind,C,45,GREENVILLE,GSP,10-JUN-13 12:09:00,EST-5,10-JUN-13 12:14:00,0,0,0,0,,,Law Enforcement,50.00,EG,,,,,,,,,,2.15,NNE,MINTER,.57,E,TAYLORS,34.93,-82.34,34.92,-82.29,An upper low increased wind shear and instability across western South Carolina. Numerous thunderstorms developed across the region during the afternoon hours. Some of the storms became severe and a weak tornado was spawned over Greenville County.,"Trees were blown down on State Park Rd at Jennfier Ct, extending east to the Taylors area.",CSV
201306,10,1212,201306,10,1212,77096,465488,SOUTH CAROLINA,45,2013,June,Thunderstorm Wind,C,7,ANDERSON,GSP,10-JUN-13 12:12:00,EST-5,10-JUN-13 12:12:00,0,0,0,0,,,Law Enforcement,50.00,EG,,,,,,,,,,2.66,ENE,TOXAWAY,2.66,ENE,TOXAWAY,34.52,-82.58,34.52,-82.58,An upper low increased wind shear and instability across western South Carolina. Numerous thunderstorms developed across the region during the afternoon hours. Some of the storms became severe and a weak tornado was spawned over Greenville County.,"Trees were blown down on Amity Rd, about 4 miles east of Anderson.",CSV
201306,10,1218,201306,10,1227,77096,465494,SOUTH CAROLINA,45,2013,June,Thunderstorm Wind,C,45,GREENVILLE,GSP,10-JUN-13 12:18:00,EST-5,10-JUN-13 12:27:00,0,0,0,0,,,NWS Storm Survey,50.00,EG,,,,,,,,,,.89,NE,PIEDMONT,2.19,NE,FELLOWSHIP XRDS,34.71,-82.44,34.72,-82.29,An upper low increased wind shear and instability across western South Carolina. Numerous thunderstorms developed across the region during the afternoon hours. Some of the storms became severe and a weak tornado was spawned over Greenville County.,"An NWS Storm Survey found an area of sporadic straight line wind damage several hundred yards south of a tornado path. Occasional downed trees were found along Emily Lane, then continuing beyond the tornado track across Augusta Rd, Reedy Fork Rd, and Fork Shoals Rd.",CSV
201306,10,1231,201306,10,1231,77096,465496,SOUTH CAROLINA,45,2013,June,Funnel Cloud,C,45,GREENVILLE,GSP,10-JUN-13 12:31:00,EST-5,10-JUN-13 12:31:00,0,0,0,0,,,Storm Chaser,,,,,,,,,,,,.57,W,SIMPSONVILLE,.57,W,SIMPSONVILLE,34.73,-82.26,34.73,-82.26,An upper low increased wind shear and instability across western South Carolina. Numerous thunderstorms developed across the region during the afternoon hours. Some of the storms became severe and a weak tornado was spawned over Greenville County.,A funnel cloud was reported near Simpsonville by a storm chaser.,CSV
201306,10,1351,201306,10,1351,77096,465498,SOUTH CAROLINA,45,2013,June,Thunderstorm Wind,C,91,YORK,GSP,10-JUN-13 13:51:00,EST-5,10-JUN-13 13:51:00,0,0,0,0,,,County Official,50.00,EG,,,,,,,,,,1.49,SSW,LAKE WYLIE,1.49,SSW,LAKE WYLIE,35.1,-81.06,35.1,-81.06,An upper low increased wind shear and instability across western South Carolina. Numerous thunderstorms developed across the region during the afternoon hours. Some of the storms became severe and a weak tornado was spawned over Greenville County.,Multiple trees were blown down in the Lake Wylie area.,CSV
201306,2,1509,201306,2,1522,76628,462409,SOUTH CAROLINA,45,2013,June,Tornado,C,7,ANDERSON,GSP,02-JUN-13 15:09:00,EST-5,02-JUN-13 15:22:00,0,0,0,0,150.00K,,NWS Storm Survey,,,,,EF1,4.82,125,,,,,4.05,W,(AND)ANDERSON CO ARP,1.26,NNE,(AND)ANDERSON CO ARP,34.49,-82.79,34.517,-82.712,"Despite effective bulk shear values of less than 25 knots, a mini-supercell thunderstorm developed in an airmass characterized by high surface dewpoints ahead of a tropical cyclone over the Gulf of Mexico. The storm produced an E1 tornado over western Anderson County. A few other reports of straight line wind damage and low end flooding also occurred with other storms on this day.","An NWS storm survey found the path of a weak tornado that began in a field east of Lake Hartwell, just west of highway 187 north of the Country Meadows intersection. The tornado traveled east northeast to a farmstead on highway 187, blowing away a small outbuilding and peeling some metal panels off the roof of a larger shed. The tornado continued ENE to Busby Rd, where a portion of the roof was removed from a home. The house also shifted slightly on its foundation while a deck was lifted and tossed and a garage door caved in. The track has lost at this point, as the tornado moved over open fields. However, the path was picked up again at Mar-Mac Rd, near the Martin Rd intersection, where numerous trees were uprooted or snapped. Some shingles were removed from a home and some outbuildings damaged in this areas we well. The end of the damage path was found near Tiffany Dr and Oak Noll Terrace, where two large pine trees were blown onto a home, causing substantial damage.",CSV
201306,2,1601,201306,2,1601,76628,462411,SOUTH CAROLINA,45,2013,June,Heavy Rain,C,7,ANDERSON,GSP,02-JUN-13 16:01:00,EST-5,02-JUN-13 16:01:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,.9,NE,(AND)ANDERSON CO ARP,.9,NE,(AND)ANDERSON CO ARP,34.51,-82.71,34.51,-82.71,"Despite effective bulk shear values of less than 25 knots, a mini-supercell thunderstorm developed in an airmass characterized by high surface dewpoints ahead of a tropical cyclone over the Gulf of Mexico. The storm produced an E1 tornado over western Anderson County. A few other reports of straight line wind damage and low end flooding also occurred with other storms on this day.","Urban flooding affected several roads in downtown Anderson as well as on the north and west side of town. New Prospect Church Road was closed for a brief period of time, though this appears to have been result of urban and not stream flooding.",CSV
201306,2,1727,201306,2,1732,76628,462414,SOUTH CAROLINA,45,2013,June,Thunderstorm Wind,C,7,ANDERSON,GSP,02-JUN-13 17:27:00,EST-5,02-JUN-13 17:32:00,0,0,0,0,,,Law Enforcement,50.00,EG,,,,,,,,,,4.5,ESE,GLUCK,3.25,SSW,CAMPBELL,34.42,-82.6,34.48,-82.56,"Despite effective bulk shear values of less than 25 knots, a mini-supercell thunderstorm developed in an airmass characterized by high surface dewpoints ahead of a tropical cyclone over the Gulf of Mexico. The storm produced an E1 tornado over western Anderson County. A few other reports of straight line wind damage and low end flooding also occurred with other storms on this day.","A tree was blown down on highway 28 just south of highway 108, with another blown down near the intersection of highways 76 and 252.",CSV
201307,29,1750,201307,29,2045,78238,471559,SOUTH CAROLINA,45,2013,July,Flash Flood,C,15,BERKELEY,CHS,29-JUL-13 17:50:00,EST-5,29-JUL-13 20:45:00,0,0,0,0,10.00K,0.00K,State Official,,,Heavy Rain,,,,,,,,,2.98,WSW,MT HOLLY,2.56,WSW,MT HOLLY,33.02,-80.08,33.0211,-80.0762,"With a trough inland and High Pressure to the east, thunderstorms formed along the seasbreeze during the late afternoon. Some storms reached severe criteria and also produced heavy rainfall.",Warning Point reported flooding at the intersection of Crowfield Blvd and Corporate Blvd. 1 water rescue was needed.,CSV
201307,29,1750,201307,29,2045,78238,471560,SOUTH CAROLINA,45,2013,July,Flash Flood,C,15,BERKELEY,CHS,29-JUL-13 17:50:00,EST-5,29-JUL-13 20:45:00,0,0,0,0,10.00K,0.00K,State Official,,,Heavy Rain,,,,,,,,,2.21,S,CARNES XRD,2.32,S,CARNES XRD,33.0382,-80.0962,33.0388,-80.0945,"With a trough inland and High Pressure to the east, thunderstorms formed along the seasbreeze during the late afternoon. Some storms reached severe criteria and also produced heavy rainfall.",Warning Point reported flooding at the intersection of TJ Lane and College Park Road. 1 water rescue was needed.,CSV
