BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200001,10,1300,200001,10,2000,1090300,5128523,SOUTH DAKOTA,46,2000,January,High Wind,Z,15,DEWEY,ABR,10-JAN-00 13:00:00,CST,10-JAN-00 20:00:00,0,0,0,0,,,"AWOS,ASOS,MESONET,ETC",50,E,,,,,,,,,,,,,,,,,,,,"High winds gusting to over 60 mph caused some spotty damage across central and north central South Dakota.  Near Mobridge, the high winds blew a semi tractor-trailor off the road and tipped it over while it was heading westbound on Highway 12.   The semi tractor-trailer sustained quite a bit of damage as a result.  The high winds also damaged the windmill at the museum in Mobridge breaking off the tail and bending several of the blades.   Some high wind reports included, 56 mph at Mclaughlin, 58 mph at Onida and Mobridge, and 63 mph at Pierre.",,PDC
200001,10,1300,200001,10,2000,1090300,5128524,SOUTH DAKOTA,46,2000,January,High Wind,Z,33,STANLEY,ABR,10-JAN-00 13:00:00,CST,10-JAN-00 20:00:00,0,0,0,0,,,"AWOS,ASOS,MESONET,ETC",50,E,,,,,,,,,,,,,,,,,,,,"High winds gusting to over 60 mph caused some spotty damage across central and north central South Dakota.  Near Mobridge, the high winds blew a semi tractor-trailor off the road and tipped it over while it was heading westbound on Highway 12.   The semi tractor-trailer sustained quite a bit of damage as a result.  The high winds also damaged the windmill at the museum in Mobridge breaking off the tail and bending several of the blades.   Some high wind reports included, 56 mph at Mclaughlin, 58 mph at Onida and Mobridge, and 63 mph at Pierre.",,PDC
200001,10,1300,200001,10,2000,1090300,5128522,SOUTH DAKOTA,46,2000,January,High Wind,Z,3,CORSON,ABR,10-JAN-00 13:00:00,CST,10-JAN-00 20:00:00,0,0,0,0,,,"AWOS,ASOS,MESONET,ETC",49,M,,,,,,,,,,,,,,,,,,,,"High winds gusting to over 60 mph caused some spotty damage across central and north central South Dakota.  Near Mobridge, the high winds blew a semi tractor-trailor off the road and tipped it over while it was heading westbound on Highway 12.   The semi tractor-trailer sustained quite a bit of damage as a result.  The high winds also damaged the windmill at the museum in Mobridge breaking off the tail and bending several of the blades.   Some high wind reports included, 56 mph at Mclaughlin, 58 mph at Onida and Mobridge, and 63 mph at Pierre.",,PDC
200001,10,1328,200001,10,2000,1090300,5128525,SOUTH DAKOTA,46,2000,January,High Wind,Z,45,JONES,ABR,10-JAN-00 13:28:00,CST,10-JAN-00 20:00:00,0,0,0,0,,,"AWOS,ASOS,MESONET,ETC",43,M,,,,,,,,,,,,,,,,,,,,"High winds gusting to over 60 mph caused some spotty damage across central and north central South Dakota.  Near Mobridge, the high winds blew a semi tractor-trailor off the road and tipped it over while it was heading westbound on Highway 12.   The semi tractor-trailer sustained quite a bit of damage as a result.  The high winds also damaged the windmill at the museum in Mobridge breaking off the tail and bending several of the blades.   Some high wind reports included, 56 mph at Mclaughlin, 58 mph at Onida and Mobridge, and 63 mph at Pierre.",,PDC
200001,10,1354,200001,10,2000,1090300,5128526,SOUTH DAKOTA,46,2000,January,High Wind,Z,48,LYMAN,ABR,10-JAN-00 13:54:00,CST,10-JAN-00 20:00:00,0,0,0,0,,,"AWOS,ASOS,MESONET,ETC",38,M,,,,,,,,,,,,,,,,,,,,"High winds gusting to over 60 mph caused some spotty damage across central and north central South Dakota.  Near Mobridge, the high winds blew a semi tractor-trailor off the road and tipped it over while it was heading westbound on Highway 12.   The semi tractor-trailer sustained quite a bit of damage as a result.  The high winds also damaged the windmill at the museum in Mobridge breaking off the tail and bending several of the blades.   Some high wind reports included, 56 mph at Mclaughlin, 58 mph at Onida and Mobridge, and 63 mph at Pierre.",,PDC
200001,10,800,200001,10,1500,1090727,5131719,SOUTH DAKOTA,46,2000,January,High Wind,Z,25,NORTHERN FOOT HILLS,UNR,10-JAN-00 08:00:00,MST,10-JAN-00 15:00:00,0,0,0,0,,,TRAINED SPOTTER,52,E,,,,,,,,,,,,,,,,,,,,A cold front moving through the region created the high wind event for most of western South Dakota. Only minor damage occurred. Several trees in the Rapid City area had broken branches and a storm door window was shattered.,,PDC
200001,10,1222,200001,10,1222,1090727,5131718,SOUTH DAKOTA,46,2000,January,High Wind,Z,14,ZIEBACH,UNR,10-JAN-00 12:22:00,MST,10-JAN-00 12:22:00,0,0,0,0,,,TRAINED SPOTTER,55,M,,,,,,,,,,,,,,,,,,,,A cold front moving through the region created the high wind event for most of western South Dakota. Only minor damage occurred. Several trees in the Rapid City area had broken branches and a storm door window was shattered.,,PDC
200001,10,1300,200001,10,2000,1090732,5131549,SOUTH DAKOTA,46,2000,January,High Wind,Z,38,BEADLE,FSD,10-JAN-00 13:00:00,CST,10-JAN-00 20:00:00,0,0,0,0,2K,,"AWOS,ASOS,MESONET,ETC",52,E,,,,,,,,,,,,,,,,,,,,"Sustained winds near 40 mph with gusts to 60 mph persisted from early afternoon into the early evening. The winds blew down a section of a wall of a bank under construction in Mitchell, and destroyed a storage shed in western Beadle County.",,PDC
200001,10,1300,200001,10,2000,1090732,5131550,SOUTH DAKOTA,46,2000,January,High Wind,Z,59,DAVISON,FSD,10-JAN-00 13:00:00,CST,10-JAN-00 20:00:00,0,0,0,0,3K,,"AWOS,ASOS,MESONET,ETC",52,M,,,,,,,,,,,,,,,,,,,,"Sustained winds near 40 mph with gusts to 60 mph persisted from early afternoon into the early evening. The winds blew down a section of a wall of a bank under construction in Mitchell, and destroyed a storage shed in western Beadle County.",,PDC
200001,10,1300,200001,10,2000,1090732,5131551,SOUTH DAKOTA,46,2000,January,High Wind,Z,52,JERAULD,FSD,10-JAN-00 13:00:00,CST,10-JAN-00 20:00:00,0,0,0,0,,,"AWOS,ASOS,MESONET,ETC",52,E,,,,,,,,,,,,,,,,,,,,"Sustained winds near 40 mph with gusts to 60 mph persisted from early afternoon into the early evening. The winds blew down a section of a wall of a bank under construction in Mitchell, and destroyed a storage shed in western Beadle County.",,PDC
