BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202405,14,1352,202405,14,1357,191821,1181499,TENNESSEE,47,2024,May,Hail,C,71,HARDIN,MEG,14-MAY-24 13:52:00,CST-6,14-MAY-24 13:57:00,0,0,0,0,0.00K,0.00K,Law Enforcement,0.88,,,,,,,,,,,1.49,SSE,EUREKA,1.49,SSE,EUREKA,35.2,-88.24,35.2,-88.24,A large upper level low from central Missouri aided by a surface low over the Missouri Bootheel pinched off a warm sector ahead of a cold front. This warm sector provided enough instability and weak shear to produce a few strong to severe thunderstorms during the afternoon hours. Sub-severe hail and winds accompanied a few severe hail storms along the Tennessee and  Mississippi border.,Sub-severe hail reported near Savannah.,CSV
202401,1,0,202401,31,2359,187764,1153076,TENNESSEE,47,2024,January,Drought,Z,96,LINCOLN,HUN,01-JAN-24 00:00:00,CST-6,31-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"The U.S. Drought Monitor continued to improve ongoing drought conditions from November 2023 to now with abundant rainfall occurring in December and January. ||While no changes were made from the December 28th issuance for the first Drought Monitor issuance of 2024 on January 4th, rainfall across the area for the first half of January benefitted drought-stricken regions. No changes were made from the issuance on the 4th or 11th in Southern Middle TN. ||Much more improvement was noted by the issuance on the 18th, when Extreme Drought (D3) Conditions were removed from all 3 Southern Middle TN Counties of Lincoln, Franklin, and Moore. Severe Drought (D2) Conditions accounted for the vast majority of the Drought Declarations in Southern Middle TN at this time, with Moderate Drought (D1) Conditions expanding to the NW across portions of Franklin, Lincoln, and Moore Counties. ||Further improvement was noted by the issuance on the 25th, where conditions were degraded down to Abnormally Dry (D0) across portions Franklin and Lincoln Counties. At this point, D2 was removed from Franklin in its entirety, with only a sliver remaining in far NW Moore County, TN. ||By the final issuance for the month of January on the 30th, all categories were reduced by one level, with no areas included in D2 for the first time in 3 months. With this issuance, all counties in Southern Middle TN will be removed from Storm Data as having any Drought Declarations of D2 or higher (triggering their inclusion in Storm Data).","The U.S. Drought Monitor continued to improve ongoing drought conditions from November 2023 to now with abundant rainfall occurring in December and January. ||While no changes were made from the December 28th issuance for the first Drought Monitor issuance of 2024 on January 4th, rainfall across the area for the first half of January benefitted drought-stricken regions. Minor changes were noted to Extreme Drought (D3) locations in portions of Lawrence and Limestone Counties, but these were minimal. ||Much more improvement was noted by the issuance on the 18th, when Severe Drought (D2) Conditions expanded again from Central portions of the area, now with only slivers of D3 conditions in place across far southern Cullman/Dekalb Counties, and again from SW to NE across a sliver of Colbert and much of NW Lauderdale County. Elsewhere, Severe Drought (D2) Conditions remained except across portions of Morgan, Marshall, Madison, and Jackson Counties in AL, where Moderate Drought (D1) Conditions were present. ||Further improvement was noted by the issuance on the 25th, where conditions were degraded down to Abnormally Dry (D0) across portions of Jackson and Madison Counties. No changes were made elsewhere, with D2 and D3 conditions remaining in aforementioned locations. ||By the final issuance for the month of January on the 30th, all categories were reduced by one level, with no areas included in D3 for the first time in 3 months. With this issuance, all counties except portions of Colbert, Lauderdale, Marshall, and Dekalb Counties will be removed from having Drought Declarations from the Drought Monitor in Storm Data.",CSV
202401,1,0,202401,31,2359,187764,1153077,TENNESSEE,47,2024,January,Drought,Z,76,MOORE,HUN,01-JAN-24 00:00:00,CST-6,31-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"The U.S. Drought Monitor continued to improve ongoing drought conditions from November 2023 to now with abundant rainfall occurring in December and January. ||While no changes were made from the December 28th issuance for the first Drought Monitor issuance of 2024 on January 4th, rainfall across the area for the first half of January benefitted drought-stricken regions. No changes were made from the issuance on the 4th or 11th in Southern Middle TN. ||Much more improvement was noted by the issuance on the 18th, when Extreme Drought (D3) Conditions were removed from all 3 Southern Middle TN Counties of Lincoln, Franklin, and Moore. Severe Drought (D2) Conditions accounted for the vast majority of the Drought Declarations in Southern Middle TN at this time, with Moderate Drought (D1) Conditions expanding to the NW across portions of Franklin, Lincoln, and Moore Counties. ||Further improvement was noted by the issuance on the 25th, where conditions were degraded down to Abnormally Dry (D0) across portions Franklin and Lincoln Counties. At this point, D2 was removed from Franklin in its entirety, with only a sliver remaining in far NW Moore County, TN. ||By the final issuance for the month of January on the 30th, all categories were reduced by one level, with no areas included in D2 for the first time in 3 months. With this issuance, all counties in Southern Middle TN will be removed from Storm Data as having any Drought Declarations of D2 or higher (triggering their inclusion in Storm Data).","The U.S. Drought Monitor continued to improve ongoing drought conditions from November 2023 to now with abundant rainfall occurring in December and January. ||While no changes were made from the December 28th issuance for the first Drought Monitor issuance of 2024 on January 4th, rainfall across the area for the first half of January benefitted drought-stricken regions. Minor changes were noted to Extreme Drought (D3) locations in portions of Lawrence and Limestone Counties, but these were minimal. ||Much more improvement was noted by the issuance on the 18th, when Severe Drought (D2) Conditions expanded again from Central portions of the area, now with only slivers of D3 conditions in place across far southern Cullman/Dekalb Counties, and again from SW to NE across a sliver of Colbert and much of NW Lauderdale County. Elsewhere, Severe Drought (D2) Conditions remained except across portions of Morgan, Marshall, Madison, and Jackson Counties in AL, where Moderate Drought (D1) Conditions were present. ||Further improvement was noted by the issuance on the 25th, where conditions were degraded down to Abnormally Dry (D0) across portions of Jackson and Madison Counties. No changes were made elsewhere, with D2 and D3 conditions remaining in aforementioned locations. ||By the final issuance for the month of January on the 30th, all categories were reduced by one level, with no areas included in D3 for the first time in 3 months. With this issuance, all counties except portions of Colbert, Lauderdale, Marshall, and Dekalb Counties will be removed from having Drought Declarations from the Drought Monitor in Storm Data.",CSV
202401,1,0,202401,25,2359,187764,1153075,TENNESSEE,47,2024,January,Drought,Z,97,FRANKLIN,HUN,01-JAN-24 00:00:00,CST-6,25-JAN-24 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"The U.S. Drought Monitor continued to improve ongoing drought conditions from November 2023 to now with abundant rainfall occurring in December and January. ||While no changes were made from the December 28th issuance for the first Drought Monitor issuance of 2024 on January 4th, rainfall across the area for the first half of January benefitted drought-stricken regions. No changes were made from the issuance on the 4th or 11th in Southern Middle TN. ||Much more improvement was noted by the issuance on the 18th, when Extreme Drought (D3) Conditions were removed from all 3 Southern Middle TN Counties of Lincoln, Franklin, and Moore. Severe Drought (D2) Conditions accounted for the vast majority of the Drought Declarations in Southern Middle TN at this time, with Moderate Drought (D1) Conditions expanding to the NW across portions of Franklin, Lincoln, and Moore Counties. ||Further improvement was noted by the issuance on the 25th, where conditions were degraded down to Abnormally Dry (D0) across portions Franklin and Lincoln Counties. At this point, D2 was removed from Franklin in its entirety, with only a sliver remaining in far NW Moore County, TN. ||By the final issuance for the month of January on the 30th, all categories were reduced by one level, with no areas included in D2 for the first time in 3 months. With this issuance, all counties in Southern Middle TN will be removed from Storm Data as having any Drought Declarations of D2 or higher (triggering their inclusion in Storm Data).","The U.S. Drought Monitor continued to improve ongoing drought conditions from November 2023 to now with abundant rainfall occurring in December and January. ||While no changes were made from the December 28th issuance for the first Drought Monitor issuance of 2024 on January 4th, rainfall across the area for the first half of January benefitted drought-stricken regions. Minor changes were noted to Extreme Drought (D3) locations in portions of Lawrence and Limestone Counties, but these were minimal. ||Much more improvement was noted by the issuance on the 18th, when Severe Drought (D2) Conditions expanded again from Central portions of the area, now with only slivers of D3 conditions in place across far southern Cullman/Dekalb Counties, and again from SW to NE across a sliver of Colbert and much of NW Lauderdale County. Elsewhere, Severe Drought (D2) Conditions remained except across portions of Morgan, Marshall, Madison, and Jackson Counties in AL, where Moderate Drought (D1) Conditions were present. ||Further improvement was noted by the issuance on the 25th, where conditions were degraded down to Abnormally Dry (D0) across portions of Jackson and Madison Counties. No changes were made elsewhere, with D2 and D3 conditions remaining in aforementioned locations. ||By the final issuance for the month of January on the 30th, all categories were reduced by one level, with no areas included in D3 for the first time in 3 months. With this issuance, all counties except portions of Colbert, Lauderdale, Marshall, and Dekalb Counties will be removed from having Drought Declarations from the Drought Monitor in Storm Data.",CSV
202403,11,0,202403,11,900,188315,1164778,TENNESSEE,47,2024,March,Frost/Freeze,Z,97,FRANKLIN,HUN,11-MAR-24 00:00:00,CST-6,11-MAR-24 09:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Temperatures fell below freezing and into the middle 20s to around 30 for morning lows.,Temperatures fell below freezing and to as low as 25 degrees in Winchester.,CSV
202403,11,0,202403,11,900,188315,1164779,TENNESSEE,47,2024,March,Frost/Freeze,Z,96,LINCOLN,HUN,11-MAR-24 00:00:00,CST-6,11-MAR-24 09:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Temperatures fell below freezing and into the middle 20s to around 30 for morning lows.,Temperatures fell below freezing and to as low as 26 degrees in Fayetteville.,CSV
202403,11,0,202403,11,900,188315,1164780,TENNESSEE,47,2024,March,Frost/Freeze,Z,76,MOORE,HUN,11-MAR-24 00:00:00,CST-6,11-MAR-24 09:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Temperatures fell below freezing and into the middle 20s to around 30 for morning lows.,Temperatures fell below freezing and to as low as 25 degrees in Lynchburg.,CSV
202403,18,2300,202403,19,900,188311,1165732,TENNESSEE,47,2024,March,Frost/Freeze,Z,97,FRANKLIN,HUN,18-MAR-24 23:00:00,CST-6,19-MAR-24 09:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Temperatures dropped into the lower to middle 20s for morning lows on the 19th.,The low temperature dropped to 22 degrees in Sewanee and 28 degrees in Winchester.,CSV
202403,18,2300,202403,19,900,188311,1165734,TENNESSEE,47,2024,March,Frost/Freeze,Z,76,MOORE,HUN,18-MAR-24 23:00:00,CST-6,19-MAR-24 09:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,Temperatures dropped into the lower to middle 20s for morning lows on the 19th.,The low temperature dropped to 23 degrees in in Fayetteville.,CSV
202401,6,430,202401,6,430,187980,1154590,TENNESSEE,47,2024,January,High Wind,Z,42,NORTHWEST GREENE,MRX,06-JAN-24 04:30:00,EST-5,06-JAN-24 04:30:00,0,0,0,0,,,Other Federal Agency,70.00,MG,,,,,,,,,,,,,,,,,,,,A strong mountain wave event brings strong non-thunderstorm wind gusts to the East Tennessee mountains and wind prone foothills.,A 80 mph wind gust was measured at the Camp Creek NOAA ATDD weather station.,CSV
