BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202002,22,1100,202002,23,1200,144855,869927,UTAH,49,2020,February,Winter Weather,Z,28,LA SAL & ABAJO MOUNTAINS,GJT,22-FEB-20 11:00:00,MST-7,23-FEB-20 12:00:00,0,0,0,0,0.00K,0.00K,SNOTEL,,,,,,,,,,,,,,,,,,,,,,A closed low pressure system lifted across the Four Corners region and produced moderate snow over the southeast and east-central Utah mountains in a short period of time.,Generally 4 to 7 inches of snow fell across the area.,CSV
202002,22,1900,202002,23,400,144855,869928,UTAH,49,2020,February,Winter Weather,Z,25,TAVAPUTS PLATEAU,GJT,22-FEB-20 19:00:00,MST-7,23-FEB-20 04:00:00,0,0,0,0,0.00K,0.00K,SNOTEL,,,,,,,,,,,,,,,,,,,,,,A closed low pressure system lifted across the Four Corners region and produced moderate snow over the southeast and east-central Utah mountains in a short period of time.,An estimated 9 inches of snow fell at the East Willow Creek SNOTEL site.,CSV
202009,1,0,202009,30,2359,152336,917619,UTAH,49,2020,September,Drought,Z,23,EASTERN UINTA MOUNTAINS,GJT,01-SEP-20 00:00:00,MST-7,30-SEP-20 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Temperatures were above normal and precipitation was below normal across much of Utah during the month of September. As a result, drought conditions persisted across the entirety of eastern Utah and worsened to the exceptional category in some areas by the end of the month.","The extreme (D3) drought expanded slightly further north to encompass the majority of the northern tier of the area by the end of September. Elsewhere, the extreme drought persisted across all but the far southeast portion of the zone which worsened to the exceptional (D4) category by the end of the month.",CSV
202009,7,2300,202009,9,1100,151103,911041,UTAH,49,2020,September,Winter Storm,Z,23,EASTERN UINTA MOUNTAINS,GJT,07-SEP-20 23:00:00,MST-7,09-SEP-20 11:00:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,"An abnormally strong and cold low pressure system and associated cold front dropped south across the Northern Rockies and into the Four Corners. The low remained quasi-stationary for about a day before lifting northeast into the Plains. This system produced widespread showers of rain in the lower elevations and snow in the mountains, though the cold front dropped snow levels to approximately 7000 feet. Additionally, high winds led to not only reduced visibility in blowing snow, but also numerous downed trees and power outages in some areas.","Generally 5 to 10 inches of snow fell across the area with locally higher amounts up to 12 inches estimated at the Kings Cabin SNOTEL site. In addition to the snowfall, winds gusted up to 68 MPH at times. The Emergency Manager in Manila measured 8 inches of snow with numerous power outages reported as a result of the strong winds.",CSV
202009,8,1000,202009,9,1400,151103,911042,UTAH,49,2020,September,Winter Weather,Z,25,TAVAPUTS PLATEAU,GJT,08-SEP-20 10:00:00,MST-7,09-SEP-20 14:00:00,0,0,0,0,0.00K,0.00K,SNOTEL,,,,,,,,,,,,,,,,,,,,,,"An abnormally strong and cold low pressure system and associated cold front dropped south across the Northern Rockies and into the Four Corners. The low remained quasi-stationary for about a day before lifting northeast into the Plains. This system produced widespread showers of rain in the lower elevations and snow in the mountains, though the cold front dropped snow levels to approximately 7000 feet. Additionally, high winds led to not only reduced visibility in blowing snow, but also numerous downed trees and power outages in some areas.",An estimated 5 inches of snow fell across the area.,CSV
202009,8,1150,202009,8,1150,151106,911049,UTAH,49,2020,September,High Wind,Z,24,EASTERN UINTA BASIN,GJT,08-SEP-20 11:50:00,MST-7,08-SEP-20 11:50:00,0,0,0,0,0.00K,0.00K,Mesonet,56.00,MG,,,,,,,,,,,,,,,,,,,,An abnormally strong and cold low pressure system and associated cold front dropped south across the Northern Rockies and into the Four Corners. Gusty winds accompanied the front which led to numerous downed trees and power lines across the area.,A peak wind gust of 64 MPH was measured by the Windy Point automated weather station.,CSV
202008,11,0,202008,31,2359,151097,911016,UTAH,49,2020,August,Drought,Z,27,GRAND FLAT AND ARCHES,GJT,11-AUG-20 00:00:00,MST-7,31-AUG-20 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Temperatures were above normal and precipitation was below normal across much of Utah during the month of August. As a result, drought conditions in eastern Utah drastically worsened to the extreme category across the majority of the region by the end of the month.",Severe (D2) drought conditions worsened to the extreme (D3) category across the entirety of the forecast zone by the end of August.,CSV
202009,8,348,202009,8,348,151106,911051,UTAH,49,2020,September,High Wind,Z,29,CANYONLANDS / NATURAL BRIDGES,GJT,08-SEP-20 03:48:00,MST-7,08-SEP-20 03:48:00,0,0,0,0,0.00K,0.00K,Mesonet,62.00,MG,,,,,,,,,,,,,,,,,,,,An abnormally strong and cold low pressure system and associated cold front dropped south across the Northern Rockies and into the Four Corners. Gusty winds accompanied the front which led to numerous downed trees and power lines across the area.,A peak wind gust of 71 MPH was measured by the Bryson Canyon automated weather station.,CSV
202009,2,1257,202009,3,1800,151108,911067,UTAH,49,2020,September,Wildfire,Z,28,LA SAL & ABAJO MOUNTAINS,GJT,02-SEP-20 12:57:00,MST-7,03-SEP-20 18:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,A wildfire began from unknown causes 20 miles east-southeast of Moab.,The Lackey Fan Fire began in early September 20 miles east-southeast of Moab from unknown causes. The fire grew to 100 acres before it was contained a day later.,CSV
202009,1,0,202009,30,2359,152336,917613,UTAH,49,2020,September,Drought,Z,22,SOUTHEAST UTAH,GJT,01-SEP-20 00:00:00,MST-7,30-SEP-20 23:59:00,0,0,0,0,0.00K,0.00K,Drought Monitor,,,,,,,,,,,,,,,,,,,,,,"Temperatures were above normal and precipitation was below normal across much of Utah during the month of September. As a result, drought conditions persisted across the entirety of eastern Utah and worsened to the exceptional category in some areas by the end of the month.",The extreme (D3) drought persisted across the entirety of the zone through the end of September.,CSV
