BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201407,4,0,201407,4,1200,89246,537764,VIRGINIA,51,2014,July,Tropical Storm,Z,95,NORFOLK,AKQ,04-JUL-14 00:00:00,EST-5,04-JUL-14 12:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"Hurricane Arthur moving northward along the East Coast produced tropical storm force winds and locally heavy rainfall across portions of southeast Virginia from late Thursday night, July 3rd into midday Friday, July 4th.",Rain bands associated with Hurricane Arthur produced generally one to two inches of rainfall across portions of the county. Norfolk International Airport (ORF) reported 1.46 inches of rain. Wind gust of 38 knots was measured at Norfolk NAS (NGU). Wind gust of 40 knots was measured at Saint Helena.,CSV
201407,4,0,201407,4,1200,89246,537758,VIRGINIA,51,2014,July,Tropical Storm,Z,97,CHESAPEAKE,AKQ,04-JUL-14 00:00:00,EST-5,04-JUL-14 12:00:00,0,0,0,0,0.00K,0.00K,AWOS,,,,,,,,,,,,,,,,,,,,,,"Hurricane Arthur moving northward along the East Coast produced tropical storm force winds and locally heavy rainfall across portions of southeast Virginia from late Thursday night, July 3rd into midday Friday, July 4th.",Rain bands associated with Hurricane Arthur produced generally one to two inches of rainfall across portions of the county. Bowers Hill reported 1.19 inches of rain.,CSV
201401,28,1600,201401,29,300,82698,498402,VIRGINIA,51,2014,January,Winter Storm,Z,90,JAMES CITY,AKQ,28-JAN-14 16:00:00,EST-5,29-JAN-14 03:00:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,Coastal low pressure intensifying off the Mid Atlantic Coast produced widespread snowfall ranging from two to ten inches of snowfall from the Virginia Piedmont to the Virginia Eastern Shore. Highest snowfall amounts were over southeast Virginia.,Snowfall amounts were generally between two inches and four inches across the county. Berkeley's Green recorded 4.0 inches of snowfall. Ford's Colony recorded 3.8 inches of snowfall.,CSV
201401,28,1600,201401,29,500,82698,498403,VIRGINIA,51,2014,January,Winter Storm,Z,91,YORK,AKQ,28-JAN-14 16:00:00,EST-5,29-JAN-14 05:00:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,Coastal low pressure intensifying off the Mid Atlantic Coast produced widespread snowfall ranging from two to ten inches of snowfall from the Virginia Piedmont to the Virginia Eastern Shore. Highest snowfall amounts were over southeast Virginia.,Snowfall amounts were generally between four inches and six inches across the county. Tabb recorded 6.7 inches of snowfall.,CSV
201401,28,1600,201401,29,400,82698,498404,VIRGINIA,51,2014,January,Winter Storm,Z,92,SOUTHAMPTON,AKQ,28-JAN-14 16:00:00,EST-5,29-JAN-14 04:00:00,0,0,0,0,0.00K,0.00K,NWS Employee,,,,,,,,,,,,,,,,,,,,,,Coastal low pressure intensifying off the Mid Atlantic Coast produced widespread snowfall ranging from two to ten inches of snowfall from the Virginia Piedmont to the Virginia Eastern Shore. Highest snowfall amounts were over southeast Virginia.,Snowfall amounts were generally between three inches and four inches across the county. Courtland recorded 4.5 inches of snowfall. Zuni recorded 4.0 inches of snowfall.,CSV
201401,28,1600,201401,29,400,82698,498409,VIRGINIA,51,2014,January,Winter Storm,Z,93,ISLE OF WIGHT,AKQ,28-JAN-14 16:00:00,EST-5,29-JAN-14 04:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,Coastal low pressure intensifying off the Mid Atlantic Coast produced widespread snowfall ranging from two to ten inches of snowfall from the Virginia Piedmont to the Virginia Eastern Shore. Highest snowfall amounts were over southeast Virginia.,Snowfall amounts were generally between five inches and seven inches across the county. Carrollton recorded 7.2 inches of snowfall. Smithfield recorded 6.0 inches of snowfall.,CSV
201401,28,1600,201401,29,500,82698,498412,VIRGINIA,51,2014,January,Winter Storm,Z,94,NEWPORT NEWS,AKQ,28-JAN-14 16:00:00,EST-5,29-JAN-14 05:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,Coastal low pressure intensifying off the Mid Atlantic Coast produced widespread snowfall ranging from two to ten inches of snowfall from the Virginia Piedmont to the Virginia Eastern Shore. Highest snowfall amounts were over southeast Virginia.,Snowfall amounts were generally between six inches and nine inches across the city. Holiday Park and Hampton recorded 8.0 inches of snowfall. Newport news recorded 9.5 inches of snowfall.,CSV
201405,27,2015,201405,27,2015,86838,524406,VIRGINIA,51,2014,May,Thunderstorm Wind,C,193,WESTMORELAND,AKQ,27-MAY-14 20:15:00,EST-5,27-MAY-14 20:15:00,0,0,0,0,2.00K,0.00K,State Official,50.00,EG,,,,,,,,,,0,N,HAGUE,0,N,HAGUE,38.07,-76.65,38.07,-76.65,Scattered severe thunderstorms associated with a trough of low pressure produced damaging winds across portions of eastern Virginia.,Trees were downed between Hague and Kinsale.,CSV
201405,27,2040,201405,27,2040,86838,524408,VIRGINIA,51,2014,May,Thunderstorm Wind,C,133,NORTHUMBERLAND,AKQ,27-MAY-14 20:40:00,EST-5,27-MAY-14 20:40:00,0,0,0,0,2.00K,0.00K,State Official,50.00,EG,,,,,,,,,,0,N,HEATHSVILLE,0,N,HEATHSVILLE,37.92,-76.47,37.92,-76.47,Scattered severe thunderstorms associated with a trough of low pressure produced damaging winds across portions of eastern Virginia.,Trees were downed and blocking the road at Newmans Neck Road.,CSV
201405,27,2125,201405,27,2125,86838,524410,VIRGINIA,51,2014,May,Thunderstorm Wind,C,1,ACCOMACK,AKQ,27-MAY-14 21:25:00,EST-5,27-MAY-14 21:25:00,0,0,0,0,2.00K,0.00K,State Official,50.00,EG,,,,,,,,,,.55,E,KELLER,.55,E,KELLER,37.62,-75.76,37.62,-75.76,Scattered severe thunderstorms associated with a trough of low pressure produced damaging winds across portions of eastern Virginia.,Trees were downed and blocking a road between Melfa and Keller.,CSV
