BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199906,12,2130,199906,12,2200,2410892,5708792,VIRGIN ISLANDS,96,1999,June,Thunderstorm Wind,C,10,ST. CROIX,SJU,12-JUN-99 21:30:00,AST,12-JUN-99 22:00:00,0,0,0,0,,,TRAINED SPOTTER,50,,,,,,,,,,,,,ST. CROIX,,,ST. CROIX,17.73,-64.78,17.73,-64.78,A spotter indicated wind gust up to 58 mph from a thunderstorm at Maria Hill.,*,PDC
199910,20,1800,199910,21,2300,2414435,5723277,VIRGIN ISLANDS,96,1999,October,Hurricane (Typhoon),Z,20,ST. JOHN,SJU,20-OCT-99 18:00:00,AST,21-OCT-99 23:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Hurricane Jose reached the northern Leeward Islands Wednesday night, October 20.  As Jose continued to move to the northwest it weakened and by 1100 am Jose was downgraded to Tropical Storm. The center of Hurricane Jose passed just to the east and northeast of St. Thomas at 800 am Thursday morning. St. John reported sustained winds of 60 mph with gust to 68 mph at 100 am Thursday, October 21. St Thomas reported sustained winds of 44 mph with gusts to 52 mph shortly after noon on Thursday. Numerous rain bands and tropical storms force winds affected most of the U.S. Virgin Islands during Wednesday night and Thursday. In St. Croix several areas were without electric power and in St. Thomas and St. John strong winds  knocked down power lines, trees and bent street signs.",,PDC
199910,20,1800,199910,21,2300,2414435,5723278,VIRGIN ISLANDS,96,1999,October,Hurricane (Typhoon),Z,30,ST. THOMAS,SJU,20-OCT-99 18:00:00,AST,21-OCT-99 23:00:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Hurricane Jose reached the northern Leeward Islands Wednesday night, October 20.  As Jose continued to move to the northwest it weakened and by 1100 am Jose was downgraded to Tropical Storm. The center of Hurricane Jose passed just to the east and northeast of St. Thomas at 800 am Thursday morning. St. John reported sustained winds of 60 mph with gust to 68 mph at 100 am Thursday, October 21. St Thomas reported sustained winds of 44 mph with gusts to 52 mph shortly after noon on Thursday. Numerous rain bands and tropical storms force winds affected most of the U.S. Virgin Islands during Wednesday night and Thursday. In St. Croix several areas were without electric power and in St. Thomas and St. John strong winds  knocked down power lines, trees and bent street signs.",,PDC
199910,20,1800,199910,21,2300,2414435,5723276,VIRGIN ISLANDS,96,1999,October,Hurricane (Typhoon),Z,10,ST. CROIX,SJU,20-OCT-99 18:00:00,AST,21-OCT-99 23:00:00,0,0,0,0,20K,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Hurricane Jose reached the northern Leeward Islands Wednesday night, October 20.  As Jose continued to move to the northwest it weakened and by 1100 am Jose was downgraded to Tropical Storm. The center of Hurricane Jose passed just to the east and northeast of St. Thomas at 800 am Thursday morning. St. John reported sustained winds of 60 mph with gust to 68 mph at 100 am Thursday, October 21. St Thomas reported sustained winds of 44 mph with gusts to 52 mph shortly after noon on Thursday. Numerous rain bands and tropical storms force winds affected most of the U.S. Virgin Islands during Wednesday night and Thursday. In St. Croix several areas were without electric power and in St. Thomas and St. John strong winds  knocked down power lines, trees and bent street signs.",,PDC
199903,8,1300,199903,8,1315,2404844,5692030,VIRGIN ISLANDS,96,1999,March,Waterspout,C,30,ST. THOMAS,SJU,08-MAR-99 13:00:00,AST,08-MAR-99 13:15:00,0,0,0,0,,,AIRPLANE PILOT,,,,,,,,,,,,,,ST. THOMAS,,,ST. THOMAS,,,,,A pilot reported a waterspout eight miles southwest of St. Thomas.,,PDC
199903,11,1300,199903,11,1315,2404845,5692031,VIRGIN ISLANDS,96,1999,March,Waterspout,C,30,ST. THOMAS,SJU,11-MAR-99 13:00:00,AST,11-MAR-99 13:15:00,0,0,0,0,,,BROADCAST MEDIA,,,,,,,,,,,,,,ST. THOMAS,,,ST. THOMAS,,,,,Virgin Islands Radio indicated that a boat sighted a waterspout between St. Thomas and St. John moving northwest.,,PDC
199906,7,615,199906,7,630,2408580,5708777,VIRGIN ISLANDS,96,1999,June,Waterspout,C,30,ST. THOMAS,SJU,07-JUN-99 06:15:00,AST,07-JUN-99 06:30:00,0,0,0,0,,,BROADCAST MEDIA,,,,,,,,,,,,,,ST. THOMAS,,,ST. THOMAS,,,,,Virgin Islands Radio indicated several waterspouts four to five miles north of St. Thomas.,,PDC
199902,1,600,199902,3,600,1502895,5687891,VIRGIN ISLANDS,96,1999,February,High Surf,Z,20,ST. JOHN,SJU,01-FEB-99 06:00:00,AST,03-FEB-99 06:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,A strong low pressure system developed north of the region producing large north swells. An associated cold front moved across the U.S. Virgin Islands on February 1. Unusual cooler temperatures were felt ahead of the front with St. Croix reporting 61 degrees on the morning hours on February 1. Large north swells  with breaking waves up to twelve feet began to arrive on February 2. In St. Thomas twelve boats either  sank of were crushed on the shore.,,PDC
199902,1,600,199902,3,600,1502895,5687890,VIRGIN ISLANDS,96,1999,February,High Surf,Z,30,ST. THOMAS,SJU,01-FEB-99 06:00:00,AST,03-FEB-99 06:00:00,0,0,0,0,15K,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,A strong low pressure system developed north of the region producing large north swells. An associated cold front moved across the U.S. Virgin Islands on February 1. Unusual cooler temperatures were felt ahead of the front with St. Croix reporting 61 degrees on the morning hours on February 1. Large north swells  with breaking waves up to twelve feet began to arrive on February 2. In St. Thomas twelve boats either  sank of were crushed on the shore.,,PDC
199902,15,1300,199902,15,1315,1503020,5687895,VIRGIN ISLANDS,96,1999,February,Waterspout,C,30,ST. THOMAS,SJU,15-FEB-99 13:00:00,AST,15-FEB-99 13:15:00,0,0,0,0,,,BROADCAST MEDIA,,,,,,,,,,,,,,ST. THOMAS,,,ST. THOMAS,,,,,Virgin Islands radio reported that a boater sighted three waterspouts north of ST. Thomas  moving southeast.,,PDC
199902,1,600,199902,3,600,1502895,5687892,VIRGIN ISLANDS,96,1999,February,High Surf,Z,10,ST. CROIX,SJU,01-FEB-99 06:00:00,AST,03-FEB-99 06:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,A strong low pressure system developed north of the region producing large north swells. An associated cold front moved across the U.S. Virgin Islands on February 1. Unusual cooler temperatures were felt ahead of the front with St. Croix reporting 61 degrees on the morning hours on February 1. Large north swells  with breaking waves up to twelve feet began to arrive on February 2. In St. Thomas twelve boats either  sank of were crushed on the shore.,,PDC
199908,23,800,199908,23,930,2412541,5719305,VIRGIN ISLANDS,96,1999,August,Flood,C,30,ST. THOMAS,SJU,23-AUG-99 08:00:00,AST,23-AUG-99 09:30:00,0,0,0,0,,,EMERGENCY MANAGER,,,,,,,,,,,,,,ST. THOMAS,,,ST. THOMAS,,,,,Heavy rain produced street flooding over parts of St. Thomas. Some schools were closed.,,PDC
199904,14,1910,199904,14,1925,1500398,5690228,VIRGIN ISLANDS,96,1999,April,Waterspout,C,30,ST. THOMAS,SJU,14-APR-99 19:10:00,AST,14-APR-99 19:25:00,0,0,0,0,,,BROADCAST MEDIA,,,,,,,,,,,,,,ST. THOMAS,,,ST. THOMAS,,,,,Virgin Islands Radio indicated that a boater observed a waterspout  northwest of St. Thomas about five miles north of Cricket and Cockroach islands.,,PDC
199904,3,1000,199904,3,1015,1500397,5690227,VIRGIN ISLANDS,96,1999,April,Waterspout,C,20,ST. JOHN,SJU,03-APR-99 10:00:00,AST,03-APR-99 10:15:00,0,0,0,0,,,BROADCAST MEDIA,,,,,,,,,,,,,,ST. JOHN,,,ST. JOHN,,,,,Virgin Islands Radio indicated that a boater observed several waterspouts two miles north of Virgin Gorda Sound.,,PDC
199903,11,1300,199903,11,1315,2404845,5692032,VIRGIN ISLANDS,96,1999,March,Waterspout,C,20,ST. JOHN,SJU,11-MAR-99 13:00:00,AST,11-MAR-99 13:15:00,0,0,0,0,,,BROADCAST MEDIA,,,,,,,,,,,,,,ST. JOHN,,,ST. JOHN,,,,,Virgin Islands Radio indicated that a boat sighted a waterspout between St. Thomas and St. John moving northwest.,,PDC
199910,25,800,199910,25,1200,2413721,5723179,VIRGIN ISLANDS,96,1999,October,Flood,C,10,ST. CROIX,SJU,25-OCT-99 08:00:00,AST,25-OCT-99 12:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,ST. CROIX,,,ST. CROIX,,,,,"A tropical wave produced heavy rains and consequently urban flooding over parts of St. Thomas, St. John and St. Croix.",,PDC
199910,25,800,199910,25,1200,2413721,5723180,VIRGIN ISLANDS,96,1999,October,Flood,C,20,ST. JOHN,SJU,25-OCT-99 08:00:00,AST,25-OCT-99 12:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,ST. JOHN,,,ST. JOHN,,,,,"A tropical wave produced heavy rains and consequently urban flooding over parts of St. Thomas, St. John and St. Croix.",,PDC
199910,25,800,199910,25,1200,2413721,5723181,VIRGIN ISLANDS,96,1999,October,Flood,C,30,ST. THOMAS,SJU,25-OCT-99 08:00:00,AST,25-OCT-99 12:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,ST. THOMAS,,,ST. THOMAS,,,,,"A tropical wave produced heavy rains and consequently urban flooding over parts of St. Thomas, St. John and St. Croix.",,PDC
199911,16,1200,199911,18,2000,2413969,5720166,VIRGIN ISLANDS,96,1999,November,Hurricane (Typhoon),Z,10,ST. CROIX,SJU,16-NOV-99 12:00:00,AST,18-NOV-99 20:00:00,0,0,0,0,20M,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"Hurrican Lenny evolved from a tropical depression over the western Caribbean on Saturday November 13, 1999. The storm strengthened to a hurricane the evening of November 14 while moving on an unusual track to the east. At 500 pm on Monday November 15 a  hurricane watch was issued for all the U.S. Virgin Islands. The forecast track during that time showed Hurricane Lenny moving across Puerto Rico Wednesday afternoon. At 1100 pm the watch was upgraded to a warning.  By Tuesday afternoon, Lenny was located about 240 miles southwest of Puerto Rico and the first rainbands began to affect the islands.  During Tuesday night and most of Wednesday, Lenny continued to move east-northeast and by Wednesday afternoon Lenny was just 20 miles south of St. Croix.  Later that evening it  became nearly stationary at about 50 miles east of St. Croix until Thursday afternoon where it began to weaken and move to the northeast away from the local region.  By that time, all the watches and warnings for Puerto Rico and the U.S. Virgin Islands had been  discontinued.  St. Croix suffered most of the damage.  Large battering waves and the sea surge produced extensive beach erosion and coastal flooding along the west coast of St. Croix. Widespread flooding occurred around the island.  Some sectors in St. Croix received between 5 to 8 inches of rain from Tuesday through Thursday.  Hurricane force winds caused roofs and window damage and downed power lines and poles.  In addition many boats sunk or washed ashore.  Official reports from St. Croix Airport indicated maximum sustained winds of 69 mph on November 18 and maximum peak gusts of 92 mph on November 17.  At St. Thomas airport,  the maximum sustained wind was 53 mph on November 17 and a maximum wind gust of 70 mph was reported on November 18.  An unofficial observer at Maria Hill in St. Croix reported maximum sustained winds of 83 mph with wind gust to 112 mph on Novermber 17.  Damage in St. Thomas was minimal, limited to spot flooding, mud and gravel on the roads and mudslides in the mountains. The Virgin Islands National Park in St. John suffered between 1.6 million to 2.2 million dollars worth of damage.",,PDC
