BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202307,13,1645,202307,13,1645,184076,1125679,VERMONT,50,2023,July,Thunderstorm Wind,C,1,ADDISON,BTV,13-JUL-23 16:45:00,EST-5,13-JUL-23 16:45:00,0,0,0,0,10.00K,0.00K,Trained Spotter,55.00,EG,,,,,,,,,,0,N,BRIDPORT,0,N,BRIDPORT,43.98,-73.32,43.98,-73.32,"A mid level disturbance combined with a surface front and weak wave of low pressure moved across an unstable air mass over Vermont during the afternoon and evening of July 13th. Several lines of showers and thunderstorms moved across the region with some storms producing damaging winds, including a microburst and a weak tornado.",Several trees reported downed by thunderstorm winds.,CSV
202307,13,1704,202307,13,1707,184076,1125683,VERMONT,50,2023,July,Thunderstorm Wind,C,1,ADDISON,BTV,13-JUL-23 17:04:00,EST-5,13-JUL-23 17:07:00,0,0,0,0,25.00K,0.00K,Law Enforcement,60.00,EG,,,,,,,,,,.85,SE,MIDDLEBURY,.85,SE,MIDDLEBURY,44.01,-73.16,44.01,-73.16,"A mid level disturbance combined with a surface front and weak wave of low pressure moved across an unstable air mass over Vermont during the afternoon and evening of July 13th. Several lines of showers and thunderstorms moved across the region with some storms producing damaging winds, including a microburst and a weak tornado.",Numerous trees and power lines downed by thunderstorm winds from the remains of a confirmed microburst further to the west.,CSV
202307,13,1745,202307,13,1748,184076,1125688,VERMONT,50,2023,July,Thunderstorm Wind,C,23,WASHINGTON,BTV,13-JUL-23 17:45:00,EST-5,13-JUL-23 17:48:00,0,0,0,0,10.00K,0.00K,Public,50.00,EG,,,,,,,,,,0,N,WAITSFIELD,0,N,WAITSFIELD,44.18,-72.82,44.18,-72.82,"A mid level disturbance combined with a surface front and weak wave of low pressure moved across an unstable air mass over Vermont during the afternoon and evening of July 13th. Several lines of showers and thunderstorms moved across the region with some storms producing damaging winds, including a microburst and a weak tornado.",Several trees reported downed by thunderstorm winds.,CSV
202307,13,1835,202307,13,1837,184076,1125699,VERMONT,50,2023,July,Thunderstorm Wind,C,17,ORANGE,BTV,13-JUL-23 18:35:00,EST-5,13-JUL-23 18:37:00,0,0,0,0,15.00K,0.00K,Public,50.00,EG,,,,,,,,,,0,N,VERSHIRE,0,N,VERSHIRE,43.97,-72.32,43.97,-72.32,"A mid level disturbance combined with a surface front and weak wave of low pressure moved across an unstable air mass over Vermont during the afternoon and evening of July 13th. Several lines of showers and thunderstorms moved across the region with some storms producing damaging winds, including a microburst and a weak tornado.",Several trees reported downed by thunderstorm winds.,CSV
202307,13,1752,202307,13,1752,184076,1125714,VERMONT,50,2023,July,Thunderstorm Wind,C,15,LAMOILLE,BTV,13-JUL-23 17:52:00,EST-5,13-JUL-23 17:52:00,0,0,0,0,10.00K,0.00K,Law Enforcement,50.00,EG,,,,,,,,,,0,N,EDEN,0,N,EDEN,44.7,-72.55,44.7,-72.55,"A mid level disturbance combined with a surface front and weak wave of low pressure moved across an unstable air mass over Vermont during the afternoon and evening of July 13th. Several lines of showers and thunderstorms moved across the region with some storms producing damaging winds, including a microburst and a weak tornado.",Several trees and powerlines reported downed by thunderstorm winds.,CSV
202307,7,1115,202307,7,1121,184063,1125576,VERMONT,50,2023,July,Thunderstorm Wind,C,23,WASHINGTON,BTV,07-JUL-23 11:15:00,EST-5,07-JUL-23 11:21:00,0,0,0,0,30.00K,0.00K,Department of Highways,55.00,EG,,,,,,,,,,1.21,NE,PUTNAMVILLE,1.21,NE,PUTNAMVILLE,44.34,-72.55,44.34,-72.55,"A weak frontal boundary moved across a moderately to strong unstable airmass across Vermont. This allowed for the development of showers and scattered thunderstorms, some of which produced damaging winds and flash flooding.","Several reports of trees down and on wires due to wet microburst in the Worcester area, including Route 12 and Keyser road.",CSV
202307,7,1136,202307,7,1136,184063,1125580,VERMONT,50,2023,July,Thunderstorm Wind,C,15,LAMOILLE,BTV,07-JUL-23 11:36:00,EST-5,07-JUL-23 11:36:00,0,0,0,0,15.00K,0.00K,Public,55.00,EG,,,,,,,,,,.49,W,GARFIELD,.49,W,GARFIELD,44.6,-72.54,44.6,-72.54,"A weak frontal boundary moved across a moderately to strong unstable airmass across Vermont. This allowed for the development of showers and scattered thunderstorms, some of which produced damaging winds and flash flooding.",Several trees downed by thunderstorm winds near Green River Reservior.,CSV
202307,7,1222,202307,7,1222,184063,1125586,VERMONT,50,2023,July,Thunderstorm Wind,C,5,CALEDONIA,BTV,07-JUL-23 12:22:00,EST-5,07-JUL-23 12:22:00,0,0,0,0,10.00K,0.00K,Fire Department/Rescue,50.00,EG,,,,,,,,,,2.07,N,SUTTON,2.07,N,SUTTON,44.66,-72.03,44.66,-72.03,"A weak frontal boundary moved across a moderately to strong unstable airmass across Vermont. This allowed for the development of showers and scattered thunderstorms, some of which produced damaging winds and flash flooding.",Trees reported downed by thunderstorm winds.,CSV
202307,9,1500,202307,9,1503,184069,1125609,VERMONT,50,2023,July,Thunderstorm Wind,C,17,ORANGE,BTV,09-JUL-23 15:00:00,EST-5,09-JUL-23 15:03:00,0,0,0,0,25.00K,0.00K,Public,55.00,EG,,,,,,,,,,2.42,NE,BROOKFIELD,2.42,NE,BROOKFIELD,44.07,-72.56,44.07,-72.56,"Various weak boundaries across Vermont, in a saturated and unstable air mass, led to showers and scattered thunderstorms, a few which produced isolated damage.","Numerous trees downed by thunderstorm winds in Ainsworth State Park, as well as blocking secondary roads.",CSV
202307,9,1537,202307,9,1537,184069,1125611,VERMONT,50,2023,July,Thunderstorm Wind,C,23,WASHINGTON,BTV,09-JUL-23 15:37:00,EST-5,09-JUL-23 15:37:00,0,0,0,0,5.00K,0.00K,Public,50.00,EG,,,,,,,,,,1.21,SE,MIDDLESEX,1.21,SE,MIDDLESEX,44.29,-72.66,44.29,-72.66,"Various weak boundaries across Vermont, in a saturated and unstable air mass, led to showers and scattered thunderstorms, a few which produced isolated damage.",Brief microburst downed several trees along Interstate 89.,CSV
