BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202411,1,0,202411,1,1600,197531,1221908,WASHINGTON,53,2024,November,Heavy Snow,Z,211,SOUTH WASHINGTON CASCADES,PQR,01-NOV-24 00:00:00,PST-8,01-NOV-24 16:00:00,0,0,0,0,0.00K,0.00K,SNOTEL,,,,,,,,,,,,,,,,,,,,,,A frontal boundary followed by a large area of low pressure sitting just off the coast facilitated heavy snow over the Cascades from Oct 31st to Nov 1st.,The Swift Creek SNOTEL at 4400 ft recorded 14 inches of snow between 0600 PST Oct 30th and 0000 PST Nov 1st. Several other SNOTELS in the vicinity recorded 12+ inches of snow in a similar time period as well.,CSV
202411,13,100,202411,13,400,197534,1221924,WASHINGTON,53,2024,November,High Wind,Z,201,SOUTH WASHINGTON COAST,PQR,13-NOV-24 01:00:00,PST-8,13-NOV-24 04:00:00,0,0,0,0,0.00K,0.00K,Mesonet,61.00,MG,,,,,,,,,,,,,,,,,,,,A closed upper-level low dropped southward into the Pacific Northwest steering a strong frontal boundary and an associated low lever coastal jet into the coastline.,Mesonet 82SW1 at Cape Disappointment measured a peak gust of 70 mph at 11/13 3-4 am PST.,CSV
202411,17,1000,202411,18,2100,197536,1221933,WASHINGTON,53,2024,November,Heavy Snow,Z,211,SOUTH WASHINGTON CASCADES,PQR,17-NOV-24 10:00:00,PST-8,18-NOV-24 21:00:00,0,0,0,0,0.00K,0.00K,SNOTEL,,,,,,,,,,,,,,,,,,,,,,A cold frontal boundary arriving on Nov 17th followed by a modified arctic airmass loft and long-fetch northwesterly flow by Nov 18th facilitate heavy snow across the Cascades above 2000-3000ft.,June Lake SNOTEL at 3440 ft recorded 18 inches of snowfall with 12 inches first hit by 0700 Nov 18th and Swift Creek SNOTEL at 4440 ft recorded 15 inches of snow with 12 inches hit around 0100 Nov 18th.,CSV
202411,22,1100,202411,22,1700,197540,1221939,WASHINGTON,53,2024,November,High Wind,Z,201,SOUTH WASHINGTON COAST,PQR,22-NOV-24 11:00:00,PST-8,22-NOV-24 17:00:00,0,0,0,0,0.00K,0.00K,Mesonet,60.00,EG,,,,,,,,,,,,,,,,,,,,A deepening low pressure disturbance embedded within southwest flow aloft brought strong winds to the coast.,"Mesonet station 82sw1 Cape Disappointment: Peak gust 69 mph 11/22 1300 PST, near or above 58 mph 1100 to 1700. ODT 76 Megler Bridge; peak gust 62 mph 11/22 1127 PST.",CSV
202401,16,1600,202401,19,700,188319,1157149,WASHINGTON,53,2024,January,Heavy Snow,Z,523,LOWER SLOPES OF THE EST WASHINGTON CASCADE CREST,PDT,16-JAN-24 16:00:00,PST-8,19-JAN-24 07:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A shortwave trough followed by amplified W/NW flow aloft brought heavy snow to the Cascades, eastern foothills, and the eastern mountains between the 16th and 19th of January.",Weather spotter 2 miles SE of Cle Elum reported 20 inches of 24-hour snow accumulation around 12:51 PM on the 18th. A weather spotter in Trout Lake reported 8.5 inches of 24-hour snow accumulation at 7:00 AM on the 19th.,CSV
202401,13,1000,202401,14,400,188932,1162282,WASHINGTON,53,2024,January,Heavy Snow,Z,523,LOWER SLOPES OF THE EST WASHINGTON CASCADE CREST,PDT,13-JAN-24 10:00:00,PST-8,14-JAN-24 04:00:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,A series of winter systems starting with a strong arctic front followed by an upper level trough brought heavy snow accumulations and very cold temperatures across the mountains and many lower elevation locations across northeast Oregon and southeast Washington between Jan. 10th and the 14th.,A Cocorahs observer 6 miles north northwest of Lyle measured 8 inches of new snow at 1630 PST on Jan. 13th.  A public report from Trout Lake measured 9 inches of new snow at 2200 PST on Jan. 13th.,CSV
202401,12,630,202401,13,2305,188932,1162291,WASHINGTON,53,2024,January,Heavy Snow,Z,29,BLUE MOUNTAIN FOOTHILLS,PDT,12-JAN-24 06:30:00,PST-8,13-JAN-24 23:05:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,A series of winter systems starting with a strong arctic front followed by an upper level trough brought heavy snow accumulations and very cold temperatures across the mountains and many lower elevation locations across northeast Oregon and southeast Washington between Jan. 10th and the 14th.,A Cocorahs observer measured 4.5 inches of new snow at 0700 on Jan 12th. A public report 3 miles south southwest of College Place indicated that 4 inches of new snow fell between the 12th and the 13th of January.,CSV
202401,18,1000,202401,19,1000,188319,1157153,WASHINGTON,53,2024,January,Heavy Snow,Z,26,KITTITAS VALLEY,PDT,18-JAN-24 10:00:00,PST-8,19-JAN-24 10:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A shortwave trough followed by amplified W/NW flow aloft brought heavy snow to the Cascades, eastern foothills, and the eastern mountains between the 16th and 19th of January.",Trained weather spotter recorded 7 inches of storm total snowfall ending at 12:38 PM on the 18th 9 miles SE of Cle Elum. Another weather spotter also recorded 7 inches of storm total snow at 3:00 PM on the 18th 8 miles NNW of Ellensburg.,CSV
202401,21,1600,202401,22,1000,191359,1178400,WASHINGTON,53,2024,January,Ice Storm,Z,46,CENTRAL COLUMBIA RIVER GORGE,PQR,21-JAN-24 16:00:00,PST-8,22-JAN-24 10:00:00,0,0,0,0,0.00K,0.00K,Mesonet,,,,,,,,,,,,,,,,,,,,,,The last round of freezing rain in the Columbia River Gorge as the arctic air mass retreated.,Ice accumulation of 0.25 to 0.75 inch.,CSV
202401,18,400,202401,19,643,188319,1157152,WASHINGTON,53,2024,January,Heavy Snow,Z,24,EASTERN COLUMBIA RIVER GORGE,PDT,18-JAN-24 04:00:00,PST-8,19-JAN-24 06:43:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"A shortwave trough followed by amplified W/NW flow aloft brought heavy snow to the Cascades, eastern foothills, and the eastern mountains between the 16th and 19th of January.",A weather spotter in White Salmon reported 4 inches of 24-hour snow accumulation on 8:30 AM on the 17th.,CSV
