BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200308,25,1853,200308,25,1853,1158742,5379050,WISCONSIN,55,2003,August,Hail,C,23,CRAWFORD,ARX,25-AUG-03 18:53:00,CST,25-AUG-03 18:53:00,0,0,0,0,,,AMATEUR RADIO,0.88,,,,,,,,,,,1,N,FERRYVILLE,1,N,FERRYVILLE,43.36667,-91.1,43.36667,-91.1,"Several reports of large hail were received from law enforcement officials, amateur radio operators and storm spotters.  The hail ranged in size from dimes to as large as golf balls.",,PDS
200308,20,1745,200308,20,1745,1158740,5379045,WISCONSIN,55,2003,August,Thunderstorm Wind,C,43,GRANT,ARX,20-AUG-03 17:45:00,CST,20-AUG-03 17:45:00,0,0,0,0,20K,,LAW ENFORCEMENT,70,EG,,,,,,,,,,,,POTOSI,,,POTOSI,42.68333,-90.71667,42.68333,-90.71667,"Winds estimated as high as 80 mph were reported by law enforcement officials and storm spotters.  There were numerous reports of trees and power lines downed.  In addition, the roof was blown off schools in Potosi and Patch Grove (Grant County).  Several homes also sustained roof damage in Potosi.",,PDS
200308,25,1940,200308,25,1940,1158742,5379047,WISCONSIN,55,2003,August,Hail,C,43,GRANT,ARX,25-AUG-03 19:40:00,CST,25-AUG-03 19:40:00,0,0,0,0,,1K,GENERAL PUBLIC,0.88,,,,,,,,,,,2,SW,BLUE RIVER,2,SW,BLUE RIVER,43.16667,-90.6,43.16667,-90.6,"Several reports of large hail were received from law enforcement officials, amateur radio operators and storm spotters.  The hail ranged in size from dimes to as large as golf balls.",,PDS
200308,25,1937,200308,25,1937,1158742,5379048,WISCONSIN,55,2003,August,Hail,C,23,CRAWFORD,ARX,25-AUG-03 19:37:00,CST,25-AUG-03 19:37:00,0,0,0,0,,1.5K,LAW ENFORCEMENT,1.00,,,,,,,,,,,2,N,PLUGTOWN,2,N,PLUGTOWN,43.25,-90.75,43.25,-90.75,"Several reports of large hail were received from law enforcement officials, amateur radio operators and storm spotters.  The hail ranged in size from dimes to as large as golf balls.",,PDS
200308,25,1920,200308,25,1920,1158742,5379049,WISCONSIN,55,2003,August,Hail,C,23,CRAWFORD,ARX,25-AUG-03 19:20:00,CST,25-AUG-03 19:20:00,0,0,0,0,,,AMATEUR RADIO,0.75,,,,,,,,,,,5,S,GAYS MILLS,5,S,GAYS MILLS,43.38333,-90.73333,43.38333,-90.73333,"Several reports of large hail were received from law enforcement officials, amateur radio operators and storm spotters.  The hail ranged in size from dimes to as large as golf balls.",,PDS
200308,25,1854,200308,25,1854,1158742,5379053,WISCONSIN,55,2003,August,Hail,C,23,CRAWFORD,ARX,25-AUG-03 18:54:00,CST,25-AUG-03 18:54:00,0,0,0,0,,,AMATEUR RADIO,0.75,,,,,,,,,,,,,MT STERLING,,,MT STERLING,43.31667,-90.93333,43.31667,-90.93333,"Several reports of large hail were received from law enforcement officials, amateur radio operators and storm spotters.  The hail ranged in size from dimes to as large as golf balls.",,PDS
200307,30,1800,200307,30,1800,1158672,5379589,WISCONSIN,55,2003,July,Hail,C,15,CALUMET,GRB,30-JUL-03 18:00:00,CST,30-JUL-03 18:00:00,0,0,0,0,,,TRAINED SPOTTER,0.75,,,,,,,,,,,1,S,DARBOY,1,S,DARBOY,44.21667,-88.38333,44.21667,-88.38333,"Flash flooding occurred ahead of a cold front that moved southeast into a warm and unstable air mass.  Early storms produced large hail and some wind damage before an east to west boundary formed in the Appleton area, providing the focus for training thunderstorms and flooding.  The highest measured rainfall was 6.50 inches in Darboy (Calumet co.) including 3 inches in one hour.Heavy rain resulted in flash flooding that left 2 to 3 feet of water over many roads.  Water reached the doorsteps of homes in Menasha (Winnebago co.) and mail boxes in Darboy (Calumet co.).  Manhole covers popped off on streets in the Green Bay area (Brown co.) and Appleton (Outagamie co.).  A mall in downtown Green Bay had to be evacuated as water started to flow into the lower levels from the street.  A bridge over the Fox River in Neenah (Outagamie co.) had to be closed due to flooding.Strong winds downed trees and power lines in Winnebago county and tipped over a semi in Center Valley (Outagamie co.).  A 20 foot steel scaffolding, that had been set up to repair a chimney in Appleton (Outagamie co.), was blown down by strong winds causing damage to a car, power lines and a neighboring house.Half dollar size hail fell at Menasha and there were several reports of dime to quarter size hail.Flooding caused damage to as many as 150 homes and 30 vehicles in Menasha (Winnebago co.) and the Town of Harrison (Calumet co.).  Scattered power outages, impacting about 650 customers, were reported around Appelton, Neenah and Menasha.",,PDS
200308,20,1832,200308,20,1832,1158740,5379039,WISCONSIN,55,2003,August,Thunderstorm Wind,C,43,GRANT,ARX,20-AUG-03 18:32:00,CST,20-AUG-03 18:32:00,0,0,0,0,2K,,LAW ENFORCEMENT,52,EG,,,,,,,,,,,,BOSCOBEL,,,BOSCOBEL,43.13333,-90.7,43.13333,-90.7,"Winds estimated as high as 80 mph were reported by law enforcement officials and storm spotters.  There were numerous reports of trees and power lines downed.  In addition, the roof was blown off schools in Potosi and Patch Grove (Grant County).  Several homes also sustained roof damage in Potosi.",,PDS
200308,20,1815,200308,20,1815,1158740,5379040,WISCONSIN,55,2003,August,Thunderstorm Wind,C,43,GRANT,ARX,20-AUG-03 18:15:00,CST,20-AUG-03 18:15:00,0,0,0,0,1.5K,,LAW ENFORCEMENT,52,EG,,,,,,,,,,,,PATCH GROVE,,,PATCH GROVE,42.93333,-90.96667,42.93333,-90.96667,"Winds estimated as high as 80 mph were reported by law enforcement officials and storm spotters.  There were numerous reports of trees and power lines downed.  In addition, the roof was blown off schools in Potosi and Patch Grove (Grant County).  Several homes also sustained roof damage in Potosi.",,PDS
200308,20,1807,200308,20,1807,1158740,5379041,WISCONSIN,55,2003,August,Thunderstorm Wind,C,43,GRANT,ARX,20-AUG-03 18:07:00,CST,20-AUG-03 18:07:00,0,0,0,0,15K,,LAW ENFORCEMENT,60,EG,,,,,,,,,,,,PATCH GROVE,,,PATCH GROVE,42.93333,-90.96667,42.93333,-90.96667,"Winds estimated as high as 80 mph were reported by law enforcement officials and storm spotters.  There were numerous reports of trees and power lines downed.  In addition, the roof was blown off schools in Potosi and Patch Grove (Grant County).  Several homes also sustained roof damage in Potosi.",,PDS
