BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199810,1,0,199810,31,2359,2150493,5670559,WEST VIRGINIA,54,1998,October,Drought,Z,52,BERKELEY,LWX,01-OCT-98 00:00:00,EST,31-OCT-98 23:59:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,"Persistent high pressure over the Southeast U.S. forced most rain producing low pressure centers to steer north of the region during the month.  This resulted in unusually dry conditions across Eastern West Virginia, causing the fourth straight month of drought conditions.  October rainfall totals from affected counties included 0.5 inches in Pendleton, 1.3 inches in Mineral, 1.1 inches in Morgan, 0.7 inches in Berkeley, 0.9 inches in Hardy, and 1.0 inches in Hampshire, Jefferson, and Grant.The agricultural community across Hampshire, Pendleton, and Hardy Counties continued to be hard hit by the persistent drought.  By October 31st, 75% of topsoil moisture across the state was rated short or very short.  Many farmers across Eastern West Virginia were feeding livestock at mid-winter levels.  Late season crops such as wheat, rye, and barley were said to be almost non-existent in some areas.  Substantially lowered crop yields from fall harvests, damaged pasture land, and lack of winter livestock feed reserves were all attributed to the lack of rainfall.",,PDC
199806,30,1700,199806,30,1700,2149317,5669376,WEST VIRGINIA,54,1998,June,Thunderstorm Wind,C,77,PRESTON,PBZ,30-JUN-98 17:00:00,EST,30-JUN-98 17:00:00,0,0,0,0,5K,,LAW ENFORCEMENT,,,,,,,,,,,,,,GLADESVILLE,,,GLADESVILLE,39.47,-79.88,39.47,-79.88,,"Thunderstorm winds downed several trees, telephone poles and power lines.",PDC
199806,30,1515,199806,30,1515,2149317,5669373,WEST VIRGINIA,54,1998,June,Thunderstorm Wind,C,69,OHIO,PBZ,30-JUN-98 15:15:00,EST,30-JUN-98 15:15:00,0,0,0,0,2K,,LAW ENFORCEMENT,,,,,,,,,,,,,,WEST LIBERTY,,,WEST LIBERTY,40.17,-80.58,40.17,-80.58,,Thunderstorm winds downed a large tree.,PDC
199806,30,1515,199806,30,1515,2149317,5669374,WEST VIRGINIA,54,1998,June,Thunderstorm Wind,C,69,OHIO,PBZ,30-JUN-98 15:15:00,EST,30-JUN-98 15:15:00,0,0,0,0,5K,,LAW ENFORCEMENT,,,,,,,,,,,,,,WHEELING,,,WHEELING,40.07,-80.72,40.07,-80.72,,Thunderstorm winds downed several trees.,PDC
199806,30,1700,199806,30,1700,2149317,5669375,WEST VIRGINIA,54,1998,June,Thunderstorm Wind,C,77,PRESTON,PBZ,30-JUN-98 17:00:00,EST,30-JUN-98 17:00:00,0,0,0,0,10K,,LAW ENFORCEMENT,,,,,,,,,,,,,,NEWBURG,,,NEWBURG,39.38,-79.85,39.38,-79.85,,Thunderstorm winds downed numerous trees across the area.,PDC
199806,2,2045,199806,2,2050,2149255,5669114,WEST VIRGINIA,54,1998,June,Tornado,C,77,PRESTON,PBZ,02-JUN-98 20:45:00,EST,02-JUN-98 20:50:00,0,0,0,0,5M,2M,NWS STORM SURVEY,,,,,F2,4,300,,,,,,NW,GLADE FARMS,1,SE,GLADE FARMS,39.72,-79.55,39.67,-79.50,"An F2 tornado passed southeast through southern Fayette County PA, the northeast tip of Preston County WV, and into northwest Garrett County MD.  The total length of the tornado as it passed across these three counties was 12 miles.  Damage in Preston County included a completely destroyed dairy barn, two completely destroyed house trailers, and at least 21 other structures heavily damaged, many with roofs partially or completely peeled off.  Several cows were killed, with one cow thrown through the air over 100 yards.  A clearly visible 300-yard wide, 1-mile long swath of trees which were completely sheared/uprooted was present near the Pennsylvania/West Virginia state border.  One Fayette County official estimated at least two million dollars damage in lost timber alone in that county.  Despite the damage, interviews with law enforcement officials, paramedics and local residents revealed no injuries occurred.",,PDC
199812,6,0,199812,6,2359,2151072,5676943,WEST VIRGINIA,54,1998,December,Heat,Z,20,DODDRIDGE,RLX,06-DEC-98 00:00:00,EST,06-DEC-98 23:59:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A prolong warm spell from late November continued for the first week of December.  The warmest temperatures came on the 6th. Readings of 70 to 75 degrees were common in the lowlands, with 60s in the mountains.  The calendar day minimum temperature at Charleston was only 62 degrees for the 6th.",,PDC
199812,1,0,199812,31,2359,2151566,5674339,WEST VIRGINIA,54,1998,December,Drought,Z,51,MORGAN,LWX,01-DEC-98 00:00:00,EST,31-DEC-98 23:59:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,"This was the sixth month in a row that drought conditions were seen across the Eastern Panhandle of West Virginia.  Persistent high pressure over the Southeast U.S. forced most precipitation producing low pressure systems to steer north of the region.  In addition, record high temperatures baked the region during the first week of the month.  Monthly precipitation totals from counties in the region included 0.6 inches in Hampshire, 0.7 inches in Mineral, 0.8 inches in Morgan, 0.9 inches in Hardy, 1.0 inches in Pendleton, and 1.3 inches in Grant and Jefferson.  Average precipitation for the month of December is around 3 inches.  Most locations received less than half of their normal precipitation from July through December.  A ban on open burning continued through mid December in Berkeley, Grant, Hampshire, Jefferson, Mineral, Morgan, and Pendleton Counties due to extreme fire danger.",,PDC
199808,24,930,199808,24,930,2149353,5669651,WEST VIRGINIA,54,1998,August,Lightning,C,29,HANCOCK,PBZ,24-AUG-98 09:30:00,EST,24-AUG-98 09:30:00,0,0,0,0,10K,,NEWSPAPER,,,,,,,,,,,,,,WEIRTON,,,WEIRTON,,,,,,Lightning sparked an attic fire in a house that resulted in roof and smoke damage.,PDC
199808,24,1740,199808,24,1740,2149354,5669652,WEST VIRGINIA,54,1998,August,Lightning,C,29,HANCOCK,PBZ,24-AUG-98 17:40:00,EST,24-AUG-98 17:40:00,0,0,0,0,8K,,NEWSPAPER,,,,,,,,,,,,,,WEIRTON,,,WEIRTON,,,,,,Lightning charred an exterior wall of a house and caused smoke damage.,PDC
199809,14,1100,199809,15,1800,2149667,5666940,WEST VIRGINIA,54,1998,September,Heat,Z,25,LOGAN,RLX,14-SEP-98 11:00:00,EST,15-SEP-98 18:00:00,0,0,0,0,,,OFFICIAL NWS OBS.,,,,,,,,,,,,,,,,,,,,,,"The hottest temperatures of the summer occurred.  The dry weather pattern during the late summer contributed to this unusual mid September heat.  Temperatures reached the mid and upper 90s in the lowlands, with upper 80s and lower 90s in the mountainous counties.",,PDC
199809,14,1100,199809,15,1800,2149667,5666939,WEST VIRGINIA,54,1998,September,Heat,Z,13,LINCOLN,RLX,14-SEP-98 11:00:00,EST,15-SEP-98 18:00:00,0,0,0,0,,,OFFICIAL NWS OBS.,,,,,,,,,,,,,,,,,,,,,,"The hottest temperatures of the summer occurred.  The dry weather pattern during the late summer contributed to this unusual mid September heat.  Temperatures reached the mid and upper 90s in the lowlands, with upper 80s and lower 90s in the mountainous counties.",,PDC
199809,14,1100,199809,15,1800,2149667,5666941,WEST VIRGINIA,54,1998,September,Heat,Z,7,MASON,RLX,14-SEP-98 11:00:00,EST,15-SEP-98 18:00:00,0,0,0,0,,,OFFICIAL NWS OBS.,,,,,,,,,,,,,,,,,,,,,,"The hottest temperatures of the summer occurred.  The dry weather pattern during the late summer contributed to this unusual mid September heat.  Temperatures reached the mid and upper 90s in the lowlands, with upper 80s and lower 90s in the mountainous counties.",,PDC
199812,6,0,199812,6,2359,2151072,5677070,WEST VIRGINIA,54,1998,December,Heat,Z,38,WEBSTER,RLX,06-DEC-98 00:00:00,EST,06-DEC-98 23:59:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A prolong warm spell from late November continued for the first week of December.  The warmest temperatures came on the 6th. Readings of 70 to 75 degrees were common in the lowlands, with 60s in the mountains.  The calendar day minimum temperature at Charleston was only 62 degrees for the 6th.",,PDC
199812,6,0,199812,6,2359,2151072,5677071,WEST VIRGINIA,54,1998,December,Heat,Z,17,WIRT,RLX,06-DEC-98 00:00:00,EST,06-DEC-98 23:59:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A prolong warm spell from late November continued for the first week of December.  The warmest temperatures came on the 6th. Readings of 70 to 75 degrees were common in the lowlands, with 60s in the mountains.  The calendar day minimum temperature at Charleston was only 62 degrees for the 6th.",,PDC
199808,24,1600,199808,24,1600,2149338,5669564,WEST VIRGINIA,54,1998,August,Thunderstorm Wind,C,51,MARSHALL,PBZ,24-AUG-98 16:00:00,EST,24-AUG-98 16:00:00,0,0,0,0,8K,,LAW ENFORCEMENT,,,,,,,,,,,,,,MOUNDSVILLE,,,MOUNDSVILLE,39.92,-80.73,39.92,-80.73,,Large trees were downed by thunderstorm winds onto Route 250.  One tree fell onto a car.,PDC
