BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200207,19,1345,200207,19,1350,2151831,5324591,WYOMING,56,2002,July,Tornado,C,41,UINTA,SLC,19-JUL-02 13:45:00,MST,19-JUL-02 13:50:00,0,0,0,0,0,0,GENERAL PUBLIC,,,,,F0,.5,20,,,,,,,FT BRIDGER,,,FT BRIDGER,,,,,,"A small tornado was reported over open country near Fort Bridger, Wyoming. It remained over open country and dissipated, causing no damage.",PDS
200211,25,1100,200211,25,2145,1145054,5323849,WYOMING,56,2002,November,Blizzard,Z,10,NORTHEAST JOHNSON COUNTY,RIW,25-NOV-02 11:00:00,MST,25-NOV-02 21:45:00,0,0,0,0,,,LAW ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,The combination of strong northwest winds and fresh snow cover resulted in blizzard conditions across much of Johnson county. The visibility was reported near zero in open areas. A section of I-90 was closed for a few hours dew to drifting snow. The Buffalo Airport ASOS reported a wind gust of around 60 mph at 131 pm and a wind gust of 67 mph was reported in the Big Horn mountains.,,PDS
200211,25,1100,200211,25,2145,1145054,5323850,WYOMING,56,2002,November,Blizzard,Z,11,SOUTHEAST JOHNSON COUNTY,RIW,25-NOV-02 11:00:00,MST,25-NOV-02 21:45:00,0,0,0,0,,,LAW ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,The combination of strong northwest winds and fresh snow cover resulted in blizzard conditions across much of Johnson county. The visibility was reported near zero in open areas. A section of I-90 was closed for a few hours dew to drifting snow. The Buffalo Airport ASOS reported a wind gust of around 60 mph at 131 pm and a wind gust of 67 mph was reported in the Big Horn mountains.,,PDS
200211,23,200,200211,24,1000,1145053,5323845,WYOMING,56,2002,November,Heavy Snow,Z,18,LANDER FOOTHILLS,RIW,23-NOV-02 02:00:00,MST,24-NOV-02 10:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A storm system brought heavy snow to much of central and western Wyoming. Snowfall amounts ranged from 6 to 9 inches in the lower elevations to 10 to 18 inches in the mountains. Also, two people were injured when icy conditions caused a van to slide of I-25 north of Casper.",,PDS
200211,23,200,200211,24,1000,1145053,5323846,WYOMING,56,2002,November,Heavy Snow,Z,20,NATRONA COUNTY LOWER ELEVATIONS,RIW,23-NOV-02 02:00:00,MST,24-NOV-02 10:00:00,0,0,0,0,,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,"A storm system brought heavy snow to much of central and western Wyoming. Snowfall amounts ranged from 6 to 9 inches in the lower elevations to 10 to 18 inches in the mountains. Also, two people were injured when icy conditions caused a van to slide of I-25 north of Casper.",,PDS
200211,23,200,200211,24,1000,1145053,5323847,WYOMING,56,2002,November,Heavy Snow,Z,25,UPPER GREEN RIVER BASIN FOOTHILLS,RIW,23-NOV-02 02:00:00,MST,24-NOV-02 10:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A storm system brought heavy snow to much of central and western Wyoming. Snowfall amounts ranged from 6 to 9 inches in the lower elevations to 10 to 18 inches in the mountains. Also, two people were injured when icy conditions caused a van to slide of I-25 north of Casper.",,PDS
200211,23,200,200211,24,1000,1145053,5323841,WYOMING,56,2002,November,Heavy Snow,Z,12,TETON & GROS VENTRE MOUNTAINS,RIW,23-NOV-02 02:00:00,MST,24-NOV-02 10:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A storm system brought heavy snow to much of central and western Wyoming. Snowfall amounts ranged from 6 to 9 inches in the lower elevations to 10 to 18 inches in the mountains. Also, two people were injured when icy conditions caused a van to slide of I-25 north of Casper.",,PDS
200211,23,200,200211,24,1000,1145053,5323842,WYOMING,56,2002,November,Heavy Snow,Z,14,WIND RIVER MOUNTAINS WEST,RIW,23-NOV-02 02:00:00,MST,24-NOV-02 10:00:00,2,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A storm system brought heavy snow to much of central and western Wyoming. Snowfall amounts ranged from 6 to 9 inches in the lower elevations to 10 to 18 inches in the mountains. Also, two people were injured when icy conditions caused a van to slide of I-25 north of Casper.",,PDS
200211,23,200,200211,24,1000,1145053,5323843,WYOMING,56,2002,November,Heavy Snow,Z,15,WIND RIVER MOUNTAINS EAST,RIW,23-NOV-02 02:00:00,MST,24-NOV-02 10:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A storm system brought heavy snow to much of central and western Wyoming. Snowfall amounts ranged from 6 to 9 inches in the lower elevations to 10 to 18 inches in the mountains. Also, two people were injured when icy conditions caused a van to slide of I-25 north of Casper.",,PDS
200211,23,200,200211,24,1000,1145053,5323844,WYOMING,56,2002,November,Heavy Snow,Z,17,WIND RIVER BASIN,RIW,23-NOV-02 02:00:00,MST,24-NOV-02 10:00:00,0,0,0,0,,,TRAINED SPOTTER,,,,,,,,,,,,,,,,,,,,,,"A storm system brought heavy snow to much of central and western Wyoming. Snowfall amounts ranged from 6 to 9 inches in the lower elevations to 10 to 18 inches in the mountains. Also, two people were injured when icy conditions caused a van to slide of I-25 north of Casper.",,PDS
